@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
88.0,53.0,0.0,51.0,27.0,15.0,17.0,329.0,258.56,553655.03,3.99,1579.0,0.02,30758.61,11964.76,676.0,903.0,168.0,23.0,470.0,Y
61.0,7.0,1.0,3.0,4.0,3.0,1.0,221.0,182.59,456476.77,3.04,1294.0,0.02,25359.82,9129.54,565.0,729.0,113.0,20.0,288.0,Y
10.0,39.0,0.0,4.0,20.0,15.0,16.0,76.0,88.31,58274.06,0.76,362.0,0.04,3237.45,2268.58,137.0,225.0,56.0,21.0,93.0,Y
32.0,25.0,1.0,20.0,13.0,11.0,11.0,105.0,111.25,164197.54,1.42,660.0,0.03,9122.09,4273.98,234.0,426.0,67.0,22.0,161.0,Y
17.0,169.0,1.0,17.0,85.0,58.0,57.0,287.0,209.56,126435.8,1.72,733.0,0.04,7024.21,5147.4,287.0,446.0,111.0,19.0,325.0,Y
35.0,97.0,0.0,47.0,49.0,35.0,17.0,241.0,149.47,270569.63,2.12,900.0,0.02,15031.65,6359.48,371.0,529.0,109.0,25.0,325.0,Y
18.0,17.0,0.0,10.0,9.0,7.0,1.0,46.0,39.89,35902.24,0.4,207.0,0.03,1994.57,1196.74,72.0,135.0,30.0,25.0,77.0,Y
14.0,3.0,1.0,26.0,2.0,2.0,1.0,41.0,40.37,36384.05,0.4,222.0,0.03,2021.34,1211.99,79.0,143.0,25.0,19.0,85.0,Y
1.0,11.0,0.0,35.0,10.0,10.0,1.0,96.0,49.81,237396.79,1.15,472.0,0.01,13188.71,3438.71,153.0,319.0,82.0,74.0,135.0,Y
22.0,27.0,0.0,17.0,14.0,12.0,6.0,90.0,97.88,87650.65,0.98,462.0,0.03,4869.48,2929.01,171.0,291.0,60.0,21.0,132.0,Y
5.0,274.0,0.0,13.0,273.0,2.0,1.0,552.0,113.44,2239582.39,5.31,1644.0,0.01,124421.27,15938.96,551.0,1093.0,549.0,280.0,572.0,Y
32.0,57.0,0.0,43.0,29.0,17.0,22.0,158.0,277.1,207113.99,2.53,1084.0,0.04,11506.33,7575.73,524.0,560.0,115.0,12.0,235.0,Y
10.0,7.0,0.0,8.0,4.0,3.0,1.0,44.0,67.03,29982.9,0.47,242.0,0.05,1665.72,1417.63,94.0,148.0,40.0,18.0,65.0,Y
9.0,21.0,2.0,15.0,11.0,7.0,3.0,35.0,28.31,15415.76,0.22,125.0,0.04,856.43,660.68,40.0,85.0,18.0,21.0,63.0,Y
42.0,139.0,0.0,8.0,70.0,10.0,1.0,150.0,112.95,261494.78,1.81,878.0,0.02,14527.49,5434.67,317.0,561.0,56.0,17.0,202.0,Y
54.0,127.0,1.0,4.0,82.0,76.0,8.0,452.0,72.24,1428851.32,3.39,1359.0,0.01,79380.63,10159.52,489.0,870.0,113.0,65.0,513.0,Y
16.0,7.0,0.0,3.0,4.0,4.0,1.0,28.0,46.75,12247.78,0.25,137.0,0.06,680.43,756.73,46.0,91.0,27.0,19.0,49.0,Y
135.0,55.0,34.0,206.0,37.0,37.0,1.0,525.0,234.62,4157975.43,10.41,3896.0,0.01,230998.66,31233.49,1301.0,2595.0,215.0,44.0,902.0,Y
30.0,111.0,3.0,15.0,56.0,33.0,12.0,192.0,180.19,118171.02,1.54,631.0,0.04,6565.06,4614.43,262.0,369.0,133.0,26.0,242.0,Y
33.0,41.0,3.0,44.0,21.0,12.0,7.0,112.0,107.44,47815.95,0.76,345.0,0.05,2656.44,2266.6,140.0,205.0,73.0,22.0,194.0,Y
27.0,135.0,1.0,42.0,68.0,25.0,20.0,271.0,82.1,753456.46,2.62,1189.0,0.01,41858.69,7864.89,479.0,710.0,70.0,28.0,343.0,Y
12.0,27.0,0.0,5.0,14.0,6.0,8.0,60.0,30.91,26444.87,0.3,155.0,0.03,1469.16,904.1,65.0,90.0,30.0,27.0,79.0,Y
27.0,81.0,0.0,4.0,68.0,68.0,1.0,266.0,87.76,421241.6,2.02,775.0,0.01,23402.31,6080.25,298.0,477.0,157.0,73.0,299.0,Y
33.0,12.0,3.0,32.0,7.0,6.0,1.0,80.0,41.9,84205.78,0.63,277.0,0.02,4678.1,1878.44,100.0,177.0,58.0,52.0,151.0,Y
15.0,13.0,0.0,6.0,7.0,5.0,4.0,75.0,72.52,57855.62,0.68,324.0,0.04,3214.2,2048.3,140.0,184.0,57.0,23.0,98.0,Y
20.0,15.0,0.0,10.0,8.0,6.0,4.0,91.0,92.07,69625.12,0.84,390.0,0.04,3868.06,2531.82,170.0,220.0,68.0,22.0,123.0,Y
80.0,37.0,0.0,0.0,19.0,19.0,1.0,242.0,354.41,435698.56,4.14,1743.0,0.03,24205.48,12426.34,748.0,995.0,128.0,12.0,324.0,Y
8.0,3.0,0.0,23.0,2.0,2.0,1.0,43.0,83.73,21679.38,0.45,232.0,0.06,1204.41,1347.31,118.0,114.0,44.0,12.0,76.0,Y
66.0,41.0,0.0,10.0,21.0,13.0,12.0,249.0,263.95,709716.25,4.56,1779.0,0.02,39428.68,13686.71,755.0,1024.0,182.0,25.0,327.0,Y
114.0,35.0,2.0,44.0,18.0,16.0,1.0,375.0,265.68,1037522.97,5.53,2158.0,0.02,57640.16,16602.54,953.0,1205.0,183.0,24.0,537.0,Y
33.0,77.0,0.0,0.0,39.0,35.0,3.0,155.0,154.91,146112.75,1.59,695.0,0.03,8117.38,4757.62,331.0,364.0,97.0,18.0,190.0,Y
19.0,63.0,0.0,21.0,32.0,3.0,17.0,161.0,52.37,197816.48,1.07,520.0,0.02,10989.8,3218.71,236.0,284.0,48.0,25.0,201.0,Y
7.0,27.0,4.0,7.0,14.0,8.0,11.0,69.0,51.74,54181.04,0.56,277.0,0.03,3010.06,1674.3,121.0,156.0,43.0,23.0,89.0,Y
13.0,25.0,1.0,2.0,13.0,11.0,4.0,68.0,74.46,24158.33,0.45,228.0,0.06,1342.13,1341.24,89.0,139.0,42.0,17.0,86.0,Y
25.0,35.0,2.0,2.0,23.0,15.0,5.0,133.0,62.78,199427.95,1.18,515.0,0.02,11079.33,3538.24,217.0,298.0,77.0,40.0,165.0,Y
27.0,42.0,7.0,37.0,23.0,11.0,15.0,124.0,97.16,238361.32,1.6,703.0,0.02,13242.3,4812.38,236.0,467.0,81.0,34.0,198.0,Y
9.0,61.0,7.0,10.0,31.0,14.0,13.0,90.0,81.05,106132.73,0.98,468.0,0.03,5896.26,2932.86,193.0,275.0,56.0,21.0,118.0,Y
26.0,37.0,2.0,14.0,20.0,18.0,7.0,143.0,92.37,141452.57,1.2,531.0,0.03,7858.48,3614.71,224.0,307.0,83.0,29.0,187.0,Y
36.0,81.0,1.0,86.0,41.0,15.0,23.0,132.0,111.55,59845.66,0.86,381.0,0.04,3324.76,2583.7,166.0,215.0,86.0,24.0,255.0,Y
4.0,61.0,0.0,1.0,31.0,28.0,28.0,44.0,50.09,71326.03,0.63,330.0,0.03,3962.56,1890.21,115.0,215.0,32.0,21.0,51.0,Y
12.0,29.0,0.0,16.0,15.0,3.0,1.0,85.0,43.88,73491.13,0.6,327.0,0.02,4082.84,1795.84,112.0,215.0,26.0,19.0,115.0,Y
8.0,13.0,1.0,10.0,7.0,6.0,1.0,51.0,55.85,23029.1,0.38,198.0,0.05,1279.39,1134.13,86.0,112.0,36.0,17.0,72.0,Y
28.0,5.0,2.0,29.0,3.0,3.0,1.0,129.0,254.87,74202.67,1.45,600.0,0.06,4122.37,4348.76,271.0,329.0,135.0,17.0,190.0,Y
38.0,71.0,0.0,4.0,36.0,36.0,1.0,148.0,104.97,127363.39,1.22,619.0,0.03,7075.74,3656.37,209.0,410.0,45.0,15.0,193.0,Y
29.0,73.0,23.0,6.0,37.0,35.0,22.0,165.0,91.19,260896.68,1.63,725.0,0.02,14494.26,4877.74,298.0,427.0,78.0,28.0,225.0,Y
21.0,87.0,0.0,7.0,44.0,44.0,40.0,172.0,111.79,191348.8,1.54,716.0,0.02,10630.49,4624.95,264.0,452.0,67.0,21.0,202.0,Y
17.0,35.0,1.0,16.0,18.0,12.0,1.0,93.0,86.08,61187.72,0.77,362.0,0.04,3399.32,2295.03,143.0,219.0,59.0,22.0,129.0,N
6.0,7.0,0.0,1.0,4.0,4.0,1.0,28.0,34.86,10297.3,0.2,126.0,0.06,572.07,599.12,50.0,76.0,16.0,11.0,37.0,Y
35.0,31.0,0.0,0.0,16.0,9.0,11.0,115.0,125.22,90732.21,1.12,500.0,0.04,5040.68,3370.73,208.0,292.0,85.0,22.0,152.0,Y
14.0,9.0,0.0,5.0,5.0,4.0,1.0,37.0,70.82,7213.09,0.24,126.0,0.1,400.73,714.73,59.0,67.0,38.0,13.0,58.0,Y
26.0,31.0,0.0,6.0,16.0,7.0,1.0,99.0,53.9,107055.81,0.8,440.0,0.02,5947.55,2402.15,191.0,249.0,30.0,14.0,133.0,Y
15.0,25.0,0.0,44.0,13.0,6.0,4.0,55.0,53.3,29758.92,0.42,215.0,0.04,1653.27,1259.47,97.0,118.0,39.0,19.0,116.0,Y
13.0,77.0,1.0,13.0,39.0,17.0,25.0,160.0,113.02,405328.56,2.26,948.0,0.02,22518.25,6768.29,425.0,523.0,110.0,31.0,187.0,Y
7.0,7.0,0.0,2.0,4.0,4.0,1.0,28.0,36.36,8511.09,0.19,106.0,0.07,472.84,556.28,34.0,72.0,20.0,18.0,40.0,Y
6.0,16.0,2.0,27.0,9.0,6.0,3.0,51.0,46.79,22329.28,0.34,171.0,0.05,1240.52,1022.11,71.0,100.0,39.0,24.0,86.0,Y
3.0,45.0,0.0,12.0,23.0,18.0,18.0,77.0,58.46,25543.94,0.41,220.0,0.05,1419.11,1222.01,81.0,139.0,31.0,16.0,94.0,Y
1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,11.23,44.92,0.01,8.0,0.5,2.5,22.46,3.0,5.0,3.0,4.0,6.0,N
2.0,3.0,2.0,3.0,2.0,2.0,1.0,10.0,17.24,2940.89,0.08,53.0,0.08,163.38,225.14,19.0,34.0,8.0,11.0,19.0,Y
18.0,49.0,6.0,8.0,25.0,25.0,24.0,136.0,119.52,109491.18,1.21,579.0,0.03,6082.84,3617.55,227.0,352.0,60.0,16.0,172.0,Y
6.0,9.0,0.0,0.0,5.0,5.0,1.0,17.0,21.27,4550.4,0.1,67.0,0.07,252.8,311.14,27.0,40.0,12.0,13.0,25.0,Y
3.0,19.0,8.0,2.0,10.0,9.0,5.0,35.0,48.03,14891.16,0.28,154.0,0.06,827.29,845.75,58.0,96.0,28.0,17.0,50.0,Y
5.0,3.0,0.0,0.0,2.0,2.0,1.0,19.0,47.55,7135.87,0.19,111.0,0.08,396.44,582.52,42.0,69.0,24.0,14.0,31.0,Y
9.0,43.0,0.0,6.0,22.0,13.0,5.0,69.0,56.13,32903.35,0.45,232.0,0.04,1827.96,1359.05,92.0,140.0,38.0,20.0,87.0,Y
12.0,21.0,0.0,8.0,11.0,5.0,5.0,81.0,68.05,54807.07,0.64,313.0,0.04,3044.84,1931.19,129.0,184.0,50.0,22.0,103.0,Y
5.0,16.0,8.0,6.0,9.0,5.0,4.0,53.0,28.44,45604.57,0.38,197.0,0.02,2533.59,1138.93,62.0,135.0,24.0,31.0,74.0,Y
2.0,27.0,0.0,0.0,14.0,13.0,9.0,78.0,55.63,69630.72,0.66,342.0,0.03,3868.37,1968.17,154.0,188.0,37.0,17.0,83.0,Y
27.0,149.0,1.0,96.0,75.0,30.0,51.0,396.0,239.48,989013.72,5.13,1898.0,0.02,54945.21,15389.98,885.0,1013.0,241.0,35.0,520.0,Y
1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,18.11,142.01,0.02,16.0,0.36,7.89,50.72,7.0,9.0,5.0,4.0,8.0,Y
13.0,21.0,0.0,13.0,11.0,8.0,4.0,86.0,89.84,48013.0,0.69,340.0,0.04,2667.39,2076.9,131.0,209.0,51.0,18.0,115.0,N
36.0,33.0,3.0,26.0,17.0,14.0,4.0,168.0,135.94,170018.12,1.6,701.0,0.03,9445.45,4807.44,286.0,415.0,93.0,23.0,235.0,Y
19.0,19.0,0.0,9.0,10.0,7.0,4.0,92.0,92.11,66417.96,0.82,381.0,0.04,3689.89,2473.4,166.0,215.0,68.0,22.0,122.0,Y
9.0,37.0,1.0,7.0,19.0,7.0,7.0,77.0,60.1,42382.92,0.53,267.0,0.04,2354.61,1595.93,123.0,144.0,44.0,19.0,94.0,Y
13.0,5.0,0.0,2.0,3.0,1.0,1.0,113.0,164.62,89460.55,1.28,567.0,0.04,4970.03,3837.56,271.0,296.0,93.0,16.0,130.0,Y
8.0,11.0,1.0,5.0,6.0,2.0,5.0,40.0,29.31,30392.25,0.31,169.0,0.03,1688.46,943.86,70.0,99.0,25.0,23.0,56.0,Y
26.0,9.0,0.0,0.0,5.0,5.0,1.0,61.0,73.87,54363.83,0.67,334.0,0.04,3020.21,2004.0,150.0,184.0,47.0,17.0,89.0,Y
37.0,7.0,0.0,3.0,4.0,4.0,1.0,117.0,174.15,174268.57,1.84,799.0,0.03,9681.59,5508.96,355.0,444.0,101.0,18.0,159.0,N
8.0,29.0,0.0,0.0,15.0,8.0,1.0,51.0,53.03,63061.62,0.61,333.0,0.03,3503.42,1828.79,125.0,208.0,29.0,16.0,61.0,Y
14.0,75.0,6.0,26.0,38.0,23.0,22.0,157.0,51.28,189788.14,1.04,509.0,0.02,10543.79,3119.81,219.0,290.0,45.0,25.0,205.0,Y
12.0,23.0,3.0,2.0,14.0,6.0,8.0,69.0,25.97,65286.0,0.43,217.0,0.02,3627.0,1302.0,78.0,139.0,28.0,36.0,89.0,Y
3.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,19.43,228.37,0.02,18.0,0.29,12.69,66.61,8.0,10.0,7.0,6.0,10.0,Y
2.0,3.0,0.0,0.0,2.0,2.0,1.0,15.0,49.11,1192.85,0.08,56.0,0.2,66.27,242.03,23.0,33.0,14.0,6.0,19.0,Y
11.0,25.0,0.0,12.0,13.0,8.0,6.0,50.0,37.81,32322.63,0.37,205.0,0.03,1795.7,1105.43,86.0,119.0,25.0,17.0,75.0,Y
10.0,25.0,0.0,12.0,13.0,8.0,6.0,50.0,37.81,32322.63,0.37,205.0,0.03,1795.7,1105.43,86.0,119.0,25.0,17.0,74.0,Y
74.0,161.0,10.0,27.0,81.0,38.0,50.0,424.0,127.89,1177372.47,4.09,1693.0,0.01,65409.58,12270.74,692.0,1001.0,119.0,33.0,537.0,Y
6.0,15.0,0.0,5.0,8.0,8.0,6.0,31.0,24.3,14583.21,0.2,117.0,0.04,810.18,595.23,49.0,68.0,17.0,17.0,45.0,Y
6.0,9.0,0.0,1.0,5.0,2.0,3.0,32.0,43.39,19824.86,0.31,172.0,0.05,1101.38,927.48,57.0,115.0,24.0,18.0,41.0,Y
12.0,49.0,0.0,16.0,25.0,9.0,15.0,117.0,95.89,216664.22,1.52,715.0,0.02,12036.9,4558.15,248.0,467.0,60.0,23.0,149.0,Y
34.0,32.0,1.0,18.0,17.0,13.0,6.0,219.0,80.97,336771.99,1.74,793.0,0.02,18709.55,5221.88,298.0,495.0,67.0,29.0,274.0,Y
4.0,3.0,0.0,2.0,2.0,1.0,1.0,41.0,23.1,62158.27,0.4,252.0,0.02,3453.24,1198.23,83.0,169.0,12.0,15.0,49.0,Y
37.0,37.0,7.0,47.0,19.0,13.0,17.0,116.0,58.74,112821.45,0.86,420.0,0.02,6267.86,2574.3,168.0,252.0,46.0,24.0,209.0,Y
11.0,25.0,0.0,35.0,13.0,11.0,11.0,85.0,56.29,81406.65,0.71,367.0,0.03,4522.59,2140.67,121.0,246.0,35.0,22.0,134.0,Y
6.0,41.0,0.0,4.0,21.0,10.0,14.0,74.0,72.84,76802.79,0.79,356.0,0.03,4266.82,2365.21,159.0,197.0,71.0,29.0,84.0,Y
16.0,5.0,0.0,0.0,3.0,3.0,1.0,26.0,54.1,4433.56,0.16,103.0,0.11,246.31,489.75,43.0,60.0,19.0,8.0,44.0,Y
8.0,11.0,0.0,5.0,6.0,6.0,1.0,47.0,77.33,12344.19,0.33,169.0,0.08,685.79,977.05,74.0,95.0,41.0,14.0,63.0,Y
9.0,9.0,0.0,28.0,5.0,5.0,1.0,56.0,56.24,59713.02,0.61,298.0,0.03,3317.39,1832.62,136.0,162.0,48.0,23.0,93.0,Y
8.0,21.0,0.0,1.0,11.0,4.0,7.0,56.0,56.86,21716.35,0.37,194.0,0.05,1206.46,1111.22,76.0,118.0,35.0,18.0,67.0,Y
7.0,7.0,0.0,1.0,4.0,4.0,1.0,22.0,45.03,2137.13,0.1,66.0,0.15,118.73,310.23,31.0,35.0,18.0,8.0,32.0,Y
10.0,7.0,0.0,1.0,4.0,4.0,1.0,251.0,295.05,266464.28,2.96,1211.0,0.03,14803.57,8866.85,581.0,630.0,145.0,15.0,264.0,N
6.0,3.0,0.0,0.0,2.0,1.0,1.0,16.0,35.74,1992.78,0.09,59.0,0.13,110.71,266.89,28.0,31.0,15.0,8.0,24.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,Y
25.0,45.0,0.0,0.0,23.0,22.0,1.0,95.0,139.86,21497.59,0.58,296.0,0.08,1194.31,1733.96,135.0,161.0,49.0,9.0,122.0,Y
3.0,11.0,3.0,0.0,10.0,1.0,1.0,33.0,37.94,5290.82,0.15,86.0,0.08,293.93,448.01,31.0,55.0,21.0,16.0,41.0,Y
3.0,12.0,3.0,0.0,11.0,1.0,1.0,36.0,39.81,6285.89,0.17,94.0,0.08,349.22,500.26,34.0,60.0,23.0,17.0,44.0,Y
24.0,65.0,8.0,9.0,33.0,24.0,24.0,141.0,125.76,177585.78,1.58,721.0,0.03,9865.88,4725.86,232.0,489.0,71.0,23.0,185.0,Y
24.0,25.0,4.0,31.0,13.0,12.0,12.0,81.0,118.74,83833.94,1.05,486.0,0.04,4657.44,3155.04,186.0,300.0,70.0,20.0,143.0,Y
6.0,1.0,0.0,11.0,1.0,1.0,1.0,12.0,39.89,1318.74,0.08,55.0,0.17,73.26,229.35,23.0,32.0,12.0,6.0,32.0,Y
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,6.0,N
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Y
51.0,65.0,0.0,66.0,33.0,24.0,10.0,165.0,176.14,56367.41,1.05,448.0,0.06,3131.52,3150.97,168.0,280.0,108.0,23.0,284.0,Y
17.0,11.0,0.0,6.0,6.0,4.0,1.0,64.0,77.19,42239.34,0.6,289.0,0.04,2346.63,1805.65,131.0,158.0,56.0,20.0,90.0,Y
12.0,29.0,2.0,11.0,15.0,11.0,1.0,70.0,56.0,63855.03,0.63,314.0,0.03,3547.5,1891.02,132.0,182.0,43.0,22.0,97.0,Y
21.0,113.0,0.0,30.0,57.0,40.0,47.0,122.0,132.52,122973.42,1.35,605.0,0.03,6831.86,4036.82,235.0,370.0,81.0,21.0,175.0,Y
18.0,25.0,3.0,4.0,14.0,10.0,8.0,107.0,66.17,116162.54,0.92,422.0,0.02,6453.47,2772.48,173.0,249.0,64.0,31.0,134.0,Y
6.0,47.0,0.0,18.0,24.0,20.0,23.0,59.0,48.07,45141.75,0.49,261.0,0.03,2507.87,1473.05,100.0,161.0,31.0,19.0,85.0,Y
8.0,19.0,13.0,3.0,10.0,9.0,5.0,68.0,74.55,55515.44,0.68,320.0,0.04,3084.19,2034.42,140.0,180.0,59.0,23.0,94.0,Y
32.0,58.0,8.0,45.0,32.0,27.0,7.0,166.0,79.87,243616.67,1.47,648.0,0.02,13534.26,4411.17,243.0,405.0,77.0,35.0,253.0,Y
2.0,5.0,0.0,0.0,3.0,1.0,1.0,8.0,24.34,1150.68,0.06,37.0,0.15,63.93,167.37,15.0,22.0,12.0,11.0,12.0,Y
26.0,61.0,2.0,8.0,31.0,25.0,18.0,130.0,90.65,393196.14,1.99,877.0,0.02,21844.23,5970.05,377.0,500.0,83.0,29.0,169.0,Y
34.0,35.0,0.0,0.0,18.0,11.0,9.0,114.0,99.85,48179.9,0.73,350.0,0.05,2676.66,2193.38,144.0,206.0,59.0,18.0,150.0,Y
12.0,29.0,4.0,17.0,15.0,11.0,5.0,82.0,46.15,66138.63,0.58,297.0,0.03,3674.37,1747.14,137.0,160.0,38.0,21.0,122.0,Y
6.0,13.0,3.0,6.0,7.0,7.0,1.0,53.0,44.25,21295.68,0.32,172.0,0.05,1183.09,970.74,78.0,94.0,32.0,18.0,74.0,Y
25.0,19.0,2.0,27.0,10.0,7.0,3.0,77.0,52.56,62562.83,0.6,307.0,0.03,3475.71,1813.42,138.0,169.0,40.0,20.0,136.0,Y
16.0,43.0,23.0,10.0,22.0,19.0,14.0,121.0,71.66,140024.04,1.06,507.0,0.02,7779.11,3167.7,217.0,290.0,54.0,22.0,172.0,Y
15.0,15.0,0.0,13.0,8.0,7.0,1.0,62.0,76.77,13846.63,0.34,176.0,0.07,769.26,1031.0,77.0,99.0,43.0,15.0,92.0,Y
16.0,7.0,0.0,1.0,4.0,4.0,1.0,29.0,40.1,12067.3,0.23,129.0,0.06,670.41,695.61,42.0,87.0,23.0,19.0,48.0,Y
16.0,7.0,0.0,3.0,4.0,4.0,1.0,23.0,34.28,10589.57,0.2,114.0,0.06,588.31,602.54,37.0,77.0,20.0,19.0,44.0,Y
20.0,9.0,0.0,4.0,5.0,5.0,1.0,27.0,48.82,15816.54,0.29,160.0,0.06,878.7,878.7,54.0,106.0,27.0,18.0,53.0,Y
12.0,22.0,0.0,1.0,13.0,9.0,9.0,88.0,39.57,127998.63,0.75,381.0,0.02,7111.03,2250.53,130.0,251.0,32.0,28.0,104.0,Y
19.0,23.0,0.0,8.0,12.0,9.0,1.0,107.0,167.9,51980.15,0.98,430.0,0.06,2887.79,2954.26,207.0,223.0,100.0,17.0,136.0,Y
3.0,35.0,3.0,7.0,18.0,3.0,16.0,43.0,35.97,14733.34,0.24,135.0,0.05,818.52,727.96,49.0,86.0,23.0,19.0,58.0,Y
