@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
8.0,8.0,6.0,0.15,1.0,1.0,55.83,18.8,19738.62,0.35,186.0,0.05,1096.59,0.17,1.0,13.0,73.0,33.0,17.0,2.5,N
10.0,7.0,4.0,0.14,1.0,4.0,45.13,11.11,5572.06,0.17,93.0,0.09,309.56,1.0,3.0,14.0,40.0,27.0,15.0,12.5,N
11.0,3.0,2.0,0.04,0.5,1.0,135.48,9.97,13474.88,0.45,249.0,0.1,748.6,0.5,1.0,6.0,123.0,37.0,6.0,24.07,N
2.0,3.0,2.0,0.25,1.0,1.0,18.53,9.0,1501.17,0.06,40.0,0.11,83.4,0.5,1.0,7.0,18.0,9.0,9.0,0.0,N
6.0,3.0,2.0,0.13,1.0,1.0,57.32,10.19,5954.36,0.19,113.0,0.1,330.8,0.5,1.0,7.0,53.0,26.0,10.0,23.81,N
2.0,3.0,2.0,0.25,1.0,1.0,18.53,9.0,1501.17,0.06,40.0,0.11,83.4,0.5,1.0,7.0,18.0,9.0,9.0,0.0,N
2.0,3.0,2.0,0.25,1.0,1.0,18.53,9.0,1501.17,0.06,40.0,0.11,83.4,0.5,1.0,7.0,18.0,9.0,9.0,0.0,N
2.0,3.0,2.0,0.25,1.0,1.0,18.53,9.0,1501.17,0.06,40.0,0.11,83.4,0.5,1.0,7.0,18.0,9.0,9.0,0.0,N
6.0,5.0,3.0,0.23,0.67,1.0,25.16,11.2,3155.74,0.09,58.0,0.09,175.32,0.33,2.0,10.0,24.0,15.0,14.0,14.29,N
7.0,25.0,13.0,0.17,0.77,5.0,70.93,18.61,24562.78,0.44,210.0,0.05,1364.6,0.38,12.0,36.0,89.0,55.0,23.0,21.98,Y
8.0,5.0,3.0,0.21,0.67,1.0,30.78,10.5,3393.02,0.11,63.0,0.1,188.5,0.33,2.0,11.0,28.0,20.0,15.0,43.48,N
13.0,7.0,4.0,0.01,0.25,1.0,1535.48,11.07,188118.17,5.67,1916.0,0.09,10451.01,0.25,3.0,17.0,1129.0,459.0,9.0,0.5,N
22.0,55.0,28.0,0.03,0.96,27.0,1349.98,39.94,2153049.88,17.97,5580.0,0.03,119613.86,0.96,27.0,99.0,2733.0,787.0,23.0,5.88,N
0.0,5.0,3.0,0.38,1.0,1.0,9.42,17.0,2723.1,0.05,41.0,0.06,151.28,0.33,2.0,9.0,17.0,5.0,10.0,0.0,N
1.0,3.0,2.0,0.4,1.0,1.0,13.67,5.71,446.5,0.03,20.0,0.18,24.81,0.5,1.0,8.0,10.0,7.0,8.0,0.0,N
13.0,5.0,3.0,0.14,0.67,1.0,50.44,8.5,3644.57,0.14,85.0,0.12,202.48,0.33,2.0,21.0,34.0,22.0,11.0,41.18,Y
11.0,5.0,3.0,0.18,1.0,1.0,54.41,6.07,2001.52,0.11,66.0,0.16,111.2,0.33,2.0,17.0,31.0,23.0,9.0,40.74,Y
3.0,17.0,9.0,0.47,0.11,1.0,76.91,15.85,19327.77,0.41,222.0,0.06,1073.76,0.11,8.0,26.0,98.0,34.0,11.0,89.47,Y
2.0,5.0,3.0,0.25,0.33,1.0,59.38,12.02,8577.83,0.24,136.0,0.08,476.55,0.33,2.0,8.0,59.0,27.0,11.0,83.33,N
2.0,17.0,9.0,0.56,0.11,1.0,85.3,11.0,10321.01,0.31,168.0,0.09,573.39,0.11,8.0,26.0,74.0,37.0,11.0,87.5,Y
2.0,9.0,5.0,0.71,0.2,1.0,39.02,5.33,1109.78,0.07,46.0,0.19,61.65,0.2,4.0,14.0,20.0,15.0,8.0,71.43,N
13.0,65.0,33.0,0.59,0.12,1.0,212.2,33.39,236652.5,2.36,1045.0,0.03,13147.36,0.03,32.0,158.0,423.0,95.0,15.0,1.75,Y
7.0,27.0,14.0,0.58,0.21,1.0,99.64,24.6,60297.15,0.82,407.0,0.04,3349.84,0.07,13.0,64.0,164.0,50.0,15.0,12.0,Y
21.0,89.0,45.0,0.61,0.07,1.0,318.29,36.8,430930.48,3.9,1588.0,0.03,23940.58,0.02,44.0,223.0,645.0,149.0,17.0,9.33,Y
14.0,35.0,18.0,0.46,0.06,1.0,162.87,24.2,95404.28,1.31,600.0,0.04,5300.24,0.06,17.0,87.0,239.0,79.0,16.0,0.0,Y
10.0,51.0,26.0,0.54,0.12,1.0,189.65,36.5,252667.13,2.31,1031.0,0.03,14037.06,0.04,25.0,124.0,438.0,90.0,15.0,14.29,Y
4.0,27.0,14.0,0.64,0.07,9.0,15.66,31.95,15993.34,0.17,102.0,0.03,888.52,0.64,13.0,34.0,37.0,11.0,19.0,19.23,N
18.0,9.0,5.0,0.1,1.0,1.0,72.48,20.68,31004.8,0.5,257.0,0.05,1722.49,0.2,4.0,37.0,106.0,41.0,16.0,34.67,Y
1.0,3.0,2.0,0.22,0.5,1.0,17.71,14.0,3472.0,0.08,62.0,0.07,192.89,0.5,1.0,5.0,28.0,8.0,8.0,0.0,N
11.0,7.0,4.0,0.14,0.5,1.0,49.99,17.26,14890.23,0.29,160.0,0.06,827.24,0.25,3.0,18.0,77.0,29.0,13.0,10.0,N
7.0,13.0,7.0,0.29,0.57,5.0,24.63,17.41,7465.7,0.14,85.0,0.06,414.76,0.71,6.0,14.0,37.0,17.0,16.0,20.0,N
9.0,7.0,4.0,0.25,0.5,1.0,31.34,10.33,3346.5,0.11,66.0,0.1,185.92,0.25,3.0,13.0,31.0,18.0,12.0,41.67,N
6.0,5.0,3.0,0.13,0.33,1.0,20.45,15.17,4705.14,0.1,66.0,0.07,261.39,0.33,2.0,10.0,26.0,12.0,14.0,34.62,N
3.0,3.0,2.0,0.4,0.5,1.0,9.87,5.63,312.22,0.02,15.0,0.18,17.35,0.5,1.0,5.0,5.0,4.0,9.0,0.0,N
6.0,3.0,2.0,0.09,1.0,1.0,55.64,8.27,3804.87,0.15,89.0,0.12,211.38,0.5,1.0,13.0,43.0,26.0,10.0,25.0,N
5.0,7.0,4.0,0.24,0.25,1.0,34.78,14.04,6856.63,0.16,90.0,0.07,380.92,0.25,3.0,11.0,39.0,25.0,18.0,20.0,N
8.0,33.0,17.0,0.28,0.24,8.0,81.83,29.21,69838.03,0.8,375.0,0.03,3879.89,0.47,16.0,56.0,162.0,61.0,22.0,25.0,N
9.0,17.0,9.0,0.27,0.44,7.0,58.4,14.93,13015.0,0.29,147.0,0.07,723.06,0.78,8.0,32.0,66.0,42.0,19.0,29.27,N
3.0,5.0,3.0,0.14,1.0,1.0,23.37,9.15,1958.65,0.07,45.0,0.11,108.81,0.33,1.0,9.0,17.0,13.0,14.0,30.77,N
14.0,29.0,15.0,0.23,0.4,10.0,46.09,53.79,133379.57,0.83,390.0,0.02,7409.98,0.67,13.0,45.0,177.0,51.0,31.0,24.36,Y
8.0,7.0,4.0,0.12,0.75,1.0,85.6,21.6,39935.53,0.62,307.0,0.05,2218.64,0.25,3.0,27.0,144.0,50.0,15.0,13.16,Y
5.0,3.0,2.0,0.14,0.5,1.0,34.95,18.36,11781.35,0.21,119.0,0.05,654.52,0.5,1.0,10.0,54.0,25.0,17.0,23.53,N
3.0,37.0,19.0,0.53,0.32,11.0,33.88,39.58,53092.15,0.45,232.0,0.03,2949.56,0.58,18.0,51.0,95.0,30.0,25.0,0.0,N
1.0,13.0,7.0,0.41,0.86,6.0,44.6,12.75,7250.82,0.19,110.0,0.08,402.82,0.86,6.0,19.0,51.0,24.0,12.0,0.0,N
4.0,21.0,11.0,0.38,0.27,5.0,26.43,34.72,31867.04,0.31,161.0,0.03,1770.39,0.45,10.0,30.0,75.0,27.0,25.0,3.33,N
1.0,17.0,9.0,0.47,0.11,9.0,19.04,26.67,13541.31,0.17,99.0,0.04,752.29,1.0,8.0,22.0,40.0,15.0,20.0,0.0,N
4.0,15.0,8.0,0.38,0.25,4.0,15.74,26.13,10742.56,0.14,83.0,0.04,596.81,0.5,7.0,26.0,33.0,12.0,19.0,9.09,N
4.0,15.0,8.0,0.38,0.25,4.0,15.74,26.13,10742.56,0.14,83.0,0.04,596.81,0.5,7.0,26.0,33.0,12.0,19.0,9.09,N
26.0,7.0,4.0,0.1,0.25,1.0,98.24,22.84,51227.3,0.75,350.0,0.04,2845.96,0.25,3.0,27.0,170.0,67.0,18.0,29.09,Y
32.0,29.0,15.0,0.43,0.27,1.0,63.05,32.2,65351.13,0.68,348.0,0.03,3630.62,0.07,15.0,51.0,165.0,41.0,16.0,35.56,N
17.0,11.0,6.0,0.27,0.5,6.0,36.66,13.45,6637.2,0.16,94.0,0.07,368.73,1.0,5.0,14.0,37.0,22.0,16.0,37.93,Y
21.0,13.0,7.0,0.23,0.57,1.0,55.22,19.68,21394.68,0.36,188.0,0.05,1188.59,0.14,6.0,22.0,88.0,38.0,17.0,28.95,Y
9.0,3.0,2.0,0.1,1.0,1.0,52.01,14.66,11171.75,0.25,138.0,0.07,620.65,0.5,1.0,12.0,67.0,32.0,14.0,13.04,Y
16.0,11.0,6.0,0.33,0.5,1.0,37.77,12.29,5701.61,0.15,92.0,0.08,316.76,0.17,5.0,17.0,43.0,21.0,12.0,40.0,N
20.0,15.0,8.0,0.27,0.75,1.0,55.87,16.21,14703.33,0.3,159.0,0.06,816.85,0.13,7.0,23.0,73.0,36.0,16.0,45.45,N
15.0,13.0,7.0,0.28,0.57,4.0,47.71,15.97,12167.64,0.25,135.0,0.06,675.98,0.57,6.0,20.0,62.0,33.0,17.0,41.67,Y
16.0,7.0,4.0,0.31,0.25,1.0,24.0,22.5,12150.0,0.18,108.0,0.04,675.0,0.25,3.0,14.0,51.0,17.0,15.0,40.91,N
5.0,3.0,2.0,0.5,0.5,1.0,11.42,6.67,507.65,0.03,20.0,0.15,28.2,0.5,1.0,6.0,10.0,6.0,8.0,0.0,N
5.0,5.0,3.0,0.43,0.33,1.0,7.53,10.0,752.84,0.03,21.0,0.1,41.82,0.33,2.0,8.0,10.0,4.0,8.0,0.0,N
16.0,13.0,7.0,0.29,0.57,4.0,47.71,15.97,12167.64,0.25,135.0,0.06,675.98,0.57,6.0,19.0,62.0,33.0,17.0,42.86,Y
19.0,11.0,6.0,0.25,0.5,1.0,32.36,31.53,32175.94,0.34,179.0,0.03,1787.55,0.17,5.0,25.0,86.0,30.0,22.0,53.49,N
18.0,13.0,7.0,0.39,0.29,4.0,33.36,14.26,6783.7,0.16,90.0,0.07,376.87,0.57,6.0,18.0,41.0,23.0,16.0,51.72,Y
22.0,23.0,12.0,0.44,0.5,4.0,50.37,18.03,16367.05,0.3,155.0,0.06,909.28,0.33,11.0,32.0,74.0,39.0,19.0,50.0,Y
12.0,3.0,2.0,0.2,1.0,1.0,33.92,9.38,2981.4,0.11,62.0,0.11,165.63,0.5,1.0,10.0,25.0,20.0,15.0,62.5,N
6.0,3.0,2.0,0.4,1.0,1.0,28.99,5.54,889.14,0.05,36.0,0.18,49.4,0.5,1.0,7.0,16.0,13.0,9.0,61.54,N
20.0,11.0,6.0,0.32,0.83,1.0,55.47,8.07,3611.37,0.15,83.0,0.12,200.63,0.17,5.0,20.0,36.0,29.0,13.0,58.33,Y
11.0,5.0,3.0,0.25,0.67,1.0,18.53,11.67,2522.57,0.07,46.0,0.09,140.14,0.33,3.0,9.0,20.0,12.0,14.0,50.0,N
4.0,3.0,2.0,0.33,1.0,1.0,23.63,6.0,850.66,0.05,34.0,0.17,47.26,0.5,1.0,7.0,15.0,10.0,8.0,0.0,N
1.0,7.0,4.0,0.4,0.25,1.0,8.55,23.4,4683.66,0.07,48.0,0.04,260.2,0.25,3.0,14.0,18.0,5.0,13.0,0.0,N
2.0,3.0,2.0,0.13,1.0,1.0,25.27,11.39,3280.22,0.1,62.0,0.09,182.23,0.5,1.0,8.0,29.0,14.0,11.0,0.0,N
1.0,3.0,2.0,0.17,0.5,1.0,19.12,6.0,688.28,0.04,31.0,0.17,38.24,0.5,1.0,6.0,14.0,7.0,6.0,8.33,N
1.0,3.0,2.0,0.18,1.0,1.0,22.15,6.4,907.38,0.05,34.0,0.16,50.41,0.5,1.0,8.0,16.0,10.0,8.0,0.0,N
1.0,3.0,2.0,0.2,1.0,1.0,38.09,6.5,1609.32,0.08,54.0,0.15,89.41,0.5,1.0,7.0,26.0,16.0,8.0,0.0,N
1.0,13.0,7.0,0.33,0.43,6.0,20.0,16.25,5282.39,0.11,70.0,0.06,293.47,0.86,6.0,23.0,30.0,12.0,13.0,0.0,N
7.0,5.0,3.0,0.15,0.33,1.0,27.46,13.36,4903.83,0.12,88.0,0.07,272.44,0.33,2.0,10.0,42.0,11.0,7.0,15.0,N
1.0,3.0,2.0,0.29,0.5,1.0,8.22,9.0,666.08,0.02,20.0,0.11,37.0,0.5,1.0,6.0,8.0,4.0,9.0,0.0,N
2.0,3.0,2.0,0.25,1.0,1.0,11.6,10.0,1160.0,0.04,29.0,0.1,64.44,0.5,1.0,7.0,12.0,6.0,10.0,0.0,N
1.0,3.0,2.0,0.15,0.5,1.0,26.51,7.13,1345.7,0.06,43.0,0.14,74.76,0.5,1.0,7.0,19.0,12.0,9.0,0.0,N
4.0,3.0,2.0,0.33,0.5,1.0,14.8,8.56,1083.64,0.04,28.0,0.12,60.2,0.5,1.0,5.0,11.0,9.0,14.0,0.0,N
6.0,9.0,5.0,0.18,0.8,3.0,21.3,21.76,10091.02,0.15,89.0,0.05,560.61,0.6,4.0,16.0,37.0,17.0,20.0,0.0,N
1.0,5.0,3.0,0.43,0.33,1.0,11.62,9.75,1104.67,0.04,29.0,0.1,61.37,0.33,2.0,9.0,13.0,6.0,9.0,0.0,N
39.0,8.0,6.0,0.14,1.0,1.0,44.55,25.33,28593.41,0.38,198.0,0.04,1588.52,0.17,1.0,19.0,88.0,33.0,19.0,48.65,Y
40.0,33.0,17.0,0.31,0.65,17.0,56.67,17.49,17327.12,0.33,173.0,0.06,962.62,1.0,16.0,34.0,68.0,35.0,18.0,36.36,N
28.0,9.0,5.0,0.14,1.0,1.0,99.95,11.96,14297.65,0.4,200.0,0.08,794.31,0.2,4.0,20.0,92.0,50.0,13.0,46.67,Y
17.0,3.0,2.0,0.11,1.0,1.0,24.8,12.19,3683.14,0.1,61.0,0.08,204.62,0.5,1.0,7.0,26.0,16.0,15.0,62.79,Y
29.0,15.0,9.0,0.23,0.67,5.0,39.96,20.3,16466.48,0.27,143.0,0.05,914.8,0.56,4.0,24.0,58.0,30.0,21.0,32.68,N
10.0,3.0,2.0,0.1,0.5,1.0,54.15,14.62,11582.56,0.26,157.0,0.07,643.48,0.5,1.0,8.0,78.0,24.0,9.0,44.12,Y
15.0,5.0,3.0,0.17,0.67,1.0,38.86,14.28,7924.93,0.18,105.0,0.07,440.27,0.33,2.0,12.0,51.0,25.0,14.0,61.54,N
18.0,7.0,4.0,0.17,0.5,3.0,42.56,14.44,8879.35,0.2,114.0,0.07,493.3,0.75,3.0,10.0,52.0,27.0,15.0,62.0,N
22.0,9.0,5.0,0.14,1.0,1.0,36.37,18.27,12140.16,0.22,121.0,0.05,674.45,0.2,2.0,19.0,50.0,26.0,19.0,48.15,N
15.0,9.0,5.0,0.21,0.8,4.0,33.28,15.94,8459.67,0.18,95.0,0.06,469.98,0.8,4.0,16.0,41.0,27.0,21.0,68.85,Y
14.0,5.0,3.0,0.18,0.67,3.0,34.91,12.87,5781.77,0.15,85.0,0.08,321.21,1.0,2.0,11.0,37.0,23.0,16.0,63.89,Y
60.0,3.0,2.0,0.06,1.0,1.0,74.64,13.81,14241.04,0.34,180.0,0.07,791.17,0.5,1.0,14.0,85.0,40.0,13.0,64.62,Y
33.0,16.0,10.0,0.22,0.8,5.0,48.11,16.19,12617.28,0.26,133.0,0.06,700.96,0.5,5.0,25.0,53.0,36.0,22.0,51.47,N
30.0,21.0,11.0,0.21,0.45,7.0,58.55,21.92,28134.83,0.43,222.0,0.05,1563.05,0.64,10.0,40.0,98.0,38.0,17.0,42.5,Y
3.0,7.0,4.0,0.16,0.75,1.0,38.31,13.54,7020.93,0.17,95.0,0.07,390.05,0.25,3.0,11.0,43.0,27.0,17.0,25.0,Y
13.0,7.0,4.0,0.27,1.0,1.0,29.18,7.86,1801.24,0.08,50.0,0.13,100.07,0.25,3.0,12.0,22.0,14.0,10.0,50.0,Y
11.0,23.0,12.0,0.18,0.25,11.0,80.39,13.95,15650.31,0.37,183.0,0.07,869.46,0.92,11.0,31.0,87.0,53.0,17.0,24.71,Y
15.0,45.0,23.0,0.37,0.3,19.0,65.12,36.85,88450.77,0.8,389.0,0.03,4913.93,0.83,22.0,43.0,179.0,51.0,21.0,49.54,Y
13.0,5.0,3.0,0.23,0.67,1.0,23.64,9.31,2048.42,0.07,48.0,0.11,113.8,0.33,2.0,9.0,22.0,13.0,11.0,87.27,Y
4.0,5.0,3.0,0.25,0.67,3.0,27.43,7.86,1693.16,0.07,47.0,0.13,94.06,1.0,2.0,10.0,22.0,14.0,10.0,0.0,N
3.0,3.0,2.0,0.33,0.5,1.0,13.83,11.25,1750.38,0.05,36.0,0.09,97.24,0.5,1.0,6.0,15.0,8.0,12.0,0.0,N
3.0,5.0,3.0,0.17,0.67,3.0,26.3,10.45,2872.09,0.09,52.0,0.1,159.56,1.0,1.0,8.0,22.0,20.0,19.0,11.11,N
7.0,31.0,16.0,0.46,0.38,11.0,33.74,35.21,41834.57,0.4,198.0,0.03,2324.14,0.69,15.0,54.0,85.0,35.0,29.0,40.43,N
2.0,5.0,3.0,0.38,0.67,1.0,12.1,13.93,2347.73,0.06,39.0,0.07,130.43,0.33,2.0,8.0,15.0,7.0,13.0,0.0,N
15.0,15.0,8.0,0.04,0.13,1.0,175.59,53.22,497406.05,3.12,1309.0,0.02,27633.67,0.13,7.0,51.0,644.0,121.0,20.0,20.83,N
14.0,9.0,5.0,0.33,0.4,3.0,22.72,18.75,7988.64,0.14,86.0,0.05,443.81,0.6,4.0,14.0,40.0,16.0,15.0,52.0,N
6.0,3.0,2.0,0.25,1.0,1.0,22.46,9.0,1819.07,0.07,43.0,0.11,101.06,0.5,1.0,7.0,18.0,13.0,13.0,25.0,N
6.0,3.0,2.0,0.25,1.0,1.0,22.46,9.0,1819.07,0.07,43.0,0.11,101.06,0.5,1.0,7.0,18.0,13.0,13.0,25.0,N
7.0,3.0,2.0,0.33,1.0,1.0,20.84,3.94,323.05,0.03,21.0,0.25,17.95,0.5,1.0,6.0,9.0,8.0,7.0,58.33,N
36.0,25.0,13.0,0.23,0.62,6.0,75.71,19.73,29480.66,0.5,237.0,0.05,1637.81,0.46,12.0,39.0,109.0,58.0,21.0,45.0,Y
17.0,9.0,5.0,0.22,0.8,1.0,37.97,14.77,8282.6,0.19,104.0,0.07,460.14,0.2,4.0,17.0,48.0,26.0,16.0,45.45,N
1.0,19.0,10.0,0.21,0.1,8.0,31.42,46.06,66661.35,0.48,246.0,0.02,3703.41,0.8,9.0,32.0,102.0,31.0,28.0,35.42,N
1.0,5.0,3.0,0.27,0.33,1.0,13.96,11.67,1899.9,0.05,36.0,0.09,105.55,0.33,2.0,9.0,15.0,9.0,14.0,9.09,N
1.0,15.0,8.0,0.28,0.75,6.0,25.81,30.07,23331.58,0.26,143.0,0.03,1296.2,0.75,7.0,26.0,63.0,22.0,21.0,0.0,N
2.0,13.0,7.0,0.54,1.0,4.0,14.04,29.36,12103.07,0.14,84.0,0.03,672.39,0.57,6.0,24.0,34.0,11.0,19.0,0.0,N
3.0,3.0,2.0,0.08,1.0,1.0,30.78,18.0,9971.33,0.18,108.0,0.06,553.96,0.5,1.0,13.0,48.0,20.0,15.0,0.0,N
3.0,17.0,10.0,0.23,1.0,1.0,38.43,28.04,30219.56,0.36,181.0,0.04,1678.86,0.1,6.0,36.0,83.0,37.0,25.0,0.0,N
2.0,9.0,5.0,0.25,1.0,4.0,23.94,16.5,6517.5,0.13,79.0,0.06,362.08,0.8,4.0,15.0,33.0,16.0,16.0,0.0,N
1.0,5.0,3.0,0.3,1.0,1.0,14.62,9.17,1228.15,0.04,31.0,0.11,68.23,0.33,2.0,11.0,15.0,9.0,11.0,0.0,N
5.0,33.0,17.0,0.52,0.59,10.0,90.42,13.0,15281.13,0.39,199.0,0.08,848.95,0.59,16.0,62.0,94.0,47.0,13.0,0.0,N
1.0,5.0,3.0,0.33,1.0,1.0,24.0,4.67,522.66,0.04,28.0,0.21,29.04,0.33,2.0,10.0,12.0,9.0,7.0,0.0,N
4.0,53.0,27.0,0.44,0.85,19.0,88.96,33.0,96874.9,0.98,450.0,0.03,5381.94,0.7,26.0,99.0,210.0,70.0,22.0,0.0,N
1.0,41.0,21.0,0.38,0.95,1.0,95.28,25.67,62771.57,0.82,374.0,0.04,3487.31,0.05,20.0,90.0,176.0,72.0,21.0,0.0,N
3.0,19.0,10.0,0.33,1.0,5.0,43.84,22.75,22691.4,0.33,171.0,0.04,1260.63,0.5,9.0,39.0,78.0,36.0,21.0,0.0,N
12.0,55.0,34.0,0.38,0.44,17.0,69.02,44.68,137758.8,1.03,448.0,0.02,7653.27,0.5,17.0,89.0,181.0,79.0,39.0,2.25,N
3.0,37.0,20.0,0.41,0.35,12.0,25.89,66.86,115710.92,0.58,293.0,0.01,6428.38,0.6,16.0,54.0,117.0,28.0,32.0,3.92,N
4.0,21.0,11.0,0.52,0.55,1.0,24.3,27.0,17711.76,0.22,125.0,0.04,983.99,0.09,10.0,34.0,60.0,20.0,18.0,0.0,N
5.0,67.0,34.0,0.37,0.88,17.0,179.17,21.38,81861.96,1.28,548.0,0.05,4547.89,0.5,33.0,121.0,243.0,108.0,19.0,2.17,N
1.0,25.0,14.0,0.31,0.57,6.0,57.83,26.49,40578.75,0.51,243.0,0.04,2254.37,0.43,10.0,43.0,108.0,53.0,26.0,0.0,N
9.0,59.0,34.0,0.39,0.65,15.0,71.79,42.0,126638.31,1.01,450.0,0.02,7035.46,0.44,21.0,101.0,189.0,72.0,32.0,1.12,N
3.0,19.0,10.0,0.22,0.8,3.0,48.13,38.75,72273.89,0.62,291.0,0.03,4015.22,0.3,9.0,54.0,135.0,54.0,31.0,0.0,N
6.0,45.0,23.0,0.32,0.83,19.0,63.43,34.98,77622.82,0.74,350.0,0.03,4312.38,0.83,22.0,87.0,148.0,55.0,26.0,2.82,N
3.0,11.0,7.0,0.3,0.57,4.0,29.43,18.57,10146.96,0.18,102.0,0.05,563.72,0.57,3.0,20.0,43.0,22.0,19.0,0.0,N
10.0,49.0,25.0,0.17,0.88,19.0,135.53,37.53,190890.99,1.7,729.0,0.03,10605.06,0.76,24.0,112.0,319.0,102.0,24.0,2.07,N
3.0,7.0,4.0,0.27,0.25,1.0,28.72,9.38,2523.86,0.09,56.0,0.11,140.21,0.25,3.0,14.0,25.0,16.0,12.0,22.22,N
7.0,5.0,3.0,0.13,0.67,1.0,48.79,19.21,18005.58,0.31,160.0,0.05,1000.31,0.33,2.0,12.0,73.0,38.0,20.0,34.48,N
5.0,33.0,17.0,0.27,0.41,9.0,95.6,21.1,42542.23,0.67,313.0,0.05,2363.46,0.53,16.0,54.0,151.0,68.0,19.0,17.39,Y
3.0,5.0,3.0,0.3,0.33,1.0,9.15,16.25,2416.01,0.05,35.0,0.06,134.22,0.33,2.0,9.0,15.0,6.0,13.0,0.0,N
14.0,11.0,6.0,0.14,0.5,1.0,41.91,27.61,31948.87,0.39,204.0,0.04,1774.94,0.17,5.0,24.0,93.0,32.0,19.0,31.03,N
53.0,21.0,11.0,0.13,0.73,4.0,132.29,22.53,67179.31,0.99,444.0,0.04,3732.18,0.36,10.0,43.0,204.0,86.0,19.0,31.78,Y
14.0,11.0,6.0,0.19,0.67,5.0,25.75,23.98,14801.55,0.21,116.0,0.04,822.31,0.83,5.0,21.0,53.0,21.0,19.0,44.0,N
19.0,11.0,6.0,0.19,0.67,5.0,25.75,23.98,14801.55,0.21,116.0,0.04,822.31,0.83,5.0,21.0,53.0,21.0,19.0,48.08,N
24.0,37.0,19.0,0.16,0.53,9.0,182.27,15.56,44121.9,0.95,419.0,0.06,2451.22,0.47,18.0,53.0,195.0,94.0,15.0,35.22,N
19.0,11.0,6.0,0.19,0.67,5.0,27.15,22.89,14223.33,0.21,116.0,0.04,790.18,0.83,5.0,21.0,53.0,22.0,19.0,48.0,N
