@relation SelectedFeatures
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUMBER_OF_LINES numeric
@attribute Defective {Y,N}

@data
3.0,6.0,10.0,0.0,4.0,2.0,2.0,2.0,2.0,10.0,1.0,0.0,2.0,7.0,0.12,348.29,1.0,2.0,10.0,17.0,N
3.0,6.0,10.0,0.0,4.0,2.0,2.0,2.0,2.0,10.0,1.0,0.0,2.0,8.0,0.12,371.33,1.0,2.0,10.0,18.0,N
5.0,6.0,12.0,0.0,8.0,3.0,4.0,2.0,2.0,17.0,1.0,0.0,1.0,4.0,0.13,380.39,2.0,4.0,16.0,18.0,N
3.0,3.0,9.0,0.0,4.0,2.0,2.0,2.0,2.0,9.0,1.0,0.0,2.0,2.0,0.07,208.5,1.0,2.0,9.0,14.0,N
3.0,3.0,9.0,0.0,4.0,2.0,2.0,2.0,2.0,9.0,1.0,0.0,2.0,3.0,0.08,246.38,1.0,2.0,9.0,14.0,N
5.0,2.0,3.0,0.0,8.0,3.0,4.0,2.0,2.0,12.0,1.0,0.0,1.0,2.0,0.03,102.19,2.0,4.0,11.0,6.0,N
5.0,2.0,3.0,0.0,8.0,3.0,4.0,2.0,2.0,12.0,1.0,0.0,1.0,3.0,0.04,112.59,2.0,4.0,11.0,7.0,N
3.0,2.0,7.0,0.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,2.0,3.0,0.04,117.21,1.0,2.0,6.0,12.0,N
3.0,3.0,7.0,0.0,4.0,2.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,4.0,0.04,132.83,1.0,2.0,7.0,12.0,N
5.0,4.0,18.0,1.0,8.0,3.0,4.0,2.0,2.0,14.0,1.0,0.0,3.0,5.0,0.11,323.33,2.0,4.0,13.0,26.0,N
5.0,3.0,18.0,1.0,8.0,3.0,4.0,2.0,2.0,13.0,1.0,0.0,3.0,4.0,0.1,313.82,2.0,4.0,12.0,26.0,N
5.0,1.0,14.0,1.0,8.0,3.0,4.0,2.0,2.0,11.0,1.0,0.0,3.0,5.0,0.08,226.18,2.0,4.0,10.0,23.0,N
5.0,0.0,14.0,1.0,8.0,3.0,4.0,2.0,1.0,10.0,1.0,0.0,3.0,4.0,0.07,210.83,2.0,4.0,9.0,22.0,N
5.0,1.0,8.0,0.0,8.0,3.0,4.0,2.0,2.0,10.0,3.0,1.0,2.0,5.0,0.06,183.4,2.0,4.0,9.0,13.0,N
5.0,1.0,7.0,0.0,8.0,3.0,4.0,2.0,2.0,10.0,3.0,1.0,2.0,4.0,0.06,171.9,2.0,4.0,9.0,12.0,N
11.0,0.0,13.0,0.0,20.0,6.0,10.0,2.0,1.0,20.0,1.0,0.0,1.0,3.0,0.04,117.0,5.0,10.0,16.0,16.0,N
11.0,1.0,13.0,0.0,20.0,6.0,10.0,2.0,4.0,25.0,1.0,0.0,1.0,4.0,0.05,162.77,5.0,10.0,21.0,16.0,N
9.0,10.0,35.0,0.0,14.0,5.0,6.0,2.33,4.0,30.0,3.0,0.0,6.0,8.0,0.35,1051.8,4.0,7.0,27.0,46.0,N
9.0,10.0,35.0,0.0,14.0,5.0,6.0,2.33,4.0,30.0,3.0,0.0,6.0,9.0,0.37,1122.93,4.0,7.0,27.0,46.0,N
13.0,1.0,16.0,0.0,24.0,7.0,12.0,2.0,5.0,25.0,7.0,1.0,4.0,5.0,0.13,404.09,6.0,12.0,20.0,26.0,N
13.0,2.0,16.0,0.0,24.0,7.0,12.0,2.0,7.0,26.0,7.0,1.0,4.0,6.0,0.14,412.88,6.0,12.0,21.0,27.0,N
3.0,2.0,8.0,2.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,2.0,4.0,0.09,272.28,1.0,2.0,8.0,16.0,N
3.0,2.0,8.0,2.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,2.0,5.0,0.1,294.29,1.0,2.0,8.0,17.0,N
3.0,2.0,10.0,2.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,2.0,5.0,0.07,208.15,1.0,2.0,8.0,18.0,N
3.0,2.0,10.0,2.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,2.0,6.0,0.08,237.71,1.0,2.0,8.0,18.0,N
11.0,8.0,29.0,0.0,18.0,6.0,8.0,2.25,4.0,31.0,3.0,0.0,4.0,5.0,0.28,838.72,5.0,9.0,27.0,38.0,N
11.0,9.0,29.0,0.0,18.0,6.0,8.0,2.25,5.0,32.0,3.0,0.0,4.0,6.0,0.3,890.82,5.0,9.0,28.0,38.0,N
5.0,3.0,10.0,0.0,8.0,3.0,4.0,2.0,2.0,12.0,1.0,0.0,2.0,4.0,0.09,255.41,2.0,4.0,11.0,15.0,N
5.0,3.0,10.0,0.0,8.0,3.0,4.0,2.0,2.0,12.0,1.0,0.0,2.0,5.0,0.1,286.73,2.0,4.0,11.0,15.0,N
5.0,4.0,5.0,0.0,8.0,3.0,4.0,2.0,2.0,13.0,1.0,0.0,1.0,4.0,0.06,171.67,2.0,4.0,12.0,9.0,N
5.0,5.0,5.0,0.0,8.0,3.0,4.0,2.0,3.0,14.0,1.0,0.0,1.0,5.0,0.07,208.5,2.0,4.0,13.0,9.0,N
11.0,4.0,14.0,0.0,18.0,6.0,8.0,2.25,4.0,22.0,4.0,0.0,2.0,7.0,0.13,380.74,5.0,9.0,18.0,22.0,N
11.0,3.0,14.0,0.0,18.0,6.0,8.0,2.25,3.0,21.0,4.0,0.0,2.0,6.0,0.11,343.13,5.0,9.0,17.0,22.0,N
5.0,0.0,7.0,0.0,6.0,3.0,2.0,3.0,1.0,8.0,3.0,1.0,2.0,4.0,0.08,225.14,2.0,3.0,7.0,12.0,N
5.0,1.0,7.0,0.0,6.0,3.0,2.0,3.0,2.0,9.0,3.0,1.0,2.0,5.0,0.08,241.58,2.0,3.0,8.0,12.0,N
5.0,3.0,13.0,0.0,8.0,3.0,4.0,2.0,3.0,11.0,1.0,0.0,4.0,3.0,0.1,307.19,2.0,4.0,10.0,20.0,N
5.0,3.0,13.0,0.0,8.0,3.0,4.0,2.0,3.0,11.0,1.0,0.0,4.0,4.0,0.12,348.29,2.0,4.0,10.0,20.0,N
5.0,2.0,3.0,0.0,8.0,3.0,4.0,2.0,2.0,12.0,1.0,0.0,1.0,3.0,0.05,135.93,2.0,4.0,11.0,7.0,N
7.0,1.0,5.0,0.0,10.0,4.0,4.0,2.5,2.0,11.0,4.0,1.0,1.0,2.0,0.03,82.04,3.0,5.0,9.0,9.0,N
3.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,2.0,0.01,44.97,1.0,2.0,6.0,5.0,N
7.0,1.0,9.0,0.0,12.0,4.0,6.0,2.0,2.0,17.0,3.0,0.0,3.0,4.0,0.04,132.83,3.0,6.0,15.0,15.0,N
3.0,3.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,1.0,4.0,0.04,121.11,1.0,2.0,8.0,9.0,N
7.0,4.0,16.0,0.0,10.0,4.0,4.0,2.5,3.0,16.0,3.0,0.0,4.0,7.0,0.13,387.97,3.0,5.0,14.0,27.0,N
5.0,0.0,12.0,0.0,8.0,3.0,4.0,2.0,1.0,10.0,1.0,0.0,2.0,5.0,0.07,208.15,2.0,4.0,9.0,17.0,N
11.0,3.0,19.0,3.0,20.0,6.0,10.0,2.0,2.0,25.0,5.0,0.0,3.0,7.0,0.14,425.0,5.0,10.0,21.0,29.0,N
11.0,2.0,19.0,3.0,20.0,6.0,10.0,2.0,1.0,24.0,5.0,0.0,3.0,6.0,0.13,402.37,5.0,10.0,20.0,29.0,N
13.0,2.0,20.0,4.0,22.0,7.0,10.0,2.2,1.0,23.0,7.0,1.0,3.0,5.0,0.13,395.0,6.0,11.0,18.0,30.0,N
13.0,3.0,20.0,4.0,22.0,7.0,10.0,2.2,2.0,24.0,7.0,1.0,3.0,6.0,0.14,417.17,6.0,11.0,19.0,31.0,N
3.0,5.0,10.0,0.0,4.0,2.0,2.0,2.0,2.0,9.0,1.0,0.0,1.0,5.0,0.08,254.19,1.0,2.0,9.0,16.0,N
15.0,7.0,38.0,0.0,26.0,8.0,12.0,2.17,4.0,37.0,4.0,0.0,7.0,8.0,0.33,980.43,7.0,13.0,31.0,52.0,N
3.0,5.0,6.0,1.0,4.0,2.0,2.0,2.0,2.0,10.0,1.0,0.0,1.0,4.0,0.06,170.97,1.0,2.0,10.0,13.0,N
3.0,6.0,9.0,0.0,4.0,2.0,2.0,2.0,2.0,10.0,1.0,0.0,2.0,4.0,0.1,285.4,1.0,2.0,10.0,15.0,N
3.0,6.0,9.0,0.0,4.0,2.0,2.0,2.0,2.0,10.0,1.0,0.0,2.0,5.0,0.1,307.6,1.0,2.0,10.0,15.0,N
3.0,3.0,12.0,0.0,4.0,2.0,2.0,2.0,2.0,9.0,1.0,0.0,3.0,5.0,0.15,453.91,1.0,2.0,9.0,19.0,N
3.0,3.0,14.0,0.0,4.0,2.0,2.0,2.0,2.0,9.0,1.0,0.0,3.0,6.0,0.17,506.18,1.0,2.0,9.0,21.0,N
3.0,1.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,1.0,3.0,0.02,57.36,1.0,2.0,8.0,6.0,N
3.0,1.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,1.0,4.0,0.02,66.61,1.0,2.0,8.0,7.0,N
3.0,0.0,7.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,2.0,2.0,0.03,89.69,1.0,2.0,6.0,11.0,N
3.0,1.0,7.0,0.0,4.0,2.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,3.0,0.03,103.96,1.0,2.0,7.0,11.0,N
9.0,1.0,8.0,0.0,16.0,5.0,8.0,2.0,2.0,18.0,3.0,0.0,2.0,3.0,0.06,170.97,4.0,8.0,15.0,14.0,N
9.0,2.0,8.0,0.0,16.0,5.0,8.0,2.0,5.0,20.0,3.0,0.0,2.0,4.0,0.06,191.16,4.0,8.0,17.0,14.0,N
5.0,0.0,4.0,0.0,8.0,3.0,4.0,2.0,1.0,8.0,1.0,0.0,1.0,3.0,0.03,103.96,2.0,4.0,7.0,8.0,N
5.0,1.0,4.0,0.0,8.0,3.0,4.0,2.0,2.0,9.0,1.0,0.0,1.0,4.0,0.04,128.0,2.0,4.0,8.0,10.0,N
5.0,1.0,9.0,0.0,8.0,3.0,4.0,2.0,2.0,9.0,1.0,0.0,3.0,5.0,0.05,155.32,2.0,4.0,8.0,16.0,N
5.0,0.0,9.0,0.0,8.0,3.0,4.0,2.0,1.0,8.0,1.0,0.0,3.0,4.0,0.04,129.52,2.0,4.0,7.0,15.0,N
5.0,4.0,17.0,1.0,8.0,3.0,4.0,2.0,2.0,14.0,1.0,0.0,3.0,5.0,0.11,323.33,2.0,4.0,13.0,25.0,N
5.0,3.0,18.0,1.0,8.0,3.0,4.0,2.0,2.0,13.0,1.0,0.0,3.0,4.0,0.1,313.82,2.0,4.0,12.0,26.0,N
5.0,1.0,13.0,1.0,8.0,3.0,4.0,2.0,2.0,11.0,1.0,0.0,3.0,5.0,0.08,226.18,2.0,4.0,10.0,22.0,N
5.0,0.0,14.0,1.0,8.0,3.0,4.0,2.0,1.0,10.0,1.0,0.0,3.0,4.0,0.07,210.83,2.0,4.0,9.0,22.0,N
3.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,1.0,1.0,0.01,30.0,1.0,2.0,6.0,4.0,N
5.0,4.0,3.0,0.0,8.0,3.0,4.0,2.0,3.0,13.0,1.0,0.0,1.0,1.0,0.04,120.0,2.0,4.0,12.0,6.0,N
7.0,0.0,7.0,0.0,12.0,4.0,6.0,2.0,1.0,13.0,4.0,1.0,2.0,2.0,0.04,114.71,3.0,6.0,11.0,11.0,N
7.0,1.0,7.0,0.0,12.0,4.0,6.0,2.0,2.0,14.0,4.0,1.0,2.0,3.0,0.04,132.0,3.0,6.0,12.0,12.0,N
3.0,2.0,6.0,4.0,4.0,2.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,2.0,0.04,121.01,1.0,2.0,7.0,14.0,N
3.0,2.0,6.0,4.0,4.0,2.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,2.0,0.04,121.01,1.0,2.0,7.0,14.0,N
5.0,7.0,5.0,6.0,8.0,3.0,4.0,2.0,3.0,17.0,1.0,0.0,1.0,3.0,0.1,285.29,2.0,4.0,16.0,17.0,N
3.0,4.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,9.0,1.0,0.0,1.0,1.0,0.03,75.28,1.0,2.0,9.0,5.0,N
3.0,5.0,3.0,0.0,4.0,2.0,2.0,2.0,2.0,10.0,1.0,0.0,1.0,3.0,0.05,162.52,1.0,2.0,10.0,9.0,N
3.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,0.02,70.32,1.0,2.0,6.0,5.0,N
3.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,0.02,70.32,1.0,2.0,6.0,5.0,N
3.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,1.0,1.0,0.03,91.38,1.0,2.0,8.0,5.0,N
5.0,7.0,6.0,2.0,8.0,3.0,4.0,2.0,2.0,16.0,1.0,0.0,1.0,4.0,0.1,302.21,2.0,4.0,15.0,15.0,N
3.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,9.0,1.0,0.0,1.0,2.0,0.06,171.3,1.0,2.0,9.0,12.0,N
3.0,4.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,10.0,1.0,0.0,1.0,3.0,0.04,120.93,1.0,2.0,10.0,9.0,N
3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,1.0,3.0,0.05,155.59,1.0,2.0,8.0,12.0,N
5.0,4.0,4.0,2.0,8.0,3.0,4.0,2.0,3.0,12.0,1.0,0.0,1.0,3.0,0.06,178.81,2.0,4.0,11.0,12.0,N
3.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,11.0,1.0,0.0,1.0,0.0,0.01,44.38,1.0,2.0,11.0,8.0,N
5.0,7.0,3.0,2.0,6.0,3.0,2.0,3.0,3.0,14.0,3.0,1.0,1.0,1.0,0.02,74.01,2.0,3.0,13.0,8.0,N
1.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.01,28.53,1.0,2.0,3.0,5.0,N
3.0,1.0,2.0,0.0,6.0,2.0,2.0,3.0,1.0,6.0,1.0,0.0,1.0,3.0,0.03,80.0,2.0,3.0,6.0,6.0,N
3.0,2.0,2.0,0.0,6.0,2.0,2.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,0.03,89.86,2.0,3.0,6.0,6.0,N
5.0,6.0,6.0,0.0,6.0,3.0,2.0,3.0,3.0,14.0,3.0,1.0,2.0,1.0,0.06,185.84,2.0,3.0,13.0,10.0,N
7.0,5.0,8.0,4.0,12.0,4.0,6.0,2.0,2.0,19.0,1.0,0.0,1.0,3.0,0.1,300.0,3.0,6.0,17.0,18.0,N
17.0,2.0,34.0,0.0,32.0,9.0,16.0,2.0,3.0,36.0,3.0,0.0,6.0,3.0,0.19,569.2,8.0,16.0,29.0,44.0,N
3.0,4.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,9.0,1.0,0.0,1.0,3.0,0.05,151.62,1.0,2.0,9.0,9.0,N
3.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,3.0,0.02,55.35,1.0,2.0,5.0,6.0,N
3.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,3.0,0.02,55.35,1.0,2.0,5.0,7.0,N
5.0,0.0,2.0,0.0,8.0,3.0,4.0,2.0,1.0,8.0,1.0,0.0,1.0,4.0,0.02,50.19,2.0,4.0,7.0,5.0,N
5.0,1.0,2.0,0.0,8.0,3.0,4.0,2.0,2.0,9.0,1.0,0.0,1.0,4.0,0.02,50.19,2.0,4.0,8.0,6.0,N
3.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,1.0,0.0,0.01,36.54,1.0,2.0,7.0,4.0,N
3.0,1.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,2.0,2.0,0.01,41.21,1.0,2.0,6.0,8.0,N
3.0,0.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,1.0,0.02,64.73,1.0,2.0,5.0,6.0,N
3.0,2.0,1.0,0.0,4.0,2.0,2.0,2.0,2.0,7.0,1.0,0.0,1.0,0.0,0.01,43.19,1.0,2.0,7.0,4.0,N
7.0,2.0,4.0,0.0,12.0,4.0,6.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.05,142.62,3.0,6.0,11.0,7.0,N
3.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,3.0,0.01,36.54,1.0,2.0,5.0,4.0,N
3.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,3.0,0.02,55.51,1.0,2.0,5.0,5.0,N
9.0,3.0,12.0,4.0,16.0,5.0,8.0,2.0,5.0,24.0,5.0,1.0,4.0,2.0,0.08,254.79,4.0,8.0,21.0,24.0,N
13.0,4.0,28.0,1.0,18.0,7.0,6.0,3.0,5.0,37.0,7.0,1.0,5.0,2.0,0.17,507.8,6.0,9.0,32.0,37.0,N
5.0,0.0,3.0,0.0,6.0,3.0,2.0,3.0,1.0,7.0,3.0,1.0,1.0,3.0,0.02,55.35,2.0,3.0,6.0,6.0,N
3.0,1.0,7.0,0.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,2.0,4.0,0.05,144.0,1.0,2.0,8.0,14.0,N
3.0,1.0,7.0,0.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,0.0,2.0,5.0,0.05,163.5,1.0,2.0,8.0,15.0,N
9.0,3.0,12.0,1.0,16.0,5.0,8.0,2.0,5.0,23.0,5.0,1.0,4.0,2.0,0.07,213.62,4.0,8.0,20.0,21.0,N
7.0,3.0,6.0,1.0,12.0,4.0,6.0,2.0,4.0,18.0,4.0,1.0,2.0,2.0,0.05,144.43,3.0,6.0,16.0,13.0,N
5.0,1.0,7.0,0.0,8.0,3.0,4.0,2.0,2.0,10.0,3.0,1.0,2.0,4.0,0.04,108.0,2.0,4.0,9.0,12.0,N
5.0,2.0,7.0,0.0,8.0,3.0,4.0,2.0,2.0,11.0,3.0,1.0,2.0,5.0,0.04,129.27,2.0,4.0,10.0,13.0,N
5.0,1.0,2.0,0.0,6.0,3.0,2.0,3.0,2.0,8.0,3.0,1.0,1.0,3.0,0.02,62.91,2.0,3.0,7.0,5.0,N
11.0,4.0,13.0,2.0,20.0,6.0,10.0,2.0,4.0,29.0,5.0,0.0,4.0,2.0,0.1,285.0,5.0,10.0,25.0,23.0,N
9.0,4.0,7.0,2.0,16.0,5.0,8.0,2.0,5.0,24.0,4.0,0.0,2.0,2.0,0.07,211.52,4.0,8.0,21.0,15.0,N
7.0,4.0,9.0,0.0,12.0,4.0,6.0,2.0,4.0,22.0,4.0,1.0,2.0,2.0,0.07,210.91,3.0,6.0,20.0,14.0,N
7.0,5.0,12.0,0.0,12.0,4.0,6.0,2.0,2.0,27.0,3.0,0.0,3.0,2.0,0.11,343.48,3.0,6.0,25.0,18.0,N
7.0,4.0,9.0,0.0,12.0,4.0,6.0,2.0,4.0,22.0,4.0,1.0,2.0,2.0,0.08,230.32,3.0,6.0,20.0,14.0,N
3.0,2.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,0.0,1.0,1.0,0.02,64.73,1.0,2.0,8.0,6.0,N
3.0,1.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,3.0,0.02,48.43,1.0,2.0,6.0,5.0,N
3.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,3.0,0.01,41.51,1.0,2.0,6.0,4.0,N
3.0,1.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,3.0,0.02,60.92,1.0,2.0,6.0,5.0,N
3.0,1.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,1.0,2.0,0.04,127.44,1.0,2.0,6.0,7.0,N
9.0,5.0,18.0,2.0,16.0,5.0,8.0,2.0,4.0,22.0,4.0,0.0,3.0,3.0,0.09,276.72,4.0,8.0,19.0,25.0,N
5.0,7.0,15.0,8.0,8.0,3.0,4.0,2.0,2.0,19.0,1.0,0.0,2.0,3.0,0.12,358.2,2.0,4.0,18.0,29.0,N
9.0,0.0,9.0,0.0,14.0,5.0,6.0,2.33,1.0,15.0,4.0,0.0,2.0,4.0,0.05,159.41,4.0,7.0,12.0,14.0,N
9.0,1.0,9.0,0.0,14.0,5.0,6.0,2.33,3.0,17.0,4.0,0.0,2.0,5.0,0.06,179.31,4.0,7.0,14.0,14.0,N
5.0,3.0,3.0,0.0,6.0,3.0,2.0,3.0,2.0,9.0,1.0,0.0,1.0,3.0,0.04,105.49,2.0,3.0,8.0,8.0,N
5.0,3.0,3.0,0.0,6.0,3.0,2.0,3.0,2.0,9.0,1.0,0.0,1.0,4.0,0.04,116.0,2.0,3.0,8.0,8.0,N
7.0,6.0,4.0,2.0,10.0,4.0,4.0,2.5,4.0,17.0,3.0,0.0,1.0,4.0,0.09,261.51,3.0,5.0,15.0,13.0,N
8.0,1.0,17.0,0.0,4.0,6.0,2.0,2.0,2.0,16.0,1.0,0.0,2.0,3.0,0.08,247.25,1.0,2.0,12.0,22.0,N
3.0,2.0,1.0,0.0,6.0,2.0,2.0,3.0,2.0,6.0,1.0,0.0,1.0,1.0,0.01,30.0,2.0,3.0,6.0,4.0,N
3.0,0.0,1.0,0.0,6.0,2.0,2.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,0.01,30.0,2.0,3.0,5.0,4.0,N
1.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.01,44.97,1.0,2.0,3.0,4.0,N
7.0,1.0,4.0,0.0,12.0,4.0,6.0,2.0,1.0,14.0,1.0,0.0,1.0,1.0,0.05,135.93,3.0,6.0,12.0,7.0,N
7.0,1.0,4.0,0.0,12.0,4.0,6.0,2.0,1.0,14.0,1.0,0.0,1.0,1.0,0.05,153.73,3.0,6.0,12.0,7.0,N
3.0,0.0,1.0,0.0,6.0,2.0,2.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,0.01,31.7,2.0,3.0,5.0,4.0,N
5.0,1.0,3.0,0.0,8.0,3.0,4.0,2.0,1.0,10.0,1.0,0.0,1.0,1.0,0.03,102.19,2.0,4.0,9.0,6.0,N
3.0,1.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,1.0,1.0,0.04,131.77,1.0,2.0,6.0,5.0,N
