@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_COUNT numeric
@attribute EDGE_COUNT numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUMBER_OF_LINES numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
32.0,57.0,0.0,39.0,86.0,29.0,30.0,89.0,2.0,39.86,1.23,0.03,3676.08,28.0,53.0,62.0,0.16,85.0,178.0,106.0,Y
9.0,11.0,0.0,10.0,20.0,6.0,10.0,24.0,1.0,34.34,0.5,0.03,1505.5,5.0,10.0,20.0,0.11,37.0,53.0,33.0,N
17.0,24.0,1.0,16.0,28.0,14.0,12.0,47.0,2.0,30.58,0.67,0.03,1996.61,8.0,14.0,35.0,0.12,72.0,118.0,84.0,N
225.0,236.0,2.0,40.0,384.0,136.0,188.0,581.0,2.0,105.26,8.65,0.01,25942.69,98.0,192.0,447.0,0.16,538.0,868.0,602.0,Y
19.0,9.0,0.0,2.0,16.0,5.0,8.0,22.0,0.0,23.87,1.18,0.04,3543.26,4.0,8.0,19.0,0.07,106.0,76.0,54.0,N
27.0,17.0,0.0,20.0,28.0,9.0,14.0,47.0,1.0,46.39,2.17,0.02,6498.04,7.0,14.0,40.0,0.07,140.0,132.0,84.0,Y
39.0,40.0,4.0,32.0,40.0,25.0,16.0,81.0,1.0,52.91,1.43,0.02,4282.78,12.0,22.0,58.0,0.14,86.0,179.0,107.0,Y
31.0,24.0,0.0,27.0,20.0,17.0,10.0,56.0,1.0,38.18,0.89,0.03,2680.83,5.0,10.0,41.0,0.11,66.0,152.0,93.0,Y
56.0,36.0,0.0,50.0,40.0,24.0,20.0,93.0,1.0,51.91,1.52,0.02,4553.49,10.0,20.0,71.0,0.09,90.0,258.0,141.0,Y
5.0,9.0,0.0,7.0,16.0,5.0,8.0,19.0,1.0,18.6,0.27,0.05,815.4,4.0,8.0,16.0,0.12,30.0,42.0,29.0,Y
7.0,9.0,0.0,9.0,16.0,5.0,8.0,19.0,1.0,20.61,0.31,0.05,920.81,4.0,8.0,16.0,0.11,31.0,46.0,29.0,Y
4.0,3.0,0.0,7.0,4.0,2.0,2.0,6.0,1.0,14.53,0.16,0.07,485.51,1.0,2.0,6.0,0.08,19.0,25.0,13.0,N
5.0,3.0,0.0,4.0,4.0,2.0,2.0,7.0,1.0,15.91,0.22,0.06,661.68,1.0,2.0,7.0,0.08,23.0,24.0,14.0,N
10.0,12.0,0.0,18.0,16.0,7.0,8.0,25.0,1.0,32.98,0.67,0.03,2001.81,4.0,8.0,20.0,0.1,47.0,69.0,40.0,N
7.0,3.0,0.0,4.0,4.0,2.0,2.0,10.0,0.0,4.73,0.05,0.21,148.68,1.0,2.0,10.0,0.08,11.0,26.0,14.0,N
6.0,9.0,1.0,4.0,14.0,5.0,6.0,16.0,2.0,28.29,0.19,0.04,555.0,4.0,7.0,13.0,0.15,14.0,33.0,22.0,N
39.0,51.0,1.0,49.0,100.0,26.0,50.0,122.0,0.0,22.35,1.63,0.04,4888.5,25.0,50.0,98.0,0.1,136.0,263.0,167.0,Y
37.0,49.0,13.0,23.0,76.0,25.0,28.0,103.0,0.0,45.1,1.47,0.02,4404.88,24.0,38.0,80.0,0.15,77.0,171.0,110.0,Y
20.0,12.0,0.0,4.0,14.0,7.0,6.0,22.0,5.0,21.45,0.17,0.05,506.88,4.0,7.0,17.0,0.13,20.0,52.0,27.0,Y
8.0,11.0,2.0,13.0,18.0,6.0,8.0,22.0,2.0,18.95,0.34,0.05,1016.29,5.0,9.0,18.0,0.13,38.0,47.0,25.0,N
5.0,11.0,0.0,20.0,12.0,7.0,6.0,24.0,3.0,39.33,0.23,0.03,687.32,3.0,6.0,19.0,0.15,15.0,46.0,20.0,N
14.0,9.0,0.0,7.0,4.0,7.0,2.0,23.0,0.0,24.62,0.29,0.04,880.44,1.0,2.0,18.0,0.11,29.0,64.0,42.0,N
6.0,11.0,0.0,1.0,20.0,6.0,10.0,26.0,3.0,12.0,0.26,0.08,783.99,5.0,10.0,22.0,0.13,40.0,47.0,39.0,N
1.0,3.0,0.0,3.0,4.0,2.0,2.0,7.0,0.0,6.38,0.06,0.16,175.69,1.0,2.0,7.0,0.17,12.0,12.0,7.0,N
4.0,27.0,1.0,4.0,46.0,14.0,20.0,46.0,2.0,31.95,0.17,0.03,500.5,13.0,23.0,34.0,0.45,11.0,31.0,22.0,N
3.0,37.0,0.0,0.0,60.0,19.0,24.0,68.0,3.0,39.58,0.45,0.03,1341.28,18.0,30.0,51.0,0.48,30.0,40.0,36.0,N
1.0,13.0,0.0,0.0,22.0,7.0,10.0,24.0,3.0,12.75,0.19,0.08,568.69,6.0,11.0,19.0,0.37,24.0,19.0,17.0,N
4.0,21.0,0.0,1.0,34.0,11.0,14.0,39.0,3.0,34.72,0.31,0.03,917.77,10.0,17.0,30.0,0.31,27.0,35.0,29.0,N
1.0,17.0,0.0,0.0,26.0,9.0,10.0,29.0,3.0,26.67,0.17,0.04,507.8,8.0,13.0,22.0,0.43,15.0,21.0,19.0,N
4.0,15.0,1.0,1.0,26.0,8.0,12.0,32.0,1.0,26.13,0.14,0.04,411.2,7.0,13.0,26.0,0.3,12.0,27.0,21.0,N
4.0,15.0,1.0,1.0,26.0,8.0,12.0,32.0,1.0,26.13,0.14,0.04,411.2,7.0,13.0,26.0,0.3,12.0,27.0,21.0,N
1.0,7.0,0.0,0.0,12.0,4.0,6.0,16.0,3.0,23.4,0.07,0.04,200.16,3.0,6.0,14.0,0.33,5.0,12.0,10.0,N
2.0,3.0,0.0,0.0,4.0,2.0,2.0,8.0,0.0,11.39,0.1,0.09,287.92,1.0,2.0,8.0,0.11,14.0,18.0,15.0,N
1.0,3.0,1.0,0.0,4.0,2.0,2.0,6.0,1.0,6.0,0.04,0.17,114.71,1.0,2.0,6.0,0.14,7.0,14.0,12.0,N
1.0,3.0,0.0,0.0,4.0,2.0,2.0,8.0,1.0,6.4,0.05,0.16,141.78,1.0,2.0,8.0,0.15,10.0,13.0,11.0,N
1.0,3.0,0.0,0.0,4.0,2.0,2.0,7.0,1.0,6.5,0.08,0.15,247.59,1.0,2.0,7.0,0.17,16.0,12.0,10.0,N
1.0,13.0,0.0,0.0,24.0,7.0,12.0,28.0,0.0,16.25,0.11,0.06,325.07,6.0,12.0,23.0,0.3,12.0,23.0,21.0,N
7.0,5.0,3.0,0.0,8.0,3.0,4.0,11.0,2.0,13.36,0.12,0.07,366.95,2.0,4.0,10.0,0.11,11.0,28.0,20.0,N
1.0,3.0,0.0,0.0,4.0,2.0,2.0,6.0,2.0,9.0,0.02,0.11,74.01,1.0,2.0,6.0,0.22,4.0,9.0,7.0,N
2.0,3.0,0.0,0.0,4.0,2.0,2.0,7.0,2.0,10.0,0.04,0.1,116.0,1.0,2.0,7.0,0.18,6.0,11.0,8.0,N
1.0,3.0,0.0,0.0,4.0,2.0,2.0,7.0,2.0,7.13,0.06,0.14,188.87,1.0,2.0,7.0,0.13,12.0,15.0,13.0,N
9.0,5.0,0.0,0.0,8.0,3.0,4.0,10.0,0.0,9.72,0.11,0.1,315.0,2.0,4.0,9.0,0.11,18.0,27.0,17.0,N
19.0,11.0,0.0,5.0,18.0,6.0,8.0,26.0,0.0,17.0,0.34,0.06,1026.58,5.0,9.0,22.0,0.1,38.0,59.0,34.0,N
15.0,5.0,0.0,0.0,8.0,3.0,4.0,14.0,0.0,8.11,0.12,0.12,370.0,2.0,4.0,13.0,0.08,21.0,38.0,22.0,N
13.0,7.0,0.0,0.0,12.0,4.0,6.0,14.0,1.0,13.91,0.15,0.07,454.54,3.0,6.0,12.0,0.12,22.0,34.0,20.0,N
24.0,22.0,0.0,0.0,4.0,20.0,2.0,45.0,1.0,25.62,0.45,0.04,1346.57,1.0,2.0,27.0,0.21,49.0,95.0,70.0,N
3.0,3.0,0.0,1.0,4.0,2.0,2.0,7.0,0.0,7.2,0.05,0.14,158.46,1.0,2.0,7.0,0.14,10.0,14.0,9.0,N
15.0,11.0,0.0,15.0,18.0,6.0,8.0,25.0,0.0,16.4,0.39,0.06,1183.31,5.0,9.0,21.0,0.08,43.0,75.0,44.0,N
14.0,3.0,0.0,12.0,4.0,2.0,2.0,14.0,0.0,28.31,0.72,0.04,2149.51,1.0,2.0,14.0,0.03,56.0,68.0,41.0,N
25.0,27.0,0.0,9.0,48.0,14.0,22.0,57.0,1.0,45.0,1.25,0.02,3763.65,13.0,25.0,45.0,0.13,80.0,112.0,77.0,N
9.0,12.0,2.0,0.0,8.0,8.0,2.0,20.0,0.0,16.8,0.19,0.06,579.97,3.0,4.0,14.0,0.22,25.0,37.0,27.0,N
18.0,15.0,0.0,5.0,28.0,8.0,14.0,35.0,1.0,24.23,0.52,0.04,1561.98,7.0,14.0,29.0,0.13,52.0,61.0,37.0,N
13.0,17.0,0.0,5.0,32.0,9.0,16.0,33.0,1.0,10.0,0.16,0.1,484.26,8.0,16.0,26.0,0.17,22.0,52.0,33.0,N
19.0,17.0,0.0,7.0,32.0,9.0,16.0,40.0,1.0,26.36,0.61,0.04,1833.36,8.0,16.0,33.0,0.13,56.0,68.0,41.0,N
7.0,3.0,0.0,0.0,4.0,2.0,2.0,6.0,1.0,7.0,0.05,0.14,160.47,1.0,2.0,6.0,0.11,12.0,19.0,11.0,N
7.0,3.0,0.0,0.0,4.0,2.0,2.0,6.0,1.0,7.0,0.05,0.14,160.47,1.0,2.0,6.0,0.11,12.0,19.0,11.0,N
15.0,17.0,0.0,2.0,24.0,9.0,8.0,24.0,1.0,15.35,0.24,0.07,723.78,8.0,12.0,17.0,0.19,26.0,47.0,29.0,N
9.0,9.0,0.0,3.0,12.0,5.0,4.0,16.0,0.0,18.86,0.17,0.05,512.67,4.0,6.0,13.0,0.16,21.0,31.0,18.0,N
8.0,3.0,0.0,0.0,4.0,2.0,2.0,7.0,0.0,6.07,0.06,0.16,187.98,1.0,2.0,7.0,0.1,14.0,21.0,12.0,N
7.0,5.0,0.0,0.0,8.0,3.0,4.0,9.0,0.0,6.43,0.07,0.16,215.49,2.0,4.0,8.0,0.14,14.0,22.0,14.0,N
10.0,5.0,0.0,0.0,8.0,3.0,4.0,10.0,1.0,12.63,0.12,0.08,374.44,2.0,4.0,9.0,0.11,19.0,28.0,17.0,N
10.0,5.0,0.0,0.0,8.0,3.0,4.0,10.0,1.0,13.33,0.12,0.08,371.38,2.0,4.0,9.0,0.11,18.0,28.0,17.0,N
10.0,5.0,0.0,0.0,8.0,3.0,4.0,10.0,1.0,12.63,0.12,0.08,374.44,2.0,4.0,9.0,0.11,19.0,28.0,17.0,N
12.0,9.0,0.0,0.0,14.0,5.0,6.0,15.0,1.0,13.94,0.18,0.07,539.23,4.0,7.0,12.0,0.14,25.0,35.0,22.0,N
13.0,9.0,0.0,0.0,14.0,5.0,6.0,15.0,1.0,14.52,0.18,0.07,535.76,4.0,7.0,12.0,0.14,24.0,36.0,22.0,N
9.0,11.0,0.0,0.0,14.0,6.0,4.0,15.0,1.0,13.18,0.13,0.08,386.43,5.0,7.0,11.0,0.21,17.0,28.0,18.0,N
10.0,3.0,0.0,8.0,4.0,2.0,2.0,15.0,1.0,16.47,0.33,0.06,1003.86,1.0,2.0,15.0,0.06,30.0,35.0,16.0,N
10.0,7.0,0.0,3.0,12.0,4.0,6.0,17.0,1.0,10.4,0.13,0.1,393.46,3.0,6.0,15.0,0.12,20.0,34.0,20.0,N
23.0,13.0,1.0,9.0,22.0,7.0,10.0,37.0,0.0,15.94,0.29,0.06,882.1,6.0,11.0,32.0,0.1,35.0,69.0,36.0,N
26.0,21.0,0.0,0.0,40.0,11.0,20.0,57.0,0.0,24.78,0.73,0.04,2177.73,10.0,20.0,48.0,0.13,51.0,88.0,61.0,N
17.0,17.0,0.0,3.0,32.0,9.0,16.0,40.0,0.0,31.25,0.5,0.03,1508.81,8.0,16.0,33.0,0.15,44.0,61.0,40.0,N
12.0,7.0,0.0,0.0,12.0,4.0,6.0,12.0,1.0,11.79,0.18,0.08,548.05,3.0,6.0,10.0,0.11,28.0,36.0,23.0,Y
8.0,5.0,0.0,2.0,8.0,3.0,4.0,12.0,3.0,10.11,0.1,0.1,300.0,2.0,4.0,11.0,0.12,18.0,26.0,15.0,N
6.0,9.0,0.0,0.0,14.0,5.0,6.0,25.0,2.0,24.44,0.18,0.04,535.29,4.0,7.0,22.0,0.14,18.0,35.0,28.0,N
24.0,29.0,0.0,34.0,52.0,15.0,24.0,63.0,0.0,40.15,1.18,0.02,3537.64,14.0,26.0,50.0,0.12,62.0,126.0,83.0,N
31.0,37.0,2.0,37.0,66.0,19.0,30.0,79.0,0.0,43.99,1.56,0.02,4670.87,18.0,33.0,62.0,0.12,73.0,156.0,103.0,N
1.0,5.0,0.0,0.0,8.0,3.0,4.0,10.0,1.0,9.75,0.04,0.1,113.3,2.0,4.0,9.0,0.33,6.0,9.0,7.0,N
3.0,5.0,2.0,0.0,4.0,3.0,2.0,11.0,1.0,10.74,0.11,0.09,318.15,1.0,2.0,10.0,0.04,23.0,80.0,18.0,N
7.0,31.0,7.0,12.0,56.0,16.0,26.0,69.0,0.0,38.26,0.44,0.03,1306.85,15.0,28.0,55.0,0.29,36.0,55.0,35.0,N
2.0,5.0,0.0,0.0,8.0,3.0,4.0,9.0,1.0,13.93,0.06,0.07,168.56,2.0,4.0,8.0,0.27,7.0,11.0,8.0,N
1.0,19.0,17.0,0.0,34.0,10.0,16.0,40.0,3.0,46.06,0.48,0.02,1447.13,9.0,17.0,32.0,0.2,31.0,50.0,48.0,N
1.0,5.0,1.0,0.0,8.0,3.0,4.0,10.0,2.0,11.67,0.05,0.09,162.85,2.0,4.0,9.0,0.23,9.0,13.0,11.0,N
1.0,15.0,0.0,0.0,28.0,8.0,14.0,32.0,2.0,26.96,0.26,0.04,765.1,7.0,14.0,26.0,0.26,23.0,31.0,29.0,N
2.0,13.0,0.0,0.0,20.0,7.0,8.0,31.0,2.0,30.08,0.15,0.03,450.83,6.0,10.0,26.0,0.44,12.0,16.0,13.0,N
12.0,55.0,2.0,0.0,68.0,34.0,34.0,123.0,2.0,53.33,1.07,0.02,3199.46,17.0,34.0,91.0,0.33,72.0,102.0,89.0,N
4.0,37.0,0.0,6.0,54.0,20.0,22.0,74.0,2.0,70.29,0.6,0.01,1813.42,16.0,31.0,56.0,0.36,28.0,55.0,50.0,N
5.0,19.0,0.0,0.0,36.0,10.0,18.0,39.0,2.0,22.09,0.2,0.05,601.38,9.0,18.0,31.0,0.38,22.0,26.0,20.0,N
5.0,67.0,1.0,1.0,130.0,34.0,64.0,153.0,2.0,21.38,1.28,0.05,3829.8,33.0,65.0,121.0,0.35,108.0,98.0,91.0,N
9.0,59.0,0.0,1.0,82.0,34.0,40.0,137.0,2.0,44.8,1.04,0.02,3109.35,21.0,41.0,105.0,0.34,70.0,99.0,88.0,N
3.0,19.0,0.0,0.0,34.0,10.0,16.0,66.0,2.0,41.71,0.68,0.02,2049.98,9.0,17.0,58.0,0.2,55.0,49.0,45.0,N
6.0,45.0,2.0,0.0,86.0,23.0,42.0,112.0,2.0,38.76,0.79,0.03,2383.37,22.0,43.0,91.0,0.29,54.0,78.0,71.0,N
10.0,49.0,2.0,1.0,96.0,25.0,48.0,139.0,2.0,40.59,1.75,0.02,5239.94,24.0,48.0,116.0,0.16,101.0,156.0,144.0,N
5.0,33.0,6.0,6.0,58.0,17.0,26.0,69.0,1.0,32.0,0.95,0.03,2843.99,16.0,29.0,54.0,0.23,75.0,75.0,63.0,Y
3.0,5.0,0.0,0.0,8.0,3.0,4.0,10.0,3.0,16.25,0.05,0.06,148.68,2.0,4.0,9.0,0.21,6.0,14.0,10.0,N
14.0,11.0,2.0,16.0,20.0,6.0,10.0,28.0,0.0,38.68,0.46,0.03,1386.16,5.0,10.0,24.0,0.08,31.0,73.0,42.0,N
80.0,23.0,10.0,18.0,36.0,12.0,14.0,44.0,0.0,36.58,0.79,0.03,2358.66,11.0,18.0,34.0,0.07,59.0,163.0,64.0,Y
14.0,13.0,3.0,19.0,24.0,7.0,12.0,29.0,0.0,32.08,0.22,0.03,660.68,6.0,12.0,24.0,0.11,18.0,65.0,31.0,N
19.0,13.0,4.0,21.0,24.0,7.0,12.0,29.0,0.0,30.39,0.22,0.03,665.24,6.0,12.0,24.0,0.1,19.0,72.0,31.0,N
29.0,41.0,17.0,38.0,64.0,21.0,24.0,68.0,4.0,22.73,0.98,0.04,2942.06,20.0,32.0,49.0,0.11,84.0,186.0,118.0,N
19.0,13.0,5.0,19.0,24.0,7.0,12.0,29.0,0.0,28.88,0.22,0.03,669.69,6.0,12.0,24.0,0.1,20.0,70.0,31.0,N
5.0,7.0,0.0,0.0,10.0,4.0,4.0,11.0,2.0,22.1,0.05,0.05,154.29,3.0,5.0,9.0,0.25,5.0,16.0,10.0,N
23.0,11.0,1.0,7.0,8.0,8.0,4.0,24.0,1.0,24.91,0.34,0.04,1022.09,2.0,4.0,18.0,0.1,34.0,77.0,46.0,N
30.0,25.0,4.0,4.0,40.0,13.0,16.0,43.0,1.0,28.96,0.43,0.03,1287.46,12.0,20.0,32.0,0.14,41.0,95.0,60.0,N
31.0,39.0,3.0,26.0,62.0,20.0,24.0,67.0,0.0,43.1,0.79,0.02,2363.92,19.0,35.0,49.0,0.17,52.0,121.0,63.0,N
41.0,31.0,3.0,22.0,54.0,16.0,24.0,65.0,0.0,44.63,1.0,0.02,2994.64,15.0,27.0,51.0,0.11,60.0,140.0,76.0,N
122.0,41.0,3.0,35.0,70.0,21.0,30.0,76.0,0.0,30.42,0.71,0.03,2121.51,20.0,35.0,57.0,0.09,60.0,234.0,76.0,N
6.0,7.0,3.0,5.0,12.0,4.0,6.0,13.0,0.0,4.5,0.04,0.22,106.61,3.0,6.0,11.0,0.2,8.0,20.0,8.0,N
101.0,46.0,12.0,7.0,66.0,26.0,28.0,89.0,2.0,44.73,1.43,0.02,4287.21,19.0,33.0,65.0,0.1,103.0,264.0,155.0,N
48.0,5.0,2.0,26.0,6.0,3.0,2.0,14.0,0.0,16.76,0.64,0.06,1907.11,2.0,3.0,13.0,0.02,70.0,128.0,53.0,N
30.0,18.0,6.0,11.0,22.0,10.0,8.0,38.0,0.0,21.36,0.34,0.05,1022.69,7.0,11.0,30.0,0.11,42.0,91.0,49.0,N
8.0,5.0,1.0,8.0,8.0,3.0,2.0,7.0,0.0,11.0,0.06,0.09,172.88,3.0,4.0,6.0,0.13,9.0,24.0,7.0,N
9.0,3.0,1.0,7.0,6.0,2.0,2.0,5.0,0.0,7.5,0.04,0.13,120.93,2.0,3.0,5.0,0.09,8.0,23.0,6.0,N
28.0,13.0,2.0,7.0,14.0,7.0,2.0,15.0,0.0,17.5,0.12,0.06,371.33,6.0,7.0,10.0,0.11,13.0,61.0,15.0,N
8.0,14.0,9.0,4.0,16.0,9.0,8.0,24.0,0.0,23.34,0.39,0.04,1166.58,4.0,8.0,17.0,0.19,34.0,47.0,34.0,N
18.0,21.0,13.0,14.0,38.0,11.0,18.0,40.0,0.0,26.63,1.02,0.04,3047.71,10.0,19.0,31.0,0.11,102.0,103.0,70.0,Y
6.0,9.0,1.0,3.0,12.0,5.0,4.0,14.0,0.0,9.75,0.06,0.1,189.99,4.0,6.0,11.0,0.24,10.0,21.0,11.0,N
49.0,178.0,48.0,71.0,254.0,106.0,112.0,361.0,0.0,75.93,6.9,0.01,20696.93,71.0,127.0,257.0,0.17,397.0,626.0,505.0,Y
10.0,7.0,3.0,10.0,12.0,4.0,6.0,15.0,0.0,15.25,0.25,0.07,755.81,3.0,6.0,13.0,0.09,26.0,46.0,25.0,N
18.0,9.0,4.0,15.0,16.0,5.0,8.0,18.0,0.0,20.33,0.27,0.05,801.81,4.0,8.0,15.0,0.08,27.0,66.0,32.0,N
21.0,20.0,6.0,20.0,28.0,12.0,14.0,50.0,0.0,53.47,0.84,0.02,2532.08,7.0,14.0,40.0,0.1,54.0,119.0,77.0,N
7.0,7.0,5.0,6.0,12.0,4.0,6.0,13.0,0.0,16.0,0.2,0.06,585.15,3.0,6.0,11.0,0.11,21.0,38.0,24.0,Y
6.0,3.0,1.0,5.0,4.0,2.0,2.0,8.0,0.0,3.0,0.02,0.33,59.79,1.0,2.0,8.0,0.1,5.0,21.0,9.0,N
6.0,3.0,1.0,7.0,4.0,2.0,2.0,10.0,0.0,2.86,0.03,0.35,86.04,1.0,2.0,10.0,0.08,7.0,25.0,11.0,N
4.0,3.0,1.0,3.0,4.0,2.0,2.0,6.0,0.0,8.89,0.06,0.11,167.59,1.0,2.0,6.0,0.11,9.0,18.0,10.0,N
5.0,9.0,3.0,9.0,14.0,5.0,6.0,16.0,0.0,13.68,0.12,0.07,360.0,4.0,7.0,13.0,0.15,17.0,33.0,18.0,N
4.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,0.0,12.11,0.16,0.08,485.8,1.0,2.0,5.0,0.09,19.0,23.0,15.0,N
3.0,11.0,3.0,5.0,20.0,6.0,10.0,20.0,0.0,8.89,0.12,0.11,360.55,5.0,10.0,16.0,0.22,18.0,27.0,18.0,N
2.0,11.0,2.0,10.0,16.0,6.0,6.0,18.0,0.0,10.63,0.25,0.09,744.31,5.0,8.0,14.0,0.15,35.0,41.0,28.0,N
5.0,3.0,1.0,3.0,4.0,2.0,2.0,6.0,0.0,7.71,0.08,0.13,235.23,1.0,2.0,6.0,0.1,14.0,21.0,12.0,N
2.0,9.0,5.0,10.0,16.0,5.0,8.0,20.0,0.0,11.51,0.25,0.09,759.55,4.0,8.0,17.0,0.12,35.0,42.0,29.0,N
2.0,3.0,1.0,0.0,4.0,2.0,2.0,6.0,2.0,10.56,0.05,0.09,153.73,1.0,2.0,6.0,0.14,8.0,14.0,11.0,N
4.0,5.0,1.0,3.0,8.0,3.0,4.0,11.0,0.0,12.0,0.09,0.08,256.76,2.0,4.0,10.0,0.15,12.0,20.0,12.0,N
8.0,7.0,2.0,6.0,12.0,4.0,6.0,16.0,0.0,12.28,0.13,0.08,391.38,3.0,6.0,14.0,0.13,18.0,32.0,17.0,Y
9.0,11.0,5.0,12.0,20.0,6.0,10.0,23.0,0.0,18.65,0.27,0.05,820.99,5.0,10.0,19.0,0.11,31.0,54.0,32.0,N
2.0,3.0,1.0,0.0,4.0,2.0,2.0,6.0,3.0,11.67,0.06,0.09,165.06,1.0,2.0,6.0,0.14,9.0,14.0,11.0,N
9.0,7.0,1.0,11.0,12.0,4.0,6.0,16.0,1.0,20.91,0.19,0.05,555.41,3.0,6.0,14.0,0.09,22.0,43.0,22.0,N
2.0,3.0,1.0,1.0,4.0,2.0,2.0,7.0,0.0,12.33,0.11,0.08,324.14,1.0,2.0,7.0,0.12,12.0,17.0,13.0,N
6.0,9.0,2.0,4.0,16.0,5.0,8.0,16.0,0.0,20.0,0.11,0.05,317.29,4.0,8.0,13.0,0.2,12.0,25.0,14.0,N
7.0,9.0,3.0,12.0,14.0,5.0,6.0,17.0,0.0,14.53,0.25,0.07,755.42,4.0,7.0,14.0,0.1,32.0,50.0,30.0,N
3.0,3.0,0.0,0.0,4.0,2.0,2.0,7.0,2.0,12.6,0.16,0.08,484.3,1.0,2.0,7.0,0.13,25.0,16.0,12.0,N
1.0,9.0,0.0,0.0,14.0,5.0,6.0,23.0,2.0,24.0,0.19,0.04,582.52,4.0,7.0,20.0,0.22,19.0,23.0,21.0,N
1.0,5.0,0.0,0.0,8.0,3.0,4.0,11.0,2.0,16.0,0.11,0.06,317.07,2.0,4.0,10.0,0.21,15.0,14.0,12.0,N
1.0,3.0,0.0,0.0,4.0,2.0,2.0,7.0,2.0,10.4,0.05,0.1,149.28,1.0,2.0,7.0,0.2,10.0,10.0,8.0,N
2.0,13.0,2.0,0.0,12.0,8.0,6.0,33.0,1.0,18.7,0.26,0.05,767.54,3.0,6.0,27.0,0.19,32.0,42.0,39.0,N
5.0,15.0,0.0,3.0,28.0,8.0,14.0,42.0,3.0,24.9,0.33,0.04,977.37,7.0,14.0,36.0,0.17,30.0,48.0,39.0,N
3.0,19.0,0.0,0.0,30.0,10.0,14.0,53.0,0.0,14.58,0.29,0.07,856.54,8.0,15.0,45.0,0.25,36.0,40.0,36.0,N
1.0,19.0,0.0,0.0,16.0,13.0,8.0,51.0,1.0,20.63,0.35,0.05,1047.94,4.0,8.0,40.0,0.29,40.0,45.0,43.0,N
17.0,57.0,24.0,38.0,102.0,29.0,46.0,96.0,0.0,20.69,1.13,0.05,3387.95,28.0,59.0,69.0,0.2,102.0,146.0,90.0,Y
