@relation SelectedFeatures
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
23.0,1.0,0.0,44.0,12.0,2.0,2.0,0.17,47.0,1.0,0.0,0.0,47.53,68495.54,0.02,3805.31,0.08,11.0,22.0,37.0,N
10.0,5.0,0.0,12.0,6.0,2.0,5.0,0.83,22.0,1.0,0.0,0.0,13.52,6218.16,0.07,345.45,0.17,3.0,6.0,18.0,N
3.0,7.0,0.0,4.0,2.0,2.0,1.0,0.5,30.0,1.0,0.0,0.0,17.68,30006.37,0.06,1667.02,0.5,1.0,2.0,30.0,N
7.0,9.0,0.0,12.0,4.0,2.0,3.0,0.75,37.0,1.0,0.0,0.0,30.74,80809.25,0.03,4489.4,0.25,3.0,6.0,35.0,N
7.0,0.0,0.0,12.0,4.0,2.0,1.0,0.25,18.0,1.0,0.0,0.0,22.86,25777.05,0.04,1432.06,0.25,3.0,6.0,16.0,N
3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,6.0,1.0,0.0,0.0,6.5,676.0,0.15,37.56,0.5,1.0,2.0,6.0,N
9.0,2.0,0.0,14.0,5.0,2.33,2.0,0.4,18.0,4.0,0.0,0.0,22.88,8646.51,0.04,480.36,0.8,4.0,7.0,15.0,N
7.0,20.0,0.0,8.0,4.0,2.0,4.0,1.0,34.0,1.0,0.0,2.0,6.07,4532.64,0.16,251.81,0.25,2.0,4.0,32.0,N
5.0,3.0,0.0,8.0,3.0,2.0,3.0,1.0,19.0,1.0,0.0,1.0,10.06,10151.3,0.1,563.96,0.33,2.0,4.0,18.0,Y
5.0,6.0,0.0,4.0,3.0,2.0,3.0,1.0,17.0,1.0,0.0,0.0,11.45,5152.07,0.09,286.23,0.33,1.0,2.0,16.0,N
13.0,4.0,0.0,22.0,7.0,2.2,4.0,0.57,29.0,3.0,0.0,2.0,16.07,7959.08,0.06,442.17,0.43,6.0,11.0,24.0,N
7.0,14.0,0.0,8.0,4.0,2.0,4.0,1.0,28.0,1.0,0.0,2.0,6.0,2854.12,0.17,158.56,0.25,2.0,4.0,26.0,N
3.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,11.0,1.0,0.0,0.0,6.75,2065.86,0.15,114.77,0.5,1.0,2.0,11.0,N
10.0,6.0,0.0,4.0,8.0,2.0,8.0,1.0,23.0,1.0,0.0,0.0,28.34,29630.1,0.04,1646.12,0.13,1.0,2.0,17.0,Y
12.0,10.0,0.0,6.0,9.0,3.0,8.0,0.89,29.0,1.0,0.0,0.0,28.29,31947.46,0.04,1774.86,0.11,2.0,3.0,22.0,N
9.0,7.0,0.0,16.0,5.0,2.0,5.0,1.0,28.0,1.0,0.0,0.0,14.01,13645.26,0.07,758.07,0.2,4.0,8.0,25.0,Y
11.0,3.0,0.0,12.0,7.0,2.0,4.0,0.57,29.0,1.0,0.0,0.0,25.29,37041.01,0.04,2057.83,0.14,3.0,6.0,24.0,N
5.0,6.0,0.0,8.0,3.0,2.0,3.0,1.0,18.0,1.0,0.0,0.0,5.25,1785.31,0.19,99.18,0.33,2.0,4.0,17.0,N
5.0,2.0,0.0,8.0,3.0,2.0,3.0,1.0,10.0,1.0,0.0,0.0,4.5,396.0,0.22,22.0,0.33,2.0,4.0,9.0,N
19.0,2.0,0.0,36.0,10.0,2.0,6.0,0.6,42.0,1.0,0.0,0.0,17.38,13744.03,0.06,763.56,0.1,9.0,18.0,34.0,N
15.0,1.0,0.0,28.0,8.0,2.0,2.0,0.25,32.0,1.0,0.0,1.0,5.69,2338.69,0.18,129.93,0.13,7.0,14.0,26.0,N
5.0,4.0,0.0,8.0,3.0,2.0,3.0,1.0,12.0,1.0,0.0,3.0,12.5,3624.82,0.08,201.38,0.33,2.0,4.0,11.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,0.0,3.0,150.57,0.33,8.36,0.5,1.0,2.0,6.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,8.0,1248.64,0.13,69.37,0.5,1.0,2.0,7.0,N
5.0,2.0,0.0,8.0,3.0,2.0,2.0,0.67,13.0,1.0,0.0,0.0,11.88,2030.23,0.08,112.79,0.33,2.0,4.0,12.0,N
7.0,5.0,0.0,12.0,4.0,2.0,4.0,1.0,17.0,1.0,0.0,0.0,13.1,9925.73,0.08,551.43,0.25,3.0,6.0,15.0,N
9.0,9.0,0.0,14.0,5.0,2.33,4.0,0.8,31.0,5.0,1.0,1.0,20.13,21852.33,0.05,1214.02,1.0,4.0,7.0,28.0,N
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,1.0,3.21,218.94,0.31,12.16,0.5,1.0,2.0,7.0,N
15.0,4.0,0.0,26.0,8.0,2.17,4.0,0.5,30.0,5.0,0.0,4.0,14.93,5958.66,0.07,331.04,0.63,7.0,13.0,24.0,N
7.0,9.0,0.0,4.0,5.0,2.0,5.0,1.0,26.0,1.0,0.0,0.0,14.86,10838.14,0.07,602.12,0.2,1.0,2.0,23.0,N
23.0,10.0,0.0,38.0,12.0,2.38,9.0,0.75,57.0,7.0,0.0,1.0,16.2,19033.06,0.06,1057.39,0.58,11.0,19.0,47.0,N
5.0,2.0,0.0,8.0,3.0,2.0,2.0,0.67,11.0,1.0,0.0,0.0,10.62,2563.41,0.09,142.41,0.33,2.0,4.0,10.0,N
5.0,3.0,0.0,8.0,3.0,2.0,3.0,1.0,19.0,1.0,0.0,2.0,10.71,2996.6,0.09,166.48,0.33,2.0,4.0,18.0,N
5.0,3.0,0.0,8.0,3.0,2.0,3.0,1.0,13.0,1.0,0.0,2.0,5.5,1135.41,0.18,63.08,0.33,2.0,4.0,12.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,3.75,259.45,0.27,14.41,0.5,1.0,2.0,5.0,N
35.0,10.0,0.0,58.0,18.0,2.42,12.0,0.67,85.0,10.0,0.0,3.0,19.83,32200.08,0.05,1788.89,0.56,17.0,29.0,69.0,N
43.0,13.0,0.0,76.0,22.0,2.24,17.0,0.77,103.0,12.0,0.0,2.0,18.49,33283.94,0.05,1849.11,0.55,21.0,38.0,83.0,N
21.0,5.0,0.0,30.0,12.0,2.14,9.0,0.75,66.0,9.0,0.0,0.0,28.0,44996.99,0.04,2499.83,0.75,8.0,15.0,56.0,N
13.0,4.0,0.0,22.0,7.0,2.2,6.0,0.86,26.0,6.0,0.0,0.0,10.95,3941.05,0.09,218.95,0.86,6.0,11.0,21.0,N
9.0,3.0,0.0,10.0,5.0,5.0,2.0,0.4,14.0,5.0,1.0,1.0,5.0,521.24,0.2,28.96,1.0,4.0,5.0,11.0,N
17.0,12.0,0.0,28.0,9.0,2.33,8.0,0.89,48.0,5.0,0.0,0.0,10.16,8923.89,0.1,495.77,0.56,8.0,14.0,41.0,N
3.0,6.0,0.0,4.0,2.0,2.0,2.0,1.0,13.0,1.0,0.0,0.0,3.44,664.34,0.29,36.91,0.5,1.0,2.0,13.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,0.0,0.0,4.9,600.86,0.2,33.38,0.5,1.0,2.0,8.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,0.0,0.0,4.96,758.26,0.2,42.13,0.5,1.0,2.0,8.0,N
17.0,24.0,0.0,28.0,9.0,2.0,9.0,1.0,55.0,1.0,0.0,2.0,7.86,10809.44,0.13,600.52,0.11,7.0,14.0,48.0,Y
22.0,16.0,0.0,8.0,19.0,2.0,19.0,1.0,53.0,1.0,0.0,1.0,25.17,41124.72,0.04,2284.71,0.05,2.0,4.0,36.0,N
8.0,7.0,0.0,4.0,6.0,2.0,6.0,1.0,17.0,1.0,0.0,0.0,10.91,4375.94,0.09,243.11,0.17,1.0,2.0,13.0,N
22.0,18.0,0.0,8.0,19.0,2.0,19.0,1.0,54.0,1.0,0.0,1.0,20.75,29446.21,0.05,1635.9,0.05,2.0,4.0,37.0,N
37.0,23.0,0.0,38.0,26.0,2.11,26.0,1.0,94.0,1.0,0.0,1.0,26.99,58239.35,0.04,3235.52,0.04,10.0,19.0,70.0,Y
25.0,22.0,0.0,12.0,21.0,2.0,21.0,1.0,58.0,1.0,0.0,1.0,20.1,28928.56,0.05,1607.14,0.05,3.0,6.0,39.0,N
25.0,17.0,0.0,32.0,15.0,2.29,15.0,1.0,74.0,1.0,0.0,1.0,18.88,23432.15,0.05,1301.79,0.07,9.0,16.0,61.0,Y
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,5.5,572.0,0.18,31.78,0.5,1.0,2.0,7.0,N
7.0,4.0,0.0,4.0,5.0,2.0,5.0,1.0,17.0,1.0,0.0,0.0,11.83,4846.19,0.08,269.23,0.2,1.0,2.0,14.0,N
35.0,9.0,0.0,52.0,18.0,2.89,8.0,0.44,74.0,12.0,0.0,1.0,23.23,41194.43,0.04,2288.58,0.67,17.0,48.0,58.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,0.0,3.86,271.19,0.26,15.07,0.5,1.0,2.0,6.0,N
15.0,14.0,0.0,28.0,8.0,2.0,6.0,0.75,49.0,5.0,0.0,1.0,37.89,98831.96,0.03,5490.66,0.63,7.0,14.0,43.0,N
7.0,15.0,0.0,8.0,4.0,2.0,4.0,1.0,32.0,1.0,0.0,2.0,6.63,4493.95,0.15,249.66,0.25,2.0,4.0,30.0,N
5.0,4.0,0.0,8.0,3.0,2.0,3.0,1.0,11.0,1.0,0.0,0.0,4.62,648.71,0.22,36.04,0.33,2.0,4.0,10.0,N
19.0,6.0,0.0,32.0,10.0,2.29,9.0,0.9,37.0,4.0,0.0,0.0,12.36,7636.01,0.08,424.22,0.4,9.0,16.0,29.0,N
8.0,5.0,0.0,8.0,5.0,2.0,5.0,1.0,17.0,1.0,0.0,0.0,7.6,1842.99,0.13,102.39,0.2,2.0,4.0,14.0,N
13.0,3.0,1.0,18.0,7.0,3.0,6.0,0.86,27.0,5.0,0.0,1.0,12.22,9057.37,0.08,503.19,0.71,6.0,9.0,22.0,N
35.0,12.0,0.0,60.0,18.0,2.31,11.0,0.61,85.0,10.0,0.0,4.0,24.52,34868.47,0.04,1937.14,0.56,17.0,30.0,69.0,Y
3.0,10.0,0.0,4.0,2.0,2.0,2.0,1.0,17.0,1.0,0.0,0.0,3.24,706.95,0.31,39.28,0.5,1.0,2.0,17.0,N
3.0,9.0,0.0,4.0,2.0,2.0,2.0,1.0,13.0,1.0,0.0,3.0,10.16,5580.43,0.1,310.02,0.5,1.0,2.0,13.0,N
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,2.5,157.27,0.4,8.74,0.5,1.0,2.0,7.0,N
5.0,10.0,0.0,8.0,3.0,2.0,3.0,1.0,21.0,1.0,0.0,0.0,4.08,1234.01,0.24,68.56,0.33,2.0,4.0,20.0,N
11.0,12.0,0.0,18.0,6.0,2.25,5.0,0.83,35.0,5.0,0.0,3.0,12.77,10600.85,0.08,588.94,0.83,5.0,9.0,31.0,N
9.0,0.0,0.0,14.0,5.0,2.33,1.0,0.2,16.0,5.0,1.0,2.0,19.69,4495.15,0.05,249.73,1.0,4.0,7.0,13.0,N
3.0,1.0,0.0,4.0,2.0,2.0,1.0,0.5,7.0,1.0,0.0,2.0,7.71,852.01,0.13,47.33,0.5,1.0,2.0,7.0,N
9.0,1.0,0.0,16.0,5.0,2.0,2.0,0.4,21.0,1.0,0.0,0.0,14.5,3750.38,0.07,208.35,0.2,4.0,8.0,18.0,N
7.0,13.0,0.0,8.0,4.0,2.0,4.0,1.0,26.0,1.0,0.0,2.0,5.95,2602.12,0.17,144.56,0.25,2.0,4.0,24.0,N
5.0,1.0,0.0,8.0,3.0,2.0,1.0,0.33,12.0,1.0,0.0,0.0,15.11,3719.21,0.07,206.62,0.33,2.0,4.0,11.0,N
15.0,15.0,0.0,4.0,13.0,2.0,13.0,1.0,40.0,1.0,0.0,0.0,23.3,31875.39,0.04,1770.86,0.08,1.0,2.0,29.0,N
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,9.0,1.0,0.0,2.0,7.0,937.86,0.14,52.1,0.5,1.0,2.0,9.0,N
3.0,2.0,16.0,4.0,2.0,2.0,2.0,1.0,21.0,1.0,0.0,0.0,5.62,3260.81,0.18,181.16,0.5,1.0,2.0,21.0,N
3.0,2.0,16.0,4.0,2.0,2.0,2.0,1.0,21.0,1.0,0.0,0.0,5.98,3422.92,0.17,190.16,0.5,1.0,2.0,21.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,9.0,1.0,0.0,2.0,9.75,1432.72,0.1,79.6,0.5,1.0,2.0,9.0,N
3.0,2.0,16.0,4.0,2.0,2.0,2.0,1.0,21.0,1.0,0.0,1.0,5.62,3260.81,0.18,181.16,0.5,1.0,2.0,21.0,N
11.0,2.0,0.0,20.0,6.0,2.0,3.0,0.5,24.0,1.0,0.0,1.0,18.44,7817.84,0.05,434.32,0.17,5.0,10.0,20.0,N
15.0,2.0,0.0,14.0,8.0,3.5,7.0,0.88,22.0,5.0,0.0,0.0,12.6,2809.44,0.08,156.08,0.63,5.0,8.0,16.0,N
25.0,3.0,0.0,42.0,13.0,2.33,6.0,0.46,47.0,1.0,0.0,0.0,25.0,34070.5,0.04,1892.81,0.08,12.0,21.0,36.0,N
7.0,17.0,0.0,8.0,4.0,2.0,4.0,1.0,31.0,1.0,0.0,2.0,5.66,3119.36,0.18,173.3,0.25,2.0,4.0,29.0,N
11.0,6.0,0.0,12.0,7.0,2.0,7.0,1.0,26.0,1.0,0.0,0.0,11.33,4824.95,0.09,268.05,0.14,3.0,6.0,21.0,N
7.0,0.0,0.0,12.0,4.0,2.0,1.0,0.25,16.0,1.0,0.0,0.0,29.25,10920.4,0.03,606.69,0.25,3.0,6.0,14.0,N
5.0,1.0,0.0,6.0,3.0,3.0,2.0,0.67,8.0,3.0,1.0,1.0,9.0,516.23,0.11,28.68,1.0,2.0,3.0,7.0,N
3.0,2.0,0.0,4.0,2.0,2.0,1.0,0.5,7.0,1.0,0.0,3.0,9.0,1089.13,0.11,60.51,0.5,1.0,2.0,7.0,N
3.0,1.0,0.0,4.0,2.0,2.0,1.0,0.5,7.0,1.0,0.0,1.0,5.0,286.8,0.2,15.93,0.5,1.0,2.0,7.0,N
7.0,3.0,0.0,12.0,4.0,2.0,3.0,0.75,16.0,3.0,0.0,1.0,9.82,1820.94,0.1,101.16,0.75,3.0,6.0,14.0,N
5.0,7.0,0.0,8.0,3.0,2.0,3.0,1.0,16.0,1.0,0.0,2.0,9.14,3182.29,0.11,176.79,0.33,2.0,4.0,15.0,N
5.0,4.0,0.0,8.0,3.0,2.0,3.0,1.0,11.0,1.0,0.0,2.0,6.94,2036.45,0.14,113.14,0.33,2.0,4.0,10.0,N
3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,6.0,1.0,0.0,0.0,3.75,199.32,0.27,11.07,0.5,1.0,2.0,6.0,N
3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,6.0,1.0,0.0,0.0,3.75,199.32,0.27,11.07,0.5,1.0,2.0,6.0,N
3.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,9.0,1.0,0.0,2.0,7.08,1295.09,0.14,71.95,0.5,1.0,2.0,9.0,N
3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,6.0,1.0,0.0,0.0,3.75,199.32,0.27,11.07,0.5,1.0,2.0,6.0,N
3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,6.0,1.0,0.0,0.0,3.75,199.32,0.27,11.07,0.5,1.0,2.0,6.0,N
7.0,3.0,0.0,12.0,4.0,2.0,4.0,1.0,15.0,3.0,0.0,2.0,5.5,642.17,0.18,35.68,0.75,3.0,6.0,13.0,N
3.0,3.0,0.0,4.0,2.0,2.0,1.0,0.5,10.0,1.0,0.0,4.0,8.88,1873.84,0.11,104.1,0.5,1.0,2.0,10.0,N
7.0,3.0,0.0,12.0,4.0,2.0,2.0,0.5,15.0,1.0,0.0,3.0,7.33,1792.43,0.14,99.58,0.25,3.0,6.0,13.0,N
31.0,6.0,0.0,48.0,16.0,2.67,9.0,0.56,53.0,7.0,0.0,0.0,11.1,9899.11,0.09,549.95,0.44,15.0,26.0,39.0,N
17.0,4.0,0.0,32.0,9.0,2.29,5.0,0.56,42.0,5.0,0.0,0.0,12.71,9443.41,0.08,524.63,0.56,9.0,16.0,35.0,N
9.0,2.0,0.0,18.0,5.0,2.25,3.0,0.6,19.0,4.0,0.0,0.0,18.42,5457.54,0.05,303.2,0.8,5.0,9.0,16.0,N
7.0,8.0,0.0,12.0,4.0,2.0,4.0,1.0,30.0,1.0,0.0,0.0,8.05,5422.96,0.12,301.28,0.25,3.0,6.0,28.0,N
9.0,5.0,0.0,14.0,5.0,2.33,4.0,0.8,18.0,3.0,0.0,1.0,7.2,2098.65,0.14,116.59,0.6,4.0,7.0,15.0,N
31.0,10.0,0.0,50.0,16.0,2.5,10.0,0.63,70.0,13.0,0.0,0.0,17.83,22807.44,0.06,1267.08,0.81,15.0,25.0,56.0,Y
31.0,11.0,0.0,46.0,16.0,2.88,8.0,0.5,75.0,6.0,0.0,0.0,20.79,32071.97,0.05,1781.78,0.38,15.0,24.0,61.0,Y
7.0,2.0,0.0,8.0,4.0,4.0,2.0,0.5,13.0,4.0,1.0,0.0,11.7,3318.52,0.09,184.36,1.0,3.0,4.0,11.0,N
33.0,14.0,0.0,56.0,17.0,2.33,11.0,0.65,93.0,7.0,0.0,0.0,14.22,24755.65,0.07,1375.31,0.41,16.0,28.0,78.0,Y
6.0,6.0,0.0,4.0,4.0,2.0,4.0,1.0,17.0,1.0,0.0,0.0,9.04,3202.49,0.11,177.92,0.25,1.0,2.0,15.0,N
31.0,9.0,1.0,52.0,16.0,2.6,8.0,0.5,67.0,12.0,0.0,3.0,17.37,22006.83,0.06,1222.6,0.75,16.0,26.0,53.0,Y
22.0,12.0,0.0,30.0,12.0,2.5,7.0,0.58,59.0,10.0,0.0,0.0,25.96,37407.34,0.04,2078.19,0.83,9.0,15.0,49.0,Y
5.0,7.0,0.0,12.0,3.0,2.0,3.0,1.0,19.0,3.0,1.0,0.0,9.82,6146.88,0.1,341.49,1.0,3.0,6.0,18.0,N
24.0,13.0,1.0,32.0,14.0,2.29,11.0,0.79,88.0,7.0,0.0,0.0,21.29,44929.28,0.05,2496.07,0.5,9.0,16.0,76.0,N
5.0,10.0,0.0,8.0,3.0,2.0,3.0,1.0,20.0,1.0,0.0,0.0,4.9,2125.07,0.2,118.06,0.33,2.0,4.0,19.0,N
16.0,4.0,0.0,24.0,9.0,2.4,4.0,0.44,33.0,4.0,0.0,0.0,26.0,12402.61,0.04,689.03,0.44,7.0,12.0,26.0,N
16.0,2.0,0.0,24.0,9.0,2.0,3.0,0.33,34.0,1.0,0.0,0.0,36.0,22527.81,0.03,1251.55,0.11,6.0,12.0,27.0,N
5.0,1.0,0.0,8.0,3.0,2.0,1.0,0.33,12.0,1.0,0.0,0.0,10.5,3079.11,0.1,171.06,0.33,2.0,4.0,11.0,N
3.0,5.0,0.0,4.0,2.0,2.0,2.0,1.0,13.0,1.0,0.0,0.0,4.45,1276.77,0.22,70.93,0.5,1.0,2.0,13.0,N
5.0,2.0,0.0,6.0,3.0,3.0,2.0,0.67,10.0,3.0,1.0,0.0,9.9,3514.5,0.1,195.25,1.0,2.0,3.0,9.0,N
7.0,3.0,0.0,12.0,4.0,2.0,4.0,1.0,19.0,1.0,0.0,0.0,6.0,2002.01,0.17,111.22,0.25,3.0,6.0,17.0,N
7.0,4.0,0.0,12.0,4.0,2.0,3.0,0.75,15.0,1.0,0.0,0.0,5.92,1059.13,0.17,58.84,0.25,3.0,6.0,13.0,N
7.0,4.0,0.0,12.0,4.0,2.0,3.0,0.75,15.0,1.0,0.0,0.0,5.92,1059.13,0.17,58.84,0.25,3.0,6.0,13.0,Y
15.0,7.0,0.0,28.0,8.0,2.0,7.0,0.88,37.0,1.0,0.0,0.0,22.46,23055.47,0.04,1280.86,0.13,7.0,14.0,31.0,N
5.0,4.0,0.0,6.0,3.0,3.0,2.0,0.67,18.0,3.0,1.0,0.0,11.09,7552.8,0.09,419.6,1.0,2.0,3.0,17.0,N
25.0,9.0,0.0,38.0,14.0,2.11,12.0,0.86,77.0,1.0,0.0,1.0,17.98,26360.63,0.06,1464.48,0.07,10.0,19.0,65.0,Y
25.0,14.0,0.0,40.0,13.0,2.5,10.0,0.77,69.0,7.0,0.0,0.0,13.19,16603.31,0.08,922.41,0.54,12.0,20.0,58.0,Y
11.0,10.0,0.0,16.0,6.0,2.67,5.0,0.83,50.0,4.0,0.0,0.0,16.45,18176.24,0.06,1009.79,0.67,5.0,8.0,46.0,N
7.0,2.0,0.0,12.0,4.0,2.0,2.0,0.5,14.0,1.0,0.0,0.0,4.0,605.07,0.25,33.61,0.25,3.0,6.0,12.0,N
23.0,14.0,0.0,38.0,12.0,2.38,9.0,0.75,58.0,6.0,0.0,0.0,12.65,14630.58,0.08,812.81,0.5,11.0,19.0,48.0,Y
13.0,6.0,0.0,20.0,7.0,2.5,6.0,0.86,26.0,1.0,0.0,0.0,8.8,2730.02,0.11,151.67,0.14,6.0,10.0,21.0,N
