@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUMBER_OF_LINES numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
5.0,1.0,1.0,2.0,0.0,1.0,0.11,0.0,0.0,2.0,3.0,0.04,27.0,108.0,1.0,0.0,0.0,3.0,19.0,9.0,N
5.0,3.0,2.0,0.0,4.0,2.0,0.25,2.0,2.0,8.0,3.0,0.05,36.0,152.93,0.5,1.0,2.0,8.0,17.0,8.0,N
8.0,3.0,4.0,0.0,4.0,2.0,0.2,2.0,2.0,8.0,4.0,0.06,40.0,178.38,0.5,1.0,2.0,8.0,26.0,10.0,N
7.0,3.0,0.0,1.0,4.0,2.0,0.13,2.0,2.0,6.0,6.0,0.1,66.0,302.61,0.5,1.0,2.0,6.0,30.0,15.0,Y
3.0,7.0,2.0,20.0,12.0,4.0,0.18,6.0,2.0,15.0,0.0,0.1,64.0,293.44,0.25,3.0,6.0,13.0,32.0,22.0,Y
3.0,3.0,0.0,0.0,4.0,2.0,0.29,2.0,2.0,6.0,3.0,0.03,22.0,85.95,0.5,1.0,2.0,6.0,14.0,7.0,N
9.0,7.0,3.0,1.0,12.0,4.0,0.15,6.0,2.0,16.0,0.0,0.17,101.0,513.83,0.25,3.0,6.0,14.0,43.0,27.0,Y
9.0,7.0,3.0,1.0,12.0,4.0,0.15,6.0,2.0,16.0,0.0,0.17,101.0,513.83,0.25,3.0,6.0,14.0,43.0,27.0,N
9.0,7.0,3.0,1.0,12.0,4.0,0.15,6.0,2.0,16.0,0.0,0.17,101.0,513.83,0.25,3.0,6.0,14.0,43.0,27.0,Y
1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,5.0,11.61,1.0,0.0,0.0,2.0,5.0,2.0,N
3.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,4.0,0.01,13.0,44.97,1.0,0.0,0.0,2.0,12.0,3.0,N
4.0,1.0,0.0,0.0,0.0,1.0,0.09,0.0,0.0,1.0,3.0,0.1,84.0,310.84,1.0,0.0,0.0,2.0,20.0,11.0,N
11.0,9.0,3.0,6.0,16.0,5.0,0.11,8.0,2.0,23.0,1.0,0.24,154.0,732.25,0.2,4.0,8.0,20.0,70.0,46.0,Y
31.0,23.0,15.0,11.0,42.0,12.0,0.14,20.0,2.1,61.0,0.0,0.58,291.0,1746.0,0.33,11.0,21.0,51.0,135.0,85.0,Y
7.0,5.0,2.0,1.0,8.0,3.0,0.18,4.0,2.0,12.0,1.0,0.1,65.0,309.07,0.33,2.0,4.0,11.0,28.0,17.0,Y
7.0,1.0,1.0,8.0,0.0,1.0,0.07,0.0,0.0,2.0,0.0,0.09,62.0,284.27,1.0,0.0,0.0,3.0,29.0,14.0,Y
4.0,3.0,2.0,3.0,4.0,2.0,0.18,2.0,2.0,8.0,5.0,0.06,41.0,190.4,0.5,1.0,2.0,8.0,21.0,11.0,N
4.0,1.0,2.0,0.0,0.0,1.0,0.25,0.0,0.0,3.0,2.0,0.03,21.0,77.71,1.0,0.0,0.0,4.0,12.0,4.0,N
5.0,5.0,1.0,10.0,8.0,3.0,0.25,4.0,2.0,10.0,0.0,0.05,38.0,164.23,0.33,2.0,4.0,9.0,23.0,12.0,Y
18.0,9.0,9.0,0.0,16.0,5.0,0.12,8.0,2.0,30.0,2.0,0.32,173.0,971.34,0.2,4.0,8.0,27.0,67.0,41.0,N
17.0,7.0,4.0,4.0,12.0,4.0,0.15,6.0,2.0,20.0,0.0,0.22,130.0,672.09,0.25,3.0,6.0,18.0,57.0,27.0,Y
8.0,13.0,1.0,7.0,18.0,7.0,0.19,6.0,3.0,24.0,0.0,0.17,102.0,523.19,0.71,6.0,9.0,19.0,48.0,36.0,Y
17.0,6.0,1.0,0.0,0.0,5.0,0.2,0.0,0.0,16.0,1.0,0.2,118.0,600.32,0.2,0.0,0.0,13.0,48.0,25.0,N
22.0,5.0,2.0,0.0,0.0,4.0,0.12,0.0,0.0,16.0,1.0,0.28,159.0,834.42,0.25,0.0,0.0,14.0,63.0,33.0,N
4.0,1.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,0.03,24.0,93.77,1.0,0.0,0.0,2.0,11.0,4.0,N
22.0,5.0,2.0,0.0,0.0,4.0,0.12,0.0,0.0,16.0,1.0,0.28,159.0,834.42,0.25,0.0,0.0,14.0,63.0,33.0,N
4.0,1.0,1.0,0.0,0.0,1.0,0.25,0.0,0.0,2.0,1.0,0.04,26.0,108.42,1.0,0.0,0.0,3.0,11.0,4.0,N
15.0,6.0,1.0,0.0,0.0,5.0,0.17,0.0,0.0,16.0,1.0,0.22,126.0,656.39,0.2,0.0,0.0,13.0,53.0,30.0,N
7.0,5.0,1.0,1.0,8.0,3.0,0.13,4.0,2.0,12.0,2.0,0.1,69.0,307.7,0.33,2.0,4.0,11.0,37.0,23.0,Y
15.0,7.0,0.0,3.0,12.0,4.0,0.17,6.0,2.0,14.0,2.0,0.1,69.0,303.07,0.25,3.0,6.0,12.0,50.0,24.0,N
6.0,5.0,1.0,1.0,8.0,3.0,0.19,4.0,2.0,10.0,1.0,0.06,43.0,188.87,0.33,2.0,4.0,9.0,29.0,16.0,Y
7.0,3.0,3.0,0.0,4.0,2.0,0.12,2.0,2.0,8.0,4.0,0.07,47.0,212.61,0.5,1.0,2.0,8.0,31.0,17.0,N
4.0,3.0,1.0,1.0,4.0,2.0,0.2,2.0,2.0,7.0,1.0,0.05,35.0,148.68,0.5,1.0,2.0,7.0,16.0,10.0,Y
4.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,2.0,1.0,0.05,40.0,160.0,1.0,0.0,0.0,3.0,16.0,10.0,N
6.0,5.0,1.0,0.0,6.0,3.0,0.14,2.0,3.0,9.0,1.0,0.13,83.0,394.66,1.0,2.0,3.0,8.0,32.0,22.0,N
5.0,3.0,1.0,1.0,4.0,2.0,0.11,2.0,2.0,7.0,1.0,0.09,61.0,272.03,0.5,1.0,2.0,7.0,28.0,19.0,N
5.0,3.0,1.0,0.0,4.0,2.0,0.13,2.0,2.0,6.0,1.0,0.09,62.0,272.32,0.5,1.0,2.0,6.0,25.0,16.0,N
4.0,6.0,1.0,8.0,4.0,4.0,0.09,2.0,2.0,15.0,1.0,0.28,164.0,827.28,0.25,1.0,2.0,13.0,51.0,45.0,Y
2.0,1.0,1.0,0.0,0.0,1.0,0.14,0.0,0.0,2.0,1.0,0.04,31.0,121.11,1.0,0.0,0.0,3.0,11.0,7.0,N
5.0,1.0,1.0,0.0,0.0,1.0,0.09,0.0,0.0,2.0,1.0,0.07,51.0,212.67,1.0,0.0,0.0,3.0,18.0,11.0,N
13.0,1.0,6.0,1.0,0.0,1.0,0.13,0.0,0.0,7.0,0.0,0.04,29.0,116.0,1.0,0.0,0.0,8.0,29.0,8.0,Y
11.0,7.0,1.0,1.0,12.0,4.0,0.13,6.0,2.0,20.0,0.0,0.3,178.0,897.9,0.25,3.0,6.0,18.0,56.0,32.0,Y
7.0,5.0,1.0,3.0,8.0,3.0,0.27,4.0,2.0,10.0,0.0,0.06,40.0,169.92,0.33,2.0,4.0,9.0,23.0,11.0,Y
25.0,16.0,8.0,13.0,16.0,11.0,0.17,8.0,2.0,33.0,0.0,0.41,197.0,1219.4,0.09,4.0,8.0,24.0,102.0,66.0,Y
4.0,9.0,2.0,14.0,16.0,5.0,0.15,8.0,2.0,19.0,0.0,0.16,109.0,486.08,0.2,4.0,8.0,16.0,43.0,34.0,Y
4.0,1.0,1.0,1.0,0.0,1.0,0.17,0.0,0.0,2.0,1.0,0.02,18.0,66.61,1.0,0.0,0.0,3.0,12.0,6.0,Y
14.0,6.0,4.0,2.0,4.0,4.0,0.13,2.0,2.0,15.0,1.0,0.15,87.0,442.61,0.25,1.0,2.0,13.0,51.0,31.0,Y
1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,3.0,4.75,1.0,0.0,0.0,2.0,5.0,2.0,N
19.0,15.0,1.0,6.0,22.0,8.0,0.12,8.0,2.75,31.0,1.0,0.44,256.0,1323.5,1.0,7.0,11.0,25.0,98.0,66.0,Y
5.0,1.0,1.0,0.0,0.0,1.0,0.06,0.0,0.0,3.0,1.0,0.13,101.0,384.54,1.0,0.0,0.0,4.0,28.0,18.0,N
5.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,3.0,1.0,0.06,51.0,188.72,1.0,0.0,0.0,4.0,20.0,10.0,N
4.0,1.0,1.0,1.0,0.0,1.0,0.17,0.0,0.0,2.0,1.0,0.03,21.0,77.71,1.0,0.0,0.0,3.0,13.0,6.0,Y
1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,4.0,8.0,1.0,0.0,0.0,2.0,5.0,2.0,N
20.0,7.0,6.0,11.0,4.0,5.0,0.13,2.0,2.0,21.0,0.0,0.25,131.0,739.35,0.2,1.0,2.0,18.0,70.0,40.0,Y
8.0,5.0,3.0,2.0,8.0,3.0,0.14,4.0,2.0,13.0,1.0,0.15,96.0,461.51,0.33,2.0,4.0,12.0,38.0,22.0,Y
6.0,3.0,2.0,2.0,4.0,2.0,0.11,2.0,2.0,8.0,0.0,0.11,73.0,343.13,0.5,1.0,2.0,8.0,30.0,18.0,Y
20.0,11.0,3.0,24.0,10.0,7.0,0.13,4.0,2.5,24.0,0.0,0.67,335.0,2017.49,0.57,3.0,5.0,19.0,87.0,55.0,Y
10.0,5.0,1.0,2.0,8.0,3.0,0.09,4.0,2.0,13.0,1.0,0.23,145.0,697.07,0.33,2.0,4.0,12.0,49.0,33.0,N
4.0,3.0,1.0,0.0,4.0,2.0,0.2,2.0,2.0,7.0,1.0,0.05,33.0,142.62,0.5,1.0,2.0,7.0,16.0,10.0,N
9.0,15.0,1.0,15.0,28.0,8.0,0.14,14.0,2.0,33.0,1.0,0.36,205.0,1075.83,0.13,7.0,14.0,27.0,70.0,56.0,Y
5.0,1.0,1.0,0.0,0.0,1.0,0.08,0.0,0.0,2.0,1.0,0.06,46.0,191.82,1.0,0.0,0.0,3.0,19.0,12.0,N
10.0,15.0,2.0,23.0,28.0,8.0,0.16,14.0,2.0,36.0,1.0,0.34,188.0,1007.22,0.13,7.0,14.0,30.0,67.0,50.0,Y
9.0,11.0,1.0,5.0,20.0,6.0,0.15,10.0,2.0,25.0,1.0,0.25,147.0,759.98,0.17,5.0,10.0,21.0,54.0,40.0,Y
19.0,17.0,10.0,14.0,28.0,9.0,0.19,12.0,2.33,36.0,0.0,0.28,157.0,846.59,0.11,8.0,14.0,29.0,78.0,47.0,Y
4.0,3.0,1.0,2.0,4.0,2.0,0.2,2.0,2.0,7.0,0.0,0.05,36.0,150.12,0.5,1.0,2.0,7.0,17.0,10.0,N
5.0,7.0,0.0,6.0,12.0,4.0,0.17,6.0,2.0,13.0,0.0,0.08,57.0,246.35,0.25,3.0,6.0,11.0,32.0,23.0,Y
4.0,7.0,2.0,3.0,12.0,4.0,0.15,6.0,2.0,15.0,0.0,0.1,72.0,311.18,0.25,3.0,6.0,13.0,34.0,26.0,Y
2.0,7.0,0.0,0.0,10.0,4.0,0.8,2.0,5.0,9.0,0.0,0.04,31.0,114.71,0.25,4.0,5.0,7.0,10.0,5.0,N
3.0,5.0,0.0,1.0,8.0,3.0,0.25,4.0,2.0,9.0,5.0,0.05,38.0,155.32,0.33,2.0,4.0,8.0,22.0,12.0,Y
6.0,5.0,1.0,1.0,8.0,3.0,0.2,4.0,2.0,11.0,0.0,0.06,42.0,178.41,0.33,2.0,4.0,10.0,25.0,15.0,Y
23.0,23.0,10.0,8.0,42.0,12.0,0.21,20.0,2.1,67.0,2.0,1.2,533.0,3614.46,0.5,11.0,21.0,57.0,105.0,58.0,Y
17.0,17.0,6.0,8.0,32.0,9.0,0.16,16.0,2.0,48.0,1.0,0.8,376.0,2390.44,0.11,8.0,16.0,41.0,85.0,55.0,N
17.0,9.0,8.0,6.0,16.0,5.0,0.18,8.0,2.0,22.0,0.0,0.17,102.0,523.19,0.2,4.0,8.0,19.0,58.0,28.0,Y
4.0,7.0,2.0,0.0,12.0,4.0,0.18,6.0,2.0,16.0,1.0,0.14,96.0,434.26,0.25,3.0,6.0,14.0,31.0,22.0,N
9.0,11.0,1.0,6.0,20.0,6.0,0.15,10.0,2.0,22.0,1.0,0.37,211.0,1122.93,1.0,5.0,10.0,18.0,60.0,39.0,N
14.0,1.0,0.0,62.0,0.0,1.0,0.01,0.0,0.0,1.0,0.0,6.34,2867.0,19006.37,1.0,0.0,0.0,2.0,224.0,195.0,Y
3.0,5.0,0.0,2.0,8.0,3.0,0.38,4.0,2.0,10.0,3.0,0.05,33.0,144.95,0.33,2.0,4.0,9.0,20.0,8.0,Y
6.0,9.0,3.0,2.0,16.0,5.0,0.19,8.0,2.0,21.0,0.0,0.16,93.0,473.13,0.2,4.0,8.0,18.0,41.0,27.0,Y
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,N
6.0,3.0,1.0,1.0,4.0,2.0,0.17,2.0,2.0,6.0,1.0,0.08,54.0,233.38,0.5,1.0,2.0,6.0,21.0,12.0,Y
2.0,1.0,2.0,0.0,0.0,1.0,0.17,0.0,0.0,3.0,0.0,0.02,20.0,74.01,1.0,0.0,0.0,4.0,10.0,6.0,N
3.0,7.0,2.0,17.0,8.0,4.0,0.21,2.0,4.0,11.0,1.0,0.1,70.0,307.46,1.0,3.0,4.0,9.0,25.0,19.0,Y
11.0,29.0,3.0,27.0,50.0,15.0,0.19,22.0,2.27,61.0,1.0,0.55,295.0,1638.6,0.67,14.0,25.0,48.0,102.0,78.0,Y
12.0,9.0,5.0,15.0,16.0,5.0,0.11,8.0,2.0,26.0,0.0,0.31,175.0,924.95,0.2,4.0,8.0,23.0,72.0,45.0,Y
5.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,2.0,1.0,0.06,44.0,176.0,1.0,0.0,0.0,3.0,17.0,10.0,N
5.0,1.0,1.0,0.0,0.0,1.0,0.09,0.0,0.0,2.0,1.0,0.07,49.0,200.29,1.0,0.0,0.0,3.0,18.0,11.0,N
2.0,3.0,4.0,1.0,4.0,2.0,0.17,2.0,2.0,8.0,1.0,0.08,52.0,228.4,0.5,1.0,2.0,8.0,16.0,12.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,0.01,9.0,27.0,1.0,0.0,0.0,2.0,8.0,3.0,Y
8.0,3.0,0.0,1.0,4.0,2.0,0.13,2.0,2.0,7.0,1.0,0.09,62.0,258.54,0.5,1.0,2.0,7.0,33.0,16.0,Y
4.0,13.0,1.0,9.0,18.0,7.0,0.26,6.0,3.0,25.0,1.0,0.14,96.0,414.91,1.0,6.0,9.0,20.0,33.0,27.0,Y
12.0,13.0,9.0,8.0,24.0,7.0,0.19,12.0,2.0,31.0,0.0,0.2,115.0,603.51,0.14,6.0,12.0,26.0,60.0,36.0,Y
3.0,1.0,1.0,0.0,0.0,1.0,0.14,0.0,0.0,2.0,5.0,0.06,42.0,171.67,1.0,0.0,0.0,3.0,16.0,7.0,N
14.0,1.0,1.0,55.0,0.0,1.0,0.0,0.0,0.0,196.0,0.0,8.74,2833.0,26219.5,1.0,0.0,0.0,197.0,226.0,210.0,Y
16.0,22.0,4.0,18.0,22.0,15.0,0.25,10.0,2.2,45.0,1.0,0.77,400.0,2301.96,0.07,6.0,11.0,32.0,85.0,60.0,N
4.0,1.0,0.0,0.0,0.0,1.0,0.13,0.0,0.0,1.0,1.0,0.07,57.0,204.34,1.0,0.0,0.0,2.0,14.0,8.0,N
4.0,1.0,0.0,0.0,0.0,1.0,0.13,0.0,0.0,1.0,1.0,0.07,57.0,204.34,1.0,0.0,0.0,2.0,14.0,8.0,N
4.0,1.0,2.0,1.0,0.0,1.0,0.17,0.0,0.0,3.0,1.0,0.02,17.0,60.94,1.0,0.0,0.0,4.0,13.0,6.0,N
4.0,1.0,1.0,0.0,0.0,1.0,0.14,0.0,0.0,2.0,1.0,0.05,36.0,137.06,1.0,0.0,0.0,3.0,14.0,7.0,N
12.0,7.0,4.0,4.0,10.0,4.0,0.12,4.0,2.5,17.0,1.0,0.31,175.0,937.57,0.75,3.0,5.0,15.0,53.0,33.0,N
3.0,1.0,1.0,0.0,0.0,1.0,0.25,0.0,0.0,2.0,0.0,0.01,13.0,44.97,1.0,0.0,0.0,3.0,13.0,4.0,N
2.0,1.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,2.0,0.0,0.02,19.0,70.31,1.0,0.0,0.0,3.0,9.0,5.0,N
3.0,1.0,1.0,1.0,0.0,1.0,0.25,0.0,0.0,2.0,0.0,0.02,15.0,53.77,1.0,0.0,0.0,3.0,11.0,4.0,Y
2.0,1.0,1.0,0.0,0.0,1.0,0.33,0.0,0.0,2.0,0.0,0.01,9.0,27.0,1.0,0.0,0.0,3.0,8.0,3.0,N
2.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,0.0,0.01,8.0,22.46,1.0,0.0,0.0,2.0,7.0,3.0,N
2.0,1.0,1.0,0.0,0.0,1.0,0.33,0.0,0.0,2.0,0.0,0.01,9.0,27.0,1.0,0.0,0.0,3.0,8.0,3.0,N
1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,3.0,4.75,1.0,0.0,0.0,2.0,5.0,2.0,N
1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,0.0,0.01,7.0,18.09,1.0,0.0,0.0,2.0,6.0,3.0,N
2.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,0.0,0.01,8.0,22.46,1.0,0.0,0.0,2.0,7.0,3.0,N
2.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,0.0,0.01,8.0,22.46,1.0,0.0,0.0,2.0,7.0,3.0,N
6.0,5.0,1.0,0.0,8.0,3.0,0.11,4.0,2.0,12.0,1.0,0.13,82.0,389.9,0.33,2.0,4.0,11.0,38.0,28.0,N
5.0,5.0,1.0,2.0,8.0,3.0,0.1,4.0,2.0,11.0,1.0,0.17,104.0,499.96,0.33,2.0,4.0,10.0,38.0,29.0,Y
5.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,2.0,1.0,0.05,41.0,164.0,1.0,0.0,0.0,3.0,17.0,10.0,N
5.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,2.0,1.0,0.06,47.0,188.0,1.0,0.0,0.0,3.0,17.0,10.0,N
13.0,3.0,1.0,0.0,4.0,2.0,0.07,2.0,2.0,7.0,1.0,0.21,133.0,625.16,0.5,1.0,2.0,7.0,48.0,27.0,N
10.0,3.0,1.0,0.0,4.0,2.0,0.08,2.0,2.0,7.0,1.0,0.21,134.0,629.86,0.5,1.0,2.0,7.0,43.0,26.0,N
13.0,17.0,6.0,14.0,26.0,9.0,0.35,10.0,2.6,33.0,0.0,0.18,100.0,539.23,0.11,8.0,13.0,26.0,51.0,26.0,Y
8.0,15.0,1.0,4.0,20.0,8.0,0.36,6.0,3.33,22.0,1.0,0.16,94.0,482.15,0.13,7.0,10.0,16.0,40.0,22.0,Y
31.0,25.0,3.0,19.0,38.0,13.0,0.22,14.0,2.71,45.0,0.0,0.5,266.0,1508.87,0.69,12.0,19.0,34.0,120.0,58.0,Y
18.0,5.0,1.0,4.0,8.0,3.0,0.08,4.0,2.0,12.0,2.0,0.28,170.0,825.86,0.33,2.0,4.0,11.0,75.0,36.0,N
36.0,21.0,1.0,18.0,38.0,11.0,0.16,18.0,2.11,42.0,0.0,0.47,279.0,1395.0,0.09,10.0,19.0,33.0,150.0,69.0,Y
9.0,17.0,1.0,5.0,30.0,9.0,0.15,14.0,2.14,36.0,0.0,0.46,241.0,1393.31,0.44,8.0,15.0,29.0,76.0,59.0,Y
3.0,3.0,1.0,0.0,4.0,2.0,0.25,2.0,2.0,6.0,0.0,0.05,33.0,147.16,0.5,1.0,2.0,6.0,14.0,8.0,N
3.0,7.0,1.0,3.0,8.0,4.0,0.4,2.0,4.0,9.0,0.0,0.06,39.0,168.56,1.0,3.0,4.0,7.0,15.0,10.0,Y
7.0,11.0,1.0,17.0,18.0,6.0,0.26,8.0,2.25,19.0,1.0,0.11,69.0,331.71,0.17,5.0,9.0,15.0,39.0,23.0,Y
4.0,3.0,1.0,2.0,4.0,2.0,0.15,2.0,2.0,6.0,1.0,0.07,44.0,201.74,0.5,1.0,2.0,6.0,19.0,13.0,N
2.0,3.0,1.0,1.0,4.0,2.0,0.33,2.0,2.0,5.0,0.0,0.02,19.0,74.23,0.5,1.0,2.0,5.0,10.0,6.0,Y
3.0,3.0,1.0,1.0,4.0,2.0,0.25,2.0,2.0,5.0,0.0,0.03,20.0,78.14,0.5,1.0,2.0,5.0,13.0,8.0,Y
3.0,3.0,1.0,1.0,4.0,2.0,0.25,2.0,2.0,5.0,1.0,0.04,27.0,110.36,0.5,1.0,2.0,5.0,13.0,8.0,Y
3.0,5.0,2.0,0.0,6.0,3.0,0.33,2.0,3.0,9.0,1.0,0.05,35.0,153.73,1.0,2.0,3.0,8.0,14.0,9.0,N
3.0,5.0,1.0,2.0,6.0,3.0,0.33,2.0,3.0,8.0,0.0,0.05,38.0,164.23,1.0,2.0,3.0,7.0,15.0,9.0,Y
4.0,7.0,2.0,0.0,12.0,4.0,0.27,6.0,2.0,15.0,0.0,0.08,49.0,230.32,0.25,3.0,6.0,13.0,23.0,15.0,N
4.0,3.0,1.0,0.0,4.0,2.0,0.25,2.0,2.0,6.0,1.0,0.02,19.0,74.23,0.5,1.0,2.0,6.0,14.0,8.0,N
3.0,1.0,1.0,0.0,0.0,1.0,0.25,0.0,0.0,2.0,0.0,0.01,8.0,22.46,1.0,0.0,0.0,3.0,9.0,4.0,N
3.0,5.0,1.0,1.0,8.0,3.0,0.27,4.0,2.0,8.0,0.0,0.03,25.0,102.19,0.33,2.0,4.0,7.0,16.0,11.0,Y
3.0,3.0,1.0,0.0,4.0,2.0,0.25,2.0,2.0,5.0,0.0,0.03,20.0,78.14,0.5,1.0,2.0,5.0,13.0,8.0,N
