@relation SelectedFeatures
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
3.0,2.0,1.0,8.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,32.0,0.0,68.36,18.78,0.5,1.0,2.0,0.04,33.0,N
9.0,7.0,1.0,20.0,16.0,5.0,2.0,5.0,1.0,1.0,0.0,23.0,0.0,30.19,7.85,0.2,4.0,8.0,0.09,24.0,N
3.0,0.0,1.0,6.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,8.0,1.0,10.63,3.75,0.5,1.0,2.0,0.11,9.0,N
19.0,8.0,1.0,1.0,28.0,11.0,2.0,9.0,0.82,10.0,0.9,63.0,2.0,40.21,43.24,0.91,7.0,14.0,0.13,64.0,N
7.0,4.0,1.0,0.0,12.0,4.0,2.0,4.0,1.0,4.0,1.0,22.0,2.0,30.25,10.71,1.0,3.0,6.0,0.11,23.0,N
13.0,4.0,1.0,1.0,24.0,7.0,2.0,6.0,0.86,1.0,0.0,36.0,2.0,34.37,26.52,0.14,6.0,12.0,0.13,37.0,N
3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,23.0,2.0,56.67,6.13,0.5,1.0,2.0,0.06,24.0,N
9.0,3.0,1.0,1.0,16.0,5.0,2.0,4.0,0.8,5.0,1.0,20.0,2.0,23.83,11.5,1.0,4.0,8.0,0.14,21.0,N
7.0,3.0,4.0,0.0,12.0,4.0,2.0,4.0,1.0,4.0,1.0,17.0,2.0,26.81,10.4,1.0,3.0,6.0,0.13,21.0,N
27.0,7.0,3.0,1.0,44.0,15.0,2.0,12.0,0.8,8.0,0.5,73.0,2.0,36.37,50.39,0.53,11.0,22.0,0.14,76.0,N
3.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,6.0,2.0,16.39,3.5,0.5,1.0,2.0,0.11,10.0,N
7.0,5.0,5.0,1.0,12.0,4.0,2.0,3.0,0.75,1.0,0.0,17.0,2.0,31.11,12.06,0.25,3.0,6.0,0.12,22.0,N
23.0,7.0,3.0,1.0,36.0,13.0,2.0,9.0,0.69,9.0,0.67,64.0,2.0,39.47,43.33,0.69,9.0,18.0,0.14,67.0,N
7.0,1.0,0.0,0.0,10.0,4.0,2.5,2.0,0.5,4.0,1.0,20.0,1.0,13.47,16.0,1.0,3.0,5.0,0.17,20.0,N
11.0,1.0,0.0,0.0,16.0,6.0,2.67,2.0,0.33,6.0,1.0,24.0,1.0,19.97,17.33,1.0,5.0,8.0,0.21,24.0,N
11.0,1.0,0.0,0.0,16.0,6.0,2.67,2.0,0.33,6.0,1.0,24.0,1.0,19.97,17.33,1.0,5.0,8.0,0.21,24.0,N
5.0,0.0,0.0,0.0,6.0,3.0,3.0,1.0,0.33,3.0,1.0,9.0,1.0,14.65,4.8,1.0,2.0,3.0,0.3,9.0,N
9.0,0.0,0.0,0.0,10.0,5.0,5.0,1.0,0.2,5.0,1.0,9.0,1.0,19.29,6.43,1.0,4.0,7.0,0.5,9.0,N
5.0,0.0,0.0,0.0,6.0,3.0,3.0,1.0,0.33,3.0,1.0,9.0,1.0,9.14,10.0,1.0,2.0,3.0,0.3,9.0,N
3.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,14.0,2.0,36.78,7.07,0.5,1.0,2.0,0.13,14.0,N
9.0,8.0,9.0,14.0,16.0,5.0,2.0,5.0,1.0,1.0,0.0,60.0,8.0,97.85,22.12,0.2,4.0,8.0,0.03,69.0,N
5.0,2.0,10.0,6.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,16.0,0.0,39.8,9.0,0.33,2.0,4.0,0.07,26.0,N
3.0,2.0,0.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,12.0,1.0,23.34,6.11,0.5,1.0,2.0,0.1,12.0,N
3.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,13.0,2.0,18.1,9.63,0.5,1.0,2.0,0.12,13.0,N
34.0,25.0,3.0,91.0,12.0,30.0,2.0,26.0,0.87,1.0,0.0,133.0,3.0,54.04,77.46,0.03,3.0,6.0,0.11,136.0,Y
3.0,3.0,0.0,13.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,16.0,3.0,21.16,9.1,0.5,1.0,2.0,0.06,16.0,N
7.0,2.0,3.0,5.0,10.0,4.0,2.5,3.0,0.75,3.0,0.67,27.0,3.0,28.78,18.12,0.75,3.0,5.0,0.07,30.0,N
9.0,2.0,3.0,15.0,14.0,5.0,2.33,4.0,0.8,4.0,0.75,31.0,3.0,35.02,17.25,0.8,4.0,7.0,0.07,34.0,N
9.0,3.0,2.0,28.0,16.0,5.0,2.0,3.0,0.6,1.0,0.0,37.0,2.0,30.93,16.0,0.2,4.0,8.0,0.06,39.0,N
7.0,1.0,0.0,6.0,10.0,4.0,2.5,2.0,0.5,3.0,0.67,26.0,2.0,38.77,13.2,0.75,3.0,5.0,0.11,26.0,N
11.0,1.0,0.0,8.0,20.0,6.0,2.0,3.0,0.5,1.0,0.0,34.0,2.0,59.16,12.6,0.17,5.0,10.0,0.12,34.0,N
13.0,5.0,2.0,30.0,22.0,7.0,2.2,5.0,0.71,1.0,0.0,31.0,1.0,26.31,23.5,0.14,6.0,11.0,0.08,33.0,N
3.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,15.0,2.0,37.54,7.6,0.5,1.0,2.0,0.09,15.0,N
7.0,2.0,6.0,12.0,12.0,4.0,2.0,4.0,1.0,4.0,1.0,15.0,2.0,18.1,16.36,1.0,3.0,6.0,0.09,21.0,N
57.0,13.0,45.0,13.0,112.0,29.0,2.0,27.0,0.93,7.0,0.21,130.0,0.0,91.32,55.88,0.24,28.0,56.0,0.11,175.0,N
7.0,8.0,3.0,3.0,12.0,4.0,2.0,4.0,1.0,1.0,0.0,30.0,0.0,30.45,20.71,0.25,3.0,6.0,0.08,33.0,N
11.0,8.0,4.0,0.0,20.0,6.0,2.0,6.0,1.0,1.0,0.0,34.0,0.0,64.31,12.0,0.17,5.0,10.0,0.12,38.0,N
15.0,7.0,27.0,28.0,20.0,9.0,2.0,6.0,0.67,1.0,0.0,59.0,1.0,47.3,45.77,0.11,5.0,10.0,0.06,86.0,N
7.0,1.0,11.0,30.0,12.0,4.0,2.0,1.0,0.25,1.0,0.0,16.0,6.0,18.87,19.62,0.25,3.0,6.0,0.06,27.0,N
23.0,1.0,5.0,95.0,44.0,12.0,2.0,1.0,0.08,1.0,0.0,65.0,4.0,79.18,42.02,0.08,11.0,22.0,0.06,70.0,N
39.0,6.0,20.0,96.0,70.0,20.0,2.19,4.0,0.2,9.0,0.42,91.0,1.0,72.67,51.47,0.45,19.0,35.0,0.08,111.0,Y
5.0,3.0,0.0,3.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,20.0,0.0,38.85,12.28,0.33,2.0,4.0,0.1,20.0,N
19.0,0.0,6.0,6.0,36.0,10.0,2.0,1.0,0.1,5.0,0.44,58.0,3.0,30.99,33.52,0.5,9.0,18.0,0.13,64.0,Y
29.0,0.0,19.0,53.0,50.0,15.0,2.27,1.0,0.07,9.0,0.57,50.0,2.0,50.79,25.26,0.6,14.0,25.0,0.11,69.0,N
5.0,0.0,0.0,0.0,8.0,3.0,2.0,1.0,0.33,1.0,0.0,12.0,2.0,21.83,10.42,0.33,2.0,4.0,0.21,12.0,N
33.0,7.0,13.0,55.0,60.0,17.0,2.14,6.0,0.35,7.0,0.38,93.0,1.0,56.02,48.06,0.41,16.0,30.0,0.09,106.0,N
37.0,6.0,0.0,18.0,52.0,19.0,2.6,13.0,0.68,19.0,1.0,69.0,0.0,73.61,37.75,1.0,16.0,26.0,0.17,69.0,N
5.0,0.0,1.0,0.0,8.0,3.0,2.0,1.0,0.33,3.0,1.0,16.0,2.0,13.72,10.56,1.0,2.0,4.0,0.14,17.0,N
5.0,0.0,0.0,0.0,8.0,3.0,2.0,1.0,0.33,1.0,0.0,20.0,2.0,10.03,14.67,0.33,2.0,4.0,0.12,20.0,N
28.0,16.0,20.0,119.0,28.0,17.0,2.33,13.0,0.76,10.0,0.56,154.0,1.0,133.35,38.57,0.59,8.0,14.0,0.05,174.0,N
31.0,3.0,1.0,19.0,54.0,16.0,2.25,7.0,0.44,9.0,0.53,72.0,6.0,86.16,18.26,0.56,15.0,28.0,0.16,73.0,N
31.0,10.0,13.0,50.0,34.0,18.0,2.13,13.0,0.72,1.0,0.0,125.0,3.0,77.8,40.25,0.06,9.0,17.0,0.07,138.0,N
9.0,2.0,0.0,17.0,16.0,5.0,2.0,2.0,0.4,1.0,0.0,29.0,2.0,27.4,20.78,0.2,4.0,8.0,0.09,29.0,N
5.0,1.0,1.0,11.0,8.0,3.0,2.0,1.0,0.33,1.0,0.0,18.0,4.0,35.6,12.89,0.33,2.0,4.0,0.05,19.0,N
21.0,7.0,0.0,8.0,36.0,11.0,2.25,8.0,0.73,5.0,0.4,55.0,4.0,48.89,26.83,0.45,10.0,18.0,0.14,55.0,N
5.0,2.0,0.0,39.0,8.0,3.0,2.0,1.0,0.33,1.0,0.0,47.0,2.0,59.87,15.65,0.33,2.0,4.0,0.02,47.0,N
11.0,2.0,2.0,14.0,20.0,6.0,2.0,2.0,0.33,4.0,0.6,32.0,1.0,21.82,22.85,0.67,5.0,10.0,0.1,34.0,N
5.0,4.0,0.0,2.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,21.0,2.0,34.56,8.63,0.33,2.0,4.0,0.12,21.0,N
3.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,14.0,3.0,12.74,7.86,0.5,1.0,2.0,0.1,14.0,N
5.0,6.0,0.0,6.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,21.0,2.0,40.4,11.25,0.33,2.0,4.0,0.09,21.0,N
5.0,4.0,0.0,11.0,8.0,3.0,2.0,2.0,0.67,1.0,0.0,28.0,1.0,36.57,15.24,0.33,2.0,4.0,0.06,28.0,Y
3.0,3.0,0.0,9.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,18.0,1.0,32.0,11.63,0.5,1.0,2.0,0.07,18.0,N
6.0,5.0,2.0,13.0,4.0,4.0,2.0,4.0,1.0,1.0,0.0,36.0,0.0,48.31,17.63,0.25,1.0,2.0,0.07,38.0,N
58.0,13.0,12.0,33.0,78.0,32.0,2.17,20.0,0.63,7.0,0.19,160.0,3.0,151.5,22.73,0.22,21.0,39.0,0.14,172.0,N
37.0,12.0,0.0,62.0,64.0,20.0,2.0,18.0,0.9,1.0,0.0,149.0,0.0,171.78,29.58,0.05,16.0,32.0,0.09,149.0,Y
141.0,24.0,45.0,339.0,238.0,73.0,2.25,41.0,0.56,30.0,0.4,411.0,7.0,293.68,43.41,0.41,66.0,119.0,0.13,456.0,Y
29.0,5.0,3.0,29.0,54.0,15.0,2.08,12.0,0.8,3.0,0.14,121.0,0.0,164.09,23.26,0.2,14.0,27.0,0.09,124.0,Y
3.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,13.0,0.0,21.15,3.5,0.5,1.0,2.0,0.14,13.0,N
49.0,8.0,33.0,58.0,90.0,25.0,2.14,9.0,0.36,12.0,0.46,128.0,0.0,104.25,54.33,0.48,24.0,45.0,0.11,161.0,N
9.0,0.0,0.0,0.0,16.0,5.0,2.0,1.0,0.2,1.0,0.0,20.0,1.0,13.75,21.0,0.2,4.0,8.0,0.2,20.0,N
11.0,3.0,2.0,20.0,14.0,6.0,3.5,2.0,0.33,1.0,0.0,27.0,0.0,38.41,13.45,0.17,5.0,7.0,0.12,29.0,N
19.0,4.0,6.0,7.0,32.0,10.0,2.29,7.0,0.7,9.0,0.89,47.0,0.0,105.02,18.86,0.9,9.0,16.0,0.14,53.0,N
5.0,9.0,2.0,18.0,8.0,3.0,2.0,2.0,0.67,1.0,0.0,16.0,1.0,45.77,7.71,0.33,2.0,4.0,0.04,18.0,N
7.0,4.0,0.0,21.0,12.0,4.0,2.0,4.0,1.0,1.0,0.0,41.0,7.0,61.36,23.68,0.25,3.0,6.0,0.05,41.0,N
3.0,0.0,3.0,0.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,14.0,2.0,16.29,9.29,0.5,1.0,2.0,0.09,17.0,N
3.0,0.0,3.0,0.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,14.0,2.0,16.29,9.29,0.5,1.0,2.0,0.09,17.0,N
5.0,4.0,0.0,39.0,8.0,3.0,2.0,1.0,0.33,1.0,0.0,27.0,1.0,61.85,12.04,0.33,2.0,4.0,0.04,27.0,N
3.0,2.0,6.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,21.0,2.0,22.83,23.0,0.5,1.0,2.0,0.04,27.0,N
5.0,1.0,0.0,5.0,6.0,3.0,3.0,2.0,0.67,3.0,1.0,16.0,4.0,24.32,7.64,1.0,2.0,3.0,0.14,16.0,N
17.0,3.0,12.0,20.0,32.0,9.0,2.0,3.0,0.33,1.0,0.0,55.0,4.0,52.18,33.32,0.11,8.0,16.0,0.07,67.0,N
9.0,3.0,10.0,22.0,16.0,5.0,2.0,2.0,0.4,1.0,0.0,22.0,7.0,27.26,22.11,0.2,4.0,8.0,0.08,32.0,N
23.0,10.0,14.0,78.0,42.0,12.0,2.1,6.0,0.5,4.0,0.27,79.0,7.0,89.42,13.73,0.33,11.0,21.0,0.07,93.0,Y
47.0,2.0,1.0,58.0,80.0,25.0,2.0,24.0,0.96,1.0,0.0,138.0,1.0,171.89,27.21,0.04,20.0,40.0,0.12,139.0,N
7.0,9.0,1.0,23.0,10.0,4.0,2.5,4.0,1.0,1.0,0.0,23.0,0.0,34.26,11.57,0.25,3.0,5.0,0.08,24.0,N
19.0,5.0,4.0,15.0,16.0,13.0,2.0,6.0,0.46,1.0,0.0,60.0,1.0,66.12,13.9,0.08,4.0,8.0,0.16,64.0,N
9.0,4.0,1.0,0.0,16.0,5.0,2.0,3.0,0.6,1.0,0.0,32.0,0.0,27.2,13.24,0.2,4.0,8.0,0.14,33.0,N
5.0,5.0,0.0,11.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,28.0,2.0,47.22,11.69,0.33,2.0,4.0,0.07,28.0,N
7.0,5.0,0.0,12.0,12.0,4.0,2.0,3.0,0.75,3.0,0.67,41.0,0.0,56.52,13.19,0.75,3.0,6.0,0.06,41.0,Y
3.0,4.0,0.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,19.0,2.0,33.23,9.41,0.5,1.0,2.0,0.08,19.0,N
3.0,4.0,0.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,19.0,2.0,31.71,8.91,0.5,1.0,2.0,0.08,19.0,N
7.0,7.0,3.0,35.0,10.0,4.0,2.5,1.0,0.25,3.0,0.67,38.0,3.0,60.5,14.75,0.75,3.0,5.0,0.05,41.0,N
3.0,14.0,0.0,7.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,41.0,1.0,93.81,15.69,0.5,1.0,2.0,0.03,41.0,N
3.0,9.0,0.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,30.0,0.0,58.05,14.68,0.5,1.0,2.0,0.05,30.0,N
29.0,8.0,2.0,65.0,56.0,15.0,2.0,6.0,0.4,11.0,0.71,149.0,6.0,118.83,46.92,0.73,14.0,28.0,0.07,151.0,N
3.0,4.0,0.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,19.0,2.0,31.58,9.5,0.5,1.0,2.0,0.08,19.0,N
37.0,12.0,23.0,65.0,60.0,20.0,2.14,10.0,0.5,9.0,0.42,130.0,1.0,83.0,51.6,0.45,16.0,30.0,0.09,153.0,Y
15.0,6.0,6.0,7.0,20.0,9.0,2.0,7.0,0.78,1.0,0.0,57.0,7.0,45.05,29.27,0.11,5.0,10.0,0.12,63.0,Y
3.0,4.0,0.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,42.0,0.0,94.81,13.88,0.5,1.0,2.0,0.04,42.0,N
3.0,2.0,6.0,13.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,14.0,1.0,28.66,11.47,0.5,1.0,2.0,0.06,20.0,N
3.0,5.0,0.0,12.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,22.0,1.0,36.77,11.48,0.5,1.0,2.0,0.06,22.0,N
5.0,0.0,0.0,9.0,8.0,3.0,2.0,1.0,0.33,1.0,0.0,27.0,2.0,54.96,8.31,0.33,2.0,4.0,0.08,27.0,N
9.0,0.0,1.0,4.0,16.0,5.0,2.0,1.0,0.2,1.0,0.0,31.0,2.0,14.28,19.94,0.2,4.0,8.0,0.13,32.0,N
19.0,5.0,7.0,39.0,34.0,10.0,2.13,8.0,0.8,8.0,0.78,127.0,18.0,124.12,29.01,0.8,9.0,17.0,0.06,134.0,N
9.0,3.0,6.0,4.0,16.0,5.0,2.0,5.0,1.0,1.0,0.0,49.0,8.0,102.23,12.09,0.2,4.0,8.0,0.08,55.0,Y
7.0,4.0,1.0,5.0,12.0,4.0,2.0,4.0,1.0,1.0,0.0,45.0,0.0,99.18,16.49,0.25,3.0,6.0,0.06,46.0,N
29.0,10.0,27.0,41.0,56.0,15.0,2.0,15.0,1.0,15.0,1.0,92.0,2.0,46.37,57.0,1.0,14.0,28.0,0.07,119.0,N
7.0,0.0,7.0,11.0,12.0,4.0,2.0,1.0,0.25,4.0,1.0,18.0,4.0,24.0,15.38,1.0,3.0,6.0,0.09,25.0,N
11.0,4.0,9.0,22.0,20.0,6.0,2.0,6.0,1.0,1.0,0.0,36.0,3.0,46.84,21.46,0.17,5.0,10.0,0.07,45.0,N
5.0,1.0,4.0,0.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,22.0,0.0,24.31,14.06,0.33,2.0,4.0,0.09,26.0,N
7.0,4.0,10.0,22.0,12.0,4.0,2.0,2.0,0.5,1.0,0.0,30.0,2.0,45.35,25.34,0.25,3.0,6.0,0.05,40.0,N
