@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LEVEL numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
6.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,27.75,0.13,0.04,0.0,0.0,3.0,0.04,37.0,6.0,5.26,19.0,N
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,27.0,0.04,0.04,0.0,0.0,4.0,0.06,12.0,2.0,36.36,8.0,N
2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.5,0.04,0.15,0.0,0.0,3.0,0.09,13.0,6.0,14.29,7.0,N
1.0,3.0,0.0,2.0,1.0,0.5,0.0,2.0,1.0,9.9,0.04,0.1,1.0,2.0,5.0,0.17,9.0,5.0,0.0,9.0,N
0.0,7.0,0.0,4.0,4.0,1.0,0.0,4.0,1.0,8.0,0.04,0.13,4.0,5.0,10.0,0.57,12.0,6.0,0.0,5.0,N
4.0,7.0,2.0,4.0,2.0,0.5,0.0,4.0,1.0,29.11,0.34,0.03,3.0,6.0,15.0,0.07,79.0,19.0,8.16,47.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.02,0.5,0.0,0.0,2.0,0.14,8.0,6.0,0.0,5.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.75,0.02,0.27,0.0,0.0,5.0,0.17,6.0,4.0,0.0,4.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,23.25,0.14,0.04,0.0,0.0,21.0,0.04,31.0,6.0,21.05,17.0,N
1.0,11.0,0.0,6.0,1.0,0.17,0.0,0.0,0.0,12.0,0.06,0.08,5.0,10.0,17.0,0.26,18.0,6.0,0.0,20.0,N
0.0,17.0,3.0,9.0,3.0,0.33,2.0,7.0,0.78,36.0,0.19,0.03,8.0,12.0,23.0,0.24,52.0,13.0,16.67,33.0,N
2.0,21.0,5.0,11.0,3.0,0.27,4.0,9.0,0.82,31.5,0.21,0.03,10.0,14.0,25.0,0.24,56.0,16.0,20.51,34.0,N
2.0,15.0,2.0,8.0,1.0,0.13,0.0,6.0,0.75,19.2,0.1,0.05,7.0,12.0,21.0,0.28,32.0,10.0,16.0,23.0,N
0.0,5.0,0.0,3.0,1.0,0.33,2.0,3.0,1.0,6.5,0.04,0.15,2.0,3.0,7.0,0.2,13.0,10.0,8.33,12.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,N
0.0,5.0,0.0,3.0,1.0,0.33,2.0,3.0,1.0,6.5,0.04,0.15,2.0,3.0,7.0,0.2,13.0,10.0,8.33,12.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,N
0.0,7.0,0.0,4.0,1.0,0.25,3.0,4.0,1.0,6.67,0.06,0.15,3.0,4.0,8.0,0.24,16.0,12.0,7.69,13.0,N
1.0,7.0,0.0,4.0,2.0,0.5,0.0,3.0,0.75,6.42,0.03,0.16,3.0,6.0,10.0,0.24,11.0,6.0,14.29,14.0,N
1.0,5.0,1.0,3.0,1.0,0.33,2.0,3.0,1.0,5.91,0.05,0.17,2.0,3.0,7.0,0.18,13.0,11.0,15.38,12.0,N
1.0,5.0,1.0,3.0,1.0,0.33,2.0,3.0,1.0,5.91,0.05,0.17,2.0,3.0,7.0,0.18,13.0,11.0,15.38,12.0,N
1.0,5.0,1.0,3.0,2.0,0.67,2.0,3.0,1.0,8.27,0.05,0.12,2.0,3.0,7.0,0.19,13.0,11.0,16.67,11.0,N
1.0,9.0,1.0,5.0,1.0,0.2,2.0,5.0,1.0,10.29,0.07,0.1,4.0,6.0,12.0,0.26,19.0,12.0,13.33,14.0,N
2.0,7.0,0.0,4.0,1.0,0.25,3.0,4.0,1.0,6.36,0.05,0.16,3.0,4.0,7.0,0.27,14.0,11.0,11.11,9.0,N
11.0,19.0,11.0,10.0,2.0,0.2,3.0,9.0,0.9,30.6,0.32,0.03,9.0,13.0,22.0,0.17,85.0,25.0,34.88,32.0,N
11.0,19.0,12.0,10.0,2.0,0.2,3.0,5.0,0.5,32.59,0.36,0.03,9.0,15.0,24.0,0.13,88.0,27.0,26.98,51.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N
0.0,9.0,0.0,5.0,5.0,1.0,0.0,5.0,1.0,27.62,0.06,0.04,5.0,8.0,12.0,0.5,17.0,4.0,42.86,7.0,N
10.0,7.0,13.0,4.0,4.0,1.0,0.0,4.0,1.0,21.64,0.3,0.05,3.0,4.0,27.0,0.08,68.0,22.0,36.11,23.0,N
2.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,9.38,0.08,0.11,0.0,0.0,9.0,0.04,25.0,12.0,58.82,10.0,N
4.0,1.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,18.56,0.24,0.05,0.0,0.0,20.0,0.03,66.0,16.0,46.67,22.0,N
3.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,9.38,0.1,0.11,0.0,0.0,7.0,0.04,30.0,16.0,33.33,12.0,N
4.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,6.68,0.07,0.15,0.0,0.0,11.0,0.04,21.0,11.0,35.29,12.0,N
4.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,8.59,0.07,0.12,0.0,0.0,10.0,0.04,21.0,11.0,31.25,12.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.25,0.02,0.19,0.0,0.0,2.0,0.25,6.0,4.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.13,0.02,0.16,0.0,0.0,3.0,0.25,7.0,4.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N
0.0,9.0,0.0,5.0,5.0,1.0,0.0,5.0,1.0,27.62,0.06,0.04,5.0,8.0,12.0,0.5,17.0,4.0,42.86,7.0,N
0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,3.0,0.17,1.0,1.0,50.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.38,0.02,0.23,0.0,0.0,3.0,0.25,5.0,4.0,0.0,2.0,N
0.0,5.0,0.0,3.0,1.0,0.33,0.0,3.0,1.0,6.0,0.03,0.17,2.0,4.0,11.0,0.3,12.0,6.0,0.0,8.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.25,0.02,0.19,0.0,0.0,2.0,0.25,6.0,4.0,0.0,2.0,N
1.0,5.0,0.0,3.0,1.0,0.33,0.0,3.0,1.0,7.0,0.05,0.14,2.0,3.0,7.0,0.18,14.0,9.0,16.67,12.0,N
1.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,8.55,0.06,0.12,1.0,2.0,8.0,0.11,19.0,10.0,14.29,14.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.13,0.02,0.16,0.0,0.0,3.0,0.25,7.0,4.0,0.0,2.0,N
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,30.0,0.15,0.03,0.0,0.0,14.0,0.07,40.0,6.0,8.33,12.0,N
1.0,9.0,0.0,5.0,3.0,0.6,0.0,4.0,0.8,21.64,0.11,0.05,5.0,8.0,12.0,0.24,28.0,11.0,22.22,18.0,N
1.0,5.0,0.0,3.0,1.0,0.33,0.0,3.0,1.0,11.57,0.05,0.09,2.0,4.0,12.0,0.23,18.0,7.0,10.0,10.0,N
1.0,5.0,0.0,3.0,1.0,0.33,0.0,3.0,1.0,18.33,0.1,0.05,2.0,4.0,12.0,0.2,30.0,9.0,8.33,12.0,N
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,30.0,0.15,0.03,0.0,0.0,14.0,0.07,40.0,6.0,8.33,12.0,N
1.0,5.0,0.0,3.0,1.0,0.33,0.0,3.0,1.0,10.29,0.04,0.1,2.0,4.0,12.0,0.23,16.0,7.0,10.0,10.0,N
2.0,7.0,0.0,4.0,1.0,0.25,0.0,3.0,0.75,14.78,0.06,0.07,3.0,6.0,15.0,0.24,19.0,9.0,7.69,13.0,N
1.0,5.0,0.0,3.0,1.0,0.33,0.0,3.0,1.0,11.57,0.05,0.09,2.0,4.0,12.0,0.23,18.0,7.0,10.0,10.0,N
0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,9.75,0.03,0.1,1.0,2.0,5.0,0.25,6.0,4.0,0.0,6.0,N
1.0,9.0,0.0,5.0,3.0,0.6,0.0,4.0,0.8,19.09,0.1,0.05,4.0,6.0,12.0,0.24,28.0,11.0,22.22,18.0,N
0.0,5.0,0.0,3.0,1.0,0.33,0.0,3.0,1.0,6.75,0.04,0.15,2.0,3.0,7.0,0.2,12.0,8.0,18.18,11.0,N
0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,8.1,0.06,0.12,1.0,2.0,8.0,0.13,18.0,10.0,15.38,13.0,N
1.0,3.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,10.83,0.04,0.09,1.0,2.0,8.0,0.22,13.0,6.0,16.67,6.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
1.0,5.0,0.0,3.0,1.0,0.33,0.0,0.0,0.0,10.0,0.04,0.1,2.0,4.0,12.0,0.23,15.0,6.0,10.0,10.0,N
3.0,3.0,0.0,2.0,1.0,0.5,2.0,2.0,1.0,8.0,0.02,0.13,1.0,2.0,6.0,0.14,8.0,4.0,12.5,8.0,N
1.0,5.0,0.0,3.0,1.0,0.33,1.0,3.0,1.0,4.5,0.02,0.22,3.0,4.0,6.0,0.6,6.0,4.0,0.0,2.0,N
0.0,3.0,0.0,2.0,1.0,0.5,1.0,2.0,1.0,3.75,0.02,0.27,1.0,2.0,7.0,0.18,5.0,4.0,0.0,9.0,N
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.5,0.02,0.29,0.0,0.0,2.0,0.14,6.0,6.0,33.33,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N
0.0,9.0,0.0,5.0,5.0,1.0,2.0,5.0,1.0,27.62,0.06,0.04,5.0,8.0,12.0,0.5,17.0,4.0,42.86,7.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.17,3.0,1.0,0.0,5.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.33,0.0,0.0,2.0,0.17,3.0,1.0,0.0,5.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.17,3.0,1.0,0.0,5.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,2.0,0.0,0.0,2.0,0.13,3.0,3.0,0.0,5.0,N
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,12.8,0.06,0.08,0.0,0.0,3.0,0.11,16.0,5.0,16.67,6.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.25,0.02,0.19,0.0,0.0,2.0,0.25,6.0,4.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.13,0.02,0.16,0.0,0.0,3.0,0.25,7.0,4.0,0.0,2.0,N
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.03,0.17,0.0,0.0,3.0,0.11,10.0,5.0,16.67,6.0,N
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.03,0.17,0.0,0.0,3.0,0.11,10.0,5.0,16.67,6.0,N
1.0,3.0,0.0,2.0,1.0,0.5,0.0,2.0,1.0,14.93,0.07,0.07,1.0,2.0,8.0,0.11,19.0,7.0,6.67,15.0,N
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.03,0.17,0.0,0.0,3.0,0.11,10.0,5.0,16.67,6.0,N
0.0,3.0,0.0,2.0,1.0,0.5,0.0,2.0,1.0,9.63,0.04,0.1,1.0,2.0,5.0,0.2,7.0,4.0,0.0,8.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
2.0,3.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,13.75,0.07,0.07,1.0,2.0,9.0,0.1,20.0,8.0,6.25,16.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,1.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,1.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,1.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,1.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,1.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,1.0,N
0.0,9.0,0.0,5.0,5.0,1.0,2.0,5.0,1.0,27.62,0.06,0.04,5.0,8.0,12.0,0.5,17.0,4.0,42.86,7.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,N
7.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,16.8,0.16,0.06,0.0,0.0,8.0,0.02,48.0,10.0,11.9,37.0,N
31.0,31.0,27.0,16.0,9.0,0.56,0.0,6.0,0.38,50.52,1.06,0.02,15.0,25.0,73.0,0.07,174.0,31.0,16.02,154.0,Y
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.04,0.04,0.0,0.0,3.0,0.04,24.0,2.0,4.55,21.0,N
6.0,13.0,12.0,7.0,1.0,0.14,0.0,7.0,1.0,21.71,0.21,0.05,6.0,11.0,19.0,0.11,48.0,21.0,28.57,37.0,N
8.0,17.0,7.0,9.0,6.0,0.67,0.0,5.0,0.56,36.67,0.5,0.03,8.0,13.0,23.0,0.09,110.0,24.0,11.96,85.0,N
15.0,43.0,12.0,22.0,15.0,0.68,0.0,22.0,1.0,28.18,0.68,0.04,21.0,35.0,52.0,0.21,139.0,37.0,18.18,76.0,N
26.0,41.0,7.0,21.0,15.0,0.71,0.0,21.0,1.0,40.0,1.09,0.03,20.0,34.0,63.0,0.14,185.0,37.0,9.32,111.0,Y
3.0,5.0,1.0,3.0,2.0,0.67,0.0,3.0,1.0,7.31,0.04,0.14,2.0,4.0,9.0,0.14,13.0,8.0,6.25,15.0,Y
14.0,13.0,20.0,7.0,7.0,1.0,0.0,0.0,0.0,17.47,0.24,0.06,6.0,12.0,26.0,0.1,54.0,17.0,35.09,37.0,Y
161.0,85.0,158.0,44.0,18.0,0.41,0.0,13.0,0.3,64.72,6.89,0.02,40.0,56.0,235.0,0.04,923.0,164.0,16.14,827.0,N
4.0,5.0,1.0,3.0,1.0,0.33,0.0,3.0,1.0,10.0,0.07,0.1,2.0,4.0,11.0,0.12,20.0,12.0,6.25,15.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N
