@relation CustomCM1
@attribute CYCLOMATIC_DENSITY numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
0.22,3.0,38.84,9.0,0.0,2.0,2.0,75.0,150.3,14.0,Y
0.06,3.0,96.01,34.0,0.0,2.0,2.0,276.0,1667.02,30.0,N
0.44,7.0,29.41,9.0,1.0,2.0,4.0,47.0,94.36,14.0,N
0.13,5.0,88.98,23.0,0.0,2.0,3.0,102.0,191.28,23.0,N
0.44,7.0,27.77,9.0,1.0,2.0,4.0,41.0,70.69,14.0,N
0.4,3.0,16.0,5.0,0.0,2.0,2.0,26.0,37.56,6.0,N
0.24,31.0,74.18,66.0,0.0,16.0,16.0,250.0,1781.78,61.0,Y
0.32,22.0,64.91,59.0,0.0,4.0,19.0,257.0,2284.71,36.0,N
0.14,7.0,48.34,29.0,0.0,6.0,4.0,96.0,333.93,20.0,Y
0.38,5.0,34.55,8.0,0.0,4.0,3.0,29.0,23.51,11.0,N
0.13,7.0,64.76,31.0,0.0,6.0,4.0,90.0,196.82,20.0,N
0.25,5.0,42.23,12.0,0.0,4.0,3.0,61.0,113.14,10.0,N
0.13,5.0,64.76,23.0,0.0,4.0,3.0,70.0,99.18,17.0,N
0.2,3.0,14.32,10.0,0.0,2.0,2.0,26.0,47.33,7.0,N
0.3,22.0,68.39,64.0,0.0,4.0,19.0,222.0,1635.9,37.0,N
0.22,10.0,36.52,32.0,0.0,4.0,7.0,106.0,538.83,18.0,N
0.6,11.0,51.96,10.0,0.0,4.0,6.0,49.0,53.96,19.0,N
0.24,7.0,76.51,17.0,0.0,6.0,4.0,74.0,106.27,17.0,N
0.3,21.0,47.96,36.0,0.0,4.0,11.0,161.0,936.64,23.0,N
0.31,19.0,49.95,32.0,0.0,14.0,10.0,110.0,424.22,29.0,N
0.26,16.0,17.38,35.0,0.0,12.0,9.0,122.0,1251.55,27.0,N
0.25,25.0,95.37,52.0,0.0,16.0,13.0,206.0,922.41,58.0,Y
0.21,23.0,52.09,58.0,0.0,18.0,12.0,202.0,1601.31,48.0,N
0.29,3.0,11.47,7.0,0.0,2.0,2.0,16.0,15.93,7.0,N
0.2,3.0,22.64,10.0,0.0,2.0,2.0,30.0,41.25,7.0,N
0.13,11.0,46.28,40.0,0.0,10.0,6.0,149.0,882.7,25.0,N
0.36,9.0,17.84,14.0,0.0,8.0,5.0,58.0,208.35,18.0,N
0.56,9.0,18.8,9.0,1.0,2.0,5.0,22.0,21.83,11.0,N
0.16,5.0,26.1,19.0,0.0,4.0,3.0,61.0,166.48,18.0,N
0.23,7.0,27.67,22.0,0.0,2.0,5.0,92.0,474.78,13.0,N
0.4,3.0,21.19,5.0,0.0,2.0,2.0,19.0,12.16,7.0,N
0.3,31.0,80.38,54.0,0.0,18.0,16.0,155.0,549.95,39.0,N
0.33,3.0,25.16,6.0,0.0,2.0,2.0,17.0,8.74,7.0,N
0.55,45.0,104.29,41.0,1.0,4.0,23.0,123.0,237.31,51.0,N
0.22,3.0,18.23,9.0,0.0,2.0,2.0,19.0,15.07,6.0,N
0.33,3.0,12.26,6.0,0.0,2.0,2.0,22.0,36.64,6.0,N
0.25,13.0,30.79,28.0,0.0,10.0,7.0,99.0,442.17,24.0,N
0.17,5.0,27.93,18.0,0.0,4.0,3.0,61.0,171.06,11.0,N
0.27,35.0,68.92,66.0,0.0,30.0,18.0,196.0,1223.38,65.0,N
0.5,9.0,18.99,10.0,0.0,6.0,5.0,43.0,122.33,15.0,N
0.31,25.0,71.63,67.0,0.0,6.0,21.0,224.0,1607.14,39.0,N
0.22,3.0,14.17,9.0,0.0,2.0,2.0,16.0,11.07,6.0,N
0.22,3.0,13.02,9.0,0.0,2.0,2.0,25.0,40.7,6.0,N
0.17,3.0,15.07,12.0,0.0,2.0,2.0,34.0,79.6,9.0,N
0.1,5.0,44.88,30.0,0.0,4.0,3.0,117.0,517.01,18.0,N
0.25,5.0,27.78,12.0,0.0,4.0,3.0,30.0,33.61,9.0,N
0.18,3.0,23.74,11.0,0.0,2.0,2.0,46.0,104.1,10.0,N
0.17,24.0,99.15,82.0,0.0,14.0,14.0,322.0,2496.07,76.0,N
0.14,7.0,102.19,28.0,0.0,4.0,4.0,122.0,249.66,30.0,N
0.29,9.0,27.02,17.0,0.0,6.0,5.0,50.0,116.23,13.0,N
0.21,22.0,55.49,57.0,0.0,12.0,12.0,226.0,2078.19,49.0,Y
0.11,3.0,64.34,19.0,0.0,2.0,2.0,59.0,70.93,13.0,N
0.15,3.0,56.22,13.0,0.0,2.0,2.0,44.0,36.91,13.0,N
0.33,5.0,14.06,9.0,0.0,4.0,3.0,27.0,43.95,9.0,N
0.25,7.0,33.33,16.0,0.0,6.0,4.0,52.0,99.58,13.0,N
0.2,3.0,24.36,10.0,0.0,2.0,2.0,55.0,162.82,10.0,N
0.32,20.0,60.97,50.0,0.0,6.0,16.0,243.0,2210.44,32.0,N
0.26,17.0,55.05,35.0,0.0,16.0,9.0,133.0,532.06,33.0,N
0.13,3.0,67.54,16.0,0.0,2.0,2.0,49.0,39.28,17.0,N
0.11,3.0,39.07,17.0,0.0,2.0,2.0,58.0,108.15,11.0,N
0.22,3.0,13.59,9.0,0.0,2.0,2.0,33.0,85.89,8.0,N
0.33,7.0,27.49,12.0,0.0,6.0,4.0,39.0,62.89,13.0,N
0.26,10.0,34.0,23.0,0.0,6.0,6.0,87.0,345.45,18.0,N
0.13,5.0,34.08,23.0,0.0,4.0,3.0,77.0,237.24,18.0,N
0.29,17.0,52.98,31.0,0.0,12.0,9.0,190.0,1241.98,32.0,N
0.22,3.0,14.17,9.0,0.0,2.0,2.0,16.0,11.07,6.0,N
0.29,3.0,13.45,7.0,0.0,2.0,2.0,28.0,60.51,7.0,N
0.07,3.0,40.86,28.0,0.0,2.0,2.0,81.0,238.46,7.0,N
0.31,15.0,26.74,26.0,0.0,12.0,8.0,75.0,331.04,24.0,N
0.15,5.0,88.39,20.0,0.0,4.0,3.0,82.0,118.06,19.0,N
0.15,3.0,46.71,13.0,0.0,2.0,2.0,44.0,43.01,12.0,N
0.24,17.0,58.47,37.0,0.0,14.0,9.0,131.0,524.63,35.0,N
0.17,21.0,57.39,69.0,0.0,14.0,12.0,258.0,2499.83,56.0,N
0.19,7.0,55.61,21.0,0.0,6.0,4.0,68.0,111.22,17.0,N
0.25,5.0,30.45,12.0,0.0,4.0,3.0,32.0,36.04,10.0,N
0.2,6.0,31.73,20.0,0.0,2.0,4.0,51.0,98.21,13.0,N
0.4,7.0,31.93,10.0,0.0,6.0,4.0,41.0,52.78,12.0,Y
0.08,7.0,85.54,51.0,0.0,6.0,4.0,405.0,4489.4,35.0,N
0.18,15.0,121.61,44.0,0.0,12.0,8.0,181.0,562.27,50.0,Y
0.12,7.0,123.03,34.0,0.0,4.0,4.0,131.0,251.81,32.0,N
0.25,23.0,30.32,48.0,0.0,22.0,12.0,246.0,3805.31,37.0,N
0.16,12.0,39.93,58.0,0.0,2.0,9.0,170.0,1774.86,22.0,N
0.2,3.0,16.37,10.0,0.0,2.0,2.0,43.0,100.33,7.0,N
0.33,25.0,54.51,39.0,0.0,18.0,13.0,228.0,1892.81,36.0,N
0.13,13.0,138.63,52.0,0.0,10.0,7.0,193.0,516.58,48.0,N
0.18,3.0,17.11,11.0,0.0,2.0,2.0,30.0,56.37,7.0,N
0.14,7.0,52.8,37.0,0.0,2.0,5.0,127.0,562.07,17.0,N
0.17,5.0,74.01,18.0,0.0,4.0,3.0,61.0,68.56,20.0,N
0.06,5.0,58.61,44.0,0.0,4.0,3.0,151.0,760.17,19.0,N
0.23,5.0,22.48,13.0,0.0,4.0,3.0,42.0,86.71,9.0,N
0.22,3.0,19.51,9.0,0.0,2.0,2.0,35.0,69.37,7.0,N
0.6,5.0,6.37,5.0,1.0,2.0,3.0,16.0,28.68,7.0,N
0.44,24.0,49.79,43.0,0.0,8.0,19.0,216.0,2044.54,34.0,N
0.45,9.0,11.6,11.0,1.0,6.0,5.0,47.0,249.73,13.0,N
0.4,7.0,37.82,10.0,0.0,6.0,4.0,35.0,33.61,12.0,N
0.5,3.0,14.62,4.0,0.0,2.0,2.0,11.0,5.08,6.0,N
0.34,37.0,79.98,77.0,0.0,18.0,26.0,327.0,3235.52,70.0,Y
0.15,7.0,44.19,26.0,0.0,6.0,4.0,85.0,246.51,21.0,N
0.13,10.0,36.89,61.0,0.0,2.0,8.0,164.0,1646.12,17.0,Y
0.11,3.0,51.65,19.0,0.0,2.0,2.0,162.0,666.24,17.0,N
0.53,39.0,97.07,37.0,1.0,4.0,20.0,112.0,206.08,45.0,N
0.15,10.0,29.3,39.0,0.0,6.0,6.0,130.0,1061.34,17.0,N
0.15,6.0,35.47,27.0,0.0,2.0,4.0,80.0,295.19,15.0,N
0.33,7.0,30.19,12.0,0.0,6.0,4.0,39.0,58.84,13.0,Y
0.15,7.0,76.96,26.0,0.0,4.0,4.0,108.0,273.62,28.0,N
0.23,50.0,95.37,112.0,0.0,36.0,26.0,483.0,6368.52,110.0,Y
0.25,15.0,58.74,53.0,0.0,2.0,13.0,224.0,1770.86,29.0,N
0.25,7.0,42.95,16.0,1.0,6.0,4.0,42.0,41.17,17.0,N
0.23,5.0,11.63,13.0,0.0,4.0,3.0,45.0,186.67,10.0,N
0.16,7.0,73.59,25.0,0.0,4.0,4.0,84.0,144.56,24.0,N
0.1,5.0,100.29,30.0,0.0,4.0,3.0,177.0,563.96,18.0,Y
0.19,5.0,37.53,16.0,0.0,4.0,3.0,47.0,63.08,12.0,N
0.4,3.0,9.25,5.0,0.0,2.0,2.0,18.0,26.64,7.0,N
0.18,5.0,61.4,17.0,1.0,2.0,3.0,124.0,419.6,17.0,N
0.12,5.0,56.24,26.0,0.0,4.0,3.0,76.0,147.68,16.0,N
0.25,3.0,14.09,8.0,0.0,2.0,2.0,32.0,67.48,6.0,N
0.2,3.0,58.84,10.0,0.0,2.0,2.0,51.0,56.75,10.0,N
0.15,11.0,48.3,47.0,0.0,6.0,7.0,235.0,2103.73,31.0,N
0.3,11.0,29.7,20.0,0.0,6.0,6.0,67.0,209.89,16.0,N
0.23,13.0,62.84,31.0,0.0,12.0,7.0,130.0,439.94,26.0,N
0.22,3.0,14.17,9.0,0.0,2.0,2.0,16.0,11.07,6.0,N
