@relation CustomJM1
@attribute LOC_TOTAL numeric
@attribute LOC_COMMENTS numeric
@attribute LOC_BLANK numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute NUM_OPERATORS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute label {Y,N}

@data
6.0,0.0,0.0,11.23,2.0,10.0,1.0,0.01,1.0,179.67,N
23.0,0.0,3.0,23.38,18.0,38.0,4.0,0.09,7.0,3320.36,N
66.0,4.0,8.0,33.65,50.0,105.0,6.0,0.35,10.0,32400.39,N
4.0,0.0,0.0,10.8,2.0,6.0,1.0,0.01,1.0,67.5,N
69.0,10.0,11.0,67.88,45.0,123.0,10.0,0.4,19.0,21110.89,N
10.0,0.0,1.0,15.83,7.0,26.0,5.0,0.08,9.0,3454.35,N
9.0,0.0,1.0,8.86,6.0,7.0,2.0,0.02,3.0,244.16,N
33.0,4.0,5.0,28.93,22.0,56.0,1.0,0.13,1.0,5110.68,N
10.0,0.0,0.0,15.49,6.0,19.0,2.0,0.04,3.0,758.93,N
12.0,0.0,2.0,21.13,8.0,23.0,4.0,0.05,7.0,1188.43,N
39.0,0.0,6.0,23.21,30.0,63.0,4.0,0.16,7.0,10374.57,N
11.0,0.0,0.0,18.88,9.0,20.0,3.0,0.06,5.0,1529.25,N
23.0,0.0,3.0,23.36,18.0,34.0,3.0,0.08,5.0,2575.32,N
26.0,2.0,3.0,19.23,18.0,67.0,10.0,0.17,19.0,14060.0,N
4.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
71.0,3.0,6.0,31.2,59.0,147.0,14.0,0.44,27.0,56645.49,Y
32.0,0.0,5.0,57.65,25.0,40.0,3.0,0.13,5.0,2482.79,N
4.0,0.0,0.0,13.5,2.0,5.0,1.0,0.01,1.0,54.0,N
29.0,3.0,4.0,52.54,18.0,42.0,2.0,0.12,3.0,2433.51,N
16.0,0.0,0.0,28.29,14.0,23.0,3.0,0.05,4.0,962.49,N
148.0,8.0,16.0,63.2,122.0,390.0,16.0,1.36,29.0,263719.21,N
31.0,0.0,4.0,33.92,25.0,62.0,6.0,0.17,11.0,7631.19,N
15.0,0.0,3.0,27.82,10.0,22.0,2.0,0.06,3.0,1001.45,N
29.0,0.0,3.0,26.88,24.0,61.0,6.0,0.19,11.0,11665.16,N
51.0,7.0,4.0,32.74,37.0,94.0,6.0,0.28,11.0,22062.16,N
49.0,5.0,7.0,34.19,31.0,63.0,5.0,0.18,9.0,8751.88,N
8.0,2.0,1.0,13.0,3.0,7.0,1.0,0.01,1.0,117.0,N
20.0,0.0,5.0,37.6,12.0,38.0,1.0,0.08,1.0,1671.15,N
16.0,3.0,3.0,18.5,8.0,15.0,2.0,0.04,3.0,693.96,N
5.0,0.0,0.0,14.99,3.0,8.0,1.0,0.01,1.0,134.92,N
24.0,1.0,7.0,39.47,14.0,32.0,2.0,0.1,3.0,2237.79,N
4.0,0.0,0.0,11.23,2.0,5.0,1.0,0.01,1.0,44.92,Y
91.0,0.0,3.0,24.21,84.0,238.0,10.0,0.75,19.0,210468.79,N
20.0,0.0,2.0,17.27,16.0,36.0,6.0,0.09,11.0,4095.29,N
111.0,32.0,11.0,56.21,68.0,168.0,29.0,0.58,57.0,53284.01,N
92.0,0.0,8.0,45.33,79.0,150.0,8.0,0.42,15.0,34771.29,N
31.0,2.0,7.0,61.26,19.0,66.0,1.0,0.2,1.0,5696.36,N
22.0,0.0,4.0,66.59,16.0,45.0,1.0,0.13,1.0,2397.22,N
77.0,15.0,12.0,31.96,45.0,121.0,16.0,0.37,31.0,38615.5,Y
5.0,0.0,0.0,9.47,3.0,5.0,1.0,0.01,1.0,67.38,N
6.0,0.0,1.0,10.34,3.0,6.0,1.0,0.01,1.0,41.36,N
67.0,3.0,8.0,24.12,53.0,152.0,11.0,0.45,21.0,75153.05,N
234.0,1.0,45.0,66.39,186.0,374.0,45.0,1.49,48.0,301448.3,Y
50.0,9.0,8.0,45.81,31.0,87.0,8.0,0.25,15.0,12752.83,N
54.0,0.0,8.0,29.18,44.0,90.0,6.0,0.26,11.0,20332.36,N
12.0,0.0,2.0,19.2,8.0,14.0,1.0,0.03,1.0,480.0,N
48.0,6.0,5.0,48.26,35.0,98.0,12.0,0.29,23.0,16173.75,N
10.0,0.0,0.0,23.51,8.0,18.0,2.0,0.04,3.0,711.28,Y
42.0,4.0,7.0,41.25,29.0,75.0,6.0,0.26,11.0,14236.57,N
5.0,0.0,0.0,15.86,3.0,9.0,2.0,0.02,3.0,194.27,N
19.0,1.0,3.0,13.89,13.0,30.0,3.0,0.08,5.0,4301.84,N
14.0,0.0,2.0,23.97,9.0,27.0,2.0,0.06,3.0,1534.04,N
8.0,0.0,0.0,12.6,6.0,13.0,3.0,0.03,5.0,560.0,N
7.0,0.0,0.0,10.63,5.0,7.0,2.0,0.01,3.0,149.49,Y
6.0,0.0,0.0,10.01,4.0,16.0,1.0,0.03,1.0,766.23,N
79.0,1.0,6.0,78.83,70.0,150.0,6.0,0.52,10.0,30633.64,N
9.0,0.0,1.0,9.62,6.0,16.0,1.0,0.03,1.0,1040.81,N
5.0,0.0,0.0,8.22,3.0,13.0,1.0,0.02,1.0,525.83,N
17.0,4.0,3.0,17.3,8.0,12.0,2.0,0.02,3.0,224.17,N
16.0,1.0,1.0,12.8,11.0,35.0,5.0,0.07,9.0,3920.0,N
22.0,0.0,4.0,31.95,13.0,26.0,2.0,0.07,3.0,1333.91,N
19.0,8.0,4.0,20.44,5.0,14.0,1.0,0.03,1.0,414.0,N
28.0,1.0,3.0,17.95,20.0,40.0,2.0,0.1,3.0,4532.26,N
62.0,0.0,6.0,31.07,48.0,139.0,16.0,0.41,31.0,49004.57,Y
6.0,0.0,1.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,Y
15.0,0.0,2.0,33.92,10.0,149.0,6.0,0.34,11.0,31429.12,N
29.0,3.0,5.0,59.65,19.0,39.0,3.0,0.12,5.0,2258.86,N
33.0,0.0,7.0,18.5,23.0,73.0,4.0,0.18,7.0,15119.13,N
50.0,0.0,14.0,29.4,32.0,80.0,11.0,0.25,20.0,19348.17,N
47.0,0.0,2.0,36.97,43.0,107.0,14.0,0.35,27.0,29487.2,N
25.0,1.0,6.0,19.88,15.0,41.0,3.0,0.11,5.0,5488.77,N
46.0,3.0,4.0,50.45,36.0,96.0,5.0,0.3,9.0,16025.69,N
38.0,6.0,8.0,24.25,20.0,55.0,2.0,0.13,3.0,6207.53,N
14.0,0.0,2.0,12.97,10.0,19.0,3.0,0.05,5.0,1489.0,N
4.0,0.0,0.0,15.0,2.0,6.0,1.0,0.01,1.0,60.0,Y
40.0,2.0,6.0,47.28,28.0,44.0,5.0,0.14,9.0,3503.71,N
139.0,9.0,7.0,49.72,120.0,306.0,14.0,0.86,27.0,133399.56,N
19.0,0.0,3.0,13.79,14.0,26.0,3.0,0.06,5.0,2374.87,N
28.0,0.0,6.0,30.38,20.0,43.0,5.0,0.12,7.0,4056.4,N
17.0,0.0,6.0,14.99,9.0,8.0,2.0,0.01,3.0,134.92,N
31.0,0.0,6.0,50.5,23.0,49.0,3.0,0.15,5.0,4034.18,Y
25.0,8.0,4.0,33.72,11.0,20.0,1.0,0.05,1.0,642.1,N
28.0,5.0,3.0,32.72,18.0,36.0,7.0,0.1,13.0,2883.89,Y
16.0,0.0,1.0,46.46,13.0,24.0,1.0,0.06,1.0,757.8,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
5.0,0.0,0.0,17.79,3.0,8.0,1.0,0.02,1.0,151.35,N
140.0,47.0,17.0,242.48,74.0,302.0,1.0,1.34,1.0,66364.3,N
135.0,35.0,1.0,49.81,96.0,319.0,10.0,1.15,11.0,237396.79,Y
12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
19.0,0.0,3.0,24.38,14.0,46.0,6.0,0.13,11.0,5856.37,N
4.0,0.0,0.0,11.65,2.0,9.0,1.0,0.02,1.0,186.42,N
25.0,0.0,6.0,21.27,17.0,40.0,5.0,0.1,9.0,4550.4,Y
20.0,0.0,1.0,34.29,17.0,22.0,4.0,0.05,7.0,604.8,N
34.0,0.0,6.0,40.0,26.0,72.0,3.0,0.22,5.0,10530.02,N
15.0,0.0,2.0,28.36,13.0,19.0,2.0,0.05,3.0,806.76,Y
4.0,0.0,0.0,6.74,2.0,6.0,1.0,0.01,1.0,94.75,N
9.0,0.0,0.0,18.23,7.0,15.0,2.0,0.03,3.0,482.22,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
20.0,0.0,3.0,19.2,15.0,23.0,4.0,0.04,7.0,902.99,N
17.0,0.0,4.0,25.69,11.0,18.0,2.0,0.04,3.0,708.15,N
7.0,0.0,1.0,13.45,4.0,8.0,1.0,0.02,1.0,174.36,N
43.0,15.0,4.0,39.5,20.0,92.0,12.0,0.3,23.0,19997.14,N
35.0,0.0,7.0,28.35,26.0,37.0,3.0,0.1,5.0,3410.3,N
13.0,0.0,1.0,26.82,10.0,20.0,2.0,0.05,3.0,758.5,N
22.0,1.0,4.0,40.47,14.0,35.0,2.0,0.1,3.0,2127.42,N
41.0,1.0,6.0,43.39,32.0,115.0,5.0,0.31,9.0,19824.86,Y
11.0,0.0,3.0,22.46,6.0,29.0,1.0,0.07,1.0,1739.36,N
4.0,0.0,0.0,8.0,2.0,6.0,1.0,0.01,1.0,72.0,N
55.0,20.0,7.0,40.03,25.0,82.0,17.0,0.25,33.0,14072.38,N
4.0,0.0,0.0,9.83,2.0,4.0,1.0,0.01,1.0,39.3,N
85.0,2.0,9.0,48.7,71.0,148.0,18.0,0.47,35.0,40251.99,Y
9.0,0.0,1.0,13.95,6.0,7.0,2.0,0.01,3.0,87.17,N
98.0,0.0,21.0,54.85,75.0,189.0,11.0,0.6,21.0,58209.83,N
10.0,0.0,1.0,9.4,7.0,11.0,2.0,0.03,3.0,616.79,N
19.0,0.0,2.0,13.72,13.0,23.0,4.0,0.05,7.0,1704.03,N
24.0,0.0,2.0,38.31,17.0,33.0,3.0,0.09,5.0,1893.82,N
46.0,0.0,5.0,65.86,39.0,73.0,3.0,0.25,5.0,8772.02,N
33.0,5.0,8.0,29.9,17.0,36.0,3.0,0.1,5.0,2841.92,N
78.0,0.0,38.0,7.32,35.0,63.0,11.0,0.13,21.0,22132.54,N
61.0,6.0,7.0,45.45,46.0,128.0,13.0,0.45,25.0,39430.58,Y
7.0,0.0,0.0,4.87,5.0,13.0,2.0,0.02,3.0,887.34,N
20.0,0.0,4.0,31.25,14.0,33.0,2.0,0.09,3.0,2416.5,N
46.0,16.0,1.0,17.65,26.0,88.0,12.0,0.19,23.0,19091.41,Y
28.0,0.0,2.0,21.0,24.0,37.0,9.0,0.1,17.0,4723.94,N
22.0,0.0,1.0,34.35,18.0,36.0,3.0,0.1,5.0,2782.21,N
19.0,1.0,3.0,30.98,11.0,37.0,3.0,0.09,5.0,2614.76,N
26.0,0.0,3.0,22.23,21.0,51.0,6.0,0.13,11.0,6361.26,N
8.0,0.0,2.0,17.79,4.0,8.0,1.0,0.02,1.0,151.35,Y
9.0,0.0,1.0,13.56,6.0,14.0,3.0,0.03,5.0,678.21,Y
6.0,0.0,0.0,17.23,4.0,7.0,1.0,0.01,1.0,38.77,Y
6.0,0.0,0.0,16.18,4.0,11.0,1.0,0.02,1.0,258.89,N
181.0,18.0,15.0,56.75,137.0,328.0,37.0,1.12,73.0,199743.56,Y
5.0,0.0,0.0,11.41,3.0,5.0,2.0,0.01,3.0,71.32,N
3442.0,157.0,447.0,210.28,2824.0,5420.0,470.0,26.95,826.0,31079782.27,Y
20.0,0.0,4.0,14.37,14.0,28.0,4.0,0.07,7.0,2906.02,N
9.0,0.0,0.0,24.11,7.0,11.0,2.0,0.02,3.0,217.02,N
17.0,1.0,0.0,23.59,14.0,50.0,3.0,0.11,5.0,4492.43,N
4.0,0.0,0.0,8.0,2.0,6.0,1.0,0.01,1.0,72.0,N
163.0,19.0,24.0,89.16,116.0,333.0,10.0,1.23,19.0,153340.17,N
5.0,0.0,1.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
5.0,0.0,0.0,6.04,3.0,7.0,1.0,0.01,1.0,166.42,N
23.0,0.0,3.0,27.54,17.0,31.0,2.0,0.09,3.0,2823.12,Y
63.0,10.0,7.0,34.74,43.0,256.0,17.0,0.75,33.0,144913.79,N
5.0,0.0,0.0,16.12,3.0,10.0,1.0,0.02,1.0,258.12,N
4.0,0.0,0.0,9.83,2.0,4.0,1.0,0.01,1.0,39.3,N
143.0,0.0,0.0,95.69,141.0,272.0,44.0,0.88,45.0,72364.89,N
10.0,0.0,0.0,16.59,8.0,42.0,4.0,0.08,7.0,3290.37,N
6.0,0.0,0.0,16.21,4.0,7.0,1.0,0.01,1.0,82.12,Y
16.0,0.0,1.0,16.63,13.0,40.0,6.0,0.1,11.0,5507.46,N
137.0,2.0,18.0,55.87,114.0,257.0,23.0,0.91,45.0,133116.85,N
17.0,1.0,1.0,16.92,13.0,19.0,2.0,0.05,3.0,1193.92,Y
55.0,3.0,31.0,10.32,19.0,45.0,4.0,0.11,7.0,10567.04,Y
76.0,13.0,28.0,28.78,21.0,45.0,4.0,0.14,6.0,6141.15,Y
51.0,5.0,3.0,37.34,41.0,104.0,8.0,0.31,15.0,23858.65,N
12.0,1.0,2.0,26.21,7.0,15.0,2.0,0.04,3.0,597.06,Y
27.0,0.0,1.0,42.44,23.0,52.0,3.0,0.15,5.0,4801.01,N
47.0,8.0,4.0,26.77,30.0,49.0,4.0,0.13,7.0,5684.85,N
8.0,0.0,0.0,19.46,6.0,12.0,2.0,0.02,3.0,238.4,N
5.0,0.0,0.0,8.24,3.0,8.0,1.0,0.01,1.0,206.05,N
522.0,10.0,29.0,207.99,480.0,1320.0,28.0,6.13,55.0,1626925.91,N
19.0,2.0,5.0,24.33,10.0,24.0,2.0,0.05,3.0,908.58,Y
24.0,1.0,4.0,20.43,16.0,44.0,4.0,0.11,7.0,5230.4,N
22.0,0.0,3.0,22.3,17.0,30.0,3.0,0.07,5.0,2229.72,N
35.0,4.0,7.0,40.44,21.0,85.0,4.0,0.23,7.0,12202.02,N
24.0,0.0,6.0,24.83,16.0,33.0,3.0,0.07,5.0,1950.69,N
24.0,6.0,4.0,19.08,11.0,47.0,4.0,0.13,7.0,7907.09,N
4.0,0.0,0.0,6.74,2.0,6.0,1.0,0.01,1.0,94.75,N
9.0,1.0,1.0,12.8,5.0,11.0,3.0,0.03,5.0,627.37,N
12.0,0.0,3.0,17.29,7.0,18.0,2.0,0.04,3.0,787.67,N
24.0,0.0,6.0,32.7,16.0,27.0,2.0,0.08,3.0,1689.22,N
5.0,0.0,0.0,13.79,3.0,5.0,1.0,0.01,1.0,31.02,N
4.0,0.0,0.0,10.8,2.0,6.0,1.0,0.01,1.0,67.5,N
11.0,0.0,2.0,11.92,7.0,13.0,2.0,0.03,3.0,875.88,N
13.0,0.0,0.0,24.52,11.0,20.0,3.0,0.04,5.0,697.59,N
15.0,1.0,2.0,26.32,9.0,30.0,2.0,0.07,3.0,1791.33,N
9.0,0.0,3.0,24.22,4.0,8.0,1.0,0.02,1.0,126.52,N
66.0,16.0,9.0,93.84,30.0,76.0,1.0,0.28,1.0,7522.84,N
423.0,66.0,28.0,47.44,327.0,673.0,32.0,2.33,63.0,1025844.72,Y
12.0,0.0,1.0,18.36,9.0,18.0,2.0,0.05,3.0,1326.68,N
12.0,0.0,3.0,21.4,7.0,20.0,2.0,0.05,3.0,1203.55,Y
35.0,2.0,4.0,28.15,26.0,53.0,4.0,0.16,7.0,7818.81,N
19.0,0.0,3.0,34.66,14.0,37.0,3.0,0.11,5.0,3295.25,N
65.0,0.0,2.0,48.69,61.0,539.0,29.0,1.52,57.0,425549.43,N
8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
9.0,0.0,1.0,55.18,6.0,14.0,1.0,0.04,1.0,220.72,N
39.0,2.0,4.0,35.89,29.0,64.0,5.0,0.2,9.0,9590.94,N
29.0,0.0,4.0,21.02,23.0,95.0,5.0,0.23,9.0,22318.78,N
334.0,11.0,63.0,174.35,244.0,676.0,33.0,2.77,65.0,396298.57,Y
20.0,1.0,4.0,22.7,13.0,39.0,5.0,0.1,9.0,4291.73,N
82.0,8.0,8.0,54.15,62.0,188.0,10.0,0.63,19.0,65394.23,N
49.0,3.0,4.0,36.72,35.0,91.0,13.0,0.28,25.0,19683.15,N
4.0,0.0,0.0,14.99,2.0,8.0,1.0,0.01,1.0,134.92,N
18.0,1.0,2.0,18.95,13.0,18.0,2.0,0.03,3.0,573.36,N
10.0,0.0,1.0,12.74,7.0,19.0,3.0,0.05,5.0,1648.77,N
4.0,0.0,0.0,9.83,2.0,4.0,1.0,0.01,1.0,39.3,N
22.0,0.0,6.0,37.93,14.0,35.0,1.0,0.09,1.0,1959.5,N
22.0,0.0,5.0,48.34,14.0,37.0,1.0,0.1,1.0,1740.29,N
22.0,0.0,3.0,22.3,17.0,30.0,3.0,0.07,5.0,2229.72,N
24.0,0.0,1.0,38.97,21.0,99.0,19.0,0.26,37.0,15179.93,N
7.0,0.0,0.0,21.25,5.0,9.0,1.0,0.02,1.0,122.4,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
52.0,3.0,10.0,11.36,36.0,153.0,2.0,0.33,3.0,84699.71,N
34.0,0.0,5.0,42.78,27.0,46.0,4.0,0.14,7.0,4066.59,Y
10.0,0.0,1.0,15.78,7.0,11.0,1.0,0.02,1.0,252.47,N
54.0,1.0,10.0,32.88,35.0,68.0,7.0,0.2,11.0,11100.41,N
8.0,0.0,0.0,26.64,4.0,10.0,1.0,0.02,1.0,166.52,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
17.0,3.0,3.0,19.46,9.0,25.0,3.0,0.06,5.0,1773.11,N
6.0,0.0,1.0,15.0,3.0,6.0,1.0,0.01,1.0,60.0,N
26.0,7.0,3.0,67.94,13.0,34.0,1.0,0.11,1.0,1670.39,N
60.0,3.0,8.0,32.24,47.0,131.0,14.0,0.42,27.0,50121.52,N
90.0,6.0,17.0,77.19,64.0,158.0,6.0,0.6,11.0,42239.34,Y
21.0,1.0,1.0,37.73,17.0,59.0,2.0,0.17,3.0,7277.8,N
22.0,0.0,5.0,18.73,14.0,27.0,2.0,0.06,3.0,1517.0,Y
33.0,0.0,4.0,24.98,27.0,64.0,3.0,0.16,5.0,8871.52,N
4.0,0.0,0.0,10.8,2.0,6.0,1.0,0.01,1.0,67.5,N
10.0,0.0,1.0,54.57,7.0,22.0,1.0,0.06,1.0,502.92,N
29.0,0.0,1.0,32.36,26.0,60.0,6.0,0.19,11.0,9593.28,N
53.0,1.0,9.0,42.69,41.0,95.0,6.0,0.29,11.0,17874.58,Y
7.0,0.0,1.0,11.89,4.0,7.0,2.0,0.02,3.0,259.02,N
11.0,0.0,1.0,16.75,8.0,29.0,2.0,0.06,3.0,2187.86,N
37.0,4.0,4.0,16.78,24.0,48.0,8.0,0.12,15.0,8197.6,N
62.0,6.0,8.0,40.53,46.0,81.0,10.0,0.25,19.0,13485.6,N
74.0,0.0,12.0,24.35,60.0,80.0,11.0,0.21,12.0,16616.31,N
5.0,0.0,0.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
10.0,0.0,1.0,13.01,7.0,12.0,2.0,0.03,3.0,650.57,N
513.0,4.0,54.0,72.24,452.0,870.0,82.0,3.39,127.0,1428851.32,Y
29.0,2.0,3.0,21.84,22.0,42.0,3.0,0.11,5.0,4590.98,N
48.0,1.0,11.0,28.7,31.0,63.0,4.0,0.17,7.0,9591.48,N
27.0,5.0,4.0,29.2,16.0,25.0,4.0,0.07,7.0,1302.6,Y
81.0,0.0,22.0,103.45,57.0,109.0,5.0,0.43,9.0,16205.79,N
23.0,2.0,3.0,13.63,15.0,56.0,9.0,0.14,17.0,12267.61,N
43.0,6.0,8.0,36.76,27.0,88.0,4.0,0.26,7.0,17097.13,N
7.0,1.0,1.0,15.0,3.0,6.0,1.0,0.01,1.0,60.0,N
15.0,0.0,2.0,14.15,11.0,20.0,3.0,0.04,5.0,1258.13,Y
124.0,0.0,10.0,109.36,112.0,350.0,7.0,1.34,13.0,146687.9,Y
29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
31.0,1.0,1.0,44.3,27.0,79.0,12.0,0.25,23.0,12464.7,Y
16.0,1.0,3.0,29.12,10.0,29.0,2.0,0.08,3.0,1863.92,N
15.0,0.0,2.0,17.01,11.0,26.0,5.0,0.07,9.0,2328.73,N
34.0,1.0,5.0,36.29,26.0,67.0,7.0,0.21,13.0,11345.0,N
39.0,6.0,7.0,24.1,24.0,86.0,6.0,0.26,11.0,25372.2,N
23.0,1.0,1.0,26.94,17.0,30.0,3.0,0.08,5.0,2231.09,N
16.0,0.0,4.0,18.86,10.0,25.0,2.0,0.05,3.0,1283.61,N
4.0,0.0,0.0,9.0,2.0,6.0,1.0,0.01,1.0,100.0,N
5.0,0.0,1.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
4.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
18.0,0.0,3.0,14.78,12.0,32.0,5.0,0.08,9.0,3694.37,N
25.0,3.0,5.0,35.73,15.0,66.0,3.0,0.21,5.0,10597.55,N
9.0,0.0,1.0,17.45,6.0,13.0,2.0,0.03,3.0,528.0,Y
9.0,0.0,1.0,13.22,6.0,15.0,3.0,0.03,5.0,786.47,Y
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
21.0,0.0,4.0,26.06,14.0,35.0,2.0,0.08,3.0,2352.09,N
61.0,4.0,7.0,40.85,45.0,82.0,3.0,0.23,5.0,11399.82,N
32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
4.0,0.0,0.0,6.55,2.0,6.0,1.0,0.01,1.0,58.95,N
6.0,0.0,0.0,21.67,4.0,7.0,1.0,0.01,1.0,70.2,N
65.0,2.0,5.0,31.5,56.0,100.0,9.0,0.33,17.0,31253.87,Y
14.0,0.0,1.0,21.3,11.0,22.0,4.0,0.06,7.0,1615.1,N
9.0,0.0,0.0,13.48,7.0,9.0,2.0,0.02,3.0,293.57,N
19.0,2.0,3.0,22.27,12.0,26.0,3.0,0.07,5.0,2009.44,N
10.0,0.0,1.0,12.51,7.0,18.0,2.0,0.04,3.0,1013.29,N
80.0,17.0,7.0,37.59,51.0,147.0,13.0,0.47,25.0,51967.89,Y
18.0,1.0,1.0,15.29,14.0,21.0,3.0,0.06,5.0,2081.48,N
