@relation CustomCM1
@attribute DECISION_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute PARAMETER_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute DECISION_DENSITY numeric
@attribute HALSTEAD_VOLUME numeric
@attribute LOC_COMMENTS numeric
@attribute HALSTEAD_LEVEL numeric
@attribute NUM_OPERATORS numeric
@attribute Defective {Y,N}

@data
2.0,3.0,5.79,2.0,1.0,3.0,92.0,0.0,0.17,14.0,N
20.0,6.0,30.8,3.0,6.0,2.5,961.07,1.0,0.03,98.0,N
2.0,4.0,15.32,2.0,1.0,2.0,1248.77,15.0,0.07,117.0,Y
2.0,2.0,3.0,0.0,1.0,2.0,36.54,0.0,0.33,7.0,N
2.0,5.0,13.0,2.0,4.0,2.0,202.05,1.0,0.08,30.0,N
10.0,8.0,22.1,1.0,4.0,2.0,445.0,5.0,0.05,50.0,N
2.0,0.0,6.0,2.0,1.0,3.0,42.0,0.0,0.17,10.0,N
2.0,1.0,7.71,0.0,2.0,2.0,100.0,8.0,0.13,13.0,N
2.0,2.0,4.28,1.0,3.0,2.0,104.0,0.0,0.23,15.0,N
10.0,13.0,40.02,3.0,6.0,2.4,1081.92,22.0,0.02,119.0,N
4.0,5.0,17.18,3.0,3.0,2.0,247.76,1.0,0.06,30.0,N
2.0,2.0,3.0,0.0,1.0,2.0,27.0,5.0,0.33,7.0,N
2.0,1.0,10.5,1.0,2.0,2.0,207.45,0.0,0.1,27.0,N
2.0,3.0,8.57,0.0,1.0,2.0,118.54,1.0,0.12,17.0,N
10.0,5.0,29.76,1.0,6.0,2.0,845.66,16.0,0.03,114.0,N
8.0,1.0,19.5,3.0,2.0,2.0,170.97,0.0,0.05,26.0,N
2.0,0.0,6.0,2.0,1.0,3.0,42.0,0.0,0.17,10.0,N
2.0,3.0,5.63,3.0,1.0,3.0,98.1,0.0,0.18,14.0,N
2.0,1.0,3.5,0.0,1.0,2.0,33.22,0.0,0.29,7.0,N
2.0,0.0,6.67,1.0,1.0,3.0,62.27,0.0,0.15,13.0,N
12.0,9.0,22.37,2.0,4.0,2.67,589.37,0.0,0.04,64.0,N
4.0,3.0,20.64,1.0,3.0,2.0,210.91,1.0,0.05,29.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,1.0,4.0,2.0,1.0,2.0,44.97,0.0,0.25,10.0,N
6.0,4.0,10.33,3.0,2.0,2.0,348.79,3.0,0.1,37.0,N
2.0,1.0,4.38,1.0,1.0,3.0,48.43,0.0,0.23,9.0,N
2.0,2.0,5.79,2.0,1.0,3.0,92.0,0.0,0.17,14.0,N
10.0,8.0,22.1,1.0,4.0,2.0,445.0,5.0,0.05,50.0,N
2.0,16.0,19.45,4.0,4.0,2.0,10021.99,26.0,0.05,824.0,N
2.0,1.0,30.55,0.0,2.0,2.0,488.54,35.0,0.03,61.0,N
8.0,1.0,8.33,0.0,3.0,2.0,200.67,3.0,0.12,25.0,Y
6.0,2.0,27.19,2.0,3.0,2.0,284.98,0.0,0.04,34.0,N
8.0,3.0,21.14,6.0,2.0,2.25,343.13,0.0,0.05,42.0,N
4.0,5.0,8.25,2.0,2.0,2.5,222.91,3.0,0.12,27.0,N
6.0,1.0,18.42,5.0,3.0,2.33,208.15,0.0,0.05,32.0,N
4.0,8.0,18.0,0.0,3.0,2.0,605.41,47.0,0.06,83.0,N
6.0,4.0,15.17,0.0,2.0,2.0,214.05,0.0,0.07,27.0,N
4.0,9.0,20.18,4.0,5.0,2.0,3319.26,4.0,0.05,249.0,N
6.0,4.0,20.0,1.0,1.0,2.0,247.59,0.0,0.05,30.0,N
2.0,5.0,6.36,4.0,1.0,2.0,170.97,1.0,0.16,21.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
4.0,2.0,9.55,0.0,3.0,2.0,213.62,0.0,0.1,31.0,N
4.0,0.0,8.8,3.0,2.0,2.0,175.14,2.0,0.11,20.0,N
4.0,2.0,4.5,0.0,3.0,2.0,86.04,8.0,0.22,15.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,0.0,4.8,0.0,1.0,2.0,66.61,0.0,0.21,12.0,N
2.0,2.0,4.2,1.0,1.0,2.0,57.36,0.0,0.24,10.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
4.0,2.0,12.5,3.0,2.0,2.0,160.47,0.0,0.08,20.0,N
6.0,5.0,24.56,1.0,3.0,2.0,352.53,1.0,0.04,49.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
2.0,5.0,14.3,1.0,1.0,3.0,125.1,0.0,0.07,19.0,N
6.0,0.0,18.38,1.0,2.0,2.0,1545.02,6.0,0.05,185.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
6.0,5.0,17.4,1.0,6.0,2.0,438.86,44.0,0.06,58.0,N
74.0,63.0,27.72,2.0,12.0,2.0,7949.76,72.0,0.04,582.0,N
4.0,0.0,14.67,4.0,3.0,2.0,210.83,1.0,0.07,26.0,N
4.0,0.0,9.0,5.0,2.0,2.0,97.67,0.0,0.11,16.0,N
2.0,0.0,3.75,0.0,1.0,2.0,22.46,0.0,0.27,5.0,N
4.0,0.0,7.88,4.0,2.0,2.0,70.31,0.0,0.13,12.0,N
2.0,5.0,8.65,5.0,1.0,2.0,254.19,0.0,0.12,32.0,N
2.0,2.0,4.67,1.0,2.0,2.0,36.54,0.0,0.21,7.0,N
2.0,2.0,5.5,2.0,2.0,3.0,100.08,0.0,0.18,13.0,N
2.0,2.0,5.79,2.0,2.0,3.0,96.0,0.0,0.17,15.0,N
2.0,3.0,5.79,2.0,1.0,3.0,92.0,0.0,0.17,14.0,N
2.0,3.0,9.0,2.0,1.0,3.0,101.58,0.0,0.11,17.0,N
4.0,4.0,9.33,0.0,1.0,2.0,125.64,0.0,0.11,19.0,N
4.0,5.0,17.18,3.0,3.0,2.0,247.76,1.0,0.06,30.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,1.0,3.5,1.0,1.0,2.0,51.89,0.0,0.29,11.0,N
2.0,1.0,6.0,0.0,1.0,2.0,33.0,1.0,0.17,7.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
8.0,3.0,14.0,2.0,4.0,2.0,254.79,4.0,0.07,32.0,N
2.0,0.0,6.42,4.0,1.0,2.0,77.71,1.0,0.16,10.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
12.0,4.0,31.88,6.0,2.0,2.0,641.07,1.0,0.03,73.0,N
4.0,3.0,13.75,0.0,1.0,2.0,105.49,1.0,0.07,17.0,N
2.0,2.0,7.2,0.0,1.0,2.0,70.31,0.0,0.14,10.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
4.0,3.0,15.27,4.0,2.0,2.0,255.41,0.0,0.07,31.0,N
4.0,4.0,16.67,7.0,4.0,2.5,387.97,0.0,0.06,47.0,N
4.0,1.0,10.0,5.0,2.0,2.0,117.21,0.0,0.1,20.0,N
4.0,2.0,10.21,3.0,1.0,2.0,112.59,0.0,0.1,14.0,N
4.0,4.0,9.33,0.0,1.0,2.0,125.64,0.0,0.11,19.0,N
2.0,1.0,4.0,0.0,1.0,2.0,53.77,2.0,0.25,11.0,N
4.0,3.0,12.57,2.0,1.0,3.0,260.07,0.0,0.08,31.0,N
2.0,5.0,13.0,2.0,4.0,2.0,202.05,1.0,0.08,30.0,N
2.0,2.0,3.5,0.0,1.0,2.0,33.22,0.0,0.29,7.0,N
6.0,4.0,30.46,2.0,5.0,3.0,507.8,1.0,0.03,63.0,N
2.0,1.0,18.9,3.0,3.0,3.0,293.44,10.0,0.05,37.0,N
2.0,2.0,5.79,2.0,2.0,3.0,96.0,0.0,0.17,15.0,N
12.0,9.0,27.5,1.0,6.0,2.0,620.39,12.0,0.04,76.0,N
4.0,1.0,5.0,4.0,1.0,2.0,50.19,0.0,0.2,9.0,N
2.0,2.0,5.5,2.0,2.0,3.0,100.08,0.0,0.18,13.0,N
8.0,6.0,41.25,3.0,4.0,2.5,798.29,7.0,0.02,95.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
4.0,4.0,17.1,3.0,3.0,2.0,225.95,1.0,0.06,28.0,N
2.0,0.0,13.0,3.0,2.0,3.0,155.59,3.0,0.08,22.0,N
2.0,1.0,6.25,3.0,1.0,2.0,60.92,0.0,0.16,11.0,N
2.0,1.0,5.41,1.0,1.0,2.0,141.78,2.0,0.18,17.0,N
4.0,2.0,10.67,3.0,4.0,2.0,379.98,2.0,0.09,44.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,0.0,15.75,2.0,1.0,2.0,62.27,0.0,0.06,11.0,N
6.0,4.0,14.31,1.0,3.0,2.0,343.65,0.0,0.07,43.0,N
2.0,2.0,10.5,3.0,1.0,2.0,113.3,0.0,0.1,15.0,N
4.0,0.0,13.5,3.0,1.0,2.0,103.96,0.0,0.07,20.0,N
4.0,1.0,11.25,3.0,3.0,2.0,191.82,0.0,0.09,28.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
6.0,4.0,17.0,5.0,3.0,2.0,309.13,1.0,0.06,37.0,N
2.0,2.0,11.33,3.0,2.0,2.0,137.06,0.0,0.09,19.0,N
2.0,0.0,4.8,2.0,1.0,2.0,51.89,1.0,0.21,7.0,N
12.0,13.0,14.25,4.0,4.0,2.0,628.96,5.0,0.07,62.0,N
2.0,2.0,2.0,0.0,1.0,2.0,30.0,0.0,0.5,6.0,N
2.0,1.0,6.0,2.0,1.0,2.0,50.19,0.0,0.17,8.0,N
4.0,9.0,7.15,0.0,3.0,2.0,322.02,3.0,0.14,39.0,N
2.0,2.0,4.8,1.0,1.0,2.0,62.91,0.0,0.21,11.0,N
6.0,9.0,16.0,0.0,2.0,2.0,253.82,2.0,0.06,34.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
4.0,1.0,18.42,5.0,2.0,2.5,199.65,0.0,0.05,30.0,N
8.0,4.0,34.36,1.0,2.0,2.0,480.0,1.0,0.03,60.0,N
2.0,0.0,12.0,0.0,2.0,2.0,102.19,4.0,0.08,15.0,N
6.0,6.0,20.91,3.0,5.0,2.33,576.98,7.0,0.05,61.0,N
8.0,1.0,4.67,0.0,1.0,2.0,135.93,2.0,0.21,16.0,N
8.0,7.0,19.69,3.0,5.0,2.0,398.35,0.0,0.05,50.0,N
6.0,8.0,22.0,4.0,4.0,2.0,394.2,0.0,0.05,49.0,N
6.0,3.0,26.39,1.0,2.0,2.0,312.48,1.0,0.04,40.0,N
6.0,2.0,27.19,2.0,3.0,2.0,284.98,0.0,0.04,34.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
24.0,21.0,37.96,1.0,5.0,2.17,1208.49,28.0,0.03,130.0,N
6.0,3.0,24.8,2.0,3.0,2.0,324.33,0.0,0.04,38.0,N
2.0,2.0,4.8,0.0,1.0,2.0,62.91,7.0,0.21,11.0,N
8.0,9.0,27.61,6.0,4.0,2.25,890.82,0.0,0.04,90.0,N
6.0,5.0,24.56,1.0,3.0,2.0,352.53,1.0,0.04,49.0,N
2.0,1.0,4.0,2.0,1.0,2.0,44.97,0.0,0.25,10.0,N
6.0,2.0,10.39,2.0,2.0,2.0,146.95,0.0,0.1,17.0,N
2.0,2.0,4.2,1.0,1.0,2.0,57.36,0.0,0.24,10.0,N
2.0,4.0,8.0,3.0,1.0,2.0,155.59,2.0,0.13,20.0,N
2.0,2.0,7.5,4.0,1.0,3.0,89.86,0.0,0.13,13.0,N
52.0,24.0,82.88,1.0,5.0,2.0,4683.61,65.0,0.01,490.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,1.0,3.38,3.0,2.0,2.0,68.53,0.0,0.3,9.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
10.0,7.0,24.19,1.0,4.0,2.0,417.09,5.0,0.04,48.0,N
2.0,1.0,9.17,0.0,4.0,2.0,76.15,0.0,0.11,15.0,N
2.0,1.0,16.25,0.0,2.0,2.0,366.13,26.0,0.06,42.0,N
28.0,10.0,25.68,0.0,2.0,2.86,4031.56,26.0,0.04,374.0,Y
8.0,3.0,10.29,2.0,4.0,2.0,213.62,1.0,0.1,27.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
4.0,4.0,17.94,1.0,3.0,2.0,239.72,1.0,0.06,32.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
2.0,1.0,6.75,4.0,1.0,2.0,66.61,0.0,0.15,12.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
10.0,0.0,13.33,3.0,1.0,2.0,117.0,0.0,0.08,23.0,N
2.0,0.0,4.8,0.0,1.0,2.0,66.61,0.0,0.21,12.0,N
14.0,7.0,8.75,0.0,8.0,2.29,880.44,21.0,0.11,86.0,N
2.0,3.0,4.67,1.0,2.0,2.0,77.71,0.0,0.21,13.0,N
4.0,3.0,23.14,2.0,3.0,2.0,204.33,1.0,0.04,26.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,3.0,4.67,1.0,2.0,2.0,77.71,0.0,0.21,13.0,N
2.0,1.0,5.63,3.0,1.0,2.0,51.81,0.0,0.18,9.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,2.0,4.2,1.0,1.0,2.0,55.35,0.0,0.24,9.0,N
2.0,0.0,4.0,0.0,1.0,3.0,41.21,0.0,0.25,9.0,N
8.0,1.0,18.7,1.0,3.0,2.0,316.25,0.0,0.05,38.0,N
2.0,1.0,5.0,3.0,1.0,2.0,34.87,0.0,0.2,6.0,N
6.0,3.0,24.8,2.0,3.0,2.0,324.33,0.0,0.04,38.0,N
2.0,3.0,7.2,2.0,2.0,2.0,81.41,0.0,0.14,13.0,N
4.0,2.0,8.36,0.0,1.0,2.0,212.4,0.0,0.12,27.0,N
4.0,3.0,23.14,2.0,3.0,2.0,204.33,1.0,0.04,26.0,N
4.0,4.0,17.94,1.0,3.0,2.0,239.72,1.0,0.06,32.0,N
4.0,4.0,6.15,2.0,2.0,2.5,167.37,4.0,0.16,21.0,N
2.0,3.0,5.63,3.0,1.0,3.0,98.1,0.0,0.18,14.0,N
8.0,1.0,36.0,1.0,5.0,2.0,583.92,1.0,0.03,71.0,N
2.0,2.0,3.0,0.0,1.0,2.0,27.0,5.0,0.33,7.0,N
2.0,0.0,3.75,1.0,1.0,2.0,41.21,0.0,0.27,7.0,N
2.0,2.0,3.5,2.0,1.0,2.0,51.81,0.0,0.29,8.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
4.0,3.0,16.0,1.0,1.0,2.0,220.08,0.0,0.06,32.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
10.0,2.0,26.31,5.0,3.0,2.2,395.0,4.0,0.04,43.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,0.0,5.83,4.0,1.0,2.0,70.31,1.0,0.17,9.0,N
2.0,1.0,5.83,0.0,1.0,2.0,43.19,4.0,0.17,8.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
2.0,0.0,4.8,0.0,1.0,2.0,66.61,0.0,0.21,12.0,N
6.0,4.0,17.0,4.0,3.0,2.0,314.04,1.0,0.06,38.0,N
2.0,3.0,3.33,0.0,1.0,2.0,58.81,1.0,0.3,9.0,N
2.0,2.0,7.5,0.0,2.0,2.0,97.67,0.0,0.13,15.0,N
6.0,13.0,15.43,1.0,4.0,2.0,397.46,2.0,0.06,54.0,N
2.0,1.0,7.0,5.0,1.0,2.0,85.95,0.0,0.14,15.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
2.0,2.0,7.5,0.0,2.0,2.0,97.67,0.0,0.13,15.0,N
2.0,3.0,4.67,1.0,2.0,2.0,77.71,0.0,0.21,13.0,N
2.0,2.0,6.4,3.0,1.0,2.0,70.31,0.0,0.16,11.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
4.0,1.0,11.9,5.0,2.0,2.0,183.4,0.0,0.08,23.0,N
2.0,1.0,6.67,2.0,1.0,2.0,44.97,0.0,0.15,8.0,N
2.0,1.0,3.0,0.0,1.0,2.0,24.0,4.0,0.33,6.0,N
2.0,2.0,4.28,1.0,3.0,2.0,104.0,0.0,0.23,15.0,N
2.0,1.0,7.5,1.0,1.0,2.0,101.58,0.0,0.13,16.0,N
2.0,4.0,12.5,0.0,3.0,2.0,326.9,48.0,0.08,43.0,N
8.0,1.0,27.43,1.0,3.0,2.0,257.83,2.0,0.04,33.0,N
2.0,2.0,12.27,1.0,2.0,2.0,275.1,4.0,0.08,31.0,N
4.0,3.0,10.0,5.0,1.0,2.0,282.03,3.0,0.1,40.0,N
4.0,1.0,12.12,4.0,2.0,2.0,249.98,5.0,0.08,31.0,N
4.0,4.0,9.63,1.0,2.0,2.0,152.93,0.0,0.1,22.0,N
2.0,0.0,5.0,0.0,1.0,2.0,34.87,4.0,0.2,6.0,N
4.0,7.0,8.57,1.0,3.0,2.0,171.67,1.0,0.12,30.0,N
2.0,3.0,5.25,1.0,2.0,2.0,78.14,0.0,0.19,13.0,N
2.0,3.0,4.0,1.0,2.0,2.0,79.95,0.0,0.25,13.0,N
8.0,4.0,34.36,1.0,2.0,2.0,480.0,1.0,0.03,60.0,N
6.0,4.0,17.0,5.0,3.0,2.0,309.13,1.0,0.06,37.0,N
2.0,5.0,8.18,2.0,1.0,2.0,171.3,2.0,0.12,21.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
4.0,1.0,17.0,5.0,3.0,2.0,403.82,1.0,0.06,50.0,N
4.0,2.0,9.6,1.0,1.0,2.0,94.01,0.0,0.1,15.0,N
4.0,5.0,17.18,3.0,3.0,2.0,247.76,1.0,0.06,30.0,N
8.0,4.0,24.03,0.0,5.0,2.5,1088.14,9.0,0.04,115.0,N
4.0,3.0,5.09,3.0,3.0,2.0,133.44,0.0,0.2,16.0,N
2.0,0.0,5.0,2.0,1.0,2.0,30.88,0.0,0.2,7.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
4.0,4.0,17.94,1.0,3.0,2.0,239.72,1.0,0.06,32.0,N
2.0,1.0,3.0,0.0,1.0,2.0,28.53,0.0,0.33,6.0,N
2.0,0.0,4.0,0.0,1.0,2.0,13.93,0.0,0.25,4.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,1.0,5.33,3.0,2.0,2.0,64.73,0.0,0.19,9.0,N
2.0,1.0,7.2,2.0,1.0,2.0,77.71,2.0,0.14,12.0,N
14.0,5.0,43.0,5.0,6.0,2.0,2139.04,15.0,0.02,211.0,N
6.0,4.0,10.39,4.0,4.0,2.33,181.52,0.0,0.1,25.0,N
4.0,4.0,17.1,3.0,3.0,2.0,225.95,1.0,0.06,28.0,N
2.0,3.0,6.67,3.0,1.0,2.0,87.57,0.0,0.15,13.0,N
2.0,3.0,4.0,0.0,1.0,2.0,78.14,1.0,0.25,13.0,N
4.0,2.0,9.6,1.0,1.0,2.0,94.01,0.0,0.1,15.0,N
2.0,1.0,3.75,0.0,2.0,2.0,46.51,7.0,0.27,9.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
8.0,0.0,14.4,0.0,1.0,2.0,182.75,14.0,0.07,32.0,N
2.0,3.0,5.63,3.0,1.0,3.0,98.1,0.0,0.18,14.0,N
4.0,3.0,23.14,2.0,3.0,2.0,204.33,1.0,0.04,26.0,N
2.0,3.0,8.57,4.0,1.0,2.0,121.11,0.0,0.12,16.0,N
2.0,5.0,8.18,2.0,1.0,3.0,162.85,0.0,0.12,21.0,N
2.0,0.0,4.8,0.0,1.0,2.0,66.61,0.0,0.21,12.0,N
2.0,5.0,10.13,3.0,3.0,2.0,151.24,0.0,0.1,19.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
6.0,4.0,20.0,1.0,1.0,2.0,247.59,0.0,0.05,30.0,N
2.0,1.0,4.38,1.0,1.0,3.0,48.43,0.0,0.23,9.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,0.0,4.8,0.0,1.0,2.0,66.61,0.0,0.21,12.0,N
2.0,1.0,7.33,2.0,3.0,3.0,146.95,26.0,0.14,22.0,N
2.0,0.0,9.1,2.0,1.0,2.0,93.21,0.0,0.11,13.0,N
2.0,1.0,3.5,0.0,1.0,2.0,33.22,0.0,0.29,7.0,N
84.0,49.0,51.11,2.0,25.0,2.26,9549.79,110.0,0.02,704.0,N
4.0,0.0,9.0,4.0,2.0,2.0,88.81,0.0,0.11,16.0,N
2.0,3.0,7.86,1.0,2.0,2.0,260.06,40.0,0.13,36.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,0.0,4.8,0.0,1.0,2.0,66.61,0.0,0.21,12.0,N
4.0,0.0,13.5,4.0,3.0,2.0,129.52,0.0,0.07,23.0,N
4.0,2.0,9.6,1.0,1.0,2.0,94.01,0.0,0.1,15.0,N
6.0,4.0,17.0,5.0,3.0,2.0,309.13,1.0,0.06,37.0,N
2.0,2.0,11.4,2.0,1.0,2.0,173.92,4.0,0.09,20.0,N
2.0,4.0,7.5,3.0,1.0,2.0,151.62,0.0,0.13,19.0,N
2.0,1.0,4.38,1.0,1.0,3.0,48.43,0.0,0.23,9.0,N
2.0,4.0,21.18,1.0,2.0,2.0,569.35,29.0,0.05,71.0,N
4.0,2.0,11.25,0.0,1.0,2.0,87.57,0.0,0.09,14.0,N
6.0,2.0,27.19,2.0,3.0,2.0,284.98,0.0,0.04,34.0,N
2.0,1.0,2.5,1.0,1.0,2.0,28.53,0.0,0.4,5.0,N
2.0,3.0,5.44,2.0,1.0,2.0,120.0,1.0,0.18,16.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,2.0,4.8,1.0,1.0,2.0,59.21,0.0,0.21,10.0,N
2.0,2.0,10.67,0.0,1.0,2.0,65.73,0.0,0.09,11.0,N
6.0,5.0,24.56,1.0,3.0,2.0,352.53,1.0,0.04,49.0,N
2.0,1.0,4.5,1.0,2.0,2.0,66.44,4.0,0.22,14.0,N
2.0,12.0,9.0,2.0,3.0,2.0,304.23,4.0,0.11,35.0,N
8.0,5.0,10.5,2.0,4.0,2.0,367.06,6.0,0.1,38.0,N
20.0,7.0,36.9,2.0,8.0,2.0,1971.49,21.0,0.03,230.0,N
4.0,5.0,17.18,3.0,3.0,2.0,247.76,1.0,0.06,30.0,N
12.0,8.0,23.76,0.0,6.0,2.0,838.74,91.0,0.04,97.0,N
10.0,6.0,23.33,4.0,3.0,2.0,423.05,0.0,0.04,53.0,N
2.0,0.0,3.0,2.0,1.0,2.0,24.0,0.0,0.33,6.0,N
2.0,2.0,7.5,0.0,2.0,2.0,97.67,0.0,0.13,15.0,N
2.0,0.0,15.75,2.0,1.0,2.0,62.27,0.0,0.06,11.0,N
6.0,1.0,20.53,4.0,1.0,2.0,408.07,1.0,0.05,40.0,N
2.0,0.0,6.0,2.0,1.0,3.0,42.0,0.0,0.17,10.0,N
2.0,1.0,4.38,1.0,1.0,3.0,48.43,0.0,0.23,9.0,N
6.0,2.0,27.19,2.0,3.0,2.0,284.98,0.0,0.04,34.0,N
6.0,2.0,20.57,6.0,3.0,2.33,293.11,0.0,0.05,45.0,N
2.0,1.0,3.0,0.0,1.0,2.0,19.65,0.0,0.33,6.0,N
2.0,0.0,9.8,0.0,2.0,2.0,111.13,4.0,0.1,17.0,N
4.0,3.0,20.64,1.0,3.0,2.0,210.91,1.0,0.05,29.0,N
6.0,0.0,120.08,2.0,3.0,2.0,3229.82,5.0,0.01,452.0,N
2.0,0.0,4.67,1.0,1.0,3.0,39.86,0.0,0.21,8.0,N
