@relation CustomCM1
@attribute CYCLOMATIC_DENSITY numeric
@attribute BRANCH_COUNT numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute DECISION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CONDITION_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute Defective {Y,N}

@data
0.2,9.0,0.0,0.0,23.0,8.0,5.0,16.0,28.49,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.86,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.51,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.33,1.0,1.0,0.0,3.0,0.0,1.0,0.0,9.9,0.0,N
0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9.83,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.08,1.0,0.0,0.0,10.0,0.0,1.0,0.0,37.94,0.0,N
0.5,1.0,1.0,0.0,2.0,0.0,1.0,0.0,13.5,0.0,N
0.2,5.0,1.0,0.0,15.0,4.0,3.0,8.0,43.59,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
0.11,1.0,1.0,2.0,9.0,0.0,1.0,0.0,22.08,0.0,N
0.05,11.0,1.0,0.0,20.0,6.0,1.0,16.0,21.1,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.25,1.0,0.0,0.0,4.0,0.0,1.0,0.0,16.59,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.8,0.0,N
0.2,3.0,1.0,1.0,10.0,2.0,2.0,4.0,12.16,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.36,7.0,1.0,0.0,11.0,6.0,4.0,12.0,12.35,0.0,N
0.2,1.0,1.0,8.0,5.0,0.0,1.0,0.0,29.57,0.0,N
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,7.74,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,8.98,0.0,N
1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,9.51,0.0,N
0.16,5.0,0.0,0.0,19.0,4.0,3.0,8.0,20.49,0.0,N
0.67,7.0,0.0,0.0,6.0,6.0,4.0,12.0,14.76,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.86,0.0,N
0.06,3.0,1.0,0.0,17.0,2.0,1.0,4.0,46.97,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.67,3.0,1.0,0.0,3.0,2.0,2.0,4.0,14.28,0.0,N
0.13,5.0,1.0,0.0,23.0,4.0,3.0,8.0,19.78,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.16,7.0,0.0,1.0,14.0,6.0,4.0,12.0,34.23,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.33,1.0,0.0,0.0,2.0,0.0,1.0,0.0,16.84,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.67,3.0,1.0,0.0,2.0,2.0,2.0,4.0,3.48,0.0,N
0.22,3.0,0.0,2.0,3.0,0.0,2.0,0.0,20.56,0.0,N
0.5,1.0,1.0,0.0,2.0,0.0,1.0,0.0,8.98,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.83,0.0,N
1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.25,1.0,1.0,0.0,4.0,0.0,1.0,0.0,9.47,0.0,N
0.1,3.0,0.0,0.0,16.0,2.0,2.0,4.0,25.19,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.5,1.0,1.0,0.0,2.0,0.0,1.0,0.0,7.86,0.0,N
0.5,3.0,1.0,0.0,4.0,2.0,2.0,6.0,21.5,0.0,N
0.17,3.0,1.0,0.0,12.0,2.0,2.0,4.0,14.73,0.0,N
0.33,3.0,0.0,0.0,3.0,2.0,1.0,4.0,13.29,0.0,N
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.49,351.0,1.0,4.0,386.0,312.0,192.0,630.0,44.82,0.0,N
0.33,1.0,0.0,0.0,3.0,0.0,1.0,0.0,9.51,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.6,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.44,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.6,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.07,5.0,1.0,0.0,15.0,4.0,1.0,8.0,32.04,0.0,N
0.2,3.0,0.0,0.0,5.0,2.0,2.0,4.0,13.96,0.0,N
1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.25,20.0,0.0,1.0,38.0,10.0,14.0,20.0,26.41,0.0,N
0.03,11.0,0.0,0.0,29.0,10.0,1.0,20.0,18.41,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.25,1.0,1.0,0.0,4.0,0.0,1.0,0.0,16.0,0.0,N
0.13,13.0,0.0,0.0,52.0,12.0,7.0,26.0,48.19,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.25,1.0,1.0,0.0,4.0,0.0,1.0,0.0,10.24,0.0,N
0.14,1.0,0.0,0.0,7.0,0.0,1.0,0.0,44.77,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.5,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.8,0.0,N
0.23,23.0,0.0,0.0,50.0,18.0,12.0,38.0,20.4,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.42,9.0,1.0,0.0,12.0,6.0,5.0,14.0,17.46,0.0,N
0.17,5.0,0.0,0.0,14.0,4.0,3.0,8.0,28.47,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.25,1.0,0.0,1.0,4.0,0.0,1.0,0.0,12.34,0.0,N
0.33,1.0,0.0,0.0,3.0,0.0,1.0,0.0,9.51,0.0,N
0.43,5.0,0.0,0.0,7.0,4.0,3.0,8.0,11.89,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.5,1.0,1.0,0.0,2.0,0.0,1.0,0.0,10.57,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.55,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.55,0.0,N
0.2,1.0,0.0,1.0,5.0,0.0,1.0,0.0,19.81,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,12.18,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.74,0.0,N
0.33,1.0,1.0,0.0,3.0,0.0,1.0,0.0,9.0,0.0,N
1.0,5.0,0.0,0.0,3.0,2.0,3.0,6.0,8.96,1.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.55,0.0,N
0.27,7.0,1.0,0.0,15.0,6.0,4.0,12.0,25.89,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.68,0.0,N
0.3,5.0,1.0,1.0,6.0,4.0,3.0,8.0,20.54,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
0.5,1.0,1.0,0.0,2.0,0.0,1.0,0.0,13.5,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.14,1.0,0.0,1.0,7.0,0.0,1.0,0.0,24.59,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.5,1.0,1.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.2,5.0,0.0,3.0,12.0,4.0,3.0,8.0,14.97,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.33,1.0,1.0,0.0,1.0,0.0,1.0,0.0,13.5,0.0,N
0.5,3.0,1.0,0.0,4.0,2.0,2.0,4.0,11.52,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.13,13.0,0.0,0.0,54.0,12.0,7.0,24.0,25.11,0.0,N
0.25,1.0,0.0,0.0,4.0,0.0,1.0,0.0,23.8,0.0,N
0.25,1.0,0.0,0.0,4.0,0.0,1.0,0.0,21.67,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.25,1.0,1.0,0.0,4.0,0.0,1.0,0.0,10.24,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
0.16,11.0,1.0,0.0,37.0,10.0,6.0,20.0,38.12,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.24,23.0,0.0,0.0,46.0,20.0,12.0,42.0,62.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.16,17.0,0.0,0.0,48.0,6.0,13.0,12.0,49.82,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.25,3.0,0.0,0.0,8.0,2.0,2.0,4.0,15.07,0.0,N
0.3,5.0,0.0,1.0,6.0,0.0,3.0,0.0,20.54,0.0,N
0.36,27.0,0.0,0.0,39.0,26.0,14.0,52.0,30.28,0.0,N
0.01,18.0,1.0,0.0,67.0,8.0,1.0,16.0,31.0,0.0,N
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.6,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.67,3.0,1.0,0.0,3.0,2.0,2.0,4.0,5.07,0.0,N
0.23,5.0,0.0,0.0,13.0,4.0,3.0,8.0,16.4,0.0,N
0.2,1.0,0.0,1.0,2.0,0.0,1.0,0.0,10.75,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.5,1.0,1.0,0.0,2.0,0.0,1.0,0.0,8.98,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.07,1.0,1.0,0.0,15.0,0.0,1.0,0.0,49.33,0.0,N
0.5,3.0,1.0,0.0,4.0,2.0,2.0,4.0,11.99,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.24,17.0,0.0,0.0,35.0,14.0,9.0,30.0,73.85,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.15,5.0,0.0,0.0,20.0,4.0,3.0,8.0,48.68,0.0,N
0.36,7.0,1.0,0.0,11.0,4.0,4.0,10.0,16.32,1.0,N
0.09,1.0,0.0,0.0,11.0,0.0,1.0,0.0,54.79,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.25,1.0,1.0,0.0,4.0,0.0,1.0,0.0,10.24,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.09,1.0,0.0,0.0,11.0,0.0,1.0,0.0,56.4,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.55,0.0,N
0.14,25.0,0.0,0.0,88.0,24.0,13.0,50.0,40.25,0.0,N
0.01,18.0,1.0,0.0,67.0,8.0,1.0,16.0,31.0,0.0,N
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.67,3.0,1.0,0.0,3.0,2.0,2.0,4.0,5.07,0.0,N
0.12,5.0,1.0,0.0,23.0,4.0,3.0,8.0,37.12,0.0,N
0.43,5.0,1.0,0.0,6.0,2.0,3.0,6.0,14.58,0.0,N
0.19,16.0,0.0,0.0,50.0,0.0,15.0,0.0,41.55,0.0,N
0.17,1.0,1.0,2.0,6.0,0.0,1.0,0.0,23.69,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.86,0.0,N
0.25,3.0,0.0,0.0,8.0,2.0,2.0,4.0,15.07,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.8,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.33,3.0,1.0,0.0,6.0,0.0,2.0,0.0,7.85,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.68,0.0,N
0.13,5.0,0.0,0.0,23.0,4.0,3.0,8.0,44.11,0.0,N
0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.44,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.2,5.0,1.0,0.0,15.0,4.0,3.0,8.0,43.59,0.0,N
0.12,3.0,0.0,0.0,14.0,2.0,2.0,4.0,36.62,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.4,3.0,0.0,0.0,5.0,2.0,2.0,4.0,14.41,0.0,N
0.21,7.0,0.0,0.0,18.0,6.0,4.0,12.0,19.65,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.68,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.42,9.0,1.0,0.0,12.0,6.0,5.0,14.0,17.46,0.0,N
0.27,5.0,0.0,0.0,11.0,4.0,3.0,8.0,26.82,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.26,11.0,0.0,0.0,23.0,6.0,6.0,16.0,39.72,1.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
0.09,7.0,0.0,0.0,44.0,6.0,4.0,12.0,33.53,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.84,0.0,N
0.01,18.0,1.0,0.0,67.0,8.0,1.0,16.0,31.0,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.25,1.0,1.0,0.0,4.0,0.0,1.0,0.0,11.35,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.14,1.0,1.0,1.0,7.0,0.0,1.0,0.0,24.54,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
0.23,5.0,0.0,0.0,13.0,4.0,3.0,8.0,17.24,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9.83,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.16,5.0,0.0,0.0,19.0,4.0,3.0,8.0,18.24,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.42,9.0,1.0,0.0,12.0,6.0,5.0,14.0,17.46,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.86,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.51,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.19,5.0,0.0,0.0,16.0,4.0,3.0,8.0,19.62,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.33,0.0,N
0.13,7.0,0.0,0.0,29.0,6.0,4.0,12.0,51.63,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,N
0.14,1.0,0.0,0.0,3.0,0.0,1.0,0.0,30.91,0.0,N
1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.25,1.0,0.0,0.0,4.0,0.0,1.0,0.0,16.21,0.0,N
0.42,9.0,1.0,0.0,12.0,6.0,5.0,14.0,17.46,0.0,N
0.16,5.0,1.0,0.0,18.0,4.0,3.0,8.0,31.92,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.5,3.0,1.0,0.0,4.0,2.0,2.0,4.0,11.99,0.0,N
0.43,5.0,0.0,0.0,7.0,4.0,3.0,8.0,11.89,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,9.51,0.0,N
0.33,1.0,1.0,0.0,3.0,0.0,1.0,0.0,12.0,0.0,N
0.71,9.0,0.0,0.0,1.0,8.0,5.0,16.0,15.14,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.21,35.0,0.0,0.0,49.0,26.0,18.0,60.0,52.39,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.71,0.0,N
0.25,3.0,1.0,0.0,8.0,2.0,2.0,6.0,23.46,0.0,N
0.2,1.0,0.0,0.0,5.0,0.0,1.0,0.0,28.56,0.0,N
0.13,13.0,0.0,0.0,54.0,12.0,7.0,24.0,25.11,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.86,0.0,N
0.02,15.0,1.0,0.0,46.0,10.0,1.0,24.0,35.44,0.0,N
0.11,1.0,0.0,0.0,9.0,0.0,1.0,0.0,86.0,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.25,1.0,0.0,0.0,4.0,0.0,1.0,0.0,9.47,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.68,0.0,N
0.5,3.0,0.0,0.0,4.0,2.0,2.0,4.0,11.18,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.86,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.75,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.8,0.0,N
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.33,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.8,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.74,0.0,N
0.17,7.0,1.0,0.0,23.0,6.0,4.0,12.0,25.56,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,9.96,0.0,N
0.5,1.0,0.0,0.0,2.0,0.0,1.0,0.0,9.83,0.0,N
