@relation CustomCM1
@attribute CYCLOMATIC_DENSITY numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
0.22,3.0,35.77,9.0,0.0,2.0,2.0,57.0,97.36,5.0,N
0.6,5.0,13.11,5.0,1.0,2.0,3.0,17.0,16.78,6.0,N
0.2,3.0,26.09,10.0,0.0,2.0,2.0,39.0,64.41,6.0,N
0.43,5.0,18.95,6.0,0.0,4.0,3.0,31.0,59.22,10.0,N
0.18,7.0,54.76,21.0,0.0,6.0,4.0,52.0,67.33,15.0,N
0.25,3.0,15.92,8.0,0.0,2.0,2.0,24.0,34.95,7.0,N
0.38,5.0,11.85,8.0,1.0,4.0,3.0,28.0,68.67,9.0,N
0.43,5.0,17.66,7.0,0.0,4.0,3.0,47.0,129.78,14.0,N
0.23,17.0,38.43,43.0,0.0,12.0,10.0,181.0,1678.86,36.0,N
0.16,25.0,103.01,81.0,0.5,22.0,13.0,321.0,2387.44,46.0,N
0.19,11.0,44.0,32.0,0.4,8.0,6.0,160.0,1214.45,23.0,N
0.39,59.0,71.79,88.0,0.42,40.0,34.0,450.0,7035.46,101.0,N
0.1,3.0,39.6,21.0,0.0,2.0,2.0,73.0,196.67,14.0,Y
0.21,5.0,34.4,14.0,0.0,4.0,3.0,69.0,185.13,13.0,N
0.4,7.0,22.22,10.0,0.0,2.0,4.0,52.0,149.37,9.0,Y
0.37,45.0,65.12,55.0,0.82,12.0,23.0,389.0,4913.93,43.0,Y
0.27,20.0,47.52,43.0,0.0,12.0,12.0,221.0,2159.45,38.0,N
0.1,3.0,46.11,21.0,0.0,2.0,2.0,124.0,538.63,8.0,N
0.46,25.0,33.99,28.0,0.67,20.0,13.0,138.0,905.01,37.0,N
0.29,13.0,47.71,20.0,0.5,10.0,7.0,135.0,675.98,19.0,Y
0.31,45.0,52.16,75.0,0.88,32.0,26.0,425.0,8380.54,80.0,N
0.21,5.0,32.11,10.0,0.0,4.0,3.0,61.0,163.75,11.0,N
0.33,26.0,39.75,38.0,0.62,10.0,14.0,257.0,3140.87,31.0,Y
0.29,11.0,28.27,19.0,0.6,8.0,6.0,70.0,257.35,19.0,N
0.21,11.0,43.02,26.0,0.0,10.0,6.0,127.0,597.81,21.0,N
0.4,7.0,18.06,10.0,0.67,4.0,4.0,45.0,140.82,14.0,N
0.12,7.0,85.6,33.0,0.0,6.0,4.0,307.0,2218.64,27.0,Y
0.12,11.0,65.63,49.0,0.0,10.0,6.0,227.0,1638.7,19.0,N
0.36,15.0,15.12,22.0,1.0,14.0,8.0,83.0,546.04,23.0,N
0.17,5.0,26.3,16.0,1.0,2.0,3.0,52.0,159.56,8.0,N
0.5,9.0,8.7,10.0,1.0,4.0,5.0,43.0,213.1,11.0,N
0.33,7.0,27.54,12.0,0.0,6.0,4.0,58.0,149.94,11.0,N
0.27,7.0,29.18,14.0,0.0,6.0,4.0,50.0,100.07,12.0,Y
0.5,3.0,8.57,4.0,0.0,2.0,2.0,13.0,13.12,7.0,N
0.21,15.0,39.25,39.0,0.0,14.0,8.0,175.0,1352.03,36.0,N
0.42,15.0,7.74,19.0,0.71,8.0,8.0,161.0,4391.36,19.0,N
0.4,7.0,6.88,10.0,0.0,6.0,4.0,41.0,226.94,13.0,N
0.3,26.0,30.87,45.0,0.46,22.0,14.0,221.0,3115.79,47.0,N
0.5,3.0,12.17,4.0,0.0,2.0,2.0,25.0,47.69,6.0,N
0.29,11.0,21.74,20.0,1.0,6.0,6.0,87.0,492.2,13.0,N
0.42,27.0,39.94,30.0,0.38,14.0,14.0,183.0,1437.11,28.0,N
0.71,9.0,39.02,2.0,0.0,8.0,5.0,46.0,61.65,14.0,N
0.3,5.0,33.57,9.0,0.0,4.0,3.0,72.0,225.69,11.0,N
0.29,3.0,14.51,7.0,0.0,2.0,2.0,17.0,14.22,5.0,N
0.29,3.0,8.22,7.0,0.0,2.0,2.0,20.0,37.0,6.0,N
0.08,3.0,53.7,24.0,0.0,2.0,2.0,154.0,773.54,15.0,N
0.44,7.0,7.44,9.0,1.0,6.0,4.0,28.0,75.28,11.0,N
0.29,22.0,41.66,43.0,0.58,16.0,13.0,256.0,3146.36,43.0,N
0.23,15.0,39.96,35.0,0.5,6.0,9.0,143.0,914.8,24.0,N
0.12,7.0,44.39,32.0,0.0,6.0,4.0,106.0,429.03,15.0,N
0.44,33.0,47.02,39.0,0.44,26.0,17.0,238.0,2480.21,48.0,N
0.27,15.0,32.72,28.0,0.38,10.0,9.0,207.0,2617.94,28.0,N
0.15,3.0,26.51,13.0,0.0,2.0,2.0,43.0,74.76,7.0,N
0.38,5.0,13.45,8.0,0.0,4.0,3.0,37.0,115.71,9.0,N
0.4,3.0,6.5,5.0,0.0,2.0,2.0,13.0,13.0,6.0,N
0.6,5.0,13.11,5.0,1.0,2.0,3.0,17.0,16.78,6.0,N
0.23,5.0,23.44,13.0,0.0,4.0,3.0,38.0,70.03,10.0,N
0.67,3.0,10.28,3.0,0.0,2.0,2.0,13.0,10.93,5.0,N
0.06,3.0,114.44,34.0,0.0,2.0,2.0,209.0,832.75,10.0,N
0.24,9.0,18.5,21.0,0.75,6.0,5.0,82.0,476.66,13.0,N
0.23,17.0,36.39,56.0,0.0,6.0,13.0,253.0,3436.81,25.0,N
0.26,75.0,115.86,144.0,0.84,42.0,38.0,624.0,8999.22,90.0,Y
0.38,9.0,16.54,13.0,1.0,4.0,5.0,43.0,140.44,11.0,N
0.16,7.0,47.28,30.0,0.0,2.0,5.0,95.0,319.83,16.0,Y
0.21,9.0,33.28,19.0,0.75,8.0,5.0,95.0,469.98,16.0,Y
0.25,5.0,21.13,12.0,1.0,2.0,3.0,53.0,155.25,9.0,N
0.21,5.0,23.74,12.0,1.0,2.0,3.0,51.0,137.61,7.0,N
0.17,13.0,56.78,54.0,0.0,6.0,9.0,176.0,1130.85,28.0,N
0.11,5.0,43.37,27.0,0.0,4.0,3.0,122.0,575.02,13.0,N
0.23,29.0,95.22,64.0,0.5,22.0,15.0,474.0,5551.48,51.0,N
0.25,5.0,25.67,11.0,0.0,4.0,3.0,58.0,175.32,13.0,N
0.1,7.0,98.24,39.0,0.0,6.0,4.0,350.0,2845.96,27.0,Y
0.5,3.0,11.39,4.0,0.0,2.0,2.0,12.0,7.75,5.0,N
0.33,3.0,11.42,6.0,0.0,2.0,2.0,20.0,28.2,8.0,N
0.18,7.0,43.02,18.0,0.0,6.0,4.0,81.0,233.32,17.0,N
0.27,5.0,21.05,11.0,0.0,4.0,3.0,33.0,58.81,8.0,N
0.16,17.0,68.85,54.0,0.63,16.0,9.0,121.0,387.58,25.0,N
0.36,7.0,16.45,11.0,1.0,6.0,4.0,52.0,186.87,15.0,N
0.51,589.0,675.88,591.0,0.05,570.0,299.0,9605.0,708413.98,963.0,N
0.03,55.0,1349.98,817.0,0.96,54.0,28.0,5580.0,119613.86,99.0,N
0.18,3.0,24.39,11.0,0.0,2.0,2.0,31.0,39.51,9.0,N
0.17,9.0,44.17,27.0,0.0,8.0,5.0,178.0,1229.49,17.0,Y
0.4,3.0,10.75,5.0,0.0,2.0,2.0,15.0,14.94,6.0,N
0.36,31.0,52.14,45.0,0.87,28.0,16.0,210.0,1652.82,51.0,N
0.26,9.0,30.88,18.0,0.75,6.0,5.0,53.0,116.78,13.0,N
0.26,13.0,18.92,27.0,0.0,10.0,7.0,73.0,405.08,19.0,N
0.67,11.0,10.61,9.0,0.4,8.0,6.0,57.0,317.71,19.0,N
0.2,57.0,160.17,165.0,0.28,24.0,33.0,636.0,7594.88,71.0,Y
0.2,3.0,38.09,10.0,0.0,2.0,2.0,54.0,89.41,7.0,N
0.13,5.0,43.19,20.0,0.0,4.0,3.0,92.0,299.88,11.0,N
0.13,5.0,59.75,18.0,0.0,4.0,3.0,82.0,181.78,11.0,N
0.1,9.0,59.96,48.0,0.0,10.0,5.0,197.0,1359.85,29.0,N
0.33,7.0,15.35,12.0,0.0,6.0,4.0,66.0,364.29,13.0,N
0.3,13.0,28.34,23.0,0.5,10.0,7.0,122.0,826.35,22.0,N
0.14,39.0,94.07,144.0,0.16,38.0,20.0,428.0,4816.33,77.0,Y
0.33,11.0,22.75,18.0,1.0,8.0,6.0,88.0,505.5,17.0,N
0.2,5.0,49.71,14.0,0.0,4.0,3.0,94.0,271.95,10.0,N
0.25,3.0,17.31,7.0,0.0,2.0,2.0,25.0,29.08,8.0,N
0.29,7.0,11.58,14.0,0.67,6.0,4.0,53.0,290.56,11.0,N
0.14,5.0,23.37,18.0,0.0,2.0,3.0,45.0,108.81,9.0,N
0.27,5.0,26.93,9.0,1.0,2.0,3.0,47.0,111.86,8.0,N
0.37,13.0,25.13,19.0,1.0,10.0,7.0,91.0,504.09,23.0,N
0.07,5.0,99.6,46.0,0.0,4.0,3.0,276.0,1585.48,10.0,N
0.1,11.0,66.95,59.0,0.0,12.0,6.0,268.0,2408.85,41.0,N
0.32,11.0,55.47,15.0,0.0,8.0,6.0,83.0,200.63,20.0,Y
0.67,7.0,14.12,6.0,1.0,6.0,4.0,32.0,72.69,10.0,N
0.33,3.0,7.4,6.0,0.0,2.0,2.0,18.0,33.3,6.0,N
0.33,3.0,14.51,6.0,0.0,2.0,2.0,17.0,14.22,6.0,N
0.43,25.0,63.69,30.0,0.0,24.0,13.0,213.0,1247.61,60.0,N
0.16,21.0,116.45,55.0,0.8,14.0,11.0,339.0,2366.38,37.0,N
0.21,25.0,59.11,63.0,1.0,20.0,13.0,290.0,3028.38,37.0,N
0.12,15.0,45.22,64.0,0.43,14.0,8.0,279.0,3592.87,30.0,N
0.5,3.0,12.18,3.0,0.0,2.0,2.0,11.0,6.09,5.0,N
0.13,11.0,80.39,44.0,0.0,10.0,6.0,130.0,383.17,19.0,N
0.6,5.0,13.11,5.0,1.0,2.0,3.0,17.0,16.78,6.0,N
0.17,13.0,49.36,38.0,0.0,12.0,7.0,134.0,595.11,28.0,N
0.29,29.0,16.05,48.0,0.5,26.0,15.0,163.0,2602.42,47.0,N
0.23,37.0,60.94,77.0,0.94,24.0,19.0,266.0,2373.6,46.0,N
0.19,25.0,62.32,65.0,0.31,16.0,14.0,192.0,1251.11,37.0,N
0.2,3.0,16.01,9.0,0.0,2.0,2.0,46.0,150.28,7.0,N
0.48,19.0,31.94,20.0,0.67,12.0,10.0,122.0,733.18,31.0,N
0.31,9.0,19.64,15.0,1.0,6.0,5.0,76.0,422.9,12.0,N
0.25,3.0,20.06,8.0,0.0,2.0,2.0,63.0,224.95,7.0,N
0.06,5.0,102.96,49.0,0.0,4.0,3.0,285.0,1751.7,9.0,Y
0.17,7.0,24.52,23.0,0.0,6.0,4.0,79.0,372.07,14.0,Y
0.1,3.0,54.2,20.0,0.0,2.0,2.0,243.0,1457.35,7.0,N
0.19,235.0,362.37,627.0,0.22,154.0,118.0,3680.0,139594.26,391.0,N
0.33,3.0,15.9,6.0,0.0,2.0,2.0,25.0,36.5,7.0,N
0.33,3.0,5.18,6.0,0.0,2.0,2.0,21.0,64.76,6.0,N
0.33,3.0,23.63,6.0,0.0,2.0,2.0,34.0,47.26,7.0,N
0.33,3.0,22.54,6.0,0.0,2.0,2.0,32.0,47.15,6.0,N
0.31,15.0,40.2,23.0,0.0,10.0,8.0,171.0,1159.86,20.0,N
0.6,5.0,14.2,5.0,0.0,4.0,3.0,43.0,120.84,10.0,N
0.12,9.0,82.63,35.0,0.5,6.0,5.0,224.0,1223.59,20.0,N
0.17,3.0,40.52,10.0,0.0,2.0,2.0,49.0,74.43,11.0,Y
0.2,3.0,19.66,9.0,0.0,2.0,2.0,32.0,55.83,8.0,N
0.22,3.0,17.71,9.0,0.0,2.0,2.0,62.0,192.89,5.0,N
0.56,17.0,85.3,2.0,0.0,16.0,9.0,168.0,573.39,26.0,Y
0.19,19.0,61.44,49.0,0.0,16.0,10.0,217.0,1544.39,30.0,Y
0.38,55.0,69.02,87.0,0.48,34.0,34.0,448.0,7653.27,89.0,N
0.41,13.0,44.6,17.0,0.83,10.0,7.0,110.0,402.82,19.0,N
0.27,13.0,24.26,26.0,0.5,10.0,7.0,109.0,760.14,27.0,N
0.5,7.0,8.89,8.0,1.0,4.0,4.0,36.0,151.27,9.0,N
0.25,3.0,14.33,8.0,0.0,2.0,2.0,27.0,49.15,6.0,N
0.19,5.0,40.79,14.0,0.0,4.0,3.0,67.0,155.58,10.0,N
0.43,11.0,16.12,14.0,0.6,10.0,6.0,74.0,462.89,17.0,N
0.3,5.0,18.38,10.0,0.0,2.0,3.0,45.0,128.69,8.0,N
0.26,17.0,31.44,36.0,0.22,8.0,10.0,107.0,650.91,23.0,N
0.33,7.0,15.35,12.0,0.0,6.0,4.0,66.0,364.29,13.0,N
0.6,5.0,15.88,5.0,0.0,4.0,3.0,36.0,90.18,9.0,N
0.17,24.0,83.81,82.0,0.5,10.0,15.0,404.0,5070.23,41.0,Y
0.16,31.0,142.15,97.0,0.47,24.0,16.0,389.0,2801.56,45.0,Y
0.14,7.0,48.33,37.0,0.0,2.0,5.0,119.0,502.26,13.0,N
0.17,3.0,24.49,12.0,0.0,2.0,2.0,34.0,48.98,9.0,N
0.46,37.0,88.36,41.0,0.22,36.0,19.0,300.0,2336.82,68.0,N
0.38,15.0,15.74,20.0,0.43,12.0,8.0,83.0,596.81,26.0,N
0.1,3.0,52.01,20.0,0.0,2.0,2.0,138.0,620.65,12.0,Y
0.31,15.0,29.28,24.0,0.57,8.0,8.0,143.0,1156.59,18.0,N
0.17,3.0,25.04,11.0,0.0,2.0,2.0,47.0,74.81,6.0,N
0.2,3.0,8.79,10.0,0.0,2.0,2.0,27.0,70.32,6.0,N
0.14,9.0,36.37,28.0,0.0,4.0,5.0,121.0,674.45,19.0,N
0.48,27.0,46.65,25.0,1.0,8.0,14.0,149.0,758.85,23.0,N
0.22,25.0,117.25,47.0,0.75,12.0,13.0,316.0,1964.06,34.0,Y
0.4,7.0,16.12,10.0,0.0,4.0,4.0,51.0,183.28,11.0,N
0.22,13.0,34.49,28.0,0.0,12.0,7.0,241.0,2685.63,22.0,N
0.29,7.0,17.95,13.0,0.0,6.0,4.0,63.0,277.8,14.0,Y
0.31,19.0,53.13,29.0,0.67,12.0,10.0,173.0,1026.86,24.0,N
0.25,5.0,18.86,12.0,1.0,4.0,3.0,32.0,56.35,8.0,N
0.11,9.0,61.27,31.0,0.5,6.0,5.0,446.0,6775.47,18.0,N
0.17,5.0,24.56,16.0,1.0,2.0,3.0,91.0,468.38,14.0,N
0.11,9.0,71.31,45.0,0.0,8.0,5.0,286.0,2409.93,20.0,N
0.29,7.0,15.86,14.0,0.67,6.0,4.0,46.0,155.84,12.0,N
0.29,3.0,15.23,7.0,0.0,2.0,2.0,20.0,21.15,8.0,N
0.28,13.0,47.71,21.0,0.5,10.0,7.0,135.0,675.98,20.0,Y
0.2,7.0,25.26,18.0,0.0,8.0,4.0,64.0,233.14,12.0,Y
0.31,7.0,24.0,13.0,0.0,6.0,4.0,108.0,675.0,14.0,N
0.28,13.0,38.61,25.0,0.0,12.0,7.0,119.0,480.86,26.0,Y
0.14,7.0,45.13,28.0,1.0,4.0,4.0,93.0,309.56,14.0,N
0.17,11.0,63.05,35.0,0.6,8.0,6.0,297.0,2900.3,25.0,N
0.15,5.0,30.43,19.0,1.0,2.0,3.0,60.0,167.26,9.0,N
0.18,11.0,51.05,34.0,0.0,10.0,6.0,172.0,1104.79,22.0,Y
0.18,3.0,31.9,10.0,0.0,2.0,2.0,48.0,84.36,10.0,Y
0.26,16.0,29.35,41.0,0.45,6.0,12.0,178.0,1829.83,24.0,N
0.75,5.0,12.61,4.0,1.0,4.0,3.0,23.0,31.92,9.0,N
0.27,21.0,51.67,31.0,0.0,18.0,11.0,187.0,1322.44,33.0,N
0.18,11.0,69.47,33.0,0.8,8.0,6.0,110.0,314.44,19.0,N
0.54,13.0,7.8,13.0,0.83,8.0,7.0,74.0,819.94,19.0,N
0.17,3.0,18.46,12.0,0.0,2.0,2.0,69.0,293.21,5.0,N
0.3,5.0,13.14,10.0,0.0,4.0,3.0,29.0,48.69,10.0,N
0.27,41.0,40.18,99.0,0.48,24.0,28.0,676.0,29276.51,68.0,N
0.19,5.0,27.81,16.0,1.0,4.0,3.0,40.0,68.92,11.0,N
0.36,7.0,17.45,11.0,1.0,4.0,4.0,42.0,132.54,9.0,N
0.13,7.0,29.83,30.0,0.0,6.0,4.0,222.0,2668.52,14.0,N
0.15,7.0,55.45,27.0,0.0,6.0,4.0,96.0,261.52,13.0,N
0.18,3.0,28.66,9.0,0.0,2.0,2.0,38.0,61.85,7.0,N
0.29,9.0,25.03,17.0,1.0,6.0,5.0,44.0,97.14,12.0,N
0.22,3.0,16.25,9.0,0.0,2.0,2.0,34.0,71.32,8.0,N
0.28,19.0,37.31,34.0,0.2,10.0,11.0,152.0,1180.47,28.0,N
0.3,5.0,17.81,8.0,0.0,4.0,3.0,42.0,121.56,10.0,N
0.32,11.0,21.36,18.0,1.0,8.0,6.0,69.0,303.86,16.0,N
0.2,11.0,56.04,26.0,0.0,10.0,6.0,228.0,1554.31,19.0,N
0.17,3.0,16.73,12.0,0.0,2.0,2.0,46.0,112.44,9.0,N
0.06,3.0,86.17,30.0,0.0,2.0,2.0,104.0,212.76,8.0,N
0.12,9.0,67.8,38.0,0.0,8.0,5.0,152.0,676.36,19.0,Y
0.22,7.0,31.36,14.0,0.67,4.0,4.0,64.0,178.11,11.0,N
0.5,11.0,11.97,12.0,1.0,8.0,6.0,61.0,415.72,18.0,N
0.12,3.0,19.85,17.0,0.0,2.0,2.0,76.0,311.9,6.0,N
0.17,11.0,32.18,34.0,0.0,10.0,6.0,278.0,3620.57,19.0,N
0.19,13.0,33.06,36.0,0.0,12.0,7.0,161.0,1216.82,32.0,N
0.19,15.0,40.02,43.0,0.5,4.0,9.0,121.0,653.95,23.0,N
0.15,3.0,44.01,13.0,0.0,2.0,2.0,53.0,83.68,7.0,N
0.19,49.0,1295.68,108.0,0.0,48.0,25.0,1879.0,10885.61,98.0,N
0.23,17.0,48.39,33.0,0.0,16.0,9.0,301.0,3379.92,28.0,N
0.4,3.0,16.21,5.0,0.0,2.0,2.0,19.0,15.89,5.0,N
0.19,7.0,16.21,21.0,0.0,6.0,4.0,42.0,109.03,12.0,N
0.31,7.0,14.24,13.0,0.0,4.0,4.0,42.0,128.58,13.0,N
0.24,11.0,35.4,21.0,0.4,8.0,6.0,84.0,286.59,16.0,N
0.12,11.0,54.14,52.0,0.0,10.0,6.0,177.0,1112.42,26.0,Y
0.24,23.0,53.31,50.0,0.82,22.0,12.0,263.0,2689.47,47.0,N
0.35,13.0,33.58,20.0,0.5,12.0,7.0,127.0,785.61,27.0,N
0.22,12.0,42.74,26.0,0.0,6.0,7.0,84.0,289.13,25.0,N
0.15,15.0,61.71,52.0,0.43,12.0,8.0,228.0,1684.67,35.0,N
0.23,5.0,18.54,13.0,0.0,4.0,3.0,63.0,268.83,11.0,N
0.4,3.0,13.67,5.0,0.0,2.0,2.0,20.0,24.81,8.0,N
0.33,3.0,9.05,6.0,0.0,2.0,2.0,7.0,2.0,5.0,N
0.25,3.0,24.33,8.0,0.0,2.0,2.0,50.0,95.37,6.0,N
0.22,32.0,55.18,93.0,0.15,16.0,21.0,272.0,3139.17,55.0,Y
0.07,5.0,46.77,41.0,0.0,4.0,3.0,243.0,2447.5,14.0,Y
0.16,7.0,38.31,21.0,0.0,6.0,4.0,95.0,390.05,11.0,Y
0.38,9.0,20.09,13.0,0.75,6.0,5.0,46.0,123.03,14.0,N
0.38,21.0,26.43,29.0,0.4,14.0,11.0,161.0,1770.39,30.0,N
0.57,7.0,7.8,7.0,1.0,6.0,4.0,36.0,166.52,12.0,N
0.25,3.0,17.2,8.0,0.0,2.0,2.0,27.0,42.48,7.0,N
0.33,3.0,20.84,5.0,0.0,2.0,2.0,21.0,17.95,6.0,N
0.43,5.0,6.38,7.0,0.0,4.0,3.0,23.0,63.04,9.0,N
0.25,7.0,35.44,16.0,0.67,4.0,4.0,69.0,193.16,17.0,N
0.39,13.0,33.36,14.0,0.5,8.0,7.0,90.0,376.87,18.0,Y
0.4,7.0,22.22,10.0,0.0,2.0,4.0,52.0,149.37,9.0,Y
0.17,5.0,30.6,18.0,1.0,2.0,3.0,58.0,149.88,9.0,N
0.32,11.0,28.88,19.0,0.8,6.0,6.0,171.0,1480.12,23.0,Y
0.18,7.0,45.88,18.0,0.0,6.0,4.0,77.0,211.4,14.0,N
0.18,7.0,28.85,22.0,0.0,6.0,4.0,56.0,150.98,14.0,N
0.41,13.0,27.29,17.0,0.83,12.0,7.0,112.0,671.91,27.0,N
0.03,11.0,355.66,195.0,0.0,10.0,6.0,919.0,6819.54,17.0,N
0.2,5.0,30.72,15.0,1.0,2.0,3.0,154.0,1109.91,8.0,N
0.33,3.0,11.15,6.0,0.0,2.0,2.0,25.0,52.04,7.0,N
0.26,27.0,32.58,43.0,0.77,18.0,14.0,209.0,2489.33,39.0,N
0.5,5.0,18.88,6.0,0.0,4.0,3.0,40.0,84.96,8.0,N
0.4,7.0,23.78,10.0,0.0,2.0,4.0,52.0,136.22,9.0,N
0.25,33.0,396.21,53.0,0.0,32.0,17.0,783.0,4331.14,66.0,N
0.4,7.0,11.9,10.0,0.0,6.0,4.0,55.0,311.98,14.0,N
0.43,29.0,63.05,29.0,0.0,26.0,15.0,348.0,3630.62,51.0,N
0.67,11.0,33.68,9.0,0.4,6.0,6.0,73.0,215.72,13.0,Y
0.14,8.0,44.55,38.0,0.0,2.0,6.0,198.0,1588.52,19.0,Y
0.23,5.0,33.1,13.0,0.0,2.0,3.0,49.0,93.15,14.0,N
0.3,5.0,25.87,10.0,0.0,4.0,3.0,53.0,116.4,10.0,N
0.08,5.0,99.53,35.0,0.0,4.0,3.0,199.0,745.47,12.0,N
0.29,3.0,13.74,7.0,0.0,2.0,2.0,35.0,86.15,7.0,N
0.2,15.0,122.69,35.0,0.0,14.0,8.0,256.0,1076.3,32.0,Y
0.2,3.0,16.18,10.0,0.0,2.0,2.0,26.0,37.14,6.0,N
0.33,3.0,9.87,6.0,0.0,2.0,2.0,15.0,17.35,5.0,N
0.25,5.0,17.39,11.0,0.0,2.0,3.0,96.0,665.68,6.0,Y
0.31,7.0,17.83,13.0,1.0,4.0,4.0,41.0,107.16,10.0,N
0.5,3.0,9.51,4.0,0.0,2.0,2.0,9.0,4.75,6.0,N
0.23,5.0,23.64,7.0,0.0,4.0,3.0,48.0,113.8,9.0,Y
0.14,19.0,35.09,65.0,0.44,16.0,10.0,200.0,1793.69,31.0,Y
0.1,5.0,87.22,31.0,0.0,4.0,3.0,252.0,1467.05,21.0,N
0.29,3.0,8.26,7.0,0.0,2.0,2.0,25.0,67.22,6.0,N
0.36,74.0,59.49,154.0,0.0,36.0,55.0,2242.0,261201.38,204.0,N
0.33,5.0,10.79,9.0,0.0,4.0,3.0,37.0,127.24,8.0,N
0.33,3.0,11.86,6.0,0.0,2.0,2.0,27.0,49.5,6.0,N
0.29,9.0,24.99,12.0,1.0,2.0,5.0,61.0,187.04,11.0,Y
0.29,13.0,29.99,21.0,0.83,12.0,7.0,126.0,810.02,27.0,N
0.16,13.0,71.6,33.0,0.5,10.0,7.0,166.0,763.94,23.0,Y
0.6,5.0,4.54,5.0,0.0,4.0,3.0,19.0,56.76,10.0,N
0.16,5.0,37.78,19.0,0.0,4.0,3.0,51.0,78.27,14.0,N
0.41,37.0,25.89,49.0,0.58,22.0,20.0,293.0,6428.38,54.0,N
0.1,9.0,106.51,50.0,0.0,8.0,5.0,325.0,2366.93,30.0,Y
0.15,26.0,118.43,112.0,0.25,8.0,17.0,405.0,3758.01,50.0,N
0.22,19.0,40.83,43.0,0.56,18.0,10.0,186.0,1315.15,34.0,N
0.5,9.0,14.4,10.0,1.0,6.0,5.0,49.0,204.73,11.0,N
0.41,13.0,12.97,17.0,0.0,12.0,7.0,111.0,1138.33,20.0,N
0.46,11.0,8.39,12.0,0.8,8.0,6.0,60.0,501.07,15.0,N
0.25,5.0,59.38,2.0,0.0,4.0,3.0,136.0,476.55,8.0,N
0.22,18.0,49.69,40.0,0.67,8.0,10.0,130.0,648.34,28.0,N
0.31,7.0,19.24,11.0,0.0,4.0,4.0,70.0,333.99,9.0,N
0.22,3.0,19.72,8.0,0.0,2.0,2.0,22.0,17.53,8.0,N
0.47,13.0,26.3,15.0,1.0,4.0,7.0,64.0,199.99,16.0,N
0.22,9.0,28.71,23.0,1.0,8.0,5.0,134.0,868.52,15.0,N
0.5,3.0,10.13,4.0,0.0,2.0,2.0,19.0,31.67,7.0,N
0.45,9.0,8.77,11.0,1.0,8.0,5.0,41.0,170.38,15.0,N
0.43,15.0,19.75,18.0,0.38,10.0,9.0,94.0,621.44,26.0,N
0.18,5.0,28.72,14.0,0.0,4.0,3.0,82.0,353.01,16.0,N
0.09,9.0,130.74,57.0,0.0,8.0,5.0,241.0,945.59,20.0,Y
