@relation CustomCM1
@attribute CYCLOMATIC_DENSITY numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
0.12,9.0,66.6,42.0,0.0,8.0,5.0,209.0,1271.34,21.0,N
0.19,7.0,18.1,15.0,1.0,6.0,4.0,63.0,269.21,13.0,N
0.17,3.0,14.62,12.0,0.0,2.0,2.0,23.0,33.58,6.0,N
0.17,9.0,27.4,29.0,0.0,8.0,5.0,111.0,657.21,18.0,N
0.25,3.0,11.07,8.0,0.0,2.0,2.0,14.0,11.77,5.0,N
0.12,7.0,30.45,30.0,0.0,6.0,4.0,122.0,725.84,23.0,N
0.08,19.0,208.02,127.0,0.0,18.0,10.0,753.0,7996.46,61.0,N
0.17,8.0,29.49,29.0,0.0,2.0,6.0,133.0,943.76,13.0,N
0.13,9.0,30.93,37.0,0.0,8.0,5.0,93.0,439.95,16.0,N
0.12,7.0,39.73,29.0,0.67,4.0,4.0,133.0,826.8,14.0,N
0.17,33.0,88.15,75.0,0.5,30.0,17.0,465.0,6362.03,72.0,N
0.16,11.0,53.31,32.0,0.0,10.0,6.0,123.0,491.82,26.0,N
0.08,3.0,56.67,23.0,0.0,2.0,2.0,73.0,118.11,21.0,N
0.22,20.0,45.89,63.0,0.21,6.0,15.0,262.0,3203.93,27.0,N
0.12,3.0,16.29,14.0,0.0,2.0,2.0,37.0,78.02,6.0,N
0.18,23.0,68.78,45.0,0.36,18.0,12.0,288.0,2646.91,38.0,N
0.15,3.0,17.29,11.0,0.0,2.0,2.0,48.0,138.3,5.0,N
0.14,3.0,16.21,10.0,0.0,2.0,2.0,39.0,100.52,8.0,N
0.13,3.0,21.05,10.0,0.0,2.0,2.0,45.0,112.33,6.0,N
0.13,37.0,171.78,149.0,0.0,32.0,20.0,702.0,8350.32,77.0,Y
0.06,5.0,55.85,47.0,0.0,4.0,3.0,256.0,2432.55,13.0,Y
0.13,13.0,124.44,48.0,0.0,12.0,7.0,262.0,1334.93,28.0,N
0.19,35.0,195.05,91.0,0.35,30.0,18.0,591.0,4967.36,64.0,Y
0.22,13.0,55.58,28.0,0.67,8.0,7.0,142.0,654.97,19.0,N
0.22,34.0,54.04,133.0,0.0,6.0,30.0,605.0,18014.49,42.0,Y
0.15,9.0,35.02,31.0,0.75,6.0,5.0,110.0,578.93,13.0,N
0.15,7.0,21.34,21.0,1.0,4.0,4.0,98.0,708.28,11.0,N
0.56,9.0,19.29,9.0,1.0,2.0,5.0,31.0,44.29,9.0,N
0.25,3.0,11.07,8.0,0.0,2.0,2.0,14.0,11.77,5.0,N
0.28,29.0,61.1,46.0,0.14,16.0,15.0,239.0,1687.66,32.0,N
0.05,3.0,93.81,41.0,0.0,2.0,2.0,241.0,1283.42,19.0,N
0.18,7.0,41.71,22.0,1.0,4.0,4.0,98.0,376.67,13.0,N
0.24,13.0,32.0,38.0,0.33,2.0,10.0,142.0,1211.24,17.0,N
0.25,3.0,17.91,6.0,0.0,2.0,2.0,27.0,39.32,5.0,N
0.15,7.0,38.77,26.0,0.67,4.0,4.0,99.0,375.34,11.0,N
0.1,3.0,28.66,14.0,0.0,2.0,2.0,67.0,209.5,7.0,N
0.16,33.0,56.02,93.0,0.38,28.0,17.0,407.0,7187.47,64.0,N
0.13,11.0,46.89,44.0,0.0,10.0,6.0,152.0,931.38,26.0,N
0.18,7.0,31.11,17.0,0.0,6.0,4.0,75.0,251.16,19.0,N
0.2,3.0,10.42,10.0,0.0,2.0,2.0,19.0,26.37,7.0,N
0.18,5.0,15.83,14.0,1.0,4.0,3.0,46.0,167.91,9.0,N
0.17,7.0,34.26,23.0,0.0,4.0,4.0,75.0,254.83,18.0,N
0.15,9.0,50.43,27.0,0.0,6.0,5.0,102.0,315.68,29.0,N
0.09,9.0,102.23,49.0,0.0,8.0,5.0,211.0,830.27,30.0,Y
0.17,60.0,101.81,177.0,0.13,16.0,41.0,767.0,16996.03,79.0,N
0.25,7.0,26.75,13.0,0.0,6.0,4.0,59.0,180.76,13.0,N
0.11,3.0,35.45,18.0,0.0,2.0,2.0,70.0,208.38,10.0,N
0.14,15.0,45.05,57.0,0.0,10.0,9.0,213.0,2143.79,31.0,Y
0.14,5.0,29.6,17.0,0.0,4.0,3.0,137.0,970.03,13.0,N
0.26,32.0,54.69,89.0,0.35,4.0,24.0,402.0,6884.14,33.0,Y
0.18,7.0,40.01,19.0,0.0,6.0,4.0,134.0,743.18,23.0,N
0.1,7.0,60.5,38.0,0.67,4.0,4.0,153.0,731.3,17.0,N
0.3,13.0,21.3,8.0,0.0,10.0,7.0,74.0,315.63,18.0,N
0.17,3.0,20.27,9.0,0.0,2.0,2.0,43.0,94.64,5.0,N
0.11,3.0,31.58,19.0,0.0,2.0,2.0,60.0,158.33,8.0,N
0.18,110.0,157.03,361.0,0.38,54.0,70.0,1844.0,83315.8,173.0,N
0.11,7.0,34.91,32.0,0.0,6.0,4.0,121.0,668.73,14.0,Y
0.18,11.0,59.16,34.0,0.0,10.0,6.0,135.0,522.12,15.0,N
0.14,5.0,40.4,21.0,0.0,4.0,3.0,86.0,284.09,14.0,N
0.28,8.0,12.36,14.0,0.0,4.0,5.0,41.0,154.56,11.0,N
0.15,3.0,21.15,13.0,0.0,2.0,2.0,20.0,14.39,6.0,N
0.2,3.0,6.92,10.0,0.0,2.0,2.0,16.0,24.6,5.0,N
0.12,9.0,54.55,31.0,1.0,8.0,5.0,140.0,667.2,18.0,N
0.09,3.0,37.27,22.0,0.0,2.0,2.0,114.0,492.91,7.0,Y
0.1,5.0,37.71,20.0,0.0,4.0,3.0,205.0,1910.24,10.0,N
0.18,7.0,46.13,20.0,0.0,6.0,4.0,122.0,534.32,14.0,N
0.11,5.0,37.6,19.0,0.0,4.0,3.0,74.0,198.58,9.0,N
0.07,3.0,22.83,21.0,0.0,2.0,2.0,105.0,670.83,8.0,N
0.23,63.0,78.34,85.0,0.35,54.0,32.0,589.0,11529.23,99.0,N
0.2,3.0,16.39,6.0,0.0,2.0,2.0,16.0,11.15,6.0,N
0.11,6.0,48.31,36.0,0.0,2.0,4.0,156.0,834.15,28.0,N
0.13,3.0,25.23,14.0,0.0,2.0,2.0,51.0,126.52,8.0,N
0.06,3.0,64.01,33.0,0.0,2.0,2.0,135.0,482.5,23.0,N
0.14,9.0,38.51,25.0,1.0,8.0,5.0,107.0,434.49,18.0,N
0.1,15.0,90.85,71.0,0.0,14.0,8.0,307.0,2428.97,40.0,Y
0.29,3.0,16.52,7.0,0.0,2.0,2.0,25.0,35.13,6.0,N
0.25,5.0,21.83,12.0,0.0,4.0,3.0,51.0,131.62,11.0,N
0.13,9.0,54.44,38.0,0.0,8.0,5.0,176.0,1120.71,19.0,N
0.16,9.0,24.71,27.0,0.5,6.0,5.0,108.0,655.71,17.0,N
0.11,3.0,54.5,17.0,0.0,2.0,2.0,103.0,260.36,16.0,N
0.25,3.0,17.91,6.0,0.0,2.0,2.0,27.0,39.32,5.0,N
0.24,9.0,23.83,20.0,1.0,8.0,5.0,57.0,175.07,16.0,N
0.18,3.0,13.64,9.0,0.0,2.0,2.0,53.0,220.67,5.0,N
0.21,13.0,27.4,23.0,0.67,12.0,7.0,157.0,1203.31,22.0,N
0.22,3.0,19.71,9.0,0.0,2.0,2.0,26.0,33.13,6.0,N
0.17,23.0,52.05,68.0,0.36,18.0,12.0,187.0,1363.54,39.0,N
0.13,3.0,37.54,15.0,0.0,2.0,2.0,60.0,120.46,6.0,N
0.2,15.0,35.27,27.0,0.43,14.0,8.0,93.0,369.73,24.0,N
0.26,21.0,42.16,41.0,0.6,16.0,11.0,241.0,3023.95,34.0,N
0.18,3.0,17.13,9.0,0.0,2.0,2.0,39.0,95.17,7.0,N
0.13,57.0,204.29,165.0,0.93,50.0,29.0,1112.0,19758.22,134.0,N
0.29,3.0,16.52,7.0,0.0,2.0,2.0,25.0,35.13,6.0,N
0.13,49.0,243.12,172.0,0.58,46.0,25.0,750.0,7136.55,114.0,N
0.22,29.0,50.79,50.0,0.57,22.0,15.0,219.0,1800.1,42.0,N
0.07,9.0,97.85,60.0,0.0,8.0,5.0,331.0,2659.81,21.0,N
0.29,3.0,16.52,7.0,0.0,2.0,2.0,25.0,35.13,6.0,N
0.18,5.0,13.72,16.0,1.0,4.0,3.0,33.0,85.06,9.0,N
0.14,5.0,34.27,17.0,0.0,4.0,3.0,25.0,14.69,9.0,N
0.15,5.0,10.03,20.0,0.0,4.0,3.0,36.0,119.9,8.0,N
0.1,5.0,44.75,28.0,0.0,4.0,3.0,148.0,866.23,15.0,Y
0.14,3.0,36.78,14.0,0.0,2.0,2.0,56.0,102.16,6.0,N
0.18,5.0,36.19,15.0,0.0,4.0,3.0,52.0,103.77,14.0,N
0.14,11.0,61.64,41.0,0.0,10.0,6.0,177.0,985.2,36.0,N
0.13,37.0,83.0,130.0,0.42,28.0,20.0,607.0,12276.66,86.0,Y
0.1,7.0,61.36,41.0,0.0,6.0,4.0,247.0,1911.4,23.0,N
0.33,5.0,9.14,9.0,1.0,2.0,3.0,24.0,50.76,7.0,N
0.15,31.0,108.35,76.0,0.6,22.0,16.0,526.0,6906.29,54.0,N
0.16,7.0,24.0,18.0,1.0,6.0,4.0,76.0,315.56,12.0,N
0.11,5.0,61.85,27.0,0.0,4.0,3.0,130.0,498.05,17.0,N
0.05,3.0,94.81,42.0,0.0,2.0,2.0,210.0,1014.9,8.0,N
0.38,17.0,30.54,24.0,0.0,16.0,9.0,74.0,230.19,27.0,N
0.1,15.0,47.3,59.0,0.0,10.0,9.0,336.0,5504.59,43.0,N
0.19,9.0,27.4,25.0,0.0,8.0,5.0,100.0,618.64,21.0,N
0.14,9.0,44.36,31.0,0.0,8.0,5.0,141.0,675.77,29.0,N
0.16,9.0,78.0,30.0,0.0,8.0,5.0,189.0,802.09,38.0,N
0.33,5.0,12.09,9.0,0.0,4.0,3.0,41.0,134.33,8.0,N
0.14,3.0,20.76,12.0,0.0,2.0,2.0,15.0,7.21,6.0,N
0.17,15.0,74.36,44.0,0.43,12.0,8.0,159.0,704.77,26.0,Y
0.2,5.0,17.71,8.0,0.0,4.0,3.0,43.0,111.92,10.0,N
0.13,3.0,21.05,10.0,0.0,2.0,2.0,45.0,112.33,6.0,N
0.18,5.0,22.53,13.0,0.0,4.0,3.0,66.0,242.84,16.0,N
0.16,9.0,27.26,22.0,0.0,8.0,5.0,114.0,739.96,21.0,N
0.16,7.0,31.67,25.0,0.0,6.0,4.0,95.0,395.83,14.0,N
0.13,3.0,18.54,15.0,0.0,2.0,2.0,42.0,95.4,6.0,N
0.13,3.0,17.24,15.0,0.0,2.0,2.0,40.0,108.37,7.0,N
0.14,3.0,15.6,10.0,0.0,2.0,2.0,26.0,38.52,5.0,N
0.19,58.0,151.5,160.0,0.19,36.0,32.0,488.0,4346.94,94.0,N
0.09,13.0,104.75,59.0,0.0,12.0,7.0,349.0,2851.38,33.0,Y
0.19,15.0,75.22,41.0,0.71,10.0,8.0,187.0,915.63,18.0,N
0.16,49.0,104.25,128.0,0.46,42.0,25.0,790.0,17097.62,94.0,N
0.2,5.0,22.4,13.0,0.0,4.0,3.0,38.0,66.91,11.0,Y
0.15,9.0,18.72,28.0,0.75,8.0,5.0,83.0,482.48,18.0,N
0.18,3.0,19.8,11.0,0.0,2.0,2.0,28.0,41.08,5.0,N
0.17,7.0,46.9,21.0,1.0,6.0,4.0,96.0,287.24,12.0,N
0.18,11.0,25.24,22.0,0.0,10.0,6.0,94.0,558.17,20.0,N
0.18,3.0,24.7,9.0,0.0,4.0,2.0,40.0,71.57,5.0,N
0.1,7.0,45.51,32.0,0.0,6.0,4.0,130.0,676.94,17.0,N
0.13,29.0,46.37,92.0,1.0,28.0,15.0,466.0,8370.61,63.0,N
0.22,3.0,11.86,9.0,0.0,2.0,2.0,15.0,12.61,6.0,N
0.15,9.0,52.03,29.0,0.0,8.0,5.0,111.0,439.7,15.0,Y
0.12,29.0,164.09,121.0,0.14,26.0,15.0,537.0,4933.44,63.0,Y
0.13,7.0,49.79,21.0,0.0,6.0,4.0,87.0,248.67,13.0,N
0.24,7.0,17.03,15.0,0.67,4.0,4.0,52.0,203.9,9.0,N
0.19,19.0,105.02,47.0,0.89,14.0,10.0,318.0,2075.52,46.0,N
0.14,3.0,11.85,14.0,0.0,2.0,2.0,28.0,53.3,5.0,N
0.19,25.0,84.92,62.0,0.67,18.0,13.0,265.0,1666.28,37.0,N
0.19,5.0,24.32,16.0,1.0,2.0,3.0,40.0,78.8,6.0,N
0.13,3.0,21.16,16.0,0.0,2.0,2.0,42.0,97.35,7.0,N
0.15,11.0,48.56,27.0,0.0,10.0,6.0,279.0,3029.95,22.0,N
0.19,9.0,27.08,24.0,0.0,8.0,5.0,197.0,2373.13,18.0,N
0.17,57.0,91.32,130.0,0.21,56.0,29.0,729.0,15842.82,135.0,N
0.13,23.0,85.71,63.0,0.18,20.0,12.0,487.0,6958.42,54.0,N
0.14,3.0,12.74,14.0,0.0,2.0,2.0,24.0,43.68,6.0,N
0.25,7.0,22.03,15.0,1.0,2.0,4.0,55.0,176.27,9.0,N
0.14,17.0,183.65,62.0,0.0,16.0,9.0,214.0,502.45,52.0,N
0.2,19.0,66.12,60.0,0.0,8.0,13.0,155.0,710.0,31.0,N
0.04,3.0,37.89,36.0,0.0,2.0,2.0,171.0,1230.78,11.0,N
0.13,17.0,76.03,66.0,0.38,14.0,9.0,342.0,3548.06,37.0,N
0.14,13.0,78.96,44.0,0.0,12.0,7.0,269.0,2145.57,25.0,Y
0.14,5.0,31.51,20.0,0.0,4.0,3.0,64.0,193.01,9.0,Y
0.33,5.0,14.65,9.0,1.0,2.0,3.0,19.0,18.75,7.0,N
0.16,7.0,30.72,24.0,0.67,4.0,4.0,107.0,624.53,12.0,Y
0.16,11.0,64.31,34.0,0.0,10.0,6.0,146.0,514.45,27.0,N
0.24,7.0,24.97,16.0,0.0,6.0,4.0,97.0,576.42,13.0,N
0.12,5.0,39.8,16.0,0.0,4.0,3.0,73.0,179.1,9.0,N
0.18,7.0,22.84,16.0,0.0,6.0,4.0,109.0,850.88,12.0,N
0.15,9.0,47.41,31.0,0.0,8.0,5.0,231.0,1991.81,18.0,N
0.13,3.0,27.05,15.0,0.0,2.0,2.0,74.0,305.19,6.0,Y
0.1,3.0,25.62,18.0,0.0,2.0,2.0,122.0,849.0,6.0,N
0.19,11.0,53.81,27.0,0.4,8.0,6.0,140.0,663.95,18.0,N
0.1,29.0,118.83,149.0,0.71,28.0,15.0,781.0,14535.59,61.0,N
0.23,9.0,35.13,22.0,1.0,4.0,5.0,84.0,307.3,10.0,Y
0.18,47.0,171.89,138.0,0.0,40.0,25.0,625.0,7070.88,89.0,N
0.21,11.0,42.36,25.0,0.0,10.0,6.0,182.0,1325.49,34.0,N
0.22,3.0,10.63,8.0,0.0,2.0,2.0,12.0,8.3,5.0,N
0.28,37.0,73.61,69.0,1.0,20.0,19.0,422.0,5827.87,51.0,N
0.16,13.0,160.8,42.0,0.0,12.0,7.0,263.0,921.45,42.0,N
0.17,3.0,13.38,9.0,0.0,2.0,2.0,27.0,50.58,5.0,N
0.17,3.0,22.78,12.0,0.0,2.0,2.0,16.0,6.89,7.0,N
0.12,3.0,16.29,14.0,0.0,2.0,2.0,37.0,78.02,6.0,N
0.2,7.0,54.3,18.0,0.0,6.0,4.0,80.0,187.94,12.0,N
0.18,39.0,72.67,91.0,0.42,32.0,20.0,568.0,10695.18,79.0,Y
0.15,7.0,26.32,24.0,0.0,6.0,4.0,85.0,374.32,15.0,N
0.18,5.0,25.58,13.0,0.0,4.0,3.0,71.0,247.57,15.0,N
0.1,7.0,56.52,41.0,0.67,6.0,4.0,129.0,546.69,18.0,Y
0.15,7.0,28.43,22.0,1.0,6.0,4.0,75.0,284.5,13.0,N
0.3,11.0,26.39,18.0,0.6,8.0,6.0,67.0,213.65,17.0,N
0.07,3.0,58.05,30.0,0.0,2.0,2.0,151.0,695.12,13.0,N
0.13,5.0,28.18,16.0,0.0,4.0,3.0,82.0,359.73,13.0,N
0.12,25.0,101.31,106.0,0.0,24.0,13.0,421.0,4116.1,85.0,N
0.2,9.0,32.54,24.0,0.0,8.0,5.0,63.0,163.15,14.0,N
0.12,21.0,70.59,82.0,0.2,16.0,11.0,475.0,7838.01,55.0,Y
0.26,16.0,35.91,49.0,0.0,4.0,13.0,132.0,924.95,25.0,N
0.14,5.0,45.57,19.0,0.0,4.0,3.0,85.0,235.42,11.0,Y
0.13,31.0,77.8,125.0,0.0,16.0,18.0,438.0,7002.58,56.0,N
0.29,3.0,16.52,7.0,0.0,2.0,2.0,25.0,35.13,6.0,N
0.13,37.0,75.03,101.0,0.44,32.0,19.0,685.0,18156.38,65.0,N
0.26,18.0,36.57,52.0,0.0,6.0,14.0,142.0,1077.48,27.0,N
0.27,5.0,14.67,11.0,0.0,4.0,3.0,49.0,175.37,8.0,N
0.29,3.0,8.79,7.0,0.0,2.0,2.0,27.0,70.32,5.0,N
0.2,21.0,48.89,55.0,0.4,16.0,11.0,217.0,1955.01,44.0,N
0.17,7.0,47.35,20.0,0.0,6.0,4.0,97.0,325.03,14.0,N
0.1,28.0,133.35,154.0,0.56,12.0,17.0,695.0,11022.02,57.0,N
0.13,17.0,97.49,62.0,0.38,12.0,9.0,314.0,2367.89,32.0,N
0.27,5.0,14.67,11.0,0.0,4.0,3.0,49.0,175.37,8.0,N
0.19,23.0,39.47,64.0,0.67,18.0,13.0,283.0,4118.02,48.0,N
0.16,9.0,14.28,31.0,0.0,8.0,5.0,67.0,315.25,15.0,N
0.2,3.0,10.75,10.0,0.0,2.0,2.0,21.0,29.28,6.0,N
