@relation CustomCM1
@attribute LOC_TOTAL numeric
@attribute LOC_COMMENTS numeric
@attribute LOC_BLANK numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute NUM_OPERATORS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute Defective {Y,N}

@data
32.0,0.0,2.0,44.45,25.0,55.0,4.0,0.14,7.0,3989.43,N
2.0,0.0,0.0,11.23,0.0,5.0,1.0,0.01,1.0,44.92,N
4.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
7.0,0.0,0.0,17.08,5.0,15.0,2.0,0.02,3.0,209.28,Y
113.0,5.0,18.0,104.99,88.0,330.0,15.0,1.16,29.0,116258.98,Y
41.0,0.0,9.0,26.93,29.0,59.0,6.0,0.17,11.0,9619.48,Y
4.0,0.0,0.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
7.0,0.0,0.0,11.23,4.0,5.0,1.0,0.01,1.0,44.92,N
129.0,1.0,13.0,81.73,109.0,215.0,22.0,0.7,43.0,53276.94,N
17.0,0.0,3.0,15.23,12.0,15.0,2.0,0.03,3.0,548.26,N
9.0,0.0,1.0,9.6,4.0,5.0,1.0,0.01,1.0,60.0,N
25.0,1.0,2.0,22.43,17.0,28.0,3.0,0.08,5.0,2280.63,N
4.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
2.0,0.0,0.0,19.58,0.0,11.0,1.0,0.02,1.0,239.86,N
12.0,0.0,0.0,21.51,10.0,24.0,1.0,0.06,1.0,1554.11,Y
38.0,0.0,6.0,36.49,30.0,71.0,7.0,0.19,13.0,9342.72,Y
14.0,0.0,0.0,27.26,8.0,21.0,1.0,0.05,1.0,737.24,N
4.0,0.0,0.0,7.86,2.0,5.0,1.0,0.01,1.0,49.13,N
65.0,4.0,5.0,40.62,54.0,93.0,6.0,0.27,11.0,15808.22,Y
85.0,2.0,9.0,45.6,72.0,129.0,11.0,0.42,21.0,34067.01,N
25.0,0.0,0.0,42.94,21.0,46.0,4.0,0.12,7.0,3238.55,Y
2.0,0.0,0.0,7.74,0.0,3.0,1.0,0.0,1.0,17.41,N
15.0,0.0,1.0,13.87,12.0,17.0,2.0,0.03,3.0,780.0,N
32.0,1.0,3.0,34.8,22.0,36.0,4.0,0.09,7.0,2157.9,N
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
12.0,2.0,2.0,15.41,5.0,10.0,1.0,0.02,1.0,256.87,N
8.0,0.0,0.0,8.43,6.0,9.0,1.0,0.01,1.0,239.85,N
13.0,4.0,2.0,18.6,5.0,9.0,1.0,0.02,1.0,116.27,N
4.0,0.0,0.0,8.15,2.0,7.0,1.0,0.01,1.0,99.85,N
116.0,2.0,15.0,137.08,97.0,242.0,12.0,0.82,23.0,44415.05,Y
13.0,0.0,1.0,24.76,8.0,22.0,1.0,0.05,1.0,826.58,N
4.0,0.0,0.0,7.86,2.0,5.0,1.0,0.01,1.0,49.13,N
95.0,0.0,10.0,54.5,82.0,156.0,16.0,0.5,31.0,41638.64,Y
3.0,0.0,0.0,9.56,1.0,12.0,3.0,0.02,5.0,344.16,N
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,N
53.0,0.0,2.0,81.84,49.0,118.0,5.0,0.33,8.0,11784.37,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
5.0,0.0,0.0,9.83,3.0,4.0,1.0,0.01,1.0,39.3,N
2.0,0.0,0.0,15.95,0.0,7.0,1.0,0.01,1.0,99.66,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
13.0,0.0,0.0,21.02,7.0,18.0,2.0,0.04,3.0,813.86,N
46.0,1.0,4.0,31.07,37.0,64.0,7.0,0.16,13.0,7433.62,N
10.0,0.0,2.0,15.78,7.0,11.0,1.0,0.02,1.0,252.47,N
2.0,0.0,0.0,12.68,0.0,6.0,1.0,0.01,1.0,79.25,N
4.0,0.0,0.0,5.8,2.0,4.0,1.0,0.0,1.0,23.22,N
5.0,0.0,0.0,9.62,3.0,16.0,3.0,0.03,5.0,1040.81,N
140.0,8.0,6.0,83.5,124.0,238.0,18.0,0.77,35.0,63607.25,Y
7.0,0.0,1.0,13.84,4.0,7.0,1.0,0.01,1.0,124.54,N
92.0,5.0,2.0,78.07,75.0,121.0,8.0,0.39,15.0,17957.52,Y
77.0,4.0,3.0,54.82,68.0,134.0,13.0,0.36,25.0,20885.76,N
3.0,0.0,0.0,11.85,1.0,9.0,3.0,0.02,5.0,239.86,N
132.0,11.0,9.0,70.65,110.0,197.0,14.0,0.68,26.0,58255.33,Y
4.0,0.0,0.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
50.0,4.0,3.0,52.11,41.0,70.0,5.0,0.21,9.0,7411.68,Y
1.0,0.0,0.0,7.74,0.0,3.0,1.0,0.0,1.0,17.41,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
7.0,0.0,0.0,6.64,5.0,8.0,2.0,0.01,3.0,183.06,Y
20.0,0.0,2.0,44.37,11.0,18.0,1.0,0.05,1.0,458.43,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
14.0,0.0,0.0,91.38,7.0,12.0,1.0,0.03,1.0,91.38,N
2.0,0.0,0.0,5.33,1.0,3.0,1.0,0.0,1.0,12.0,N
22.0,0.0,1.0,45.63,11.0,3.0,1.0,0.02,1.0,55.21,Y
8.0,0.0,1.0,16.73,4.0,8.0,1.0,0.02,1.0,150.57,N
38.0,0.0,2.0,30.49,34.0,83.0,6.0,0.19,11.0,10434.98,N
135.0,2.0,3.0,85.01,126.0,327.0,29.0,1.04,57.0,114916.0,N
19.0,1.0,2.0,25.77,12.0,25.0,2.0,0.06,3.0,1197.9,N
4.0,0.0,0.0,8.15,2.0,7.0,1.0,0.01,1.0,99.85,N
52.0,3.0,1.0,46.6,39.0,91.0,6.0,0.24,11.0,11417.66,N
2.0,0.0,0.0,5.8,0.0,4.0,1.0,0.0,1.0,23.22,N
4.0,0.0,0.0,18.09,1.0,3.0,1.0,0.01,1.0,18.09,N
4.0,0.0,0.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
35.0,1.0,3.0,22.01,29.0,55.0,5.0,0.15,9.0,9158.6,Y
5.0,0.0,0.0,9.0,2.0,7.0,1.0,0.01,1.0,81.0,N
15.0,0.0,1.0,28.0,8.0,11.0,1.0,0.03,1.0,252.0,N
9.0,0.0,1.0,16.61,6.0,7.0,2.0,0.02,3.0,141.26,N
4.0,0.0,0.0,7.86,2.0,5.0,1.0,0.01,1.0,49.13,N
4.0,0.0,0.0,5.8,2.0,4.0,1.0,0.0,1.0,23.22,N
18.0,0.0,3.0,16.4,12.0,23.0,4.0,0.05,7.0,1225.36,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
10.0,0.0,0.0,18.78,8.0,16.0,2.0,0.03,3.0,331.25,N
24.0,0.0,3.0,29.12,19.0,85.0,5.0,0.24,9.0,18012.97,Y
8.0,0.0,0.0,9.88,5.0,9.0,1.0,0.02,1.0,272.43,N
7.0,0.0,0.0,6.67,5.0,7.0,2.0,0.01,3.0,135.0,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
9.0,0.0,0.0,14.69,6.0,11.0,1.0,0.02,1.0,319.82,N
51.0,3.0,2.0,35.44,44.0,93.0,13.0,0.24,25.0,14362.87,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
44.0,2.0,3.0,33.95,34.0,68.0,8.0,0.2,15.0,11072.86,N
8.0,0.0,0.0,14.41,6.0,9.0,2.0,0.02,3.0,186.81,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
4.0,0.0,0.0,13.93,0.0,3.0,1.0,0.0,1.0,13.93,N
4.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
28.0,0.0,2.0,35.65,24.0,45.0,2.0,0.1,5.0,2618.82,N
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
30.0,0.0,0.0,2.77,28.0,28.0,1.0,0.04,1.0,4212.0,Y
5.0,0.0,0.0,11.23,3.0,5.0,1.0,0.01,1.0,44.92,N
63.0,4.0,5.0,43.7,52.0,109.0,11.0,0.28,21.0,16252.03,N
24.0,0.0,1.0,38.52,18.0,43.0,2.0,0.11,3.0,2939.56,N
27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
23.0,1.0,3.0,35.82,16.0,34.0,2.0,0.08,3.0,1791.33,N
4.0,0.0,0.0,4.75,0.0,2.0,1.0,0.0,1.0,4.75,N
6.0,0.0,0.0,4.44,4.0,7.0,1.0,0.01,1.0,90.0,N
4.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
18.0,0.0,1.0,20.85,15.0,27.0,2.0,0.07,3.0,1864.0,N
17.0,0.0,4.0,14.28,11.0,12.0,2.0,0.03,3.0,406.12,N
26.0,1.0,2.0,25.98,20.0,44.0,2.0,0.1,3.0,3435.99,N
59.0,2.0,6.0,43.32,49.0,91.0,11.0,0.23,21.0,11407.1,N
4.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
68.0,10.0,3.0,68.88,53.0,132.0,18.0,0.36,35.0,16513.25,Y
4.0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,1.0,8.0,N
44.0,0.0,3.0,38.83,38.0,59.0,4.0,0.16,7.0,6195.35,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
11.0,0.0,0.0,20.31,6.0,15.0,1.0,0.03,1.0,411.19,Y
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
93.0,4.0,12.0,100.98,76.0,149.0,10.0,0.5,19.0,22027.25,N
4.0,0.0,0.0,5.8,2.0,4.0,1.0,0.0,1.0,23.22,N
5.0,0.0,0.0,15.11,3.0,10.0,2.0,0.02,3.0,306.0,N
19.0,0.0,0.0,25.31,17.0,27.0,2.0,0.06,3.0,1240.39,N
47.0,5.0,6.0,34.94,32.0,70.0,5.0,0.2,9.0,10700.49,N
26.0,0.0,2.0,36.95,13.0,26.0,2.0,0.07,3.0,1289.11,N
4.0,0.0,0.0,7.86,2.0,5.0,1.0,0.01,1.0,49.13,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
2.0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,1.0,8.0,N
99.0,12.0,3.0,70.4,78.0,195.0,19.0,0.62,37.0,49778.18,N
7.0,0.0,0.0,4.14,5.0,6.0,2.0,0.01,3.0,103.4,N
27.0,21.0,0.0,5.33,3.0,3.0,1.0,0.0,1.0,12.0,N
3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
17.0,0.0,2.0,35.36,13.0,34.0,1.0,0.06,1.0,1069.68,N
17.0,0.0,0.0,19.46,14.0,23.0,2.0,0.05,3.0,1094.61,N
12.0,0.0,0.0,27.26,8.0,21.0,1.0,0.05,1.0,737.24,N
66.0,1.0,18.0,64.25,45.0,148.0,16.0,0.54,31.0,40253.51,Y
9.0,0.0,0.0,37.0,7.0,17.0,1.0,0.03,1.0,231.28,Y
24.0,0.0,0.0,30.6,20.0,43.0,4.0,0.12,7.0,3953.7,Y
25.0,3.0,1.0,33.72,17.0,46.0,3.0,0.12,5.0,4079.69,N
36.0,1.0,3.0,36.87,30.0,47.0,3.0,0.12,5.0,3600.62,N
4.0,0.0,0.0,12.06,0.0,4.0,1.0,0.01,1.0,27.14,N
70.0,0.0,7.0,54.12,61.0,106.0,10.0,0.3,18.0,14596.21,N
69.0,7.0,6.0,42.36,54.0,124.0,10.0,0.35,19.0,26476.59,Y
11.0,0.0,1.0,12.18,6.0,7.0,1.0,0.01,1.0,109.62,Y
8.0,0.0,0.0,32.5,2.0,3.0,1.0,0.01,1.0,8.13,N
6.0,0.0,0.0,10.57,4.0,7.0,1.0,0.01,1.0,95.1,N
4.0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,1.0,8.0,Y
21.0,3.0,4.0,20.92,12.0,34.0,3.0,0.08,5.0,2790.22,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
29.0,0.0,1.0,32.82,25.0,39.0,3.0,0.1,5.0,2757.59,Y
16.0,0.0,0.0,33.04,13.0,38.0,3.0,0.09,5.0,2155.65,N
8.0,0.0,0.0,16.34,6.0,11.0,1.0,0.02,1.0,211.72,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
25.0,0.0,1.0,26.23,20.0,36.0,3.0,0.08,5.0,2389.82,N
8.0,0.0,1.0,16.73,4.0,8.0,1.0,0.02,1.0,150.57,Y
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
4.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
2.0,0.0,0.0,12.68,0.0,6.0,1.0,0.01,1.0,79.25,N
2.0,0.0,0.0,4.75,0.0,2.0,1.0,0.0,1.0,4.75,N
2.0,0.0,0.0,4.75,0.0,2.0,1.0,0.0,1.0,4.75,N
10.0,1.0,1.0,11.86,6.0,10.0,2.0,0.02,3.0,227.03,N
2.0,0.0,0.0,9.83,0.0,4.0,2.0,0.01,3.0,39.3,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
4.0,0.0,0.0,6.86,2.0,7.0,1.0,0.01,1.0,84.0,N
12.0,4.0,0.0,15.22,6.0,12.0,1.0,0.02,1.0,213.97,N
29.0,0.0,1.0,32.82,24.0,39.0,3.0,0.1,5.0,2757.59,N
45.0,11.0,7.0,33.08,25.0,53.0,3.0,0.13,5.0,4914.15,Y
5.0,0.0,0.0,9.0,2.0,7.0,1.0,0.01,1.0,81.0,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
12.0,0.0,0.0,21.02,7.0,18.0,2.0,0.04,3.0,813.86,N
119.0,23.0,13.0,41.82,81.0,136.0,14.0,0.43,27.0,40708.58,Y
1.0,0.0,0.0,16.84,0.0,5.0,1.0,0.01,1.0,37.9,N
25.0,1.0,1.0,32.87,21.0,39.0,4.0,0.1,7.0,2619.98,N
20.0,0.0,1.0,25.13,14.0,31.0,7.0,0.08,13.0,2307.76,Y
25.0,0.0,1.0,26.23,20.0,36.0,3.0,0.08,5.0,2389.82,N
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,N
19.0,0.0,2.0,25.8,14.0,26.0,2.0,0.06,3.0,1175.61,N
51.0,3.0,2.0,35.44,44.0,93.0,13.0,0.24,25.0,14362.87,N
132.0,7.0,22.0,69.24,101.0,192.0,16.0,0.68,31.0,60862.61,Y
1.0,0.0,0.0,7.74,0.0,3.0,1.0,0.0,1.0,17.41,N
5.0,0.0,0.0,9.51,3.0,1.0,1.0,0.0,1.0,2.38,N
3.0,0.0,0.0,8.0,2.0,2.0,1.0,0.0,1.0,8.0,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
2.0,0.0,0.0,9.6,0.0,5.0,2.0,0.01,3.0,60.0,N
73.0,0.0,12.0,35.46,59.0,154.0,10.0,0.47,19.0,56980.83,Y
4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
4.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
9.0,0.0,1.0,26.05,4.0,11.0,1.0,0.03,1.0,234.41,N
10.0,0.0,0.0,15.38,6.0,10.0,1.0,0.02,1.0,199.26,N
5.0,0.0,0.0,15.11,3.0,10.0,2.0,0.02,3.0,306.0,N
4.0,0.0,0.0,13.5,2.0,5.0,1.0,0.01,1.0,54.0,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
57.0,2.0,5.0,73.18,48.0,124.0,6.0,0.38,10.0,17523.69,Y
4.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
6.0,0.0,0.0,14.99,4.0,8.0,1.0,0.01,1.0,134.92,N
2.0,0.0,0.0,7.74,0.0,3.0,1.0,0.0,1.0,17.41,N
149.0,9.0,16.0,80.13,114.0,268.0,25.0,0.81,49.0,73847.58,N
3.0,0.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
11.0,0.0,1.0,16.5,8.0,17.0,1.0,0.03,1.0,593.95,Y
8.0,0.0,0.0,11.07,6.0,9.0,2.0,0.02,3.0,211.89,N
10.0,1.0,0.0,22.2,7.0,7.0,1.0,0.02,1.0,138.77,Y
2.0,0.0,0.0,9.83,0.0,4.0,2.0,0.01,3.0,39.3,N
2.0,0.0,0.0,7.74,0.0,3.0,1.0,0.0,1.0,17.41,N
39.0,2.0,4.0,34.34,29.0,68.0,3.0,0.16,5.0,7120.92,N
4.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,N
108.0,3.0,15.0,76.67,88.0,174.0,12.0,0.55,23.0,34945.56,N
35.0,0.0,3.0,36.87,30.0,47.0,3.0,0.12,5.0,3600.62,N
109.0,1.0,12.0,60.37,93.0,230.0,18.0,0.85,35.0,107760.09,Y
120.0,20.0,10.0,89.18,85.0,188.0,19.0,0.67,37.0,44799.75,N
6.0,0.0,0.0,12.18,3.0,7.0,1.0,0.01,1.0,109.62,N
35.0,4.0,3.0,42.79,26.0,63.0,3.0,0.18,5.0,6991.99,Y
5.0,0.0,0.0,9.83,3.0,4.0,1.0,0.01,1.0,39.3,N
9.0,0.0,0.0,16.32,6.0,13.0,1.0,0.03,1.0,355.35,N
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
39.0,4.0,5.0,35.28,23.0,41.0,4.0,0.12,7.0,3472.37,N
37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
2.0,0.0,0.0,19.58,0.0,11.0,1.0,0.02,1.0,239.86,N
56.0,2.0,7.0,49.64,45.0,81.0,7.0,0.2,13.0,7337.87,N
16.0,0.0,2.0,39.4,12.0,30.0,3.0,0.09,5.0,1930.48,Y
7.0,0.0,0.0,13.29,5.0,8.0,2.0,0.01,3.0,119.59,N
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
4.0,0.0,0.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
5.0,0.0,0.0,10.8,3.0,6.0,1.0,0.01,1.0,67.5,N
11.0,0.0,0.0,20.31,6.0,15.0,1.0,0.03,1.0,411.19,Y
6.0,0.0,0.0,16.84,3.0,5.0,1.0,0.01,1.0,37.9,N
13.0,1.0,1.0,16.56,9.0,19.0,2.0,0.04,3.0,736.09,N
2.0,0.0,0.0,7.74,0.0,3.0,1.0,0.0,1.0,17.41,N
17.0,0.0,0.0,29.85,14.0,34.0,2.0,0.08,3.0,1871.1,N
5.0,0.0,0.0,15.11,3.0,10.0,2.0,0.02,3.0,306.0,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
9.0,0.0,0.0,12.4,5.0,9.0,1.0,0.02,1.0,174.4,N
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
24.0,0.0,1.0,22.2,14.0,4.0,1.0,0.02,1.0,157.89,N
24.0,0.0,3.0,47.56,19.0,39.0,3.0,0.1,5.0,2048.33,N
5.0,0.0,0.0,10.34,3.0,3.0,1.0,0.01,1.0,23.26,N
11.0,0.0,1.0,20.56,7.0,17.0,1.0,0.03,1.0,513.99,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
40.0,1.0,2.0,35.93,31.0,68.0,4.0,0.18,7.0,8265.25,Y
6.0,2.0,0.0,7.74,2.0,3.0,1.0,0.0,1.0,17.41,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
30.0,0.0,1.0,25.75,18.0,5.0,1.0,0.03,1.0,286.12,Y
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
6.0,0.0,2.0,9.51,2.0,6.0,1.0,0.01,1.0,85.59,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
20.0,10.0,2.0,11.53,6.0,9.0,2.0,0.02,3.0,474.89,Y
2.0,0.0,0.0,12.68,0.0,6.0,1.0,0.01,1.0,79.25,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
7.0,0.0,0.0,12.0,5.0,6.0,1.0,0.01,1.0,108.0,N
25.0,1.0,2.0,47.55,13.0,39.0,1.0,0.1,1.0,2008.94,Y
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
17.0,0.0,0.0,29.85,14.0,34.0,2.0,0.08,3.0,1871.1,N
8.0,0.0,0.0,16.0,5.0,1.0,1.0,0.0,1.0,4.0,N
16.0,1.0,2.0,29.28,9.0,24.0,1.0,0.06,1.0,1054.16,N
4.0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,1.0,8.0,N
53.0,2.0,9.0,40.95,39.0,85.0,6.0,0.24,11.0,12185.29,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
4.0,0.0,0.0,4.75,0.0,2.0,1.0,0.0,1.0,4.75,N
4.0,0.0,0.0,7.74,0.0,3.0,1.0,0.0,1.0,17.41,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
15.0,0.0,0.0,21.32,13.0,18.0,2.0,0.04,3.0,533.03,N
27.0,3.0,3.0,19.65,19.0,42.0,5.0,0.1,9.0,4246.13,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
20.0,1.0,2.0,16.82,13.0,23.0,3.0,0.05,5.0,1287.66,N
3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
2.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
25.0,0.0,0.0,30.85,20.0,45.0,4.0,0.12,7.0,4246.69,N
16.0,0.0,1.0,16.45,13.0,23.0,2.0,0.04,3.0,852.58,Y
4.0,0.0,0.0,4.75,0.0,2.0,1.0,0.0,1.0,4.75,N
8.0,0.0,1.0,15.95,3.0,7.0,1.0,0.01,1.0,99.66,N
75.0,5.0,10.0,57.29,58.0,117.0,10.0,0.33,19.0,16836.92,N
13.0,1.0,0.0,13.3,10.0,15.0,3.0,0.03,5.0,544.7,N
131.0,8.0,28.0,61.08,88.0,169.0,9.0,0.55,17.0,44908.66,N
44.0,2.0,6.0,33.66,34.0,59.0,5.0,0.14,9.0,5316.29,N
75.0,2.0,9.0,60.41,58.0,98.0,5.0,0.28,9.0,11840.44,N
4.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
25.0,2.0,1.0,33.33,17.0,40.0,3.0,0.1,5.0,2800.68,N
23.0,0.0,1.0,15.35,18.0,34.0,6.0,0.08,11.0,3847.55,N
14.0,0.0,2.0,33.72,8.0,15.0,1.0,0.04,1.0,361.18,N
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,N
74.0,7.0,7.0,41.61,54.0,104.0,6.0,0.26,11.0,14691.13,N
3.0,0.0,0.0,11.85,1.0,9.0,3.0,0.02,5.0,239.86,N
1.0,0.0,0.0,5.8,0.0,4.0,1.0,0.0,1.0,23.22,N
38.0,3.0,3.0,42.34,27.0,56.0,4.0,0.16,7.0,5663.36,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
27.0,0.0,3.0,73.32,20.0,60.0,1.0,0.18,1.0,3942.93,Y
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
17.0,1.0,3.0,29.28,9.0,24.0,1.0,0.06,1.0,1054.16,N
24.0,0.0,0.0,32.84,21.0,32.0,3.0,0.08,5.0,1641.93,N
4.0,0.0,0.0,4.75,0.0,2.0,1.0,0.0,1.0,4.75,N
49.0,3.0,9.0,61.1,35.0,110.0,8.0,0.36,15.0,19385.15,Y
20.0,0.0,2.0,20.81,14.0,31.0,2.0,0.07,3.0,2081.48,N
10.0,1.0,0.0,19.03,5.0,12.0,2.0,0.02,3.0,233.13,N
4.0,0.0,0.0,7.74,0.0,3.0,1.0,0.0,1.0,17.41,N
28.0,0.0,3.0,39.2,21.0,42.0,2.0,0.12,3.0,3363.54,N
53.0,10.0,13.0,51.12,28.0,53.0,3.0,0.15,5.0,4141.1,N
6.0,0.0,0.0,11.95,4.0,12.0,1.0,0.02,1.0,241.98,N
