@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
55.0,9.0,0.0,23.0,0.19,2.0,4.0,1.0,0.0,0.0,51.3,391.73,0.25,12.0,52.27,N
17.0,2.0,0.0,34.0,0.18,2.1,8.0,0.67,0.18,0.0,108.84,1653.06,0.25,17.0,34.34,N
12.0,2.0,1.0,8.0,0.06,2.0,2.0,1.0,0.0,0.0,68.36,1284.0,0.5,18.0,21.95,N
13.0,7.0,1.0,20.0,0.21,2.0,5.0,1.0,0.0,0.0,30.19,236.84,0.2,12.0,47.73,N
3.0,0.0,1.0,6.0,0.22,2.0,1.0,0.5,0.0,1.0,10.63,39.86,0.5,6.0,46.67,N
22.0,8.0,1.0,1.0,0.17,2.0,9.0,0.82,0.9,2.0,40.21,1738.63,0.91,28.0,3.08,N
12.0,4.0,1.0,0.0,0.17,2.0,4.0,1.0,1.0,2.0,30.25,323.85,1.0,13.0,4.35,N
15.0,4.0,1.0,1.0,0.19,2.0,6.0,0.86,0.0,2.0,34.37,911.61,0.14,19.0,5.26,N
5.0,1.0,1.0,2.0,0.08,2.0,2.0,1.0,0.0,2.0,56.67,347.11,0.5,7.0,11.54,N
12.0,3.0,1.0,1.0,0.24,2.0,4.0,0.8,1.0,2.0,23.83,274.02,1.0,14.0,9.09,N
9.0,3.0,4.0,0.0,0.19,2.0,4.0,1.0,1.0,2.0,26.81,278.83,1.0,13.0,19.05,N
27.0,7.0,3.0,1.0,0.2,2.0,12.0,0.8,0.5,2.0,36.37,1832.66,0.53,33.0,5.19,N
7.0,1.0,4.0,1.0,0.2,2.0,2.0,1.0,0.0,2.0,16.39,57.36,0.5,7.0,45.45,N
10.0,5.0,5.0,1.0,0.18,2.0,3.0,0.75,0.0,2.0,31.11,375.0,0.25,14.0,26.09,N
22.0,7.0,3.0,1.0,0.19,2.0,9.0,0.69,0.67,2.0,39.47,1710.56,0.69,30.0,5.88,N
3.0,1.0,0.0,0.0,0.2,2.5,2.0,0.5,1.0,1.0,13.47,215.49,1.0,16.0,0.0,N
3.0,1.0,0.0,0.0,0.25,2.67,2.0,0.33,1.0,1.0,19.97,346.13,1.0,16.0,0.0,N
3.0,1.0,0.0,0.0,0.25,2.67,2.0,0.33,1.0,1.0,19.97,346.13,1.0,16.0,0.0,N
0.0,0.0,0.0,0.0,0.33,3.0,1.0,0.33,1.0,1.0,14.65,70.31,1.0,8.0,0.0,N
0.0,0.0,0.0,0.0,0.56,5.0,1.0,0.2,1.0,1.0,19.29,124.0,1.0,9.0,0.0,N
0.0,0.0,0.0,0.0,0.33,3.0,1.0,0.33,1.0,1.0,9.14,91.38,1.0,10.0,0.0,N
0.0,0.0,0.0,0.0,0.14,2.0,1.0,0.5,0.0,2.0,36.78,260.06,0.5,11.0,0.0,N
39.0,8.0,9.0,14.0,0.07,2.0,5.0,1.0,0.0,8.0,97.85,2164.46,0.2,26.0,27.71,N
9.0,2.0,10.0,6.0,0.12,2.0,3.0,1.0,0.0,0.0,39.8,358.2,0.33,12.0,50.0,N
4.0,2.0,0.0,4.0,0.17,2.0,2.0,1.0,0.0,1.0,23.34,142.62,0.5,11.0,25.0,N
3.0,0.0,0.0,0.0,0.15,2.0,1.0,0.5,0.0,2.0,18.1,174.17,0.5,11.0,0.0,N
55.0,25.0,3.0,91.0,0.22,2.0,26.0,0.87,0.0,3.0,54.04,4185.91,0.03,50.0,41.41,Y
5.0,3.0,0.0,13.0,0.13,2.0,2.0,1.0,0.0,3.0,21.16,192.57,0.5,14.0,44.83,N
22.0,2.0,3.0,5.0,0.13,2.5,3.0,0.75,0.67,3.0,28.78,521.73,0.75,25.0,22.86,N
19.0,2.0,3.0,15.0,0.15,2.33,4.0,0.8,0.75,3.0,35.02,604.1,0.8,23.0,36.73,N
12.0,3.0,2.0,28.0,0.13,2.0,3.0,0.6,0.0,2.0,30.93,494.94,0.2,20.0,44.78,N
5.0,1.0,0.0,6.0,0.15,2.5,2.0,0.5,0.67,2.0,38.77,511.82,0.75,16.0,18.75,N
6.0,1.0,0.0,8.0,0.18,2.0,3.0,0.5,0.0,2.0,59.16,745.68,0.17,17.0,19.05,N
21.0,5.0,2.0,30.0,0.21,2.2,5.0,0.71,0.0,1.0,26.31,618.27,0.14,15.0,50.79,N
7.0,0.0,0.0,0.0,0.13,2.0,1.0,0.5,0.0,2.0,37.54,285.29,0.5,12.0,0.0,N
10.0,2.0,6.0,12.0,0.19,2.0,4.0,1.0,1.0,2.0,18.1,296.13,1.0,15.0,54.55,N
53.0,13.0,45.0,13.0,0.17,2.0,27.0,0.93,0.21,0.0,91.32,5103.0,0.24,34.0,30.85,N
12.0,8.0,3.0,3.0,0.12,2.0,4.0,1.0,0.0,0.0,30.45,630.73,0.25,15.0,16.67,N
10.0,8.0,4.0,0.0,0.16,2.0,6.0,1.0,0.0,0.0,64.31,771.67,0.17,12.0,10.53,N
47.0,7.0,27.0,28.0,0.1,2.0,6.0,0.67,0.0,1.0,47.3,2164.83,0.11,35.0,48.25,N
7.0,1.0,11.0,30.0,0.15,2.0,1.0,0.25,0.0,6.0,18.87,370.17,0.25,15.0,71.93,N
33.0,1.0,5.0,95.0,0.17,2.0,1.0,0.08,0.0,4.0,79.18,3327.01,0.08,19.0,60.61,N
46.0,6.0,20.0,96.0,0.18,2.19,4.0,0.2,0.42,1.0,72.67,3740.26,0.45,28.0,56.04,Y
5.0,3.0,0.0,3.0,0.15,2.0,3.0,1.0,0.0,0.0,38.85,477.02,0.33,17.0,13.04,N
9.0,0.0,6.0,6.0,0.16,2.0,1.0,0.1,0.44,3.0,30.99,1038.71,0.5,21.0,17.14,Y
17.0,0.0,19.0,53.0,0.22,2.27,1.0,0.07,0.57,2.0,50.79,1282.9,0.6,21.0,59.02,N
1.0,0.0,0.0,0.0,0.25,2.0,1.0,0.33,0.0,2.0,21.83,227.43,0.33,10.0,0.0,N
24.0,7.0,13.0,55.0,0.16,2.14,6.0,0.35,0.38,1.0,56.02,2692.19,0.41,35.0,42.24,N
24.0,6.0,0.0,18.0,0.28,2.6,13.0,0.68,1.0,0.0,73.61,2778.85,1.0,32.0,20.69,N
4.0,0.0,1.0,0.0,0.18,2.0,1.0,0.33,1.0,2.0,13.72,144.95,1.0,13.0,5.88,N
5.0,0.0,0.0,0.0,0.15,2.0,1.0,0.33,0.0,2.0,10.03,147.15,0.33,11.0,0.0,N
26.0,16.0,20.0,119.0,0.1,2.33,13.0,0.76,0.56,1.0,133.35,5143.61,0.59,36.0,47.44,N
6.0,3.0,1.0,19.0,0.22,2.25,7.0,0.44,0.53,6.0,86.16,1573.33,0.56,22.0,21.74,N
21.0,10.0,13.0,50.0,0.13,2.13,13.0,0.72,0.0,3.0,77.8,3131.59,0.06,46.0,33.51,N
6.0,2.0,0.0,17.0,0.17,2.0,2.0,0.4,0.0,2.0,27.4,569.35,0.2,17.0,36.96,N
8.0,1.0,1.0,11.0,0.16,2.0,1.0,0.33,0.0,4.0,35.6,459.04,0.33,14.0,40.0,N
17.0,7.0,0.0,8.0,0.2,2.25,8.0,0.73,0.4,4.0,48.89,1311.63,0.45,25.0,12.7,N
14.0,2.0,0.0,39.0,0.06,2.0,1.0,0.33,0.0,2.0,59.87,937.19,0.33,21.0,45.35,N
10.0,2.0,2.0,14.0,0.18,2.0,2.0,0.33,0.6,1.0,21.82,498.55,0.67,21.0,33.33,N
2.0,4.0,0.0,2.0,0.14,2.0,3.0,1.0,0.0,2.0,34.56,298.06,0.33,12.0,8.7,N
4.0,0.0,0.0,1.0,0.14,2.0,1.0,0.5,0.0,3.0,12.74,100.08,0.5,11.0,6.67,N
6.0,6.0,0.0,6.0,0.14,2.0,3.0,1.0,0.0,2.0,40.4,454.54,0.33,15.0,22.22,N
9.0,4.0,0.0,11.0,0.11,2.0,2.0,0.67,0.0,1.0,36.57,557.19,0.33,20.0,28.21,Y
2.0,3.0,0.0,9.0,0.11,2.0,2.0,1.0,0.0,1.0,32.0,372.23,0.5,17.0,33.33,N
3.0,5.0,2.0,13.0,0.11,2.0,4.0,1.0,0.0,0.0,48.31,851.67,0.25,17.0,29.41,N
22.0,13.0,12.0,33.0,0.19,2.17,20.0,0.63,0.19,3.0,151.5,3442.98,0.22,29.0,21.95,N
10.0,12.0,0.0,62.0,0.13,2.0,18.0,0.9,0.0,0.0,171.78,5081.36,0.05,32.0,29.38,Y
42.0,24.0,45.0,339.0,0.16,2.25,41.0,0.56,0.4,7.0,293.68,12749.77,0.41,48.0,48.3,Y
16.0,5.0,3.0,29.0,0.12,2.08,12.0,0.8,0.14,0.0,164.09,3817.28,0.2,24.0,20.92,Y
0.0,0.0,0.0,0.0,0.15,2.0,1.0,0.5,0.0,0.0,21.15,74.01,0.5,7.0,0.0,N
2.0,8.0,33.0,58.0,0.16,2.14,9.0,0.36,0.46,0.0,104.25,5664.24,0.48,36.0,41.55,N
4.0,0.0,0.0,0.0,0.25,2.0,1.0,0.2,0.0,1.0,13.75,288.85,0.2,16.0,0.0,N
0.0,3.0,2.0,20.0,0.21,3.5,2.0,0.33,0.0,0.0,38.41,516.54,0.17,20.0,44.9,N
8.0,4.0,6.0,7.0,0.19,2.29,7.0,0.7,0.89,0.0,105.02,1980.76,0.9,21.0,21.67,N
10.0,9.0,2.0,18.0,0.17,2.0,2.0,0.67,0.0,1.0,45.77,353.11,0.33,12.0,55.56,N
15.0,4.0,0.0,21.0,0.1,2.0,4.0,1.0,0.0,7.0,61.36,1453.01,0.25,17.0,33.87,N
4.0,0.0,3.0,0.0,0.12,2.0,1.0,0.5,0.0,2.0,16.29,151.24,0.5,10.0,17.65,N
4.0,0.0,3.0,0.0,0.12,2.0,1.0,0.5,0.0,2.0,16.29,151.24,0.5,10.0,17.65,N
12.0,4.0,0.0,39.0,0.11,2.0,1.0,0.33,0.0,1.0,61.85,744.63,0.33,15.0,59.09,N
3.0,2.0,6.0,6.0,0.07,2.0,2.0,1.0,0.0,2.0,22.83,525.0,0.5,16.0,36.36,N
0.0,1.0,0.0,5.0,0.19,3.0,2.0,0.67,1.0,4.0,24.32,185.75,1.0,14.0,23.81,N
10.0,3.0,12.0,20.0,0.13,2.0,3.0,0.33,0.0,4.0,52.18,1738.63,0.11,23.0,36.78,N
6.0,3.0,10.0,22.0,0.16,2.0,2.0,0.4,0.0,7.0,27.26,602.54,0.2,20.0,59.26,N
2.0,10.0,14.0,78.0,0.13,2.1,6.0,0.5,0.27,7.0,89.42,1227.81,0.33,17.0,53.8,Y
6.0,2.0,1.0,58.0,0.18,2.0,24.0,0.96,0.0,1.0,171.89,4677.38,0.04,32.0,29.95,N
0.0,9.0,1.0,23.0,0.17,2.5,4.0,1.0,0.0,0.0,34.26,396.41,0.25,18.0,51.06,N
0.0,5.0,4.0,15.0,0.2,2.0,6.0,0.46,0.0,1.0,66.12,919.26,0.08,20.0,24.05,N
1.0,4.0,1.0,0.0,0.15,2.0,3.0,0.6,0.0,0.0,27.2,360.0,0.2,15.0,3.03,N
1.0,5.0,0.0,11.0,0.11,2.0,3.0,1.0,0.0,2.0,47.22,551.83,0.33,17.0,28.21,N
1.0,5.0,0.0,12.0,0.1,2.0,3.0,0.75,0.67,0.0,56.52,745.8,0.75,19.0,22.64,Y
1.0,4.0,0.0,3.0,0.11,2.0,2.0,1.0,0.0,2.0,33.23,312.75,0.5,16.0,13.64,N
2.0,4.0,0.0,3.0,0.11,2.0,2.0,1.0,0.0,2.0,31.71,282.39,0.5,15.0,13.64,N
2.0,7.0,3.0,35.0,0.1,2.5,1.0,0.25,0.67,3.0,60.5,892.43,0.75,19.0,50.0,N
14.0,14.0,0.0,7.0,0.05,2.0,2.0,1.0,0.0,1.0,93.81,1472.15,0.5,17.0,14.58,N
5.0,9.0,0.0,6.0,0.07,2.0,2.0,1.0,0.0,0.0,58.05,852.22,0.5,17.0,16.67,N
10.0,8.0,2.0,65.0,0.1,2.0,6.0,0.4,0.71,6.0,118.83,5575.99,0.73,31.0,31.02,N
0.0,4.0,0.0,6.0,0.11,2.0,2.0,1.0,0.0,2.0,31.58,300.0,0.5,16.0,24.0,N
12.0,12.0,23.0,65.0,0.13,2.14,10.0,0.5,0.42,1.0,83.0,4282.56,0.45,38.0,40.37,Y
6.0,6.0,6.0,7.0,0.14,2.0,7.0,0.78,0.0,7.0,45.05,1318.43,0.11,32.0,18.57,Y
1.0,4.0,0.0,6.0,0.05,2.0,2.0,1.0,0.0,0.0,94.81,1316.03,0.5,18.0,12.5,N
1.0,2.0,6.0,13.0,0.1,2.0,1.0,0.5,0.0,1.0,28.66,328.76,0.5,13.0,57.58,N
1.0,5.0,0.0,12.0,0.09,2.0,2.0,1.0,0.0,1.0,36.77,421.97,0.5,17.0,35.29,N
0.0,0.0,0.0,9.0,0.11,2.0,1.0,0.33,0.0,2.0,54.96,456.57,0.33,12.0,25.0,N
1.0,0.0,1.0,4.0,0.16,2.0,1.0,0.2,0.0,2.0,14.28,284.61,0.2,11.0,13.89,N
5.0,5.0,7.0,39.0,0.07,2.13,8.0,0.8,0.78,18.0,124.12,3600.73,0.8,24.0,26.59,N
3.0,3.0,6.0,4.0,0.09,2.0,5.0,1.0,0.0,8.0,102.23,1236.03,0.2,14.0,16.95,Y
13.0,4.0,1.0,5.0,0.09,2.0,4.0,1.0,0.0,0.0,99.18,1635.63,0.25,20.0,11.76,N
67.0,10.0,27.0,41.0,0.13,2.0,15.0,1.0,1.0,2.0,46.37,2643.35,1.0,19.0,42.5,N
9.0,0.0,7.0,11.0,0.16,2.0,1.0,0.25,1.0,4.0,24.0,369.21,1.0,16.0,50.0,N
15.0,4.0,9.0,22.0,0.13,2.0,6.0,1.0,0.0,3.0,46.84,1005.29,0.17,19.0,46.27,N
6.0,1.0,4.0,0.0,0.12,2.0,3.0,1.0,0.0,0.0,24.31,341.84,0.33,15.0,15.38,N
21.0,4.0,10.0,22.0,0.1,2.0,2.0,0.5,0.0,2.0,45.35,1149.16,0.25,25.0,51.61,N
9.0,1.0,6.0,10.0,0.18,2.0,2.0,0.5,0.0,0.0,22.84,591.46,0.25,24.0,50.0,N
10.0,1.0,7.0,10.0,0.18,2.0,2.0,0.5,0.0,0.0,22.84,591.46,0.25,24.0,53.13,N
46.0,8.0,35.0,31.0,0.13,2.0,8.0,0.8,0.0,0.0,83.37,2609.12,0.1,27.0,62.26,N
33.0,5.0,18.0,28.0,0.1,2.0,4.0,0.67,0.0,2.0,71.49,2490.74,0.17,32.0,51.11,N
10.0,1.0,5.0,0.0,0.14,2.0,5.0,1.0,0.0,0.0,44.36,734.53,0.2,12.0,13.89,N
25.0,4.0,11.0,21.0,0.18,2.0,3.0,0.5,0.0,2.0,25.24,503.61,0.17,21.0,59.26,N
9.0,4.0,2.0,13.0,0.18,2.0,4.0,1.0,0.0,0.0,46.13,666.05,0.25,19.0,42.86,N
10.0,2.0,2.0,4.0,0.07,2.0,2.0,1.0,0.0,1.0,48.82,808.0,0.5,15.0,19.35,N
6.0,1.0,5.0,4.0,0.13,2.0,1.0,0.5,0.0,4.0,21.05,206.32,0.5,14.0,47.37,N
6.0,1.0,5.0,4.0,0.13,2.0,1.0,0.5,0.0,4.0,21.05,206.32,0.5,14.0,47.37,N
7.0,1.0,4.0,8.0,0.17,2.0,2.0,0.67,0.0,1.0,30.91,266.27,0.33,14.0,46.15,N
20.0,4.0,4.0,16.0,0.19,2.25,5.0,0.83,0.4,4.0,53.81,801.91,0.5,22.0,42.55,N
14.0,3.0,3.0,12.0,0.17,2.0,4.0,1.0,0.0,0.0,47.35,526.35,0.25,17.0,42.86,N
19.0,4.0,4.0,18.0,0.22,2.5,5.0,0.71,0.67,4.0,55.58,809.46,0.71,21.0,44.0,N
36.0,8.0,21.0,29.0,0.18,2.22,8.0,0.67,0.36,4.0,68.78,1810.2,0.42,28.0,52.63,N
3.0,0.0,2.0,2.0,0.15,2.0,1.0,0.5,0.0,2.0,10.9,130.8,0.5,12.0,26.67,N
3.0,0.0,2.0,2.0,0.15,2.0,1.0,0.5,0.0,2.0,17.29,207.45,0.5,12.0,26.67,N
9.0,4.0,14.0,22.0,0.2,2.0,6.0,0.75,0.43,6.0,35.27,484.48,0.5,18.0,57.14,N
5.0,1.0,4.0,12.0,0.14,2.0,2.0,1.0,0.0,3.0,15.6,104.0,0.5,10.0,61.54,N
1.0,0.0,3.0,3.0,0.17,2.0,1.0,0.5,0.0,3.0,13.38,110.36,0.5,11.0,40.0,N
1.0,0.0,3.0,3.0,0.17,2.0,1.0,0.5,0.0,3.0,20.27,185.84,0.5,11.0,40.0,N
49.0,8.0,6.0,57.0,0.1,2.5,7.0,0.7,1.0,1.0,125.84,3428.87,1.0,32.0,39.13,N
77.0,9.0,20.0,56.0,0.13,2.04,24.0,0.96,0.58,4.0,243.12,5588.41,0.6,27.0,30.65,N
40.0,3.0,2.0,11.0,0.1,2.0,3.0,1.0,0.0,1.0,44.75,835.29,0.33,20.0,31.71,Y
31.0,7.0,1.0,29.0,0.09,2.0,4.0,1.0,0.0,0.0,84.37,1619.65,0.25,19.0,41.1,N
34.0,4.0,11.0,31.0,0.04,2.0,2.0,1.0,0.0,5.0,37.89,916.14,0.5,19.0,53.85,N
14.0,2.0,11.0,5.0,0.13,2.0,3.0,0.75,0.0,5.0,49.79,472.09,0.25,16.0,43.24,N
5.0,1.0,1.0,1.0,0.24,2.0,2.0,0.5,0.0,1.0,24.97,509.05,0.25,21.0,11.11,N
4.0,2.0,0.0,7.0,0.21,2.0,3.0,1.0,0.0,1.0,16.78,187.98,0.33,14.0,33.33,N
39.0,6.0,6.0,51.0,0.2,2.2,9.0,0.47,0.44,1.0,66.11,3323.42,0.47,34.0,39.31,N
18.0,6.0,7.0,6.0,0.11,2.0,3.0,0.75,0.0,3.0,49.27,912.7,0.25,26.0,30.95,N
49.0,14.0,16.0,37.0,0.28,2.05,15.0,0.71,0.2,3.0,78.4,5861.57,0.24,45.0,46.9,N
31.0,5.0,12.0,25.0,0.16,2.13,6.0,0.6,0.22,2.0,47.49,2277.73,0.3,37.0,41.57,N
84.0,10.0,44.0,76.0,0.13,2.06,8.0,0.42,0.44,9.0,75.03,4951.74,0.47,50.0,54.3,N
17.0,3.0,28.0,6.0,0.14,2.0,6.0,0.75,0.0,0.0,78.29,3761.89,0.13,31.0,53.97,N
16.0,5.0,3.0,8.0,0.24,2.25,4.0,0.67,0.8,0.0,37.5,1104.59,0.83,27.0,33.33,N
5.0,3.0,7.0,3.0,0.17,2.0,6.0,1.0,0.0,1.0,29.49,707.82,0.17,20.0,25.64,N
1.0,1.0,1.0,0.0,0.25,4.0,2.0,0.5,1.0,1.0,22.03,264.4,1.0,16.0,6.25,N
7.0,3.0,2.0,7.0,0.13,2.0,1.0,0.5,0.0,2.0,25.23,239.72,0.5,13.0,39.13,N
17.0,3.0,5.0,0.0,0.22,2.33,3.0,0.2,0.21,3.0,45.89,1626.88,0.27,35.0,7.35,N
3.0,0.0,2.0,1.0,0.18,2.0,1.0,0.5,0.0,2.0,24.7,178.38,0.5,13.0,25.0,N
3.0,0.0,2.0,0.0,0.18,2.0,1.0,0.5,0.0,2.0,24.08,173.92,0.5,13.0,18.18,N
6.0,3.0,1.0,1.0,0.22,4.0,2.0,0.5,0.0,1.0,25.0,340.0,0.25,17.0,10.53,N
25.0,8.0,7.0,0.0,0.15,2.0,5.0,1.0,0.0,0.0,50.43,535.29,0.2,12.0,20.59,N
13.0,5.0,2.0,0.0,0.14,2.0,9.0,1.0,0.0,0.0,183.65,1288.79,0.11,8.0,3.13,N
7.0,3.0,0.0,9.0,0.17,2.0,2.0,1.0,0.0,1.0,22.78,53.15,0.5,4.0,42.86,N
2.0,1.0,0.0,0.0,0.17,2.0,2.0,0.5,0.0,2.0,20.18,330.22,0.25,12.0,0.0,N
5.0,2.0,4.0,0.0,0.18,2.0,3.0,1.0,0.0,0.0,25.58,337.6,0.33,12.0,23.53,N
22.0,0.0,3.0,13.0,0.09,2.0,1.0,0.33,0.0,1.0,58.73,3124.36,0.33,16.0,33.33,N
1.0,4.0,0.0,0.0,0.2,2.0,2.0,1.0,0.0,0.0,22.35,162.52,0.5,10.0,0.0,N
9.0,2.0,4.0,3.0,0.14,2.0,3.0,1.0,0.0,0.0,29.6,718.97,0.33,17.0,29.17,N
1.0,0.0,0.0,0.0,0.29,2.0,1.0,0.5,0.0,1.0,8.79,105.49,0.5,10.0,0.0,N
1.0,0.0,0.0,0.0,0.33,2.0,1.0,0.33,0.0,1.0,12.09,170.97,0.33,11.0,0.0,N
1.0,0.0,0.0,0.0,0.27,2.0,1.0,0.33,0.0,2.0,14.67,215.22,0.33,12.0,0.0,N
