@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
4.0,0.0,2.0,3.0,3.0,1.0,35.0,50.53,11.27,6423.73,0.09,356.87,41.0,74.0,20.0,11.0,43.0,Y
4.0,0.0,4.0,5.0,4.0,1.0,49.0,45.08,15.83,11291.12,0.06,627.28,56.0,82.0,23.0,13.0,59.0,N
5.0,0.0,9.0,12.0,11.0,5.0,104.0,77.47,23.29,42021.08,0.04,2334.5,118.0,197.0,38.0,15.0,120.0,N
2.0,0.0,2.0,6.0,6.0,1.0,41.0,48.72,15.43,11596.34,0.06,644.24,54.0,95.0,21.0,12.0,48.0,Y
2.0,0.0,3.0,12.0,12.0,1.0,62.0,44.45,27.27,33061.94,0.04,1836.77,75.0,156.0,22.0,16.0,69.0,Y
1.0,0.0,1.0,3.0,3.0,1.0,19.0,25.17,9.17,2114.77,0.11,117.49,20.0,31.0,12.0,11.0,23.0,N
1.0,0.0,1.0,3.0,3.0,1.0,19.0,25.17,9.17,2114.77,0.11,117.49,20.0,31.0,12.0,11.0,23.0,N
1.0,0.0,1.0,3.0,3.0,1.0,18.0,25.17,9.17,2114.77,0.11,117.49,20.0,31.0,12.0,11.0,22.0,N
1.0,0.0,2.0,6.0,6.0,1.0,41.0,45.99,16.2,12069.0,0.06,670.5,54.0,95.0,20.0,12.0,47.0,Y
1.0,0.0,2.0,7.0,7.0,1.0,42.0,44.97,17.82,14278.39,0.06,793.24,56.0,99.0,22.0,14.0,48.0,Y
2.0,0.0,2.0,9.0,9.0,1.0,50.0,49.62,20.7,21261.63,0.05,1181.2,69.0,124.0,25.0,15.0,58.0,Y
4.0,0.0,1.0,2.0,2.0,1.0,21.0,68.36,7.74,4095.2,0.13,227.51,43.0,61.0,25.0,9.0,31.0,N
0.0,0.0,0.0,1.0,1.0,1.0,8.0,28.87,5.2,780.61,0.19,43.37,13.0,23.0,10.0,8.0,13.0,N
0.0,0.0,0.0,1.0,1.0,1.0,11.0,42.41,5.87,1459.6,0.17,81.09,22.0,33.0,15.0,8.0,17.0,N
2.0,0.0,0.0,4.0,4.0,1.0,25.0,68.24,12.33,10369.98,0.08,576.11,55.0,101.0,29.0,13.0,32.0,N
0.0,0.0,0.0,1.0,1.0,1.0,12.0,52.46,5.56,1619.04,0.18,89.95,25.0,37.0,18.0,8.0,17.0,N
3.0,0.0,0.0,1.0,1.0,1.0,20.0,73.32,7.33,3942.93,0.14,219.05,44.0,60.0,27.0,9.0,27.0,Y
6.0,0.0,6.0,7.0,6.0,1.0,60.0,39.51,24.0,22758.88,0.04,1264.38,75.0,102.0,25.0,16.0,74.0,N
5.0,0.0,4.0,6.0,5.0,1.0,54.0,40.62,19.73,15808.22,0.05,878.23,62.0,93.0,22.0,14.0,65.0,Y
1.0,0.0,0.0,3.0,3.0,1.0,20.0,17.03,10.08,1731.04,0.1,96.17,11.0,31.0,6.0,11.0,23.0,N
2.0,0.0,0.0,2.0,2.0,1.0,16.0,18.95,10.31,2015.11,0.1,111.95,15.0,31.0,8.0,11.0,20.0,N
1.0,0.0,0.0,2.0,2.0,1.0,10.0,11.92,9.0,965.81,0.11,53.66,8.0,21.0,4.0,9.0,13.0,N
2.0,0.0,2.0,2.0,2.0,1.0,24.0,29.77,11.7,4075.46,0.09,226.41,26.0,56.0,10.0,9.0,30.0,N
2.0,0.0,0.0,6.0,6.0,3.0,34.0,30.49,18.5,10434.98,0.05,579.72,37.0,83.0,13.0,13.0,38.0,N
1.0,0.0,2.0,5.0,5.0,1.0,50.0,27.84,23.65,15578.6,0.04,865.48,41.0,96.0,13.0,15.0,55.0,N
1.0,0.0,0.0,3.0,3.0,1.0,21.0,22.65,10.67,2576.83,0.09,143.16,16.0,39.0,9.0,12.0,24.0,N
1.0,0.0,1.0,9.0,9.0,9.0,32.0,28.74,16.88,8184.35,0.06,454.69,27.0,75.0,12.0,15.0,36.0,N
17.0,0.0,11.0,25.0,25.0,11.0,179.0,115.99,32.93,125808.33,0.03,6989.35,208.0,398.0,60.0,19.0,210.0,N
12.0,0.0,14.0,11.0,8.0,4.0,88.0,63.91,26.6,45222.23,0.04,2512.35,112.0,177.0,40.0,19.0,116.0,Y
1.0,0.0,0.0,1.0,1.0,1.0,4.0,14.99,3.0,134.92,0.33,7.5,5.0,8.0,5.0,6.0,7.0,N
1.0,0.0,0.0,1.0,1.0,1.0,3.0,15.95,2.5,99.66,0.4,5.54,5.0,7.0,5.0,5.0,8.0,N
4.0,0.0,0.0,2.0,2.0,1.0,14.0,22.64,13.0,3826.19,0.08,212.57,26.0,40.0,11.0,11.0,23.0,N
0.0,0.0,0.0,4.0,4.0,1.0,20.0,30.6,11.37,3953.7,0.09,219.65,31.0,43.0,15.0,11.0,24.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,6.0,16.32,4.67,355.35,0.21,19.74,7.0,13.0,6.0,8.0,9.0,N
2.0,0.0,0.0,5.0,5.0,3.0,28.0,39.09,14.71,8458.55,0.07,469.92,43.0,72.0,19.0,13.0,34.0,N
2.0,0.0,0.0,1.0,1.0,1.0,4.0,18.08,4.0,289.36,0.25,16.07,8.0,11.0,7.0,7.0,9.0,N
5.0,0.0,4.0,11.0,11.0,5.0,52.0,43.7,19.29,16252.03,0.05,902.89,54.0,109.0,21.0,15.0,63.0,N
1.0,0.0,0.0,1.0,1.0,1.0,4.0,13.84,3.0,124.54,0.33,6.92,5.0,7.0,5.0,6.0,7.0,N
3.0,0.0,0.0,2.0,2.0,1.0,21.0,39.2,9.26,3363.54,0.11,186.86,32.0,42.0,19.0,11.0,28.0,N
7.0,0.0,7.0,19.0,19.0,12.0,61.0,42.59,29.25,36434.54,0.03,2024.14,78.0,153.0,24.0,18.0,77.0,Y
2.0,0.0,1.0,1.0,1.0,1.0,9.0,17.98,5.79,601.71,0.17,33.43,9.0,17.0,7.0,9.0,14.0,N
1.0,0.0,0.0,4.0,4.0,1.0,22.0,42.3,9.0,3426.62,0.11,190.37,34.0,47.0,17.0,9.0,29.0,N
4.0,0.0,1.0,8.0,8.0,5.0,34.0,32.04,17.0,9259.3,0.06,514.4,34.0,77.0,15.0,15.0,41.0,N
2.0,0.0,0.0,1.0,1.0,1.0,14.0,19.44,10.29,2057.13,0.1,114.29,16.0,34.0,7.0,9.0,18.0,N
1.0,0.0,0.0,1.0,1.0,1.0,8.0,28.0,3.0,252.0,0.33,14.0,10.0,11.0,10.0,6.0,14.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,2.5,49.13,0.4,2.73,2.0,5.0,2.0,5.0,4.0,N
1.0,0.0,0.0,1.0,1.0,1.0,6.0,21.58,3.0,194.18,0.33,10.79,8.0,9.0,8.0,6.0,11.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.86,2.5,49.13,0.4,2.73,2.0,5.0,2.0,5.0,4.0,N
1.0,0.0,0.0,1.0,1.0,1.0,3.0,7.74,1.5,17.41,0.67,0.97,2.0,3.0,2.0,3.0,6.0,N
2.0,0.0,0.0,2.0,2.0,1.0,14.0,19.71,6.43,814.57,0.16,45.25,9.0,22.0,7.0,10.0,18.0,N
3.0,0.0,0.0,3.0,3.0,1.0,8.0,13.44,8.33,933.33,0.12,51.85,10.0,18.0,6.0,10.0,13.0,Y
3.0,0.0,0.0,3.0,3.0,1.0,8.0,13.44,8.33,933.33,0.12,51.85,10.0,18.0,6.0,10.0,13.0,Y
3.0,0.0,0.0,3.0,3.0,1.0,8.0,13.44,8.33,933.33,0.12,51.85,10.0,18.0,6.0,10.0,13.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
2.0,1.0,0.0,5.0,5.0,1.0,36.0,35.3,17.0,10202.14,0.06,566.79,51.0,66.0,21.0,14.0,43.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
0.0,0.0,0.0,1.0,1.0,1.0,6.0,23.22,0.5,5.8,2.0,0.32,4.0,1.0,4.0,1.0,8.0,N
0.0,0.0,0.0,1.0,1.0,1.0,6.0,23.22,0.5,5.8,2.0,0.32,4.0,1.0,4.0,1.0,10.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,18.09,1.0,18.09,1.0,1.01,4.0,3.0,4.0,2.0,5.0,N
1.0,0.0,0.0,1.0,1.0,1.0,5.0,14.4,2.5,90.0,0.4,5.0,5.0,7.0,4.0,4.0,7.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,18.09,1.0,18.09,1.0,1.01,4.0,3.0,4.0,2.0,3.0,N
0.0,0.0,0.0,1.0,1.0,1.0,5.0,13.32,3.5,163.12,0.29,9.06,5.0,8.0,5.0,7.0,9.0,Y
3.0,0.0,0.0,1.0,1.0,1.0,8.0,20.76,3.33,230.63,0.3,12.81,8.0,12.0,6.0,5.0,13.0,N
1.0,0.0,0.0,2.0,2.0,1.0,13.0,35.32,5.43,1040.96,0.18,57.83,19.0,24.0,14.0,8.0,16.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,7.0,31.02,0.5,7.75,2.0,0.43,5.0,1.0,5.0,1.0,11.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,13.93,1.0,13.93,1.0,0.77,3.0,3.0,3.0,2.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
5.0,0.0,1.0,2.0,2.0,1.0,31.0,70.66,11.6,9507.73,0.09,528.21,58.0,94.0,30.0,12.0,39.0,N
15.0,0.0,4.0,7.0,6.0,3.0,71.0,50.21,29.86,44757.43,0.03,2486.52,95.0,162.0,35.0,22.0,93.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
2.0,0.0,0.0,1.0,1.0,1.0,15.0,69.59,3.14,687.42,0.32,38.19,22.0,24.0,21.0,6.0,23.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.75,1.0,4.75,1.0,0.26,1.0,2.0,1.0,2.0,4.0,N
3.0,0.0,0.0,1.0,1.0,1.0,8.0,20.76,3.33,230.63,0.3,12.81,8.0,12.0,6.0,5.0,13.0,N
1.0,0.0,0.0,1.0,1.0,1.0,18.0,64.87,4.74,1454.65,0.21,80.81,23.0,44.0,17.0,7.0,23.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.09,1.0,18.09,1.0,1.01,4.0,3.0,4.0,2.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.09,1.0,18.09,1.0,1.01,4.0,3.0,4.0,2.0,2.0,N
2.0,0.0,0.0,1.0,1.0,1.0,7.0,15.78,4.0,252.47,0.25,14.03,8.0,11.0,5.0,5.0,10.0,N
0.0,0.0,0.0,1.0,1.0,1.0,16.0,58.94,4.38,1128.06,0.23,62.67,20.0,37.0,16.0,7.0,20.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,N
3.0,0.0,0.0,1.0,1.0,1.0,9.0,20.76,3.33,230.63,0.3,12.81,8.0,12.0,6.0,5.0,14.0,N
1.0,0.0,0.0,1.0,1.0,1.0,18.0,25.75,3.33,286.12,0.3,15.9,16.0,5.0,12.0,5.0,30.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,11.0,16.84,2.0,67.38,0.5,3.74,10.0,2.0,5.0,2.0,13.0,N
1.0,0.0,1.0,6.0,6.0,3.0,71.0,165.42,10.89,19613.39,0.09,1089.63,98.0,200.0,54.0,12.0,78.0,Y
1.0,0.0,1.0,7.0,7.0,3.0,78.0,154.03,12.29,23269.16,0.08,1292.73,104.0,207.0,55.0,13.0,84.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,12.0,26.22,1.57,64.76,0.64,3.6,11.0,2.0,7.0,2.0,15.0,N
0.0,0.0,0.0,1.0,1.0,1.0,28.0,2.77,39.0,4212.0,0.03,234.0,26.0,28.0,1.0,3.0,30.0,Y
1.0,0.0,0.0,1.0,1.0,1.0,14.0,22.2,2.67,157.89,0.38,8.77,12.0,4.0,9.0,4.0,24.0,N
3.0,0.0,0.0,3.0,3.0,1.0,30.0,40.76,13.0,6889.27,0.08,382.74,39.0,69.0,18.0,12.0,35.0,Y
2.0,0.0,0.0,3.0,3.0,3.0,15.0,24.39,9.27,2097.29,0.11,116.52,17.0,33.0,11.0,12.0,19.0,N
2.0,0.0,0.0,1.0,1.0,1.0,13.0,35.36,5.5,1069.68,0.18,59.43,11.0,34.0,10.0,10.0,17.0,N
7.0,0.0,4.0,9.0,9.0,8.0,50.0,58.5,18.57,20176.5,0.05,1120.92,65.0,134.0,28.0,16.0,63.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.68,2.5,79.25,0.4,4.4,4.0,6.0,4.0,5.0,6.0,N
3.0,0.0,0.0,4.0,4.0,1.0,20.0,17.26,13.5,3145.3,0.07,174.74,24.0,33.0,8.0,9.0,25.0,Y
1.0,0.0,0.0,1.0,1.0,1.0,4.0,9.6,2.5,60.0,0.4,3.33,3.0,5.0,3.0,5.0,9.0,N
1.0,0.0,0.0,1.0,1.0,1.0,4.0,9.6,2.5,60.0,0.4,3.33,3.0,5.0,3.0,5.0,9.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.68,2.5,79.25,0.4,4.4,4.0,6.0,4.0,5.0,6.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.68,2.5,79.25,0.4,4.4,4.0,6.0,4.0,5.0,6.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.68,2.5,79.25,0.4,4.4,4.0,6.0,4.0,5.0,6.0,N
1.0,0.0,0.0,1.0,1.0,1.0,4.0,9.6,2.5,60.0,0.4,3.33,3.0,5.0,3.0,5.0,10.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.68,2.5,79.25,0.4,4.4,4.0,6.0,4.0,5.0,6.0,N
1.0,0.0,0.0,7.0,3.0,7.0,14.0,25.13,9.58,2307.76,0.1,128.21,23.0,31.0,12.0,10.0,20.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.68,2.5,79.25,0.4,4.4,4.0,6.0,4.0,5.0,6.0,N
1.0,0.0,0.0,1.0,1.0,1.0,4.0,9.6,2.5,60.0,0.4,3.33,3.0,5.0,3.0,5.0,10.0,N
4.0,0.0,5.0,9.0,9.0,1.0,73.0,52.56,22.65,26954.95,0.04,1497.5,78.0,134.0,31.0,18.0,87.0,N
2.0,0.0,2.0,6.0,6.0,1.0,45.0,27.12,24.59,16398.39,0.04,911.02,44.0,85.0,17.0,19.0,51.0,N
7.0,0.0,5.0,14.0,9.0,10.0,74.0,36.77,34.83,44593.23,0.03,2477.4,89.0,150.0,23.0,18.0,88.0,N
4.0,0.0,3.0,6.0,6.0,1.0,48.0,39.07,21.88,18709.51,0.05,1039.42,62.0,114.0,17.0,12.0,59.0,N
6.0,0.0,26.0,14.0,14.0,1.0,85.0,52.25,30.72,49320.73,0.03,2740.04,99.0,190.0,29.0,18.0,119.0,Y
6.0,0.0,6.0,8.0,8.0,5.0,85.0,51.86,30.88,49456.13,0.03,2747.56,100.0,177.0,34.0,21.0,99.0,Y
15.0,0.0,9.0,45.0,45.0,7.0,262.0,116.45,44.9,234743.54,0.02,13041.31,285.0,509.0,73.0,23.0,288.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
1.0,0.0,0.0,7.0,7.0,3.0,52.0,43.01,15.6,10466.11,0.06,581.45,48.0,85.0,20.0,13.0,56.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
3.0,1.0,1.0,3.0,3.0,1.0,18.0,24.99,7.65,1462.35,0.13,81.24,17.0,28.0,10.0,9.0,25.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,6.0,16.32,4.67,355.35,0.21,19.74,7.0,13.0,6.0,8.0,9.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
2.0,0.0,0.0,4.0,4.0,1.0,31.0,25.32,14.31,5182.54,0.07,287.92,31.0,47.0,13.0,12.0,35.0,Y
5.0,0.0,2.0,14.0,14.0,1.0,88.0,53.32,30.12,48369.03,0.03,2687.17,109.0,164.0,38.0,21.0,97.0,Y
1.0,0.0,0.0,4.0,4.0,1.0,30.0,23.08,14.5,4853.18,0.07,269.62,29.0,44.0,12.0,12.0,33.0,Y
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,1.0,N
0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.67,0.67,1.0,3.0,1.0,3.0,4.0,N
