@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,5.25,363.24,0.19,20.18,69.19,1.0,0.0,0.25,14.0,4.0,7.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,6.13,423.78,0.16,23.54,69.19,1.0,0.0,0.25,13.0,4.0,7.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,N
0.0,9.0,1.0,3.0,5.0,0.71,2.0,5.0,1.0,15.0,4.0,0.75,4.0,2.0,5.0,1.0,27.62,5307.06,0.04,294.84,192.11,0.8,8.0,0.5,30.0,4.0,13.0,10.0,42.86,N
0.0,1.0,0.0,0.0,1.0,0.17,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,7.92,1.0,0.44,7.92,1.0,0.0,0.14,1.0,2.0,1.0,7.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.17,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,4.0,57.06,0.25,3.17,14.26,1.0,0.0,0.14,5.0,1.0,2.0,7.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.17,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,2.0,10.0,0.5,0.56,5.0,1.0,0.0,0.14,1.0,1.0,1.0,7.0,0.0,N
0.0,1.0,3.0,0.0,1.0,0.17,0.0,1.0,1.0,4.0,1.0,0.0,6.0,0.0,1.0,1.0,3.0,76.62,0.33,4.26,25.54,1.0,0.0,0.13,7.0,2.0,3.0,8.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.17,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,0.5,5.8,2.0,0.32,11.61,1.0,0.0,0.1,1.0,4.0,1.0,10.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,5.25,363.24,0.19,20.18,69.19,1.0,0.0,0.25,14.0,4.0,7.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,0.0,1.0,1.0,0.33,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,54.0,0.5,3.0,27.0,1.0,0.0,0.2,5.0,4.0,4.0,5.0,33.33,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,6.13,423.78,0.16,23.54,69.19,1.0,0.0,0.25,13.0,4.0,7.0,4.0,0.0,N
4.0,7.0,3.0,4.0,4.0,0.18,6.0,3.0,0.75,17.0,1.0,0.0,18.0,0.0,0.0,0.0,21.87,9749.86,0.05,541.66,445.88,0.25,6.0,0.13,49.0,15.0,16.0,30.0,25.0,N
0.0,7.0,1.0,0.0,4.0,0.8,2.0,4.0,1.0,12.0,1.0,0.0,5.0,0.0,4.0,1.0,9.0,1371.32,0.11,76.18,152.37,0.25,5.0,0.57,27.0,6.0,9.0,7.0,0.0,N
2.0,1.0,1.0,1.0,1.0,0.14,0.0,1.0,1.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,6.5,838.88,0.15,46.6,129.06,1.0,0.0,0.09,23.0,6.0,6.0,11.0,14.29,N
6.0,1.0,1.0,1.0,1.0,0.05,0.0,1.0,1.0,2.0,1.0,0.0,18.0,0.0,1.0,1.0,27.75,10733.21,0.04,596.29,386.78,1.0,0.0,0.04,62.0,6.0,9.0,27.0,5.26,N
4.0,1.0,2.0,1.0,1.0,0.13,0.0,1.0,1.0,3.0,1.0,0.0,7.0,0.0,1.0,1.0,27.0,3642.78,0.04,202.38,134.92,1.0,0.0,0.06,27.0,2.0,9.0,17.0,36.36,N
2.0,1.0,1.0,1.0,1.0,0.14,0.0,1.0,1.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,6.5,838.88,0.15,46.6,129.06,1.0,0.0,0.09,23.0,6.0,6.0,11.0,14.29,N
1.0,3.0,0.0,0.0,2.0,0.22,2.0,1.0,0.5,5.0,1.0,0.0,9.0,0.0,2.0,1.0,9.9,1267.2,0.1,70.4,128.0,0.5,2.0,0.17,23.0,5.0,11.0,12.0,0.0,N
0.0,7.0,1.0,0.0,4.0,0.8,2.0,4.0,1.0,12.0,1.0,0.0,5.0,0.0,4.0,1.0,8.0,944.22,0.13,52.46,118.03,0.25,5.0,0.57,19.0,6.0,8.0,7.0,0.0,N
4.0,7.0,3.0,2.0,4.0,0.09,6.0,2.0,0.5,17.0,1.0,0.0,45.0,0.0,4.0,1.0,29.11,30097.78,0.03,1672.1,1034.09,0.25,6.0,0.07,126.0,19.0,14.0,61.0,8.16,N
0.0,1.0,0.0,0.0,1.0,0.2,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,107.78,0.5,5.99,53.89,1.0,0.0,0.14,9.0,6.0,3.0,7.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
0.0,1.0,3.0,0.0,1.0,0.25,0.0,1.0,1.0,4.0,1.0,0.0,4.0,0.0,1.0,1.0,3.75,225.86,0.27,12.55,60.23,1.0,0.0,0.17,13.0,4.0,5.0,6.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
6.0,1.0,13.0,2.0,1.0,0.06,0.0,1.0,1.0,20.0,1.0,0.0,15.0,0.0,1.0,1.0,23.25,9537.7,0.04,529.87,410.22,1.0,0.0,0.04,74.0,6.0,9.0,27.0,21.05,N
1.0,11.0,0.0,0.0,6.0,0.3,10.0,1.0,0.17,21.0,1.0,0.0,20.0,0.0,0.0,0.0,12.0,2010.28,0.08,111.68,167.52,0.17,10.0,0.26,26.0,6.0,8.0,23.0,0.0,N
0.0,17.0,1.0,3.0,9.0,0.27,8.0,3.0,0.33,30.0,8.0,0.88,30.0,2.0,7.0,0.78,36.0,20153.67,0.03,1119.65,559.82,0.89,12.0,0.24,61.0,13.0,18.0,38.0,16.67,N
2.0,21.0,2.0,3.0,11.0,0.32,8.0,3.0,0.27,34.0,10.0,0.9,31.0,4.0,9.0,0.82,31.5,19711.37,0.03,1095.08,625.76,0.91,14.0,0.24,67.0,16.0,18.0,45.0,20.51,N
2.0,15.0,0.0,2.0,8.0,0.35,10.0,1.0,0.13,27.0,6.0,0.71,21.0,0.0,6.0,0.75,19.2,5736.61,0.05,318.7,298.78,0.75,12.0,0.28,35.0,10.0,12.0,29.0,16.0,N
0.0,5.0,0.0,1.0,3.0,0.25,2.0,1.0,0.33,8.0,3.0,1.0,11.0,2.0,3.0,1.0,6.5,870.87,0.15,48.38,133.98,1.0,3.0,0.2,18.0,10.0,10.0,15.0,8.33,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,N
0.0,5.0,0.0,1.0,3.0,0.25,2.0,1.0,0.33,8.0,3.0,1.0,11.0,2.0,3.0,1.0,6.5,870.87,0.15,48.38,133.98,1.0,3.0,0.2,18.0,10.0,10.0,15.0,8.33,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,N
0.0,7.0,0.0,1.0,4.0,0.31,2.0,1.0,0.25,10.0,4.0,1.0,12.0,3.0,4.0,1.0,6.67,1129.72,0.15,62.76,169.46,1.0,4.0,0.24,22.0,12.0,10.0,17.0,7.69,N
1.0,7.0,1.0,2.0,4.0,0.29,6.0,2.0,0.5,12.0,1.0,0.0,12.0,0.0,3.0,0.75,6.42,641.1,0.16,35.62,99.91,0.25,6.0,0.24,16.0,6.0,7.0,17.0,14.29,N
1.0,5.0,0.0,1.0,3.0,0.25,2.0,1.0,0.33,8.0,3.0,1.0,11.0,2.0,3.0,1.0,5.91,804.59,0.17,44.7,136.16,1.0,3.0,0.18,18.0,11.0,10.0,17.0,15.38,N
1.0,5.0,0.0,1.0,3.0,0.25,2.0,1.0,0.33,8.0,3.0,1.0,11.0,2.0,3.0,1.0,5.91,804.59,0.17,44.7,136.16,1.0,3.0,0.18,18.0,11.0,10.0,17.0,15.38,N
1.0,5.0,1.0,1.0,3.0,0.27,2.0,2.0,0.67,8.0,3.0,1.0,10.0,2.0,3.0,1.0,8.27,1267.77,0.12,70.43,153.25,1.0,3.0,0.19,20.0,11.0,14.0,16.0,16.67,N
1.0,9.0,0.0,1.0,5.0,0.36,4.0,1.0,0.2,15.0,4.0,0.75,13.0,2.0,5.0,1.0,10.29,2150.69,0.1,119.48,208.97,0.8,6.0,0.26,26.0,12.0,13.0,19.0,13.33,N
2.0,7.0,0.0,1.0,4.0,0.44,2.0,1.0,0.25,9.0,1.0,0.0,8.0,3.0,4.0,1.0,6.36,922.39,0.16,51.24,144.95,0.25,4.0,0.27,19.0,11.0,10.0,15.0,11.11,N
11.0,19.0,1.0,4.0,10.0,0.31,8.0,2.0,0.2,30.0,7.0,0.67,28.0,3.0,9.0,0.9,30.6,29223.69,0.03,1623.54,955.02,0.7,13.0,0.17,91.0,25.0,18.0,58.0,34.88,N
11.0,19.0,1.0,5.0,10.0,0.2,12.0,2.0,0.2,32.0,7.0,0.67,46.0,3.0,5.0,0.5,32.59,34940.42,0.03,1941.13,1072.04,0.7,15.0,0.13,105.0,27.0,20.0,78.0,26.98,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,N
0.0,9.0,1.0,3.0,5.0,0.71,2.0,5.0,1.0,15.0,4.0,0.75,4.0,0.0,5.0,1.0,27.62,5307.06,0.04,294.84,192.11,0.8,8.0,0.5,30.0,4.0,13.0,10.0,42.86,N
10.0,7.0,7.0,0.0,4.0,0.17,2.0,4.0,1.0,29.0,4.0,1.0,23.0,0.0,4.0,1.0,21.64,19463.36,0.05,1081.3,899.57,1.0,4.0,0.08,106.0,22.0,14.0,51.0,36.11,N
2.0,1.0,4.0,3.0,1.0,0.1,0.0,1.0,1.0,8.0,1.0,0.0,7.0,0.0,1.0,1.0,9.38,2388.32,0.11,132.68,254.75,1.0,0.0,0.04,33.0,12.0,9.0,23.0,58.82,N
4.0,1.0,4.0,6.0,1.0,0.05,0.0,1.0,1.0,19.0,1.0,0.0,16.0,0.0,1.0,1.0,18.56,13102.64,0.05,727.92,705.87,1.0,0.0,0.03,86.0,16.0,9.0,38.0,46.67,N
3.0,1.0,3.0,0.0,1.0,0.08,0.0,1.0,1.0,6.0,1.0,0.0,12.0,0.0,1.0,1.0,9.38,2732.13,0.11,151.79,291.43,1.0,0.0,0.04,32.0,16.0,10.0,25.0,33.33,N
4.0,1.0,6.0,1.0,1.0,0.08,0.0,1.0,1.0,10.0,1.0,0.0,11.0,0.0,1.0,1.0,6.68,1393.13,0.15,77.4,208.5,1.0,0.0,0.04,29.0,11.0,7.0,24.0,35.29,N
4.0,1.0,4.0,1.0,1.0,0.08,0.0,1.0,1.0,9.0,1.0,0.0,11.0,0.0,1.0,1.0,8.59,1930.72,0.12,107.26,224.74,1.0,0.0,0.04,31.0,11.0,9.0,23.0,31.25,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,5.25,363.24,0.19,20.18,69.19,1.0,0.0,0.25,14.0,4.0,7.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,6.13,423.78,0.16,23.54,69.19,1.0,0.0,0.25,13.0,4.0,7.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.5,17.41,0.67,0.97,11.61,1.0,0.0,0.25,3.0,2.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,N
0.0,9.0,1.0,3.0,5.0,0.71,2.0,5.0,1.0,15.0,4.0,0.75,4.0,0.0,5.0,1.0,27.62,5307.06,0.04,294.84,192.11,0.8,8.0,0.5,30.0,4.0,13.0,10.0,42.86,N
0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.17,3.0,1.0,3.0,6.0,50.0,N
0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,4.38,211.89,0.23,11.77,48.43,1.0,0.0,0.25,9.0,4.0,7.0,4.0,0.0,N
0.0,5.0,0.0,0.0,3.0,0.38,4.0,1.0,0.33,12.0,1.0,0.0,8.0,0.0,3.0,1.0,6.0,494.72,0.17,27.48,82.45,0.33,4.0,0.3,11.0,6.0,6.0,10.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,5.25,363.24,0.19,20.18,69.19,1.0,0.0,0.25,14.0,4.0,7.0,4.0,0.0,N
1.0,5.0,0.0,2.0,3.0,0.25,2.0,1.0,0.33,8.0,3.0,1.0,10.0,0.0,3.0,1.0,7.0,963.25,0.14,53.51,137.61,1.0,3.0,0.18,19.0,9.0,9.0,17.0,16.67,N
1.0,3.0,3.0,2.0,2.0,0.14,2.0,2.0,1.0,8.0,1.0,0.0,12.0,0.0,2.0,1.0,8.55,1634.39,0.12,90.8,191.16,0.5,2.0,0.11,26.0,10.0,9.0,18.0,14.29,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,12.0,0.67,0.67,8.0,1.0,0.0,0.25,3.0,1.0,3.0,4.0,0.0,N
0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,6.13,423.78,0.16,23.54,69.19,1.0,0.0,0.25,13.0,4.0,7.0,4.0,0.0,N
1.0,1.0,6.0,1.0,1.0,0.08,0.0,1.0,1.0,13.0,1.0,0.0,11.0,0.0,1.0,1.0,30.0,13127.15,0.03,729.29,437.57,1.0,0.0,0.07,72.0,6.0,9.0,15.0,8.33,N
1.0,9.0,1.0,4.0,5.0,0.28,6.0,3.0,0.6,15.0,5.0,1.0,14.0,0.0,4.0,0.8,21.64,6864.9,0.05,381.38,317.29,1.0,8.0,0.24,38.0,11.0,17.0,21.0,22.22,N
1.0,5.0,1.0,1.0,3.0,0.3,4.0,1.0,0.33,13.0,1.0,0.0,9.0,0.0,3.0,1.0,11.57,1758.86,0.09,97.71,152.0,0.33,4.0,0.23,20.0,7.0,9.0,13.0,10.0,N
1.0,5.0,1.0,1.0,3.0,0.25,4.0,1.0,0.33,13.0,1.0,0.0,11.0,0.0,3.0,1.0,18.33,5308.77,0.05,294.93,289.57,0.33,4.0,0.2,37.0,9.0,11.0,15.0,8.33,N
1.0,1.0,6.0,1.0,1.0,0.08,0.0,1.0,1.0,13.0,1.0,0.0,11.0,0.0,1.0,1.0,30.0,13127.15,0.03,729.29,437.57,1.0,0.0,0.07,72.0,6.0,9.0,15.0,8.33,N
1.0,5.0,1.0,1.0,3.0,0.3,4.0,1.0,0.33,13.0,1.0,0.0,9.0,0.0,3.0,1.0,10.29,1357.71,0.1,75.43,132.0,0.33,4.0,0.23,17.0,7.0,9.0,13.0,10.0,N
2.0,7.0,2.0,1.0,4.0,0.31,6.0,1.0,0.25,17.0,1.0,0.0,12.0,0.0,3.0,0.75,14.78,2807.62,0.07,155.98,189.99,0.25,6.0,0.24,23.0,9.0,14.0,17.0,7.69,N
1.0,5.0,1.0,1.0,3.0,0.3,4.0,1.0,0.33,13.0,1.0,0.0,9.0,0.0,3.0,1.0,11.57,1758.86,0.09,97.71,152.0,0.33,4.0,0.23,20.0,7.0,9.0,13.0,10.0,N
0.0,3.0,1.0,0.0,2.0,0.33,2.0,2.0,1.0,5.0,1.0,0.0,6.0,0.0,2.0,1.0,9.75,996.32,0.1,55.35,102.19,0.5,2.0,0.25,19.0,4.0,13.0,8.0,0.0,N
