@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
7.0,3.0,0.0,1.0,0.0,0.13,2.0,1.0,0.5,0.0,6.0,14.77,4470.34,0.07,248.35,0.5,1.0,11.0,13.0,30.0,6.67,15.0,Y
3.0,7.0,2.0,20.0,5.0,0.18,2.0,4.0,1.0,0.0,0.0,13.59,3988.08,0.07,221.56,0.25,3.0,11.0,13.0,32.0,92.59,22.0,Y
3.0,3.0,0.0,0.0,0.0,0.29,2.0,1.0,0.5,0.0,3.0,7.5,644.64,0.13,35.81,0.5,1.0,6.0,9.0,14.0,0.0,7.0,N
9.0,7.0,3.0,1.0,5.0,0.15,2.0,4.0,1.0,0.0,0.0,21.94,11272.23,0.05,626.23,0.25,3.0,16.0,18.0,43.0,18.75,27.0,Y
9.0,7.0,3.0,1.0,5.0,0.15,2.0,4.0,1.0,0.0,0.0,21.94,11272.23,0.05,626.23,0.25,3.0,16.0,18.0,43.0,18.75,27.0,N
9.0,7.0,3.0,1.0,5.0,0.15,2.0,4.0,1.0,0.0,0.0,21.94,11272.23,0.05,626.23,0.25,3.0,16.0,18.0,43.0,18.75,27.0,Y
1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,2.0,23.22,0.5,1.29,1.0,0.0,1.0,4.0,5.0,0.0,2.0,N
3.0,1.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,4.0,3.5,157.4,0.29,8.74,1.0,0.0,4.0,7.0,12.0,0.0,3.0,N
4.0,1.0,0.0,0.0,0.0,0.09,0.0,1.0,1.0,0.0,3.0,15.43,4795.77,0.06,266.43,1.0,0.0,7.0,6.0,20.0,0.0,11.0,N
11.0,9.0,3.0,6.0,11.0,0.11,2.0,4.0,0.8,0.0,1.0,22.75,16658.75,0.04,925.49,0.2,4.0,14.0,13.0,70.0,29.82,46.0,Y
31.0,23.0,15.0,11.0,17.0,0.14,2.1,10.0,0.83,0.27,0.0,24.46,42701.09,0.04,2372.28,0.33,11.0,46.0,18.0,135.0,27.45,85.0,Y
7.0,5.0,2.0,1.0,2.0,0.18,2.0,3.0,1.0,0.0,1.0,17.5,5408.68,0.06,300.48,0.33,2.0,12.0,15.0,28.0,15.79,17.0,Y
7.0,1.0,1.0,8.0,6.0,0.07,0.0,1.0,1.0,0.0,0.0,13.3,3780.76,0.08,210.04,1.0,0.0,10.0,14.0,29.0,70.0,14.0,Y
4.0,3.0,2.0,3.0,0.0,0.18,2.0,1.0,0.5,0.0,5.0,10.18,1938.6,0.1,107.7,0.5,1.0,11.0,14.0,21.0,27.27,11.0,N
4.0,1.0,2.0,0.0,1.0,0.25,0.0,1.0,1.0,0.0,2.0,4.08,317.31,0.24,17.63,1.0,0.0,6.0,7.0,12.0,20.0,4.0,N
5.0,5.0,1.0,10.0,4.0,0.25,2.0,1.0,0.33,0.0,0.0,7.94,1304.74,0.13,72.49,0.33,2.0,9.0,11.0,23.0,87.5,12.0,Y
18.0,9.0,9.0,0.0,5.0,0.12,2.0,4.0,0.8,0.0,2.0,20.85,20251.07,0.05,1125.06,0.2,4.0,33.0,16.0,67.0,10.87,41.0,N
17.0,7.0,4.0,4.0,11.0,0.15,2.0,3.0,0.75,0.0,0.0,36.93,24819.33,0.03,1378.85,0.25,3.0,14.0,22.0,57.0,39.47,27.0,Y
8.0,13.0,1.0,7.0,2.0,0.19,3.0,2.0,0.29,0.67,0.0,22.76,11910.2,0.04,661.68,0.71,6.0,17.0,18.0,48.0,23.68,36.0,Y
17.0,6.0,1.0,0.0,4.0,0.2,0.0,5.0,1.0,0.0,1.0,22.5,13507.21,0.04,750.4,0.2,0.0,16.0,18.0,48.0,13.79,25.0,N
22.0,5.0,2.0,0.0,6.0,0.12,0.0,4.0,1.0,0.0,1.0,26.1,21778.37,0.04,1209.91,0.25,0.0,20.0,18.0,63.0,15.38,33.0,N
4.0,1.0,0.0,0.0,1.0,0.25,0.0,1.0,1.0,0.0,1.0,4.0,375.06,0.25,20.84,1.0,0.0,7.0,8.0,11.0,20.0,4.0,N
22.0,5.0,2.0,0.0,6.0,0.12,0.0,4.0,1.0,0.0,1.0,26.1,21778.37,0.04,1209.91,0.25,0.0,20.0,18.0,63.0,15.38,33.0,N
4.0,1.0,1.0,0.0,1.0,0.25,0.0,1.0,1.0,0.0,1.0,6.29,681.48,0.16,37.86,1.0,0.0,7.0,11.0,11.0,20.0,4.0,N
15.0,6.0,1.0,0.0,6.0,0.17,0.0,5.0,1.0,0.0,1.0,25.88,16988.95,0.04,943.83,0.2,0.0,17.0,20.0,53.0,16.67,30.0,N
7.0,5.0,1.0,1.0,3.0,0.13,2.0,3.0,1.0,0.0,2.0,13.8,4246.27,0.07,235.9,0.33,2.0,10.0,12.0,37.0,15.38,23.0,Y
15.0,7.0,0.0,3.0,7.0,0.17,2.0,1.0,0.25,0.0,2.0,14.3,4333.9,0.07,240.77,0.25,3.0,10.0,11.0,50.0,32.25,24.0,N
6.0,5.0,1.0,1.0,5.0,0.19,2.0,2.0,0.67,0.0,1.0,11.38,2148.39,0.09,119.36,0.33,2.0,8.0,13.0,29.0,28.57,16.0,Y
7.0,3.0,3.0,0.0,2.0,0.12,2.0,2.0,1.0,0.0,4.0,9.27,1971.45,0.11,109.53,0.5,1.0,11.0,12.0,31.0,10.53,17.0,N
4.0,3.0,1.0,1.0,0.0,0.2,2.0,1.0,0.5,0.0,1.0,8.94,1328.8,0.11,73.82,0.5,1.0,8.0,11.0,16.0,10.0,10.0,Y
4.0,1.0,1.0,0.0,0.0,0.1,0.0,1.0,1.0,0.0,1.0,8.36,1337.14,0.12,74.29,1.0,0.0,7.0,9.0,16.0,0.0,10.0,N
6.0,5.0,1.0,0.0,2.0,0.14,3.0,1.0,0.33,1.0,1.0,13.0,5130.52,0.08,285.03,1.0,2.0,14.0,13.0,32.0,8.33,22.0,N
5.0,3.0,1.0,1.0,2.0,0.11,2.0,1.0,0.5,0.0,1.0,10.0,2720.25,0.1,151.13,0.5,1.0,11.0,11.0,28.0,14.29,19.0,N
5.0,3.0,1.0,0.0,2.0,0.13,2.0,1.0,0.5,0.0,1.0,11.0,2995.56,0.09,166.42,0.5,1.0,10.0,11.0,25.0,11.11,16.0,N
4.0,6.0,1.0,8.0,0.0,0.09,2.0,2.0,0.5,0.0,1.0,23.06,19076.12,0.04,1059.78,0.25,1.0,17.0,16.0,51.0,17.78,45.0,Y
2.0,1.0,1.0,0.0,0.0,0.14,0.0,1.0,1.0,0.0,1.0,6.75,817.52,0.15,45.42,1.0,0.0,6.0,9.0,11.0,0.0,7.0,N
5.0,1.0,1.0,0.0,0.0,0.09,0.0,1.0,1.0,0.0,1.0,10.0,2126.66,0.1,118.15,1.0,0.0,8.0,10.0,18.0,0.0,11.0,N
13.0,1.0,6.0,1.0,6.0,0.13,0.0,1.0,1.0,0.0,0.0,3.89,451.11,0.26,25.06,1.0,0.0,9.0,7.0,29.0,50.0,8.0,Y
11.0,7.0,1.0,1.0,11.0,0.13,2.0,1.0,0.25,0.0,0.0,17.5,15713.29,0.06,872.96,0.25,3.0,22.0,11.0,56.0,27.91,32.0,Y
7.0,5.0,1.0,3.0,3.0,0.27,2.0,2.0,0.67,0.0,0.0,21.0,3568.26,0.05,198.24,0.33,2.0,5.0,14.0,23.0,42.86,11.0,Y
25.0,16.0,8.0,13.0,9.0,0.17,2.0,9.0,0.82,0.0,0.0,35.0,42678.84,0.03,2371.05,0.09,4.0,38.0,35.0,102.0,29.33,66.0,Y
4.0,9.0,2.0,14.0,3.0,0.15,2.0,4.0,0.8,0.0,0.0,31.06,15095.42,0.03,838.63,0.2,4.0,9.0,13.0,43.0,45.95,34.0,Y
4.0,1.0,1.0,1.0,0.0,0.17,0.0,1.0,1.0,0.0,1.0,4.08,271.98,0.24,15.11,1.0,0.0,6.0,7.0,12.0,16.67,6.0,Y
14.0,6.0,4.0,2.0,4.0,0.13,2.0,4.0,1.0,0.0,1.0,15.0,6639.14,0.07,368.84,0.25,1.0,17.0,17.0,51.0,17.14,31.0,Y
1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,2.0,N
19.0,15.0,1.0,6.0,11.0,0.12,2.75,5.0,0.63,1.0,1.0,32.0,42352.03,0.03,2352.89,1.0,7.0,20.0,16.0,98.0,22.08,66.0,Y
5.0,1.0,1.0,0.0,3.0,0.06,0.0,1.0,1.0,0.0,1.0,13.33,5127.24,0.08,284.85,1.0,0.0,6.0,8.0,28.0,14.29,18.0,N
5.0,1.0,1.0,0.0,3.0,0.1,0.0,1.0,1.0,0.0,1.0,9.6,1811.74,0.1,100.65,1.0,0.0,5.0,8.0,20.0,23.08,10.0,N
4.0,1.0,1.0,1.0,1.0,0.17,0.0,1.0,1.0,0.0,1.0,5.6,435.17,0.18,24.18,1.0,0.0,5.0,8.0,13.0,28.57,6.0,Y
1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.5,12.0,0.67,0.67,1.0,0.0,1.0,3.0,5.0,0.0,2.0,N
20.0,7.0,6.0,11.0,8.0,0.13,2.0,5.0,1.0,0.0,0.0,17.02,12581.62,0.06,698.98,0.2,1.0,29.0,21.0,70.0,39.58,40.0,Y
8.0,5.0,3.0,2.0,6.0,0.14,2.0,3.0,1.0,0.0,1.0,15.17,6999.51,0.07,388.86,0.33,2.0,15.0,13.0,38.0,28.57,22.0,Y
6.0,3.0,2.0,2.0,4.0,0.11,2.0,2.0,1.0,0.0,0.0,12.83,4403.53,0.08,244.64,0.5,1.0,12.0,14.0,30.0,27.27,18.0,Y
20.0,11.0,3.0,24.0,10.0,0.13,2.5,5.0,0.71,0.5,0.0,30.44,61416.25,0.03,3412.01,0.57,3.0,43.0,22.0,87.0,52.31,55.0,Y
10.0,5.0,1.0,2.0,4.0,0.09,2.0,3.0,1.0,0.0,1.0,21.5,14986.93,0.05,832.61,0.33,2.0,14.0,14.0,49.0,16.21,33.0,N
4.0,3.0,1.0,0.0,0.0,0.2,2.0,1.0,0.5,0.0,1.0,9.75,1390.58,0.1,77.25,0.5,1.0,8.0,12.0,16.0,0.0,10.0,N
9.0,15.0,1.0,15.0,3.0,0.14,2.0,1.0,0.13,0.0,1.0,37.78,40642.28,0.03,2257.9,0.13,7.0,18.0,20.0,70.0,30.51,56.0,Y
5.0,1.0,1.0,0.0,0.0,0.08,0.0,1.0,1.0,0.0,1.0,8.0,1534.53,0.13,85.25,1.0,0.0,9.0,9.0,19.0,0.0,12.0,N
10.0,15.0,2.0,23.0,5.0,0.16,2.0,3.0,0.38,0.0,1.0,29.36,29575.64,0.03,1643.09,0.13,7.0,22.0,19.0,67.0,50.91,50.0,Y
9.0,11.0,1.0,5.0,3.0,0.15,2.0,1.0,0.17,0.0,1.0,27.0,20519.43,0.04,1139.97,0.17,5.0,18.0,18.0,54.0,18.6,40.0,Y
19.0,17.0,10.0,14.0,10.0,0.19,2.33,6.0,0.67,0.0,0.0,15.83,13404.4,0.06,744.69,0.11,8.0,27.0,15.0,78.0,42.11,47.0,Y
4.0,3.0,1.0,2.0,1.0,0.2,2.0,2.0,1.0,0.0,0.0,11.0,1651.29,0.09,91.74,0.5,1.0,7.0,11.0,17.0,27.27,10.0,N
5.0,7.0,0.0,6.0,2.0,0.17,2.0,1.0,0.25,0.0,0.0,13.44,3312.04,0.07,184.0,0.25,3.0,9.0,11.0,32.0,32.0,23.0,Y
4.0,7.0,2.0,3.0,2.0,0.15,2.0,2.0,0.5,0.0,0.0,25.67,7986.92,0.04,443.72,0.25,3.0,6.0,14.0,34.0,17.86,26.0,Y
2.0,7.0,0.0,0.0,0.0,0.8,5.0,1.0,0.25,0.0,0.0,6.4,734.17,0.16,40.79,0.25,4.0,5.0,8.0,10.0,0.0,5.0,N
3.0,5.0,0.0,1.0,0.0,0.25,2.0,1.0,0.33,0.0,5.0,11.0,1708.56,0.09,94.92,0.33,2.0,6.0,11.0,22.0,8.33,12.0,Y
6.0,5.0,1.0,1.0,2.0,0.2,2.0,2.0,0.67,0.0,0.0,14.57,2599.73,0.07,144.43,0.33,2.0,7.0,12.0,25.0,17.65,15.0,Y
23.0,23.0,10.0,8.0,19.0,0.21,2.1,6.0,0.5,0.45,2.0,30.67,110843.58,0.03,6157.98,0.5,11.0,87.0,23.0,105.0,35.06,58.0,Y
17.0,17.0,6.0,8.0,11.0,0.16,2.0,6.0,0.67,0.0,1.0,27.58,65929.86,0.04,3662.77,0.11,8.0,62.0,20.0,85.0,28.79,55.0,N
17.0,9.0,8.0,6.0,11.0,0.18,2.0,5.0,1.0,0.0,0.0,12.75,6670.63,0.08,370.59,0.2,4.0,20.0,15.0,58.0,43.59,28.0,Y
4.0,7.0,2.0,0.0,3.0,0.18,2.0,2.0,0.5,0.0,1.0,23.33,10132.78,0.04,562.93,0.25,3.0,9.0,14.0,31.0,12.0,22.0,N
9.0,11.0,1.0,6.0,10.0,0.15,2.0,3.0,0.5,1.0,1.0,39.24,44060.1,0.03,2447.78,1.0,5.0,19.0,21.0,60.0,32.65,39.0,N
14.0,1.0,0.0,62.0,13.0,0.01,0.0,1.0,1.0,0.0,0.0,73.75,1401719.45,0.01,77873.3,1.0,0.0,88.0,11.0,224.0,36.06,195.0,Y
3.0,5.0,0.0,2.0,5.0,0.38,2.0,1.0,0.33,0.0,3.0,13.0,1884.3,0.08,104.68,0.33,2.0,7.0,14.0,20.0,53.85,8.0,Y
6.0,9.0,3.0,2.0,6.0,0.19,2.0,3.0,0.6,0.0,0.0,16.89,7990.71,0.06,443.93,0.2,4.0,18.0,16.0,41.0,24.24,27.0,Y
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,N
6.0,3.0,1.0,1.0,1.0,0.17,2.0,1.0,0.5,0.0,1.0,10.39,2424.6,0.1,134.7,0.5,1.0,9.0,11.0,21.0,15.38,12.0,Y
2.0,1.0,2.0,0.0,0.0,0.17,0.0,1.0,1.0,0.0,0.0,4.8,355.24,0.21,19.74,1.0,0.0,5.0,8.0,10.0,0.0,6.0,N
3.0,7.0,2.0,17.0,1.0,0.21,4.0,2.0,0.5,1.0,1.0,14.0,4304.47,0.07,239.14,1.0,3.0,9.0,12.0,25.0,90.0,19.0,Y
11.0,29.0,3.0,27.0,11.0,0.19,2.27,9.0,0.6,0.64,1.0,50.79,83227.41,0.02,4623.75,0.67,14.0,24.0,23.0,102.0,42.7,78.0,Y
12.0,9.0,5.0,15.0,13.0,0.11,2.0,3.0,0.6,0.0,0.0,27.0,24973.53,0.04,1387.42,0.2,4.0,21.0,18.0,72.0,48.28,45.0,Y
5.0,1.0,1.0,0.0,0.0,0.1,0.0,1.0,1.0,0.0,1.0,8.36,1470.86,0.12,81.71,1.0,0.0,7.0,9.0,17.0,0.0,10.0,N
5.0,1.0,1.0,0.0,0.0,0.09,0.0,1.0,1.0,0.0,1.0,8.44,1689.91,0.12,93.88,1.0,0.0,8.0,9.0,18.0,0.0,11.0,N
2.0,3.0,4.0,1.0,0.0,0.17,2.0,2.0,1.0,0.0,1.0,8.25,1884.3,0.12,104.68,0.5,1.0,10.0,11.0,16.0,8.33,12.0,Y
1.0,1.0,0.0,1.0,2.0,0.33,0.0,1.0,1.0,0.0,1.0,3.0,81.0,0.33,4.5,1.0,0.0,2.0,6.0,8.0,60.0,3.0,Y
8.0,3.0,0.0,1.0,7.0,0.13,2.0,1.0,0.5,0.0,1.0,12.5,3231.69,0.08,179.54,0.5,1.0,9.0,9.0,33.0,34.78,16.0,Y
4.0,13.0,1.0,9.0,0.0,0.26,3.0,4.0,0.57,1.0,1.0,22.5,9335.36,0.04,518.63,1.0,6.0,8.0,12.0,33.0,33.33,27.0,Y
12.0,13.0,9.0,8.0,10.0,0.19,2.0,6.0,0.86,0.0,0.0,9.92,5988.69,0.1,332.71,0.14,6.0,26.0,12.0,60.0,39.13,36.0,Y
3.0,1.0,1.0,0.0,0.0,0.14,0.0,1.0,1.0,0.0,5.0,7.56,1297.09,0.13,72.06,1.0,0.0,9.0,8.0,16.0,0.0,7.0,N
14.0,1.0,1.0,55.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.67,306039.54,0.09,17002.2,1.0,0.0,601.0,10.0,226.0,26.19,210.0,Y
16.0,22.0,4.0,18.0,7.0,0.25,2.2,13.0,0.87,0.0,1.0,72.5,166891.74,0.01,9271.76,0.07,6.0,25.0,29.0,85.0,37.31,60.0,N
4.0,1.0,0.0,0.0,0.0,0.13,0.0,1.0,1.0,0.0,1.0,11.0,2247.77,0.09,124.88,1.0,0.0,6.0,6.0,14.0,0.0,8.0,N
4.0,1.0,0.0,0.0,0.0,0.13,0.0,1.0,1.0,0.0,1.0,11.0,2247.77,0.09,124.88,1.0,0.0,6.0,6.0,14.0,0.0,8.0,N
4.0,1.0,2.0,1.0,1.0,0.17,0.0,1.0,1.0,0.0,1.0,4.2,255.97,0.24,14.22,1.0,0.0,5.0,7.0,13.0,28.57,6.0,N
4.0,1.0,1.0,0.0,1.0,0.14,0.0,1.0,1.0,0.0,1.0,7.5,1027.99,0.13,57.11,1.0,0.0,7.0,7.0,14.0,12.5,7.0,N
12.0,7.0,4.0,4.0,6.0,0.12,2.5,3.0,0.75,0.67,1.0,17.71,16602.83,0.06,922.38,0.75,3.0,24.0,17.0,53.0,25.64,33.0,N
3.0,1.0,1.0,0.0,4.0,0.25,0.0,1.0,1.0,0.0,0.0,3.0,134.92,0.33,7.5,1.0,0.0,5.0,6.0,13.0,50.0,4.0,N
2.0,1.0,1.0,0.0,0.0,0.2,0.0,1.0,1.0,0.0,0.0,4.08,287.09,0.24,15.95,1.0,0.0,6.0,7.0,9.0,0.0,5.0,N
3.0,1.0,1.0,1.0,2.0,0.25,0.0,1.0,1.0,0.0,0.0,3.5,188.21,0.29,10.46,1.0,0.0,5.0,7.0,11.0,50.0,4.0,Y
2.0,1.0,1.0,0.0,1.0,0.33,0.0,1.0,1.0,0.0,0.0,2.5,67.5,0.4,3.75,1.0,0.0,3.0,5.0,8.0,25.0,3.0,N
2.0,1.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,0.0,2.5,56.15,0.4,3.12,1.0,0.0,2.0,5.0,7.0,0.0,3.0,N
2.0,1.0,1.0,0.0,1.0,0.33,0.0,1.0,1.0,0.0,0.0,2.5,67.5,0.4,3.75,1.0,0.0,3.0,5.0,8.0,25.0,3.0,N
1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,2.0,N
1.0,1.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,0.0,2.0,36.19,0.5,2.0,1.0,0.0,2.0,4.0,6.0,0.0,3.0,N
2.0,1.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,0.0,2.5,56.15,0.4,3.12,1.0,0.0,2.0,5.0,7.0,0.0,3.0,N
2.0,1.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,0.0,2.5,56.15,0.4,3.12,1.0,0.0,2.0,5.0,7.0,0.0,3.0,N
6.0,5.0,1.0,0.0,2.0,0.11,2.0,1.0,0.33,0.0,1.0,13.46,5249.74,0.07,291.65,0.33,2.0,14.0,13.0,38.0,6.67,28.0,N
5.0,5.0,1.0,2.0,2.0,0.1,2.0,1.0,0.33,0.0,1.0,16.0,7999.44,0.06,444.41,0.33,2.0,14.0,14.0,38.0,12.9,29.0,Y
5.0,1.0,1.0,0.0,0.0,0.1,0.0,1.0,1.0,0.0,1.0,8.36,1370.57,0.12,76.14,1.0,0.0,7.0,9.0,17.0,0.0,10.0,N
5.0,1.0,1.0,0.0,0.0,0.1,0.0,1.0,1.0,0.0,1.0,8.36,1571.14,0.12,87.29,1.0,0.0,7.0,9.0,17.0,0.0,10.0,N
13.0,3.0,1.0,0.0,6.0,0.07,2.0,1.0,0.5,0.0,1.0,19.0,11878.01,0.05,659.89,0.5,1.0,13.0,13.0,48.0,18.18,27.0,N
10.0,3.0,1.0,0.0,5.0,0.08,2.0,1.0,0.5,0.0,1.0,19.0,11967.32,0.05,664.85,0.5,1.0,13.0,13.0,43.0,16.12,26.0,N
13.0,17.0,6.0,14.0,10.0,0.35,2.6,2.0,0.22,0.0,0.0,19.97,10770.44,0.05,598.36,0.11,8.0,19.0,23.0,51.0,66.67,26.0,Y
8.0,15.0,1.0,4.0,8.0,0.36,3.33,2.0,0.25,0.0,1.0,18.41,8874.62,0.05,493.03,0.13,7.0,16.0,19.0,40.0,40.0,22.0,Y
31.0,25.0,3.0,19.0,29.0,0.22,2.71,3.0,0.23,0.67,0.0,41.48,62590.96,0.02,3477.28,0.69,12.0,28.0,23.0,120.0,55.17,58.0,Y
