@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute label {Y,N}

@data
135.0,55.0,34.0,206.0,37.0,1.0,525.0,234.62,133.13,4157975.43,0.01,230998.66,31233.49,2595.0,215.0,44.0,902.0,Y
30.0,111.0,3.0,15.0,56.0,12.0,192.0,180.19,25.61,118171.02,0.04,6565.06,4614.43,369.0,133.0,26.0,242.0,Y
33.0,41.0,3.0,44.0,21.0,7.0,112.0,107.44,21.1,47815.95,0.05,2656.44,2266.6,205.0,73.0,22.0,194.0,Y
27.0,135.0,1.0,42.0,68.0,20.0,271.0,82.1,95.8,753456.46,0.01,41858.69,7864.89,710.0,70.0,28.0,343.0,Y
12.0,27.0,0.0,5.0,14.0,8.0,60.0,30.91,29.25,26444.87,0.03,1469.16,904.1,90.0,30.0,27.0,79.0,Y
27.0,81.0,0.0,4.0,68.0,1.0,266.0,87.76,69.28,421241.6,0.01,23402.31,6080.25,477.0,157.0,73.0,299.0,Y
33.0,12.0,3.0,32.0,7.0,1.0,80.0,41.9,44.83,84205.78,0.02,4678.1,1878.44,177.0,58.0,52.0,151.0,Y
15.0,13.0,0.0,6.0,7.0,4.0,75.0,72.52,28.25,57855.62,0.04,3214.2,2048.3,184.0,57.0,23.0,98.0,Y
20.0,15.0,0.0,10.0,8.0,4.0,91.0,92.07,27.5,69625.12,0.04,3868.06,2531.82,220.0,68.0,22.0,123.0,Y
80.0,37.0,0.0,0.0,19.0,1.0,242.0,354.41,35.06,435698.56,0.03,24205.48,12426.34,995.0,128.0,12.0,324.0,Y
8.0,3.0,0.0,23.0,2.0,1.0,43.0,83.73,16.09,21679.38,0.06,1204.41,1347.31,114.0,44.0,12.0,76.0,Y
66.0,41.0,0.0,10.0,21.0,12.0,249.0,263.95,51.85,709716.25,0.02,39428.68,13686.71,1024.0,182.0,25.0,327.0,Y
114.0,35.0,2.0,44.0,18.0,1.0,375.0,265.68,62.49,1037522.97,0.02,57640.16,16602.54,1205.0,183.0,24.0,537.0,Y
33.0,77.0,0.0,0.0,39.0,3.0,155.0,154.91,30.71,146112.75,0.03,8117.38,4757.62,364.0,97.0,18.0,190.0,Y
19.0,63.0,0.0,21.0,32.0,17.0,161.0,52.37,61.46,197816.48,0.02,10989.8,3218.71,284.0,48.0,25.0,201.0,Y
7.0,27.0,4.0,7.0,14.0,11.0,69.0,51.74,32.36,54181.04,0.03,3010.06,1674.3,156.0,43.0,23.0,89.0,Y
13.0,25.0,1.0,2.0,13.0,4.0,68.0,74.46,18.01,24158.33,0.06,1342.13,1341.24,139.0,42.0,17.0,86.0,Y
25.0,35.0,2.0,2.0,23.0,5.0,133.0,62.78,56.36,199427.95,0.02,11079.33,3538.24,298.0,77.0,40.0,165.0,Y
27.0,42.0,7.0,37.0,23.0,15.0,124.0,97.16,49.53,238361.32,0.02,13242.3,4812.38,467.0,81.0,34.0,198.0,Y
9.0,61.0,7.0,10.0,31.0,13.0,90.0,81.05,36.19,106132.73,0.03,5896.26,2932.86,275.0,56.0,21.0,118.0,Y
26.0,37.0,2.0,14.0,20.0,7.0,143.0,92.37,39.13,141452.57,0.03,7858.48,3614.71,307.0,83.0,29.0,187.0,Y
36.0,81.0,1.0,86.0,41.0,23.0,132.0,111.55,23.16,59845.66,0.04,3324.76,2583.7,215.0,86.0,24.0,255.0,Y
4.0,61.0,0.0,1.0,31.0,28.0,44.0,50.09,37.73,71326.03,0.03,3962.56,1890.21,215.0,32.0,21.0,51.0,Y
12.0,29.0,0.0,16.0,15.0,1.0,85.0,43.88,40.92,73491.13,0.02,4082.84,1795.84,215.0,26.0,19.0,115.0,Y
8.0,13.0,1.0,10.0,7.0,1.0,51.0,55.85,20.31,23029.1,0.05,1279.39,1134.13,112.0,36.0,17.0,72.0,Y
28.0,5.0,2.0,29.0,3.0,1.0,129.0,254.87,17.06,74202.67,0.06,4122.37,4348.76,329.0,135.0,17.0,190.0,Y
38.0,71.0,0.0,4.0,36.0,1.0,148.0,104.97,34.83,127363.39,0.03,7075.74,3656.37,410.0,45.0,15.0,193.0,Y
29.0,73.0,23.0,6.0,37.0,22.0,165.0,91.19,53.49,260896.68,0.02,14494.26,4877.74,427.0,78.0,28.0,225.0,Y
21.0,87.0,0.0,7.0,44.0,40.0,172.0,111.79,41.37,191348.8,0.02,10630.49,4624.95,452.0,67.0,21.0,202.0,Y
17.0,35.0,1.0,16.0,18.0,1.0,93.0,86.08,26.66,61187.72,0.04,3399.32,2295.03,219.0,59.0,22.0,129.0,N
6.0,7.0,0.0,1.0,4.0,1.0,28.0,34.86,17.19,10297.3,0.06,572.07,599.12,76.0,16.0,11.0,37.0,Y
35.0,31.0,0.0,0.0,16.0,11.0,115.0,125.22,26.92,90732.21,0.04,5040.68,3370.73,292.0,85.0,22.0,152.0,Y
14.0,9.0,0.0,5.0,5.0,1.0,37.0,70.82,10.09,7213.09,0.1,400.73,714.73,67.0,38.0,13.0,58.0,Y
26.0,31.0,0.0,6.0,16.0,1.0,99.0,53.9,44.57,107055.81,0.02,5947.55,2402.15,249.0,30.0,14.0,133.0,Y
15.0,25.0,0.0,44.0,13.0,4.0,55.0,53.3,23.63,29758.92,0.04,1653.27,1259.47,118.0,39.0,19.0,116.0,Y
13.0,77.0,1.0,13.0,39.0,25.0,160.0,113.02,59.89,405328.56,0.02,22518.25,6768.29,523.0,110.0,31.0,187.0,Y
7.0,7.0,0.0,2.0,4.0,1.0,28.0,36.36,15.3,8511.09,0.07,472.84,556.28,72.0,20.0,18.0,40.0,Y
6.0,16.0,2.0,27.0,9.0,3.0,51.0,46.79,21.85,22329.28,0.05,1240.52,1022.11,100.0,39.0,24.0,86.0,Y
3.0,45.0,0.0,12.0,23.0,18.0,77.0,58.46,20.9,25543.94,0.05,1419.11,1222.01,139.0,31.0,16.0,94.0,Y
1.0,1.0,0.0,0.0,1.0,1.0,3.0,11.23,2.0,44.92,0.5,2.5,22.46,5.0,3.0,4.0,6.0,N
2.0,3.0,2.0,3.0,2.0,1.0,10.0,17.24,13.06,2940.89,0.08,163.38,225.14,34.0,8.0,11.0,19.0,Y
18.0,49.0,6.0,8.0,25.0,24.0,136.0,119.52,30.27,109491.18,0.03,6082.84,3617.55,352.0,60.0,16.0,172.0,Y
6.0,9.0,0.0,0.0,5.0,1.0,17.0,21.27,14.62,4550.4,0.07,252.8,311.14,40.0,12.0,13.0,25.0,Y
3.0,19.0,8.0,2.0,10.0,5.0,35.0,48.03,17.61,14891.16,0.06,827.29,845.75,96.0,28.0,17.0,50.0,Y
5.0,3.0,0.0,0.0,2.0,1.0,19.0,47.55,12.25,7135.87,0.08,396.44,582.52,69.0,24.0,14.0,31.0,Y
9.0,43.0,0.0,6.0,22.0,5.0,69.0,56.13,24.21,32903.35,0.04,1827.96,1359.05,140.0,38.0,20.0,87.0,Y
12.0,21.0,0.0,8.0,11.0,5.0,81.0,68.05,28.38,54807.07,0.04,3044.84,1931.19,184.0,50.0,22.0,103.0,Y
5.0,16.0,8.0,6.0,9.0,4.0,53.0,28.44,40.04,45604.57,0.02,2533.59,1138.93,135.0,24.0,31.0,74.0,Y
2.0,27.0,0.0,0.0,14.0,9.0,78.0,55.63,35.38,69630.72,0.03,3868.37,1968.17,188.0,37.0,17.0,83.0,Y
27.0,149.0,1.0,96.0,75.0,51.0,396.0,239.48,64.26,989013.72,0.02,54945.21,15389.98,1013.0,241.0,35.0,520.0,Y
1.0,1.0,0.0,0.0,1.0,1.0,5.0,18.11,2.8,142.01,0.36,7.89,50.72,9.0,5.0,4.0,8.0,Y
13.0,21.0,0.0,13.0,11.0,4.0,86.0,89.84,23.12,48013.0,0.04,2667.39,2076.9,209.0,51.0,18.0,115.0,N
36.0,33.0,3.0,26.0,17.0,4.0,168.0,135.94,35.37,170018.12,0.03,9445.45,4807.44,415.0,93.0,23.0,235.0,Y
19.0,19.0,0.0,9.0,10.0,4.0,92.0,92.11,26.85,66417.96,0.04,3689.89,2473.4,215.0,68.0,22.0,122.0,Y
9.0,37.0,1.0,7.0,19.0,7.0,77.0,60.1,26.56,42382.92,0.04,2354.61,1595.93,144.0,44.0,19.0,94.0,Y
13.0,5.0,0.0,2.0,3.0,1.0,113.0,164.62,23.31,89460.55,0.04,4970.03,3837.56,296.0,93.0,16.0,130.0,Y
8.0,11.0,1.0,5.0,6.0,5.0,40.0,29.31,32.2,30392.25,0.03,1688.46,943.86,99.0,25.0,23.0,56.0,Y
26.0,9.0,0.0,0.0,5.0,1.0,61.0,73.87,27.13,54363.83,0.04,3020.21,2004.0,184.0,47.0,17.0,89.0,Y
37.0,7.0,0.0,3.0,4.0,1.0,117.0,174.15,31.63,174268.57,0.03,9681.59,5508.96,444.0,101.0,18.0,159.0,N
8.0,29.0,0.0,0.0,15.0,1.0,51.0,53.03,34.48,63061.62,0.03,3503.42,1828.79,208.0,29.0,16.0,61.0,Y
14.0,75.0,6.0,26.0,38.0,22.0,157.0,51.28,60.83,189788.14,0.02,10543.79,3119.81,290.0,45.0,25.0,205.0,Y
12.0,23.0,3.0,2.0,14.0,8.0,69.0,25.97,50.14,65286.0,0.02,3627.0,1302.0,139.0,28.0,36.0,89.0,Y
3.0,1.0,0.0,0.0,1.0,1.0,5.0,19.43,3.43,228.37,0.29,12.69,66.61,10.0,7.0,6.0,10.0,Y
2.0,3.0,0.0,0.0,2.0,1.0,15.0,49.11,4.93,1192.85,0.2,66.27,242.03,33.0,14.0,6.0,19.0,Y
11.0,25.0,0.0,12.0,13.0,6.0,50.0,37.81,29.24,32322.63,0.03,1795.7,1105.43,119.0,25.0,17.0,75.0,Y
10.0,25.0,0.0,12.0,13.0,6.0,50.0,37.81,29.24,32322.63,0.03,1795.7,1105.43,119.0,25.0,17.0,74.0,Y
74.0,161.0,10.0,27.0,81.0,50.0,424.0,127.89,95.95,1177372.47,0.01,65409.58,12270.74,1001.0,119.0,33.0,537.0,Y
6.0,15.0,0.0,5.0,8.0,6.0,31.0,24.3,24.5,14583.21,0.04,810.18,595.23,68.0,17.0,17.0,45.0,Y
6.0,9.0,0.0,1.0,5.0,3.0,32.0,43.39,21.38,19824.86,0.05,1101.38,927.48,115.0,24.0,18.0,41.0,Y
12.0,49.0,0.0,16.0,25.0,15.0,117.0,95.89,47.53,216664.22,0.02,12036.9,4558.15,467.0,60.0,23.0,149.0,Y
34.0,32.0,1.0,18.0,17.0,6.0,219.0,80.97,64.48,336771.99,0.02,18709.55,5221.88,495.0,67.0,29.0,274.0,Y
4.0,3.0,0.0,2.0,2.0,1.0,41.0,23.1,51.88,62158.27,0.02,3453.24,1198.23,169.0,12.0,15.0,49.0,Y
37.0,37.0,7.0,47.0,19.0,17.0,116.0,58.74,43.83,112821.45,0.02,6267.86,2574.3,252.0,46.0,24.0,209.0,Y
11.0,25.0,0.0,35.0,13.0,11.0,85.0,56.29,38.03,81406.65,0.03,4522.59,2140.67,246.0,35.0,22.0,134.0,Y
6.0,41.0,0.0,4.0,21.0,14.0,74.0,72.84,32.47,76802.79,0.03,4266.82,2365.21,197.0,71.0,29.0,84.0,Y
16.0,5.0,0.0,0.0,3.0,1.0,26.0,54.1,9.05,4433.56,0.11,246.31,489.75,60.0,19.0,8.0,44.0,Y
8.0,11.0,0.0,5.0,6.0,1.0,47.0,77.33,12.63,12344.19,0.08,685.79,977.05,95.0,41.0,14.0,63.0,Y
9.0,9.0,0.0,28.0,5.0,1.0,56.0,56.24,32.58,59713.02,0.03,3317.39,1832.62,162.0,48.0,23.0,93.0,Y
8.0,21.0,0.0,1.0,11.0,7.0,56.0,56.86,19.54,21716.35,0.05,1206.46,1111.22,118.0,35.0,18.0,67.0,Y
7.0,7.0,0.0,1.0,4.0,1.0,22.0,45.03,6.89,2137.13,0.15,118.73,310.23,35.0,18.0,8.0,32.0,Y
10.0,7.0,0.0,1.0,4.0,1.0,251.0,295.05,30.05,266464.28,0.03,14803.57,8866.85,630.0,145.0,15.0,264.0,N
6.0,3.0,0.0,0.0,2.0,1.0,16.0,35.74,7.47,1992.78,0.13,110.71,266.89,31.0,15.0,8.0,24.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,Y
25.0,45.0,0.0,0.0,23.0,1.0,95.0,139.86,12.4,21497.59,0.08,1194.31,1733.96,161.0,49.0,9.0,122.0,Y
3.0,11.0,3.0,0.0,10.0,1.0,33.0,37.94,11.81,5290.82,0.08,293.93,448.01,55.0,21.0,16.0,41.0,Y
3.0,12.0,3.0,0.0,11.0,1.0,36.0,39.81,12.57,6285.89,0.08,349.22,500.26,60.0,23.0,17.0,44.0,Y
24.0,65.0,8.0,9.0,33.0,24.0,141.0,125.76,37.58,177585.78,0.03,9865.88,4725.86,489.0,71.0,23.0,185.0,Y
24.0,25.0,4.0,31.0,13.0,12.0,81.0,118.74,26.57,83833.94,0.04,4657.44,3155.04,300.0,70.0,20.0,143.0,Y
6.0,1.0,0.0,11.0,1.0,1.0,12.0,39.89,5.75,1318.74,0.17,73.26,229.35,32.0,12.0,6.0,32.0,Y
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,N
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Y
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Y
51.0,65.0,0.0,66.0,33.0,10.0,165.0,176.14,17.89,56367.41,0.06,3131.52,3150.97,280.0,108.0,23.0,284.0,Y
17.0,11.0,0.0,6.0,6.0,1.0,64.0,77.19,23.39,42239.34,0.04,2346.63,1805.65,158.0,56.0,20.0,90.0,Y
12.0,29.0,2.0,11.0,15.0,1.0,70.0,56.0,33.77,63855.03,0.03,3547.5,1891.02,182.0,43.0,22.0,97.0,Y
21.0,113.0,0.0,30.0,57.0,47.0,122.0,132.52,30.46,122973.42,0.03,6831.86,4036.82,370.0,81.0,21.0,175.0,Y
18.0,25.0,3.0,4.0,14.0,8.0,107.0,66.17,41.9,116162.54,0.02,6453.47,2772.48,249.0,64.0,31.0,134.0,Y
6.0,47.0,0.0,18.0,24.0,23.0,59.0,48.07,30.65,45141.75,0.03,2507.87,1473.05,161.0,31.0,19.0,85.0,Y
8.0,19.0,13.0,3.0,10.0,5.0,68.0,74.55,27.29,55515.44,0.04,3084.19,2034.42,180.0,59.0,23.0,94.0,Y
32.0,58.0,8.0,45.0,32.0,7.0,166.0,79.87,55.23,243616.67,0.02,13534.26,4411.17,405.0,77.0,35.0,253.0,Y
2.0,5.0,0.0,0.0,3.0,1.0,8.0,24.34,6.87,1150.68,0.15,63.93,167.37,22.0,12.0,11.0,12.0,Y
26.0,61.0,2.0,8.0,31.0,18.0,130.0,90.65,65.86,393196.14,0.02,21844.23,5970.05,500.0,83.0,29.0,169.0,Y
34.0,35.0,0.0,0.0,18.0,9.0,114.0,99.85,21.97,48179.9,0.05,2676.66,2193.38,206.0,59.0,18.0,150.0,Y
12.0,29.0,4.0,17.0,15.0,5.0,82.0,46.15,37.86,66138.63,0.03,3674.37,1747.14,160.0,38.0,21.0,122.0,Y
6.0,13.0,3.0,6.0,7.0,1.0,53.0,44.25,21.94,21295.68,0.05,1183.09,970.74,94.0,32.0,18.0,74.0,Y
25.0,19.0,2.0,27.0,10.0,3.0,77.0,52.56,34.5,62562.83,0.03,3475.71,1813.42,169.0,40.0,20.0,136.0,Y
16.0,43.0,23.0,10.0,22.0,14.0,121.0,71.66,44.2,140024.04,0.02,7779.11,3167.7,290.0,54.0,22.0,172.0,Y
15.0,15.0,0.0,13.0,8.0,1.0,62.0,76.77,13.43,13846.63,0.07,769.26,1031.0,99.0,43.0,15.0,92.0,Y
16.0,7.0,0.0,1.0,4.0,1.0,29.0,40.1,17.35,12067.3,0.06,670.41,695.61,87.0,23.0,19.0,48.0,Y
16.0,7.0,0.0,3.0,4.0,1.0,23.0,34.28,17.58,10589.57,0.06,588.31,602.54,77.0,20.0,19.0,44.0,Y
20.0,9.0,0.0,4.0,5.0,1.0,27.0,48.82,18.0,15816.54,0.06,878.7,878.7,106.0,27.0,18.0,53.0,Y
12.0,22.0,0.0,1.0,13.0,9.0,88.0,39.57,56.88,127998.63,0.02,7111.03,2250.53,251.0,32.0,28.0,104.0,Y
19.0,23.0,0.0,8.0,12.0,1.0,107.0,167.9,17.6,51980.15,0.06,2887.79,2954.26,223.0,100.0,17.0,136.0,Y
3.0,35.0,3.0,7.0,18.0,16.0,43.0,35.97,20.24,14733.34,0.05,818.52,727.96,86.0,23.0,19.0,58.0,Y
7.0,7.0,0.0,10.0,4.0,1.0,22.0,22.57,29.47,19595.33,0.03,1088.63,665.0,81.0,15.0,17.0,41.0,Y
31.0,115.0,7.0,45.0,58.0,16.0,265.0,94.26,78.55,581549.44,0.01,32308.3,7403.99,657.0,77.0,27.0,350.0,Y
10.0,13.0,2.0,2.0,7.0,1.0,45.0,55.74,21.72,26305.77,0.05,1461.43,1210.9,148.0,29.0,18.0,61.0,Y
10.0,17.0,0.0,8.0,9.0,4.0,45.0,39.91,23.57,22176.04,0.04,1232.0,940.8,123.0,21.0,18.0,65.0,Y
12.0,22.0,0.0,8.0,13.0,1.0,57.0,34.68,37.79,49511.76,0.03,2750.65,1310.33,139.0,28.0,23.0,79.0,Y
4.0,15.0,0.0,0.0,8.0,1.0,63.0,47.28,31.84,47938.33,0.03,2663.24,1505.5,136.0,38.0,20.0,69.0,Y
17.0,15.0,0.0,6.0,8.0,1.0,55.0,99.54,13.25,17475.41,0.08,970.86,1318.9,113.0,52.0,13.0,80.0,Y
5.0,5.0,0.0,5.0,3.0,1.0,27.0,39.98,11.63,5408.68,0.09,300.48,465.0,59.0,19.0,13.0,39.0,Y
5.0,11.0,2.0,0.0,6.0,1.0,34.0,56.63,16.0,14498.49,0.06,805.47,906.16,107.0,29.0,16.0,45.0,Y
43.0,31.0,0.0,14.0,16.0,14.0,109.0,132.53,31.82,134181.03,0.03,7454.5,4216.97,354.0,83.0,19.0,168.0,Y
3.0,7.0,0.0,0.0,4.0,1.0,13.0,34.24,7.44,1895.94,0.13,105.33,254.79,30.0,17.0,11.0,18.0,Y
13.0,5.0,0.0,6.0,3.0,3.0,36.0,32.65,33.53,36714.71,0.03,2039.71,1095.0,143.0,17.0,15.0,58.0,N
3.0,5.0,0.0,0.0,3.0,1.0,27.0,32.68,21.2,14686.72,0.05,815.93,692.77,81.0,20.0,16.0,33.0,Y
1.0,3.0,0.0,0.0,2.0,1.0,22.0,39.49,7.15,2019.08,0.14,112.17,282.39,31.0,20.0,11.0,23.0,Y
10.0,31.0,0.0,10.0,16.0,14.0,67.0,43.6,37.26,60530.39,0.03,3362.8,1624.63,175.0,31.0,21.0,89.0,Y
31.0,46.0,0.0,6.0,25.0,6.0,112.0,53.96,39.81,85536.0,0.03,4752.0,2148.47,199.0,48.0,26.0,151.0,Y
5.0,9.0,0.0,0.0,5.0,4.0,18.0,27.67,15.0,6225.0,0.07,345.83,415.0,49.0,17.0,15.0,25.0,Y
18.0,19.0,0.0,3.0,10.0,1.0,69.0,67.82,27.56,51520.06,0.04,2862.23,1869.21,180.0,48.0,21.0,92.0,Y
0.0,9.0,0.0,0.0,5.0,5.0,9.0,11.92,9.6,1098.71,0.1,61.04,114.45,20.0,5.0,12.0,11.0,Y
6.0,5.0,1.0,0.0,3.0,1.0,19.0,38.28,10.5,4220.05,0.1,234.45,401.91,49.0,20.0,14.0,28.0,Y
20.0,37.0,0.0,17.0,19.0,7.0,108.0,96.21,31.13,93233.62,0.03,5179.65,2994.93,279.0,69.0,24.0,147.0,Y
5.0,5.0,8.0,2.0,3.0,1.0,33.0,29.24,20.64,12458.21,0.05,692.12,603.51,64.0,21.0,17.0,50.0,Y
8.0,13.0,0.0,4.0,7.0,3.0,34.0,27.16,33.33,30180.88,0.03,1676.72,905.43,99.0,21.0,20.0,48.0,Y
55.0,53.0,0.0,18.0,27.0,3.0,236.0,179.95,41.1,304045.51,0.02,16891.42,7396.9,601.0,134.0,27.0,312.0,Y
30.0,47.0,0.0,31.0,24.0,12.0,157.0,119.1,51.89,320701.9,0.02,17816.77,6180.34,471.0,128.0,36.0,218.0,Y
5.0,7.0,0.0,0.0,4.0,3.0,26.0,30.98,20.09,12501.62,0.05,694.53,622.38,70.0,23.0,21.0,33.0,Y
4.0,1.0,0.0,0.0,1.0,1.0,7.0,26.28,4.2,463.52,0.24,25.75,110.36,15.0,10.0,7.0,19.0,Y
