@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
1.0,1.0,0.0,0.0,2.0,0.5,1.0,0.0,13.0,2.0,7.13,0.14,188.87,0.5,7.0,0.13,12.0,9.0,15.0,0.0,N
9.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,17.0,0.0,9.72,0.1,315.0,0.33,9.0,0.11,18.0,14.0,27.0,0.0,N
19.0,7.0,0.0,5.0,2.25,1.0,6.0,1.0,34.0,0.0,17.0,0.06,1026.58,1.0,22.0,0.1,38.0,19.0,59.0,12.82,N
15.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,22.0,0.0,8.11,0.12,370.0,0.33,13.0,0.08,21.0,11.0,38.0,0.0,N
13.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,20.0,1.0,13.91,0.07,454.54,0.25,12.0,0.12,22.0,17.0,34.0,0.0,N
24.0,18.0,0.0,0.0,2.0,0.95,1.0,0.0,70.0,1.0,25.62,0.04,1346.57,0.05,27.0,0.21,49.0,31.0,95.0,0.0,N
3.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,9.0,0.0,7.2,0.14,158.46,0.5,7.0,0.14,10.0,8.0,14.0,10.0,N
15.0,8.0,0.0,15.0,2.25,0.5,1.0,0.0,44.0,0.0,16.4,0.06,1183.31,0.17,21.0,0.08,43.0,15.0,75.0,25.42,N
14.0,2.0,0.0,12.0,2.0,1.0,1.0,0.0,41.0,0.0,28.31,0.04,2149.51,0.5,14.0,0.03,56.0,21.0,68.0,22.64,N
25.0,7.0,0.0,9.0,2.18,0.71,6.0,0.38,77.0,1.0,45.0,0.02,3763.65,0.43,45.0,0.13,80.0,30.0,112.0,10.47,N
9.0,6.0,2.0,0.0,4.0,0.75,4.0,0.43,25.0,0.0,16.8,0.06,579.97,0.5,14.0,0.22,25.0,21.0,37.0,7.41,N
18.0,8.0,0.0,5.0,2.0,0.88,3.0,0.29,37.0,1.0,24.23,0.04,1561.98,0.38,29.0,0.13,52.0,24.0,61.0,11.9,N
13.0,5.0,0.0,5.0,2.0,0.67,1.0,0.0,33.0,1.0,10.0,0.1,484.26,0.11,26.0,0.17,22.0,11.0,52.0,13.16,N
19.0,8.0,0.0,7.0,2.0,0.89,3.0,0.25,41.0,1.0,26.36,0.04,1833.36,0.33,33.0,0.13,56.0,24.0,68.0,14.58,N
7.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,11.0,1.0,7.0,0.14,160.47,0.5,6.0,0.11,12.0,12.0,19.0,0.0,N
7.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,11.0,1.0,7.0,0.14,160.47,0.5,6.0,0.11,12.0,12.0,19.0,0.0,N
15.0,2.0,0.0,2.0,3.0,0.56,9.0,1.0,29.0,1.0,15.35,0.07,723.78,1.0,17.0,0.19,26.0,14.0,47.0,6.45,N
9.0,2.0,0.0,3.0,3.0,0.6,3.0,0.5,18.0,0.0,18.86,0.05,512.67,0.6,13.0,0.16,21.0,18.0,31.0,14.29,N
8.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,12.0,0.0,6.07,0.16,187.98,0.5,7.0,0.1,14.0,10.0,21.0,0.0,N
7.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,14.0,0.0,6.43,0.16,215.49,0.33,8.0,0.14,14.0,10.0,22.0,0.0,N
10.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,17.0,1.0,12.63,0.08,374.44,0.33,9.0,0.11,19.0,16.0,28.0,0.0,N
10.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,17.0,1.0,13.33,0.08,371.38,0.33,9.0,0.11,18.0,16.0,28.0,0.0,N
10.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,17.0,1.0,12.63,0.08,374.44,0.33,9.0,0.11,19.0,16.0,28.0,0.0,N
12.0,2.0,0.0,0.0,2.33,0.8,5.0,1.0,22.0,1.0,13.94,0.07,539.23,1.0,12.0,0.14,25.0,17.0,35.0,0.0,N
13.0,2.0,0.0,0.0,2.33,0.8,5.0,1.0,22.0,1.0,14.52,0.07,535.76,1.0,12.0,0.14,24.0,17.0,36.0,0.0,N
9.0,1.0,0.0,0.0,3.5,0.5,6.0,1.0,18.0,1.0,13.18,0.08,386.43,1.0,11.0,0.21,17.0,14.0,28.0,0.0,N
10.0,2.0,0.0,8.0,2.0,1.0,1.0,0.0,16.0,1.0,16.47,0.06,1003.86,0.5,15.0,0.06,30.0,13.0,35.0,33.33,N
10.0,1.0,0.0,3.0,2.0,0.75,1.0,0.0,20.0,1.0,10.4,0.1,393.46,0.25,15.0,0.12,20.0,13.0,34.0,13.04,N
23.0,12.0,1.0,9.0,2.2,1.0,5.0,0.67,35.0,0.0,15.94,0.06,882.1,0.71,32.0,0.1,35.0,18.0,69.0,22.22,N
26.0,3.0,0.0,0.0,2.0,1.0,8.0,0.7,61.0,0.0,24.78,0.04,2177.73,0.73,48.0,0.13,51.0,16.0,88.0,0.0,N
17.0,4.0,0.0,3.0,2.0,0.56,1.0,0.0,40.0,0.0,31.25,0.03,1508.81,0.11,33.0,0.15,44.0,25.0,61.0,6.98,N
12.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,23.0,1.0,11.79,0.08,548.05,0.25,10.0,0.11,28.0,15.0,36.0,0.0,Y
8.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,15.0,3.0,10.11,0.1,300.0,0.33,11.0,0.12,18.0,14.0,26.0,11.76,N
6.0,2.0,0.0,0.0,2.33,0.8,3.0,0.5,28.0,2.0,24.44,0.04,535.29,0.6,22.0,0.14,18.0,20.0,35.0,0.0,N
24.0,3.0,0.0,34.0,2.17,0.4,5.0,0.29,83.0,0.0,40.15,0.02,3537.64,0.33,50.0,0.12,62.0,19.0,126.0,29.06,N
31.0,3.0,2.0,37.0,2.2,0.37,6.0,0.28,101.0,0.0,43.99,0.02,4670.87,0.32,62.0,0.12,73.0,19.0,156.0,27.86,N
1.0,1.0,0.0,0.0,2.0,0.33,1.0,0.0,7.0,1.0,9.75,0.1,113.3,0.33,9.0,0.33,6.0,9.0,9.0,0.0,N
3.0,1.0,2.0,0.0,2.0,0.67,3.0,1.0,16.0,1.0,10.74,0.09,318.15,1.0,10.0,0.04,23.0,19.0,80.0,11.11,N
7.0,5.0,7.0,12.0,2.15,0.38,11.0,0.67,28.0,0.0,38.26,0.03,1306.85,0.69,55.0,0.29,36.0,29.0,55.0,40.43,N
2.0,1.0,0.0,0.0,2.0,0.67,1.0,0.0,8.0,1.0,13.93,0.07,168.56,0.33,8.0,0.27,7.0,13.0,11.0,0.0,N
1.0,0.0,17.0,0.0,2.13,0.1,8.0,0.78,31.0,3.0,46.06,0.02,1447.13,0.8,32.0,0.2,31.0,28.0,50.0,35.42,N
1.0,0.0,1.0,0.0,2.0,0.33,1.0,0.0,10.0,2.0,11.67,0.09,162.85,0.33,9.0,0.23,9.0,14.0,13.0,9.09,N
1.0,3.0,0.0,0.0,2.0,0.75,6.0,0.71,29.0,2.0,26.96,0.04,765.1,0.75,26.0,0.26,23.0,20.0,31.0,0.0,N
2.0,3.0,0.0,0.0,2.5,1.0,4.0,0.5,13.0,2.0,30.08,0.03,450.83,0.57,26.0,0.44,12.0,19.0,16.0,0.0,N
12.0,12.0,2.0,0.0,2.0,0.44,17.0,0.48,87.0,2.0,53.33,0.02,3199.46,0.5,91.0,0.33,72.0,40.0,102.0,2.25,N
4.0,4.0,0.0,6.0,2.45,0.35,12.0,0.58,50.0,2.0,70.29,0.01,1813.42,0.6,56.0,0.36,28.0,32.0,55.0,10.71,N
5.0,2.0,0.0,0.0,2.0,0.6,1.0,0.0,20.0,2.0,22.09,0.05,601.38,0.1,31.0,0.38,22.0,18.0,26.0,0.0,N
5.0,16.0,1.0,1.0,2.02,0.88,17.0,0.48,90.0,2.0,21.38,0.05,3829.8,0.5,121.0,0.35,108.0,19.0,98.0,2.17,N
9.0,13.0,0.0,1.0,2.05,0.65,15.0,0.42,88.0,2.0,44.8,0.02,3109.35,0.44,105.0,0.34,70.0,32.0,99.0,1.12,N
3.0,12.0,0.0,0.0,2.13,0.8,3.0,0.22,45.0,2.0,41.71,0.02,2049.98,0.3,58.0,0.2,55.0,31.0,49.0,0.0,N
6.0,11.0,2.0,0.0,2.05,0.83,19.0,0.82,69.0,2.0,38.76,0.03,2383.37,0.83,91.0,0.29,54.0,26.0,78.0,2.82,N
10.0,12.0,2.0,1.0,2.0,0.88,19.0,0.75,142.0,2.0,40.59,0.02,5239.94,0.76,116.0,0.16,101.0,25.0,156.0,2.07,N
5.0,2.0,6.0,6.0,2.23,0.41,9.0,0.5,57.0,1.0,32.0,0.03,2843.99,0.53,54.0,0.23,75.0,24.0,75.0,17.39,Y
3.0,0.0,0.0,0.0,2.0,0.33,1.0,0.0,10.0,3.0,16.25,0.06,148.68,0.33,9.0,0.21,6.0,13.0,14.0,0.0,N
14.0,1.0,2.0,16.0,2.0,0.5,1.0,0.0,40.0,0.0,38.68,0.03,1386.16,0.17,24.0,0.08,31.0,22.0,73.0,31.03,N
80.0,2.0,10.0,18.0,2.57,0.58,8.0,0.64,54.0,0.0,36.58,0.03,2358.66,0.67,34.0,0.07,59.0,26.0,163.0,34.15,Y
14.0,3.0,3.0,19.0,2.0,0.57,5.0,0.67,28.0,0.0,32.08,0.03,660.68,0.71,24.0,0.11,18.0,21.0,65.0,44.0,N
19.0,3.0,4.0,21.0,2.0,0.57,5.0,0.67,27.0,0.0,30.39,0.03,665.24,0.71,24.0,0.1,19.0,21.0,72.0,48.08,N
29.0,2.0,17.0,38.0,2.67,0.48,14.0,0.65,101.0,4.0,22.73,0.04,2942.06,0.67,49.0,0.11,84.0,19.0,186.0,35.26,N
19.0,3.0,5.0,19.0,2.0,0.57,5.0,0.67,26.0,0.0,28.88,0.03,669.69,0.71,24.0,0.1,20.0,21.0,70.0,48.0,N
5.0,0.0,0.0,0.0,2.5,0.25,1.0,0.0,10.0,2.0,22.1,0.05,154.29,0.25,9.0,0.25,5.0,13.0,16.0,0.0,N
23.0,5.0,1.0,7.0,2.0,0.63,1.0,0.0,45.0,1.0,24.91,0.04,1022.09,0.13,18.0,0.1,34.0,22.0,77.0,15.09,N
30.0,2.0,4.0,4.0,2.5,0.15,12.0,0.92,56.0,1.0,28.96,0.03,1287.46,0.92,32.0,0.14,41.0,25.0,95.0,12.5,N
31.0,1.0,3.0,26.0,2.58,0.1,13.0,0.63,60.0,0.0,43.1,0.02,2363.92,0.65,49.0,0.17,52.0,27.0,121.0,32.58,N
41.0,2.0,3.0,22.0,2.25,0.25,3.0,0.13,73.0,0.0,44.63,0.02,2994.64,0.19,51.0,0.11,60.0,26.0,140.0,25.51,N
122.0,1.0,3.0,35.0,2.33,0.1,3.0,0.1,73.0,0.0,30.42,0.03,2121.51,0.14,57.0,0.09,60.0,25.0,234.0,34.23,N
6.0,3.0,3.0,5.0,2.0,1.0,1.0,0.0,5.0,0.0,4.5,0.22,106.61,0.25,11.0,0.2,8.0,6.0,20.0,61.54,N
101.0,1.0,12.0,7.0,2.36,0.42,17.0,0.64,143.0,2.0,44.73,0.02,4287.21,0.65,65.0,0.1,103.0,34.0,264.0,11.73,N
48.0,7.0,2.0,26.0,3.0,0.67,3.0,1.0,51.0,0.0,16.76,0.06,1907.11,1.0,13.0,0.02,70.0,17.0,128.0,35.44,N
30.0,9.0,6.0,11.0,2.75,0.7,7.0,0.67,43.0,0.0,21.36,0.05,1022.69,0.7,30.0,0.11,42.0,26.0,91.0,28.33,N
8.0,0.0,1.0,8.0,4.0,0.33,1.0,0.0,6.0,0.0,11.0,0.09,172.88,0.33,6.0,0.13,9.0,11.0,24.0,60.0,N
9.0,0.0,1.0,7.0,3.0,0.5,1.0,0.0,5.0,0.0,7.5,0.13,120.93,0.5,5.0,0.09,8.0,10.0,23.0,61.54,N
28.0,0.0,2.0,7.0,7.0,0.14,7.0,1.0,13.0,0.0,17.5,0.06,371.33,1.0,10.0,0.11,13.0,13.0,61.0,40.91,N
8.0,2.0,9.0,4.0,2.0,1.0,1.0,0.0,25.0,0.0,23.34,0.04,1166.58,0.11,17.0,0.19,34.0,23.0,47.0,34.21,N
18.0,6.0,13.0,14.0,2.11,0.55,1.0,0.0,57.0,0.0,26.63,0.04,3047.71,0.09,31.0,0.11,102.0,28.0,103.0,32.14,Y
6.0,2.0,1.0,3.0,3.0,0.6,5.0,1.0,10.0,0.0,9.75,0.1,189.99,1.0,11.0,0.24,10.0,13.0,21.0,28.57,N
49.0,14.0,48.0,71.0,2.27,0.77,41.0,0.38,457.0,0.0,75.93,0.01,20696.93,0.39,257.0,0.17,397.0,64.0,626.0,20.66,Y
10.0,0.0,3.0,10.0,2.0,0.25,1.0,0.0,22.0,0.0,15.25,0.07,755.81,0.25,13.0,0.09,26.0,13.0,46.0,37.14,N
18.0,0.0,4.0,15.0,2.0,0.2,1.0,0.0,28.0,0.0,20.33,0.05,801.81,0.2,15.0,0.08,27.0,18.0,66.0,40.43,N
21.0,6.0,6.0,20.0,2.0,0.58,1.0,0.0,71.0,0.0,53.47,0.02,2532.08,0.08,40.0,0.1,54.0,33.0,119.0,26.8,N
7.0,0.0,5.0,6.0,2.0,0.25,1.0,0.0,19.0,0.0,16.0,0.06,585.15,0.25,11.0,0.11,21.0,12.0,38.0,36.67,Y
6.0,4.0,1.0,5.0,2.0,1.0,1.0,0.0,8.0,0.0,3.0,0.33,59.79,0.5,8.0,0.1,5.0,5.0,21.0,42.86,N
6.0,6.0,1.0,7.0,2.0,1.0,1.0,0.0,10.0,0.0,2.86,0.35,86.04,0.5,10.0,0.08,7.0,5.0,25.0,44.44,N
4.0,0.0,1.0,3.0,2.0,0.5,1.0,0.0,9.0,0.0,8.89,0.11,167.59,0.5,6.0,0.11,9.0,8.0,18.0,30.77,N
5.0,0.0,3.0,9.0,2.33,0.2,5.0,1.0,15.0,0.0,13.68,0.07,360.0,1.0,13.0,0.15,17.0,15.0,33.0,44.44,N
4.0,0.0,1.0,3.0,2.0,0.5,1.0,0.0,14.0,0.0,12.11,0.08,485.8,0.5,5.0,0.09,19.0,10.0,23.0,22.22,N
3.0,3.0,3.0,5.0,2.0,0.67,1.0,0.0,15.0,0.0,8.89,0.11,360.55,0.17,16.0,0.22,18.0,10.0,27.0,34.78,N
2.0,1.0,2.0,10.0,2.67,0.5,6.0,1.0,26.0,0.0,10.63,0.09,744.31,1.0,14.0,0.15,35.0,12.0,41.0,31.58,N
5.0,0.0,1.0,3.0,2.0,0.5,1.0,0.0,11.0,0.0,7.71,0.13,235.23,0.5,6.0,0.1,14.0,9.0,21.0,26.67,N
2.0,2.0,5.0,10.0,2.0,1.0,1.0,0.0,24.0,0.0,11.51,0.09,759.55,0.2,17.0,0.12,35.0,13.0,42.0,38.46,N
2.0,0.0,1.0,0.0,2.0,0.5,1.0,0.0,10.0,2.0,10.56,0.09,153.73,0.5,6.0,0.14,8.0,13.0,14.0,9.09,N
4.0,1.0,1.0,3.0,2.0,0.33,1.0,0.0,11.0,0.0,12.0,0.08,256.76,0.33,10.0,0.15,12.0,12.0,20.0,26.67,N
8.0,1.0,2.0,6.0,2.0,0.25,1.0,0.0,15.0,0.0,12.28,0.08,391.38,0.25,14.0,0.13,18.0,13.0,32.0,34.78,Y
9.0,3.0,5.0,12.0,2.0,0.67,1.0,0.0,27.0,0.0,18.65,0.05,820.99,0.17,19.0,0.11,31.0,17.0,54.0,38.64,N
2.0,0.0,1.0,0.0,2.0,0.5,1.0,0.0,10.0,3.0,11.67,0.09,165.06,0.5,6.0,0.14,9.0,15.0,14.0,9.09,N
9.0,1.0,1.0,11.0,2.0,0.5,1.0,0.0,21.0,1.0,20.91,0.05,555.41,0.25,14.0,0.09,22.0,20.0,43.0,36.36,N
2.0,0.0,1.0,1.0,2.0,0.5,1.0,0.0,12.0,0.0,12.33,0.08,324.14,0.5,7.0,0.12,12.0,8.0,17.0,14.29,N
6.0,1.0,2.0,4.0,2.0,0.4,1.0,0.0,12.0,0.0,20.0,0.05,317.29,0.2,13.0,0.2,12.0,16.0,25.0,33.33,N
7.0,1.0,3.0,12.0,2.33,0.6,3.0,0.5,27.0,0.0,14.53,0.07,755.42,0.6,14.0,0.1,32.0,15.0,50.0,35.71,N
3.0,1.0,0.0,0.0,2.0,0.5,1.0,0.0,12.0,2.0,12.6,0.08,484.3,0.5,7.0,0.13,25.0,15.0,16.0,0.0,N
1.0,3.0,0.0,0.0,2.33,0.6,5.0,1.0,21.0,2.0,24.0,0.04,582.52,1.0,20.0,0.22,19.0,19.0,23.0,0.0,N
1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,12.0,2.0,16.0,0.06,317.07,0.33,10.0,0.21,15.0,16.0,14.0,0.0,N
1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,8.0,2.0,10.4,0.1,149.28,0.5,7.0,0.2,10.0,13.0,10.0,0.0,N
2.0,8.0,2.0,0.0,2.0,1.0,5.0,0.57,37.0,1.0,18.7,0.05,767.54,0.63,27.0,0.19,32.0,21.0,42.0,5.13,N
5.0,5.0,0.0,3.0,2.0,1.0,1.0,0.0,39.0,3.0,24.9,0.04,977.37,0.13,36.0,0.17,30.0,18.0,48.0,7.14,N
3.0,8.0,0.0,0.0,2.14,0.6,1.0,0.0,36.0,0.0,14.58,0.07,856.54,0.1,45.0,0.25,36.0,15.0,40.0,0.0,N
1.0,10.0,0.0,0.0,2.0,0.69,3.0,0.17,43.0,1.0,20.63,0.05,1047.94,0.23,40.0,0.29,40.0,22.0,45.0,0.0,N
17.0,3.0,24.0,38.0,2.22,0.31,8.0,0.25,66.0,0.0,20.69,0.05,3387.95,0.28,69.0,0.2,102.0,21.0,146.0,48.44,Y
