@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,18.53,9.0,0.06,0.11,83.4,0.5,2.0,0.18,22.0,9.0,9.0,11.0,0.0,8.0,N
6.0,1.0,1.0,2.0,2.0,0.67,1.0,0.0,25.16,11.2,0.09,0.09,175.32,0.33,4.0,0.14,34.0,15.0,14.0,21.0,14.29,13.0,N
7.0,4.0,16.0,2.33,10.0,0.77,5.0,0.33,70.93,18.61,0.44,0.05,1364.6,0.38,23.0,0.13,121.0,55.0,23.0,99.0,21.98,75.0,Y
8.0,1.0,9.0,2.0,2.0,0.67,1.0,0.0,30.78,10.5,0.11,0.1,188.5,0.33,4.0,0.09,35.0,20.0,15.0,32.0,43.48,14.0,N
13.0,0.0,2.0,2.0,1.0,0.25,1.0,0.0,1535.48,11.07,5.67,0.09,10451.01,0.25,6.0,0.01,787.0,459.0,9.0,413.0,0.5,397.0,N
22.0,0.0,51.0,2.0,27.0,0.96,27.0,0.96,1349.98,39.94,17.97,0.03,119613.86,0.96,54.0,0.03,2847.0,787.0,23.0,891.0,5.88,817.0,N
0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,9.42,17.0,0.05,0.06,151.28,0.33,4.0,0.33,24.0,5.0,10.0,9.0,0.0,8.0,N
1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,13.67,5.71,0.03,0.18,24.81,0.5,2.0,0.29,10.0,7.0,8.0,7.0,0.0,5.0,N
13.0,1.0,13.0,2.0,2.0,0.67,1.0,0.0,50.44,8.5,0.14,0.12,202.48,0.33,4.0,0.06,51.0,22.0,11.0,48.0,41.18,21.0,Y
11.0,1.0,10.0,2.0,3.0,1.0,1.0,0.0,54.41,6.07,0.11,0.16,111.2,0.33,4.0,0.08,35.0,23.0,9.0,39.0,40.74,17.0,Y
3.0,17.0,0.0,2.0,1.0,0.11,1.0,0.0,76.91,15.85,0.41,0.06,1073.76,0.11,16.0,0.39,124.0,34.0,11.0,23.0,89.47,19.0,Y
2.0,10.0,0.0,2.0,1.0,0.33,1.0,0.0,59.38,12.02,0.24,0.08,476.55,0.33,4.0,0.2,77.0,27.0,11.0,15.0,83.33,12.0,N
2.0,14.0,0.0,2.0,1.0,0.11,1.0,0.0,85.3,11.0,0.31,0.09,573.39,0.11,16.0,0.47,94.0,37.0,11.0,19.0,87.5,16.0,Y
2.0,5.0,0.0,2.0,1.0,0.2,1.0,0.0,39.02,5.33,0.07,0.19,61.65,0.2,8.0,0.5,26.0,15.0,8.0,10.0,71.43,7.0,N
13.0,0.0,1.0,2.0,4.0,0.12,1.0,0.0,212.2,33.39,2.36,0.03,13147.36,0.03,64.0,0.46,622.0,95.0,15.0,71.0,1.75,56.0,Y
7.0,2.0,1.0,2.0,3.0,0.21,1.0,0.0,99.64,24.6,0.82,0.04,3349.84,0.07,26.0,0.42,243.0,50.0,15.0,33.0,12.0,24.0,Y
21.0,6.0,1.0,2.0,3.0,0.07,1.0,0.0,318.29,36.8,3.9,0.03,23940.58,0.02,88.0,0.46,943.0,149.0,17.0,97.0,9.33,74.0,Y
14.0,0.0,0.0,2.0,1.0,0.06,1.0,0.0,162.87,24.2,1.31,0.04,5300.24,0.06,34.0,0.33,361.0,79.0,16.0,54.0,0.0,39.0,Y
10.0,6.0,1.0,2.0,3.0,0.12,1.0,0.0,189.65,36.5,2.31,0.03,14037.06,0.04,50.0,0.43,593.0,90.0,15.0,60.0,14.29,48.0,Y
4.0,1.0,4.0,2.3,1.0,0.07,9.0,0.62,15.66,31.95,0.17,0.03,888.52,0.64,23.0,0.45,65.0,11.0,19.0,31.0,19.23,22.0,N
18.0,2.0,24.0,2.0,5.0,1.0,1.0,0.0,72.48,20.68,0.5,0.05,1722.49,0.2,8.0,0.06,151.0,41.0,16.0,80.0,34.67,51.0,Y
1.0,0.0,0.0,2.0,1.0,0.5,1.0,0.0,17.71,14.0,0.08,0.07,192.89,0.5,2.0,0.18,34.0,8.0,8.0,11.0,0.0,9.0,N
11.0,1.0,2.0,2.0,2.0,0.5,1.0,0.0,49.99,17.26,0.29,0.06,827.24,0.25,6.0,0.1,83.0,29.0,13.0,42.0,10.0,28.0,N
7.0,4.0,1.0,3.0,4.0,0.57,5.0,0.67,24.63,17.41,0.14,0.06,414.76,0.71,11.0,0.21,48.0,17.0,16.0,33.0,20.0,24.0,N
9.0,2.0,8.0,2.5,2.0,0.5,1.0,0.0,31.34,10.33,0.11,0.1,185.92,0.25,5.0,0.12,35.0,18.0,12.0,34.0,41.67,16.0,N
6.0,7.0,2.0,2.0,1.0,0.33,1.0,0.0,20.45,15.17,0.1,0.07,261.39,0.33,4.0,0.09,40.0,12.0,14.0,33.0,34.62,24.0,N
3.0,0.0,0.0,2.0,1.0,0.5,1.0,0.0,9.87,5.63,0.02,0.18,17.35,0.5,2.0,0.22,10.0,4.0,9.0,9.0,0.0,5.0,N
6.0,2.0,5.0,2.0,2.0,1.0,1.0,0.0,55.64,8.27,0.15,0.12,211.38,0.5,2.0,0.06,46.0,26.0,10.0,35.0,25.0,23.0,N
5.0,1.0,3.0,2.5,1.0,0.25,1.0,0.0,34.78,14.04,0.16,0.07,380.92,0.25,5.0,0.15,51.0,25.0,18.0,26.0,20.0,17.0,N
8.0,3.0,16.0,2.23,4.0,0.24,8.0,0.44,81.83,29.21,0.8,0.03,3879.89,0.47,29.0,0.2,213.0,61.0,22.0,85.0,25.0,60.0,N
9.0,4.0,8.0,2.14,4.0,0.44,7.0,0.75,58.4,14.93,0.29,0.07,723.06,0.78,15.0,0.18,81.0,42.0,19.0,51.0,29.27,33.0,N
3.0,4.0,4.0,2.0,3.0,1.0,1.0,0.0,23.37,9.15,0.07,0.11,108.81,0.33,2.0,0.1,28.0,13.0,14.0,30.0,30.77,22.0,N
14.0,5.0,14.0,2.86,6.0,0.4,10.0,0.64,46.09,53.79,0.83,0.02,7409.98,0.67,22.0,0.15,213.0,51.0,31.0,102.0,24.36,64.0,Y
8.0,1.0,4.0,2.0,3.0,0.75,1.0,0.0,85.6,21.6,0.62,0.05,2218.64,0.25,6.0,0.09,163.0,50.0,15.0,47.0,13.16,34.0,Y
5.0,1.0,3.0,2.0,1.0,0.5,1.0,0.0,34.95,18.36,0.21,0.05,654.52,0.5,2.0,0.09,65.0,25.0,17.0,23.0,23.53,14.0,N
3.0,0.0,0.0,2.5,6.0,0.32,11.0,0.56,33.88,39.58,0.45,0.03,2949.56,0.58,30.0,0.48,137.0,30.0,25.0,40.0,0.0,36.0,N
1.0,0.0,0.0,2.2,6.0,0.86,6.0,0.83,44.6,12.75,0.19,0.08,402.82,0.86,11.0,0.37,59.0,24.0,12.0,19.0,0.0,17.0,N
4.0,0.0,1.0,2.43,3.0,0.27,5.0,0.4,26.43,34.72,0.31,0.03,1770.39,0.45,17.0,0.31,86.0,27.0,25.0,35.0,3.33,29.0,N
1.0,0.0,0.0,2.6,1.0,0.11,9.0,1.0,19.04,26.67,0.17,0.04,752.29,1.0,13.0,0.43,59.0,15.0,20.0,21.0,0.0,19.0,N
4.0,1.0,1.0,2.17,2.0,0.25,4.0,0.43,15.74,26.13,0.14,0.04,596.81,0.5,13.0,0.3,50.0,12.0,19.0,27.0,9.09,21.0,N
4.0,1.0,1.0,2.17,2.0,0.25,4.0,0.43,15.74,26.13,0.14,0.04,596.81,0.5,13.0,0.3,50.0,12.0,19.0,27.0,9.09,21.0,N
26.0,3.0,13.0,2.0,1.0,0.25,1.0,0.0,98.24,22.84,0.75,0.04,2845.96,0.25,6.0,0.05,180.0,67.0,18.0,82.0,29.09,42.0,Y
32.0,6.0,10.0,2.15,4.0,0.27,1.0,0.0,63.05,32.2,0.68,0.03,3630.62,0.07,28.0,0.19,183.0,41.0,16.0,78.0,35.56,35.0,N
17.0,4.0,7.0,2.67,3.0,0.5,6.0,1.0,36.66,13.45,0.16,0.07,368.73,1.0,8.0,0.13,57.0,22.0,16.0,47.0,37.93,22.0,Y
21.0,4.0,7.0,2.0,4.0,0.57,1.0,0.0,55.22,19.68,0.36,0.05,1188.59,0.14,12.0,0.12,100.0,38.0,17.0,60.0,28.95,31.0,Y
9.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,52.01,14.66,0.25,0.07,620.65,0.5,2.0,0.06,71.0,32.0,14.0,33.0,13.04,20.0,Y
16.0,3.0,7.0,2.0,3.0,0.5,1.0,0.0,37.77,12.29,0.15,0.08,316.76,0.17,10.0,0.14,49.0,21.0,12.0,42.0,40.0,18.0,N
20.0,6.0,14.0,2.0,6.0,0.75,1.0,0.0,55.87,16.21,0.3,0.06,816.85,0.13,14.0,0.12,86.0,36.0,16.0,65.0,45.45,30.0,N
15.0,4.0,11.0,2.2,4.0,0.57,4.0,0.5,47.71,15.97,0.25,0.06,675.98,0.57,11.0,0.13,73.0,33.0,17.0,52.0,41.67,25.0,Y
16.0,0.0,9.0,2.0,1.0,0.25,1.0,0.0,24.0,22.5,0.18,0.04,675.0,0.25,6.0,0.1,57.0,17.0,15.0,39.0,40.91,13.0,N
5.0,0.0,0.0,2.0,1.0,0.5,1.0,0.0,11.42,6.67,0.03,0.15,28.2,0.5,2.0,0.2,10.0,6.0,8.0,10.0,0.0,4.0,N
5.0,0.0,0.0,2.0,1.0,0.33,1.0,0.0,7.53,10.0,0.03,0.1,41.82,0.33,4.0,0.23,11.0,4.0,8.0,13.0,0.0,7.0,N
16.0,4.0,11.0,2.2,4.0,0.57,4.0,0.5,47.71,15.97,0.25,0.06,675.98,0.57,11.0,0.13,73.0,33.0,17.0,52.0,42.86,24.0,Y
19.0,4.0,19.0,2.0,3.0,0.5,1.0,0.0,32.36,31.53,0.34,0.03,1787.55,0.17,10.0,0.1,93.0,30.0,22.0,63.0,53.49,24.0,N
18.0,4.0,11.0,2.5,2.0,0.29,4.0,0.5,33.36,14.26,0.16,0.07,376.87,0.57,10.0,0.15,49.0,23.0,16.0,48.0,51.72,18.0,Y
22.0,4.0,19.0,2.22,6.0,0.5,4.0,0.27,50.37,18.03,0.3,0.06,909.28,0.33,20.0,0.17,81.0,39.0,19.0,69.0,50.0,27.0,Y
12.0,1.0,14.0,2.0,2.0,1.0,1.0,0.0,33.92,9.38,0.11,0.11,165.63,0.5,2.0,0.05,37.0,20.0,15.0,37.0,62.5,10.0,N
6.0,0.0,8.0,2.0,2.0,1.0,1.0,0.0,28.99,5.54,0.05,0.18,49.4,0.5,2.0,0.1,20.0,13.0,9.0,20.0,61.54,5.0,N
20.0,4.0,17.0,2.25,5.0,0.83,1.0,0.0,55.47,8.07,0.15,0.12,200.63,0.17,9.0,0.11,47.0,29.0,13.0,57.0,58.33,19.0,Y
11.0,2.0,8.0,2.5,2.0,0.67,1.0,0.0,18.53,11.67,0.07,0.09,140.14,0.33,5.0,0.09,26.0,12.0,14.0,32.0,50.0,12.0,N
4.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,23.63,6.0,0.05,0.17,47.26,0.5,2.0,0.18,19.0,10.0,8.0,11.0,0.0,6.0,N
1.0,0.0,0.0,2.0,1.0,0.25,1.0,0.0,8.55,23.4,0.07,0.04,260.2,0.25,6.0,0.33,30.0,5.0,13.0,12.0,0.0,10.0,N
2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,25.27,11.39,0.1,0.09,182.23,0.5,2.0,0.11,33.0,14.0,11.0,18.0,0.0,15.0,N
1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.0,19.12,6.0,0.04,0.17,38.24,0.5,2.0,0.14,17.0,7.0,6.0,14.0,8.33,12.0,N
1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,22.15,6.4,0.05,0.16,50.41,0.5,2.0,0.15,18.0,10.0,8.0,13.0,0.0,11.0,N
1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,38.09,6.5,0.08,0.15,89.41,0.5,2.0,0.17,28.0,16.0,8.0,12.0,0.0,10.0,N
1.0,0.0,0.0,2.0,3.0,0.43,6.0,0.83,20.0,16.25,0.11,0.06,293.47,0.86,12.0,0.3,40.0,12.0,13.0,23.0,0.0,21.0,N
7.0,3.0,0.0,2.0,1.0,0.33,1.0,0.0,27.46,13.36,0.12,0.07,272.44,0.33,4.0,0.11,46.0,11.0,7.0,28.0,15.0,20.0,N
1.0,0.0,0.0,2.0,1.0,0.5,1.0,0.0,8.22,9.0,0.02,0.11,37.0,0.5,2.0,0.22,12.0,4.0,9.0,9.0,0.0,7.0,N
2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,11.6,10.0,0.04,0.1,64.44,0.5,2.0,0.18,17.0,6.0,10.0,11.0,0.0,8.0,N
1.0,0.0,0.0,2.0,1.0,0.5,1.0,0.0,26.51,7.13,0.06,0.14,74.76,0.5,2.0,0.13,24.0,12.0,9.0,15.0,0.0,13.0,N
4.0,0.0,0.0,2.0,1.0,0.5,1.0,0.0,14.8,8.56,0.04,0.12,60.2,0.5,2.0,0.18,17.0,9.0,14.0,11.0,0.0,6.0,N
6.0,0.0,0.0,2.33,4.0,0.8,3.0,0.5,21.3,21.76,0.15,0.05,560.61,0.6,7.0,0.14,52.0,17.0,20.0,35.0,0.0,28.0,N
1.0,0.0,0.0,2.0,1.0,0.33,1.0,0.0,11.62,9.75,0.04,0.1,61.37,0.33,4.0,0.33,16.0,6.0,9.0,9.0,0.0,7.0,N
39.0,4.0,32.0,2.0,6.0,1.0,1.0,0.0,44.55,25.33,0.38,0.04,1588.52,0.17,2.0,0.05,110.0,33.0,19.0,114.0,48.65,42.0,Y
40.0,5.0,23.0,2.6,11.0,0.65,17.0,1.0,56.67,17.49,0.33,0.06,962.62,1.0,26.0,0.14,105.0,35.0,18.0,118.0,36.36,54.0,N
28.0,5.0,23.0,2.0,5.0,1.0,1.0,0.0,99.95,11.96,0.4,0.08,794.31,0.2,8.0,0.06,108.0,50.0,13.0,89.0,46.67,37.0,Y
17.0,3.0,24.0,2.0,2.0,1.0,1.0,0.0,24.8,12.19,0.1,0.08,204.62,0.5,2.0,0.03,35.0,16.0,15.0,61.0,62.79,19.0,Y
29.0,4.0,13.0,2.33,6.0,0.67,5.0,0.5,39.96,20.3,0.27,0.05,914.8,0.56,7.0,0.1,85.0,30.0,21.0,89.0,32.68,39.0,N
10.0,2.0,13.0,2.0,1.0,0.5,1.0,0.0,54.15,14.62,0.26,0.07,643.48,0.5,2.0,0.04,79.0,24.0,9.0,45.0,44.12,21.0,Y
15.0,3.0,21.0,2.0,2.0,0.67,1.0,0.0,38.86,14.28,0.18,0.07,440.27,0.33,4.0,0.05,54.0,25.0,14.0,55.0,61.54,18.0,N
18.0,4.0,27.0,2.5,2.0,0.5,3.0,0.67,42.56,14.44,0.2,0.07,493.3,0.75,5.0,0.06,62.0,27.0,15.0,69.0,62.0,23.0,N
22.0,8.0,18.0,2.0,5.0,1.0,1.0,0.0,36.37,18.27,0.22,0.05,674.45,0.2,4.0,0.06,71.0,26.0,19.0,77.0,48.15,36.0,N
15.0,5.0,37.0,2.0,4.0,0.8,4.0,0.75,33.28,15.94,0.18,0.06,469.98,0.8,8.0,0.06,54.0,27.0,21.0,77.0,68.85,24.0,Y
14.0,4.0,19.0,3.0,2.0,0.67,3.0,1.0,34.91,12.87,0.15,0.08,321.21,1.0,3.0,0.06,48.0,23.0,16.0,51.0,63.89,17.0,Y
60.0,8.0,34.0,2.0,2.0,1.0,1.0,0.0,74.64,13.81,0.34,0.07,791.17,0.5,2.0,0.02,95.0,40.0,13.0,126.0,64.62,31.0,Y
33.0,12.0,23.0,2.67,8.0,0.8,5.0,0.44,48.11,16.19,0.26,0.06,700.96,0.5,8.0,0.1,80.0,36.0,22.0,102.0,51.47,45.0,N
30.0,7.0,27.0,2.0,5.0,0.45,7.0,0.6,58.55,21.92,0.43,0.05,1563.05,0.64,20.0,0.1,124.0,38.0,17.0,111.0,42.5,53.0,Y
3.0,4.0,3.0,2.0,3.0,0.75,1.0,0.0,38.31,13.54,0.17,0.07,390.05,0.25,6.0,0.13,52.0,27.0,17.0,32.0,25.0,25.0,Y
13.0,1.0,13.0,2.0,4.0,1.0,1.0,0.0,29.18,7.86,0.08,0.13,100.07,0.25,6.0,0.1,28.0,14.0,10.0,42.0,50.0,15.0,Y
11.0,1.0,20.0,2.38,3.0,0.25,11.0,0.91,80.39,13.95,0.37,0.07,869.46,0.92,19.0,0.12,96.0,53.0,17.0,97.0,24.71,65.0,Y
15.0,8.0,46.0,4.67,7.0,0.3,19.0,0.82,65.12,36.85,0.8,0.03,4913.93,0.83,84.0,0.18,210.0,51.0,21.0,125.0,49.54,63.0,Y
13.0,6.0,42.0,2.0,2.0,0.67,1.0,0.0,23.64,9.31,0.07,0.11,113.8,0.33,4.0,0.04,26.0,13.0,11.0,69.0,87.27,13.0,Y
4.0,0.0,0.0,3.0,2.0,0.67,3.0,1.0,27.43,7.86,0.07,0.13,94.06,1.0,3.0,0.18,25.0,14.0,10.0,17.0,0.0,12.0,N
3.0,0.0,0.0,2.0,1.0,0.5,1.0,0.0,13.83,11.25,0.05,0.09,97.24,0.5,2.0,0.2,21.0,8.0,12.0,10.0,0.0,6.0,N
3.0,2.0,0.0,2.0,2.0,0.67,3.0,1.0,26.3,10.45,0.09,0.1,159.56,1.0,2.0,0.04,30.0,20.0,19.0,80.0,11.11,18.0,N
7.0,7.0,12.0,2.15,6.0,0.38,11.0,0.67,33.74,35.21,0.4,0.03,2324.14,0.69,28.0,0.29,113.0,35.0,29.0,55.0,40.43,35.0,N
2.0,0.0,0.0,2.0,2.0,0.67,1.0,0.0,12.1,13.93,0.06,0.07,130.43,0.33,4.0,0.27,24.0,7.0,13.0,11.0,0.0,8.0,N
15.0,0.0,50.0,2.4,1.0,0.13,1.0,0.0,175.59,53.22,3.12,0.02,27633.67,0.13,12.0,0.03,665.0,121.0,20.0,256.0,20.83,190.0,N
14.0,3.0,10.0,2.33,2.0,0.4,3.0,0.5,22.72,18.75,0.14,0.05,443.81,0.6,7.0,0.13,46.0,16.0,15.0,40.0,52.0,15.0,N
6.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,22.46,9.0,0.07,0.11,101.06,0.5,2.0,0.13,25.0,13.0,13.0,15.0,25.0,8.0,N
6.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,22.46,9.0,0.07,0.11,101.06,0.5,2.0,0.13,25.0,13.0,13.0,15.0,25.0,8.0,N
7.0,1.0,6.0,2.0,2.0,1.0,1.0,0.0,20.84,3.94,0.03,0.25,17.95,0.5,2.0,0.1,12.0,8.0,7.0,20.0,58.33,6.0,N
36.0,12.0,24.0,2.2,8.0,0.62,6.0,0.42,75.71,19.73,0.5,0.05,1637.81,0.46,22.0,0.11,128.0,58.0,21.0,117.0,45.0,56.0,Y
17.0,5.0,10.0,2.0,4.0,0.8,1.0,0.0,37.97,14.77,0.19,0.07,460.14,0.2,8.0,0.1,56.0,26.0,16.0,51.0,45.45,23.0,N
1.0,17.0,0.0,2.13,1.0,0.1,8.0,0.78,31.42,46.06,0.48,0.02,3703.41,0.8,17.0,0.2,144.0,31.0,28.0,50.0,35.42,48.0,N
1.0,1.0,0.0,2.0,1.0,0.33,1.0,0.0,13.96,11.67,0.05,0.09,105.55,0.33,4.0,0.23,21.0,9.0,14.0,13.0,9.09,11.0,N
1.0,0.0,0.0,2.0,6.0,0.75,6.0,0.71,25.81,30.07,0.26,0.03,1296.2,0.75,14.0,0.26,80.0,22.0,21.0,31.0,0.0,29.0,N
2.0,0.0,0.0,2.5,7.0,1.0,4.0,0.5,14.04,29.36,0.14,0.03,672.39,0.57,10.0,0.44,50.0,11.0,19.0,16.0,0.0,13.0,N
3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,30.78,18.0,0.18,0.06,553.96,0.5,2.0,0.07,60.0,20.0,15.0,28.0,0.0,24.0,N
3.0,0.0,0.0,2.0,10.0,1.0,1.0,0.0,38.43,28.04,0.36,0.04,1678.86,0.1,12.0,0.21,98.0,37.0,25.0,47.0,0.0,43.0,N
2.0,0.0,0.0,3.0,5.0,1.0,4.0,0.75,23.94,16.5,0.13,0.06,362.08,0.8,6.0,0.22,46.0,16.0,16.0,23.0,0.0,20.0,N
1.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,14.62,9.17,0.04,0.11,68.23,0.33,4.0,0.25,16.0,9.0,11.0,12.0,0.0,10.0,N
5.0,0.0,0.0,2.07,10.0,0.59,10.0,0.56,90.42,13.0,0.39,0.08,848.95,0.59,31.0,0.44,105.0,47.0,13.0,39.0,0.0,33.0,N
1.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,24.0,4.67,0.04,0.21,29.04,0.33,4.0,0.27,16.0,9.0,7.0,11.0,0.0,9.0,N
4.0,0.0,0.0,2.08,23.0,0.85,19.0,0.69,88.96,33.0,0.98,0.03,5381.94,0.7,50.0,0.4,240.0,70.0,22.0,67.0,0.0,62.0,N
1.0,0.0,0.0,2.0,20.0,0.95,1.0,0.0,95.28,25.67,0.82,0.04,3487.31,0.05,40.0,0.37,198.0,72.0,21.0,57.0,0.0,55.0,N
3.0,0.0,0.0,2.0,10.0,1.0,5.0,0.44,43.84,22.75,0.33,0.04,1260.63,0.5,18.0,0.29,93.0,36.0,21.0,34.0,0.0,30.0,N
12.0,2.0,0.0,2.0,15.0,0.44,17.0,0.48,69.02,44.68,1.03,0.02,7653.27,0.5,34.0,0.33,267.0,79.0,39.0,102.0,2.25,89.0,N
3.0,0.0,2.0,2.45,7.0,0.35,12.0,0.58,25.89,66.86,0.58,0.01,6428.38,0.6,31.0,0.36,176.0,28.0,32.0,55.0,3.92,49.0,N
4.0,0.0,0.0,2.0,6.0,0.55,1.0,0.0,24.3,27.0,0.22,0.04,983.99,0.09,20.0,0.42,65.0,20.0,18.0,26.0,0.0,21.0,N
5.0,1.0,1.0,2.02,30.0,0.88,17.0,0.48,179.17,21.38,1.28,0.05,4547.89,0.5,65.0,0.35,305.0,108.0,19.0,98.0,2.17,91.0,N
1.0,0.0,0.0,2.11,8.0,0.57,6.0,0.38,57.83,26.49,0.51,0.04,2254.37,0.43,19.0,0.3,135.0,53.0,26.0,47.0,0.0,45.0,N
9.0,0.0,1.0,2.05,22.0,0.65,15.0,0.42,71.79,42.0,1.01,0.02,7035.46,0.44,41.0,0.34,261.0,72.0,32.0,99.0,1.12,88.0,N
3.0,0.0,0.0,2.13,8.0,0.8,3.0,0.22,48.13,38.75,0.62,0.03,4015.22,0.3,17.0,0.2,156.0,54.0,31.0,49.0,0.0,45.0,N
