@relation SelectedFeatures
@attribute CALL_PAIRS numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,0.0,10.0,2.0,0.17,1.0,1.0,3.0,8.78,1560.0,86.67,0.17,0.38,5.0,92.86,14.0,N
1.0,0.0,10.0,2.0,0.67,1.0,1.0,4.0,10.33,2563.7,142.43,0.17,0.38,6.0,92.86,14.0,N
10.0,0.0,6.0,2.33,0.8,3.0,6.0,8.0,43.37,25506.03,1417.0,0.6,0.11,13.0,85.37,41.0,N
10.0,0.0,6.0,2.33,0.8,3.0,6.0,9.0,45.29,27844.43,1546.91,0.6,0.11,13.0,85.37,41.0,N
1.0,0.0,12.0,2.0,0.71,7.0,4.0,5.0,11.55,14143.26,785.74,1.0,0.27,14.0,80.0,20.0,N
2.0,0.0,12.0,2.0,1.0,7.0,4.0,6.0,14.12,12076.68,670.93,1.0,0.26,13.0,80.0,20.0,N
2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,14.37,5158.22,286.57,0.5,0.13,11.0,83.33,10.0,N
2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,16.21,5341.28,296.74,0.5,0.12,11.0,83.33,10.0,N
2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,18.5,2341.67,130.09,0.5,0.11,9.0,85.71,12.0,N
2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,20.75,2722.81,151.27,0.5,0.11,9.0,85.71,12.0,N
8.0,0.0,8.0,2.25,0.67,3.0,4.0,5.0,28.97,24283.0,1349.06,0.5,0.16,16.0,87.88,33.0,N
9.0,0.0,8.0,2.25,0.83,3.0,4.0,6.0,32.25,24598.68,1366.59,0.5,0.16,15.0,87.88,33.0,N
3.0,0.0,4.0,2.0,0.67,1.0,2.0,4.0,16.72,3900.84,216.71,0.33,0.2,14.0,83.33,12.0,N
3.0,0.0,4.0,2.0,0.67,1.0,2.0,5.0,18.2,4515.95,250.89,0.33,0.2,14.0,83.33,12.0,N
4.0,0.0,4.0,2.0,0.67,1.0,1.0,4.0,19.31,1525.99,84.78,0.33,0.33,8.0,83.33,6.0,N
5.0,0.0,4.0,2.0,1.0,1.0,1.0,5.0,21.72,2001.56,111.2,0.33,0.33,8.0,83.33,6.0,N
4.0,0.0,8.0,2.25,0.67,4.0,2.0,7.0,18.65,7773.35,431.85,0.67,0.27,14.0,87.5,16.0,N
3.0,0.0,8.0,2.25,0.5,4.0,2.0,6.0,16.23,7252.56,402.92,0.67,0.27,15.0,87.5,16.0,N
0.0,0.0,2.0,3.0,0.33,3.0,2.0,4.0,12.51,4052.52,225.14,1.0,0.25,12.0,77.78,9.0,N
1.0,0.0,2.0,3.0,0.67,3.0,2.0,5.0,13.51,4318.2,239.9,1.0,0.25,13.0,77.78,9.0,N
3.0,0.0,4.0,2.0,1.0,1.0,4.0,3.0,15.13,6236.01,346.44,0.33,0.15,14.0,76.47,17.0,N
3.0,0.0,4.0,2.0,1.0,1.0,4.0,4.0,16.59,7314.07,406.34,0.33,0.15,14.0,76.47,17.0,N
2.0,0.0,4.0,2.0,0.67,1.0,1.0,3.0,10.57,1747.72,97.1,0.33,0.43,12.0,75.0,4.0,N
1.0,0.0,4.0,2.5,0.5,4.0,1.0,2.0,7.46,902.49,50.14,1.0,0.44,11.0,83.33,6.0,N
1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,6.75,299.82,16.66,0.5,0.4,8.0,50.0,2.0,N
1.0,0.0,6.0,2.0,0.5,3.0,3.0,4.0,9.49,1859.68,103.32,0.75,0.27,10.0,75.0,12.0,N
3.0,0.0,2.0,2.0,1.0,1.0,1.0,4.0,14.13,1038.11,57.67,0.5,0.22,8.0,80.0,5.0,N
4.0,0.0,4.0,2.5,0.75,3.0,4.0,7.0,23.28,6466.18,359.23,0.75,0.15,10.0,80.0,20.0,N
0.0,0.0,4.0,2.0,0.33,1.0,2.0,5.0,11.04,3925.09,218.06,0.33,0.18,12.0,85.71,14.0,N
3.0,3.0,10.0,2.0,0.33,5.0,3.0,7.0,17.87,10108.93,561.61,0.83,0.21,18.0,88.0,22.0,N
2.0,3.0,10.0,2.0,0.17,5.0,3.0,6.0,17.09,9471.05,526.17,0.83,0.21,17.0,88.0,22.0,N
2.0,4.0,10.0,2.2,0.14,7.0,3.0,5.0,15.01,10391.54,577.31,1.0,0.23,19.0,88.89,23.0,N
3.0,4.0,10.0,2.2,0.29,7.0,3.0,6.0,15.78,11025.26,612.51,1.0,0.23,20.0,88.89,23.0,N
5.0,0.0,2.0,2.0,1.0,1.0,1.0,5.0,29.37,2199.7,122.21,0.5,0.13,9.0,90.91,11.0,N
7.0,0.0,12.0,2.17,0.5,4.0,7.0,8.0,28.74,33446.1,1858.12,0.5,0.15,19.0,84.44,45.0,N
5.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,26.87,1087.97,60.44,0.5,0.15,7.0,87.5,7.0,N
6.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,25.37,3210.79,178.38,0.5,0.13,10.0,81.82,11.0,N
6.0,0.0,2.0,2.0,1.0,1.0,2.0,5.0,27.58,3430.95,190.61,0.5,0.13,10.0,81.82,11.0,N
3.0,0.0,2.0,2.0,1.0,1.0,3.0,5.0,23.84,8641.77,480.1,0.5,0.11,11.0,80.0,15.0,N
3.0,0.0,2.0,2.0,1.0,1.0,3.0,6.0,25.77,9942.83,552.38,0.5,0.1,11.0,82.35,17.0,N
1.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,10.24,321.21,17.85,0.5,0.33,7.0,66.67,3.0,N
1.0,0.0,2.0,2.0,1.0,1.0,1.0,4.0,12.69,349.69,19.43,0.5,0.29,7.0,66.67,3.0,N
0.0,0.0,2.0,2.0,0.5,1.0,2.0,2.0,7.69,1046.41,58.13,0.5,0.18,7.0,77.78,9.0,N
1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,9.45,1143.6,63.53,0.5,0.18,8.0,77.78,9.0,N
1.0,0.0,8.0,2.0,0.4,3.0,2.0,3.0,8.77,3333.86,185.21,0.6,0.36,13.0,80.0,10.0,N
2.0,0.0,8.0,2.0,1.0,3.0,2.0,4.0,10.38,3520.47,195.58,0.6,0.36,13.0,80.0,10.0,N
0.0,0.0,4.0,2.0,0.33,1.0,1.0,3.0,7.7,1403.51,77.97,0.33,0.38,9.0,80.0,5.0,N
1.0,0.0,4.0,2.0,0.67,1.0,1.0,4.0,8.53,1920.0,106.67,0.33,0.3,12.0,80.0,5.0,N
1.0,0.0,4.0,2.0,0.67,1.0,3.0,5.0,9.96,2423.05,134.61,0.33,0.19,12.0,75.0,12.0,N
0.0,0.0,4.0,2.0,0.33,1.0,3.0,4.0,9.59,1748.46,97.14,0.33,0.2,9.0,75.0,12.0,N
4.0,1.0,4.0,2.0,0.67,1.0,3.0,5.0,22.46,4653.68,258.54,0.33,0.12,13.0,85.71,20.0,N
3.0,1.0,4.0,2.0,0.67,1.0,3.0,4.0,19.43,5069.44,281.64,0.33,0.12,14.0,86.36,21.0,N
1.0,1.0,4.0,2.0,0.67,1.0,3.0,5.0,15.13,3381.36,187.85,0.33,0.14,13.0,82.35,16.0,N
0.0,1.0,4.0,2.0,0.33,1.0,3.0,4.0,14.37,3092.19,171.79,0.33,0.14,12.0,83.33,17.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,1.0,5.0,180.0,10.0,0.5,0.5,6.0,50.0,2.0,N
4.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,14.36,1002.86,55.71,0.33,0.5,9.0,75.0,4.0,N
0.0,0.0,6.0,2.0,0.25,4.0,2.0,2.0,5.74,2294.27,127.46,1.0,0.36,10.0,77.78,9.0,N
1.0,0.0,6.0,2.0,0.5,4.0,2.0,3.0,6.77,2574.0,143.0,1.0,0.33,12.0,77.78,9.0,N
2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,19.8,739.53,41.08,0.5,0.14,11.0,83.33,8.0,N
2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,19.8,739.53,41.08,0.5,0.14,11.0,83.33,8.0,N
7.0,6.0,4.0,2.0,1.0,1.0,1.0,3.0,24.08,3379.63,187.76,0.33,0.18,14.0,91.67,6.0,N
4.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,16.73,338.78,18.82,0.5,0.4,6.0,66.67,3.0,N
5.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,19.7,1340.75,74.49,0.5,0.22,11.0,75.0,4.0,N
2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,13.4,369.2,20.51,0.5,0.4,9.0,66.67,3.0,N
2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,13.4,369.2,20.51,0.5,0.4,9.0,66.67,3.0,N
2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,10.15,822.39,45.69,0.5,0.4,9.0,66.67,3.0,N
7.0,2.0,4.0,2.0,0.67,1.0,1.0,4.0,23.88,3824.79,212.49,0.33,0.2,15.0,88.89,7.0,N
5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,20.94,1401.55,77.86,0.5,0.17,10.0,87.5,6.0,N
4.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,19.35,755.8,41.99,0.5,0.22,10.0,80.0,5.0,N
4.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,19.45,1244.72,69.15,0.5,0.17,10.0,85.71,5.0,N
4.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,17.8,1796.26,99.79,0.33,0.25,13.0,85.71,5.0,N
6.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,11.09,177.52,9.86,0.5,0.25,6.0,83.33,4.0,N
7.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,13.22,414.45,23.02,1.0,0.38,8.0,83.33,4.0,N
1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,9.51,85.59,4.75,1.0,0.2,6.0,50.0,2.0,N
1.0,0.0,2.0,3.0,0.5,1.0,1.0,3.0,9.09,704.0,39.11,0.5,0.33,11.0,66.67,3.0,N
2.0,0.0,2.0,3.0,1.0,1.0,1.0,4.0,11.98,673.94,37.44,0.5,0.33,9.0,66.67,3.0,N
6.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,16.52,2090.73,116.15,1.0,0.3,12.0,75.0,8.0,N
5.0,4.0,6.0,2.0,0.5,1.0,1.0,3.0,19.61,4590.0,255.0,0.25,0.22,17.0,92.31,9.0,N
2.0,0.0,16.0,2.0,0.33,3.0,6.0,3.0,24.75,13091.58,727.31,0.33,0.2,15.0,85.0,40.0,N
4.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,20.22,1137.16,63.18,0.5,0.22,11.0,80.0,5.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,3.0,8.3,369.01,20.5,0.5,0.33,8.0,66.67,3.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,3.0,8.3,369.01,20.5,0.5,0.29,8.0,66.67,3.0,N
0.0,0.0,4.0,2.0,0.33,1.0,1.0,4.0,10.04,250.95,13.94,0.33,0.6,8.0,66.67,3.0,N
1.0,0.0,4.0,2.0,0.67,1.0,1.0,4.0,10.04,250.95,13.94,0.33,0.5,8.0,66.67,3.0,N
1.0,0.0,2.0,2.0,0.5,1.0,1.0,0.0,7.83,170.53,9.47,0.5,0.5,7.0,50.0,2.0,N
1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,8.24,206.05,11.45,0.5,0.25,6.0,66.67,6.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,1.0,7.19,582.53,32.36,0.5,0.33,12.0,75.0,4.0,N
2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,9.25,201.53,11.2,0.5,0.5,7.0,50.0,2.0,N
2.0,0.0,6.0,2.0,0.5,1.0,1.0,1.0,17.95,1133.07,62.95,0.25,0.57,11.0,80.0,5.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,3.0,7.83,170.53,9.47,0.5,0.5,7.0,50.0,2.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,3.0,9.87,312.22,17.35,0.5,0.4,9.0,66.67,3.0,N
3.0,4.0,8.0,2.0,1.0,5.0,4.0,2.0,18.2,3567.06,198.17,1.0,0.21,16.0,80.0,16.0,N
4.0,1.0,6.0,3.0,0.71,7.0,5.0,2.0,16.67,15468.34,859.35,1.0,0.19,22.0,85.29,33.0,N
0.0,0.0,2.0,3.0,0.33,3.0,1.0,3.0,6.92,442.81,24.6,1.0,0.5,8.0,75.0,4.0,N
1.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,13.18,1573.71,87.43,0.5,0.14,9.0,77.78,9.0,N
1.0,0.0,2.0,2.0,1.0,1.0,2.0,5.0,15.3,1747.39,97.08,0.5,0.13,9.0,77.78,9.0,N
3.0,1.0,8.0,2.0,1.0,5.0,4.0,2.0,20.76,2198.48,122.14,1.0,0.24,13.0,76.47,16.0,N
3.0,1.0,6.0,2.0,1.0,4.0,2.0,2.0,17.33,1203.58,66.87,1.0,0.31,10.0,77.78,8.0,N
1.0,0.0,4.0,2.0,0.67,3.0,2.0,4.0,11.78,990.0,55.0,1.0,0.25,10.0,77.78,9.0,N
2.0,0.0,4.0,2.0,0.67,3.0,2.0,5.0,15.91,1050.3,58.35,1.0,0.23,10.0,77.78,9.0,N
1.0,0.0,2.0,3.0,0.67,3.0,1.0,3.0,6.29,629.07,34.95,1.0,0.6,10.0,66.67,3.0,N
4.0,2.0,10.0,2.0,0.67,5.0,4.0,2.0,20.12,4037.5,224.31,0.83,0.26,17.0,78.95,17.0,N
4.0,2.0,8.0,2.0,1.0,4.0,2.0,2.0,17.27,2591.12,143.95,0.8,0.33,14.0,81.82,9.0,N
4.0,0.0,6.0,2.0,1.0,4.0,2.0,2.0,14.35,3100.35,172.24,1.0,0.29,14.0,81.82,11.0,N
5.0,0.0,6.0,2.0,0.5,3.0,3.0,2.0,14.77,7985.96,443.66,0.75,0.22,18.0,80.0,15.0,N
4.0,0.0,6.0,2.0,1.0,4.0,2.0,2.0,12.52,4237.92,235.44,1.0,0.29,16.0,81.82,11.0,N
2.0,0.0,2.0,2.0,0.5,1.0,1.0,1.0,12.14,345.2,19.18,0.5,0.33,8.0,75.0,4.0,N
1.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,7.26,322.88,17.94,0.5,0.4,8.0,66.67,3.0,N
1.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,7.78,221.4,12.3,0.5,0.5,8.0,50.0,2.0,N
1.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,9.75,380.74,21.15,0.5,0.4,10.0,66.67,3.0,N
1.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,11.76,1380.58,76.7,0.5,0.29,13.0,80.0,5.0,N
5.0,2.0,8.0,2.0,0.8,4.0,3.0,3.0,18.05,4242.98,235.72,0.8,0.2,12.0,86.96,21.0,N
7.0,8.0,4.0,2.0,0.67,1.0,2.0,3.0,14.33,8955.08,497.5,0.33,0.1,20.0,92.0,17.0,N
0.0,0.0,6.0,2.33,0.2,4.0,2.0,4.0,9.49,2678.11,148.78,0.8,0.36,12.0,81.82,11.0,N
1.0,0.0,6.0,2.33,0.6,4.0,2.0,5.0,11.21,2868.91,159.38,0.8,0.36,12.0,81.82,11.0,N
3.0,0.0,2.0,3.0,0.67,1.0,1.0,3.0,11.72,949.37,52.74,0.33,0.38,9.0,75.0,4.0,N
3.0,0.0,2.0,3.0,0.67,1.0,1.0,4.0,13.88,969.43,53.86,0.33,0.38,9.0,75.0,4.0,N
6.0,2.0,4.0,2.5,1.0,3.0,1.0,4.0,24.49,2792.65,155.15,0.75,0.31,13.0,85.71,5.0,N
1.0,0.0,2.0,2.0,0.33,1.0,2.0,3.0,24.17,2529.6,140.53,0.17,0.27,14.0,89.47,19.0,N
2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,9.0,100.0,5.56,0.5,0.5,5.0,50.0,2.0,N
0.0,0.0,2.0,3.0,0.5,1.0,1.0,1.0,9.0,100.0,5.56,0.5,0.5,5.0,50.0,2.0,N
1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,11.24,179.89,9.99,1.0,0.25,8.0,50.0,2.0,N
1.0,0.0,6.0,2.0,0.25,1.0,1.0,1.0,16.48,1121.45,62.3,0.25,0.57,11.0,80.0,5.0,N
1.0,0.0,6.0,2.0,0.25,1.0,1.0,1.0,17.74,1332.34,74.02,0.25,0.57,12.0,80.0,5.0,N
0.0,0.0,2.0,3.0,0.5,1.0,1.0,1.0,7.92,126.8,7.04,0.5,0.5,6.0,50.0,2.0,N
1.0,0.0,4.0,2.0,0.33,1.0,1.0,1.0,15.9,656.91,36.5,0.33,0.5,10.0,75.0,4.0,N
1.0,0.0,2.0,2.0,0.5,1.0,1.0,1.0,21.78,797.21,44.29,0.5,0.4,11.0,66.67,3.0,N
1.0,0.0,8.0,2.5,0.5,5.0,2.0,5.0,13.32,2505.06,139.17,0.83,0.55,12.0,71.43,7.0,N
3.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,11.98,673.94,37.44,0.5,0.33,9.0,75.0,4.0,N
3.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,14.14,707.14,39.29,0.5,0.29,9.0,75.0,4.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,6.18,154.4,8.58,0.5,0.29,5.0,80.0,5.0,N
1.0,0.0,2.0,2.0,0.5,1.0,1.0,3.0,6.97,174.35,9.69,0.5,0.5,6.0,50.0,2.0,N
0.0,0.0,6.0,2.0,0.25,1.0,1.0,2.0,5.1,2073.1,115.17,0.25,0.5,11.0,83.33,6.0,N
1.0,0.0,6.0,2.0,0.5,1.0,1.0,3.0,6.44,2088.0,116.0,0.25,0.44,12.0,83.33,6.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,5.05,126.33,7.02,0.5,0.5,5.0,50.0,2.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,5.05,126.33,7.02,0.5,0.5,5.0,50.0,2.0,N
1.0,0.0,4.0,2.5,0.25,3.0,2.0,5.0,10.84,3676.94,204.27,0.75,0.31,13.0,77.78,9.0,N
2.0,0.0,4.0,2.5,0.5,3.0,2.0,6.0,13.49,3211.43,178.41,0.75,0.31,12.0,77.78,9.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,6.18,154.4,8.58,0.5,0.29,5.0,80.0,5.0,N
1.0,0.0,2.0,2.0,0.5,1.0,1.0,3.0,6.97,174.35,9.69,0.5,0.5,6.0,50.0,2.0,N
0.0,0.0,6.0,2.0,0.25,1.0,1.0,2.0,5.1,2073.1,115.17,0.25,0.5,11.0,83.33,6.0,N
1.0,0.0,6.0,2.0,0.5,1.0,1.0,3.0,6.44,2088.0,116.0,0.25,0.44,12.0,83.33,6.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,5.05,126.33,7.02,0.5,0.5,5.0,50.0,2.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,5.05,126.33,7.02,0.5,0.5,5.0,50.0,2.0,N
0.0,0.0,2.0,3.0,0.33,3.0,2.0,3.0,8.11,1027.99,57.11,1.0,0.25,10.0,75.0,8.0,N
1.0,0.0,2.0,3.0,0.67,3.0,2.0,4.0,10.16,1015.79,56.43,1.0,0.23,10.0,75.0,8.0,N
2.0,1.0,10.0,2.0,0.5,5.0,4.0,2.0,13.94,8711.43,483.97,0.83,0.21,15.0,84.62,25.0,N
3.0,1.0,10.0,2.0,0.83,5.0,4.0,3.0,17.18,7433.12,412.95,0.83,0.21,13.0,84.62,25.0,N
2.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,10.99,449.97,25.0,0.5,0.33,8.0,66.67,3.0,N
2.0,0.0,2.0,2.0,1.0,1.0,1.0,4.0,13.33,479.73,26.65,0.5,0.33,8.0,66.67,3.0,N
0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,8.0,72.0,4.0,1.0,0.25,6.0,50.0,2.0,N
2.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,14.8,181.32,10.07,0.5,0.33,7.0,50.0,2.0,N
2.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,14.8,181.32,10.07,0.5,0.33,7.0,50.0,2.0,N
0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,8.0,72.0,4.0,1.0,0.25,6.0,50.0,2.0,N
0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,8.0,72.0,4.0,1.0,0.25,6.0,50.0,2.0,N
3.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,16.32,432.0,24.0,0.5,0.33,9.0,75.0,4.0,N
3.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,14.31,729.9,40.55,0.33,0.6,10.0,66.67,3.0,N
6.0,0.0,2.0,2.0,0.5,1.0,2.0,2.0,20.4,8723.93,484.66,0.5,0.11,13.0,87.5,16.0,N
1.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,12.29,150.57,8.36,0.5,0.33,7.0,50.0,2.0,N
2.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,14.8,181.32,10.07,0.5,0.33,7.0,50.0,2.0,N
2.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,14.8,181.32,10.07,0.5,0.33,7.0,50.0,2.0,N
5.0,0.0,10.0,2.0,1.0,1.0,1.0,2.0,11.99,11475.71,637.54,0.17,0.43,15.0,90.91,11.0,N
2.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,14.8,181.32,10.07,0.5,0.33,7.0,50.0,2.0,N
2.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,14.8,181.32,10.07,0.5,0.33,7.0,50.0,2.0,N
0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,8.0,72.0,4.0,1.0,0.25,6.0,50.0,2.0,N
0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,8.0,72.0,4.0,1.0,0.25,6.0,50.0,2.0,N
13.0,2.0,6.0,2.0,1.0,1.0,4.0,1.0,25.76,6132.21,340.68,0.25,0.18,16.0,80.0,18.0,N
