@relation SelectedFeatures
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
6.0,0.0,1.0,4.0,2.0,1.0,0.0,64.76,5.25,1785.31,99.18,0.11,4.17,N
2.0,0.0,5.0,4.0,2.0,1.0,0.0,19.56,4.5,396.0,22.0,0.18,35.71,N
2.0,0.0,0.0,18.0,2.0,0.6,0.0,45.5,17.38,13744.03,763.56,0.26,0.0,N
1.0,0.0,2.0,14.0,2.0,0.25,1.0,72.3,5.69,2338.69,129.93,0.15,4.44,N
4.0,0.0,4.0,4.0,2.0,1.0,3.0,23.2,12.5,3624.82,201.38,0.12,20.0,N
2.0,0.0,1.0,2.0,2.0,1.0,0.0,16.73,3.0,150.57,8.36,0.25,16.67,N
2.0,0.0,4.0,2.0,2.0,1.0,2.0,19.51,8.0,1248.64,69.37,0.13,30.77,N
2.0,0.0,5.0,4.0,2.0,0.67,0.0,14.4,11.88,2030.23,112.79,0.19,41.67,N
5.0,0.0,0.0,6.0,2.0,1.0,0.0,57.87,13.1,9925.73,551.43,0.11,0.0,N
9.0,0.0,1.0,6.0,2.33,0.8,1.0,53.95,20.13,21852.33,1214.02,0.1,2.38,N
3.0,0.0,0.0,2.0,2.0,1.0,1.0,21.19,3.21,218.94,12.16,0.33,0.0,N
4.0,0.0,12.0,12.0,2.17,0.5,4.0,26.74,14.93,5958.66,331.04,0.17,31.58,N
9.0,0.0,3.0,2.0,2.0,1.0,0.0,49.05,14.86,10838.14,602.12,0.1,7.32,N
10.0,0.0,8.0,16.0,2.38,0.75,1.0,72.52,16.2,19033.06,1057.39,0.16,14.04,N
2.0,0.0,3.0,4.0,2.0,0.67,0.0,22.75,10.62,2563.41,142.41,0.13,16.67,N
3.0,0.0,15.0,4.0,2.0,1.0,2.0,26.1,10.71,2996.6,166.48,0.07,44.12,N
3.0,0.0,6.0,4.0,2.0,1.0,2.0,37.53,5.5,1135.41,63.08,0.11,27.27,N
1.0,0.0,0.0,2.0,2.0,1.0,0.0,18.45,3.75,259.45,14.41,0.18,0.0,N
10.0,0.0,5.0,24.0,2.42,0.67,3.0,81.86,19.83,32200.08,1788.89,0.22,7.25,N
13.0,0.0,18.0,34.0,2.24,0.77,2.0,97.4,18.49,33283.94,1849.11,0.19,18.37,N
5.0,0.0,5.0,14.0,2.14,0.75,0.0,57.39,28.0,44996.99,2499.83,0.14,6.76,N
4.0,0.0,6.0,10.0,2.2,0.86,0.0,32.88,10.95,3941.05,218.95,0.19,19.35,N
3.0,0.0,13.0,2.0,5.0,0.4,1.0,20.85,5.0,521.24,28.96,0.19,59.09,N
12.0,0.0,6.0,12.0,2.33,0.89,0.0,86.51,10.16,8923.89,495.77,0.15,13.04,N
6.0,0.0,5.0,2.0,2.0,1.0,0.0,56.22,3.44,664.34,36.91,0.08,27.78,N
2.0,0.0,2.0,2.0,2.0,1.0,0.0,25.03,4.9,600.86,33.38,0.14,18.18,N
2.0,0.0,1.0,2.0,2.0,1.0,0.0,30.84,4.96,758.26,42.13,0.15,10.0,N
24.0,0.0,11.0,14.0,2.0,1.0,2.0,175.1,7.86,10809.44,600.52,0.11,16.67,Y
16.0,0.0,1.0,4.0,2.0,1.0,1.0,64.91,25.17,41124.72,2284.71,0.25,1.67,N
7.0,0.0,0.0,2.0,2.0,1.0,0.0,36.77,10.91,4375.94,243.11,0.27,0.0,N
18.0,0.0,2.0,4.0,2.0,1.0,1.0,68.39,20.75,29446.21,1635.9,0.22,3.03,N
23.0,0.0,15.0,18.0,2.11,1.0,1.0,79.98,26.99,58239.35,3235.52,0.22,16.3,Y
22.0,0.0,2.0,6.0,2.0,1.0,1.0,71.63,20.1,28928.56,1607.14,0.23,2.9,N
17.0,0.0,3.0,14.0,2.29,1.0,1.0,65.75,18.88,23432.15,1301.79,0.2,5.08,Y
2.0,0.0,2.0,2.0,2.0,1.0,0.0,18.91,5.5,572.0,31.78,0.14,16.67,N
4.0,0.0,6.0,2.0,2.0,1.0,0.0,34.65,11.83,4846.19,269.23,0.12,17.14,N
9.0,0.0,8.0,18.0,2.89,0.44,1.0,76.37,23.23,41194.43,2288.58,0.22,11.59,N
2.0,0.0,0.0,2.0,2.0,1.0,0.0,18.23,3.86,271.19,15.07,0.18,0.0,N
14.0,0.0,13.0,14.0,2.0,0.75,1.0,68.82,37.89,98831.96,5490.66,0.07,14.44,N
15.0,0.0,3.0,4.0,2.0,1.0,2.0,102.19,6.63,4493.95,249.66,0.1,9.68,N
4.0,0.0,0.0,4.0,2.0,1.0,0.0,30.45,4.62,648.71,36.04,0.21,0.0,N
6.0,0.0,1.0,14.0,2.29,0.9,0.0,49.95,12.36,7636.01,424.22,0.26,3.03,N
5.0,0.0,0.0,4.0,2.0,1.0,0.0,31.91,7.6,1842.99,102.39,0.21,0.0,N
3.0,1.0,9.0,6.0,3.0,0.86,1.0,60.63,12.22,9057.37,503.19,0.17,26.32,N
12.0,0.0,8.0,26.0,2.31,0.61,4.0,57.99,24.52,34868.47,1937.14,0.19,10.13,Y
10.0,0.0,3.0,2.0,2.0,1.0,0.0,67.54,3.24,706.95,39.28,0.08,15.79,N
9.0,0.0,4.0,2.0,2.0,1.0,3.0,54.05,10.16,5580.43,310.02,0.07,16.67,N
3.0,0.0,1.0,2.0,2.0,1.0,2.0,25.16,2.5,157.27,8.74,0.25,14.29,N
10.0,0.0,4.0,4.0,2.0,1.0,0.0,74.01,4.08,1234.01,68.56,0.11,18.18,N
12.0,0.0,13.0,8.0,2.25,0.83,3.0,65.03,12.77,10600.85,588.94,0.1,26.53,N
0.0,0.0,2.0,6.0,2.33,0.2,2.0,11.6,19.69,4495.15,249.73,0.36,15.38,N
1.0,0.0,1.0,2.0,2.0,0.5,2.0,14.32,7.71,852.01,47.33,0.15,9.09,N
1.0,0.0,4.0,8.0,2.0,0.4,0.0,17.84,14.5,3750.38,208.35,0.24,22.22,N
13.0,0.0,7.0,4.0,2.0,1.0,2.0,73.59,5.95,2602.12,144.56,0.11,21.88,N
1.0,0.0,1.0,4.0,2.0,0.33,0.0,16.29,15.11,3719.21,206.62,0.2,7.69,N
15.0,0.0,4.0,2.0,2.0,1.0,0.0,58.74,23.3,31875.39,1770.86,0.18,7.02,N
3.0,0.0,5.0,2.0,2.0,1.0,2.0,19.14,7.0,937.86,52.1,0.13,45.45,N
2.0,16.0,0.0,2.0,2.0,1.0,0.0,103.2,5.62,3260.81,181.16,0.07,64.0,N
2.0,16.0,0.0,2.0,2.0,1.0,0.0,95.59,5.98,3422.92,190.16,0.07,64.0,N
2.0,0.0,5.0,2.0,2.0,1.0,2.0,15.07,9.75,1432.72,79.6,0.1,29.41,N
2.0,16.0,0.0,2.0,2.0,1.0,1.0,103.2,5.62,3260.81,181.16,0.07,64.0,N
2.0,0.0,8.0,10.0,2.0,0.5,1.0,22.99,18.44,7817.84,434.32,0.18,28.57,N
2.0,0.0,14.0,4.0,3.5,0.88,0.0,17.7,12.6,2809.44,156.08,0.28,56.0,N
3.0,0.0,9.0,18.0,2.33,0.46,0.0,54.51,25.0,34070.5,1892.81,0.24,18.75,N
17.0,0.0,5.0,4.0,2.0,1.0,2.0,97.47,5.66,3119.36,173.3,0.1,15.15,N
6.0,0.0,3.0,6.0,2.0,1.0,0.0,37.56,11.33,4824.95,268.05,0.19,9.68,N
0.0,0.0,0.0,6.0,2.0,0.25,0.0,12.76,29.25,10920.4,606.69,0.29,0.0,N
1.0,0.0,5.0,2.0,3.0,0.67,1.0,6.37,9.0,516.23,28.68,0.23,50.0,N
2.0,0.0,3.0,2.0,2.0,0.5,3.0,13.45,9.0,1089.13,60.51,0.14,30.0,N
1.0,0.0,2.0,2.0,2.0,0.5,1.0,11.47,5.0,286.8,15.93,0.15,22.22,N
3.0,0.0,1.0,6.0,2.0,0.75,1.0,18.89,9.82,1820.94,101.16,0.2,6.25,N
7.0,0.0,6.0,4.0,2.0,1.0,2.0,38.07,9.14,3182.29,176.79,0.09,26.09,N
4.0,0.0,4.0,4.0,2.0,1.0,2.0,42.23,6.94,2036.45,113.14,0.15,25.0,N
0.0,0.0,1.0,2.0,2.0,0.5,0.0,14.17,3.75,199.32,11.07,0.17,10.0,N
0.0,0.0,1.0,2.0,2.0,0.5,0.0,14.17,3.75,199.32,11.07,0.17,10.0,N
4.0,0.0,3.0,2.0,2.0,1.0,2.0,25.81,7.08,1295.09,71.95,0.1,18.75,N
0.0,0.0,1.0,2.0,2.0,0.5,0.0,14.17,3.75,199.32,11.07,0.17,10.0,N
0.0,0.0,1.0,2.0,2.0,0.5,0.0,14.17,3.75,199.32,11.07,0.17,10.0,N
3.0,0.0,4.0,6.0,2.0,1.0,2.0,21.23,5.5,642.17,35.68,0.19,23.53,N
3.0,0.0,21.0,2.0,2.0,0.5,4.0,23.74,8.88,1873.84,104.1,0.05,65.63,N
3.0,0.0,4.0,6.0,2.0,0.5,3.0,33.33,7.33,1792.43,99.58,0.15,20.0,N
6.0,0.0,8.0,18.0,2.67,0.56,0.0,80.38,11.1,9899.11,549.95,0.21,12.9,N
4.0,0.0,5.0,14.0,2.29,0.56,0.0,58.47,12.71,9443.41,524.63,0.17,11.9,N
2.0,0.0,5.0,8.0,2.25,0.6,0.0,16.09,18.42,5457.54,303.2,0.17,20.83,N
8.0,0.0,14.0,6.0,2.0,1.0,0.0,83.78,8.05,5422.96,301.28,0.07,29.79,N
5.0,0.0,4.0,6.0,2.33,0.8,1.0,40.48,7.2,2098.65,116.59,0.21,21.05,N
10.0,0.0,11.0,20.0,2.5,0.63,0.0,71.74,17.83,22807.44,1267.08,0.19,15.71,Y
11.0,0.0,33.0,16.0,2.88,0.5,0.0,74.18,20.79,32071.97,1781.78,0.13,33.33,Y
2.0,0.0,6.0,2.0,4.0,0.5,0.0,24.24,11.7,3318.52,184.36,0.18,33.33,N
14.0,0.0,4.0,24.0,2.33,0.65,0.0,122.45,14.22,24755.65,1375.31,0.2,5.88,Y
6.0,0.0,5.0,2.0,2.0,1.0,0.0,39.16,9.04,3202.49,177.92,0.11,17.24,N
9.0,1.0,32.0,20.0,2.6,0.5,3.0,72.95,17.37,22006.83,1222.6,0.13,33.33,Y
12.0,0.0,17.0,12.0,2.5,0.58,0.0,55.49,25.96,37407.34,2078.19,0.12,22.97,Y
7.0,0.0,7.0,6.0,2.0,1.0,0.0,63.77,9.82,6146.88,341.49,0.07,21.21,N
13.0,1.0,16.0,14.0,2.29,0.79,0.0,99.15,21.29,44929.28,2496.07,0.11,17.17,N
10.0,0.0,6.0,4.0,2.0,1.0,0.0,88.39,4.9,2125.07,118.06,0.08,23.08,N
4.0,0.0,5.0,10.0,2.4,0.44,0.0,18.35,26.0,12402.61,689.03,0.21,14.71,N
2.0,0.0,3.0,12.0,2.0,0.33,0.0,17.38,36.0,22527.81,1251.55,0.18,7.89,N
1.0,0.0,11.0,4.0,2.0,0.33,0.0,27.93,10.5,3079.11,171.06,0.09,37.93,N
5.0,0.0,2.0,2.0,2.0,1.0,0.0,64.34,4.45,1276.77,70.93,0.07,9.52,N
2.0,0.0,1.0,2.0,3.0,0.67,0.0,35.86,9.9,3514.5,195.25,0.14,5.56,N
3.0,0.0,0.0,6.0,2.0,1.0,0.0,55.61,6.0,2002.01,111.22,0.16,0.0,N
4.0,0.0,0.0,6.0,2.0,0.75,0.0,30.19,5.92,1059.13,58.84,0.27,0.0,N
4.0,0.0,0.0,6.0,2.0,0.75,0.0,30.19,5.92,1059.13,58.84,0.27,0.0,Y
7.0,0.0,19.0,14.0,2.0,0.88,0.0,45.71,22.46,23055.47,1280.86,0.09,26.76,N
4.0,0.0,10.0,2.0,3.0,0.67,0.0,61.4,11.09,7552.8,419.6,0.08,37.04,N
9.0,0.0,18.0,18.0,2.11,0.86,1.0,81.53,17.98,26360.63,1464.48,0.13,22.22,Y
14.0,0.0,11.0,16.0,2.5,0.77,0.0,95.37,13.19,16603.31,922.41,0.17,17.46,Y
10.0,0.0,13.0,6.0,2.67,0.83,0.0,67.17,16.45,18176.24,1009.79,0.08,22.81,N
2.0,0.0,0.0,6.0,2.0,0.5,0.0,37.82,4.0,605.07,33.61,0.36,0.0,N
14.0,0.0,11.0,16.0,2.38,0.75,0.0,91.36,12.65,14630.58,812.81,0.17,19.64,Y
6.0,0.0,3.0,8.0,2.5,0.86,0.0,35.25,8.8,2730.02,151.67,0.3,15.0,N
6.0,0.0,3.0,8.0,2.5,0.86,0.0,35.45,11.0,4288.91,238.27,0.29,14.29,N
2.0,0.0,0.0,6.0,2.33,0.6,0.0,27.02,8.8,2092.15,116.23,0.22,0.0,N
1.0,0.0,0.0,6.0,2.0,0.5,0.0,31.93,5.45,949.99,52.78,0.36,0.0,Y
4.0,0.0,3.0,4.0,2.5,1.0,0.0,51.04,5.73,1674.07,93.0,0.18,18.75,N
5.0,0.0,2.0,2.0,2.0,1.0,1.0,33.46,3.0,301.14,16.73,0.12,15.38,N
6.0,0.0,2.0,2.0,2.0,1.0,1.0,46.71,4.07,774.24,43.01,0.1,13.33,N
8.0,0.0,4.0,8.0,2.5,1.0,0.0,55.38,6.67,2461.38,136.74,0.23,17.39,N
9.0,0.0,2.0,4.0,3.5,1.0,0.0,51.96,4.32,971.34,53.96,0.46,16.67,N
4.0,0.0,2.0,6.0,2.67,0.67,0.0,29.7,11.28,3778.06,209.89,0.22,9.09,N
4.0,0.0,0.0,6.0,2.0,0.75,0.0,25.93,5.5,784.43,43.58,0.27,0.0,N
4.0,0.0,0.0,6.0,2.0,0.75,0.0,27.49,6.42,1132.02,62.89,0.27,0.0,N
6.0,0.0,3.0,4.0,2.0,1.0,1.0,44.88,14.4,9306.1,517.01,0.08,9.09,N
5.0,0.0,1.0,2.0,4.0,0.5,0.0,29.41,7.6,1698.45,94.36,0.31,10.0,N
5.0,0.0,1.0,2.0,4.0,0.5,0.0,27.77,6.77,1272.5,70.69,0.31,10.0,N
5.0,0.0,1.0,2.0,4.0,0.5,0.0,29.41,7.6,1698.45,94.36,0.31,10.0,Y
5.0,0.0,1.0,2.0,4.0,0.5,0.0,29.41,7.6,1698.45,94.36,0.31,10.0,N
2.0,0.0,5.0,4.0,2.0,0.67,2.0,35.26,21.24,15905.03,883.61,0.07,15.63,N
2.0,0.0,0.0,2.0,2.0,1.0,0.0,26.83,6.92,1285.99,71.44,0.11,0.0,N
7.0,8.0,42.0,10.0,2.0,0.83,1.0,46.28,18.53,15888.57,882.7,0.05,55.56,N
10.0,0.0,4.0,4.0,2.0,1.0,1.0,63.45,13.77,12025.31,668.07,0.05,7.69,N
2.0,0.0,6.0,2.0,5.0,0.6,1.0,18.8,4.57,392.92,21.83,0.29,40.0,N
4.0,0.0,10.0,12.0,2.33,0.33,0.0,52.98,20.54,22355.6,1241.98,0.17,24.39,N
7.0,0.0,17.0,6.0,2.0,0.31,1.0,60.97,25.55,39787.9,2210.44,0.19,25.37,N
2.0,0.0,0.0,2.0,2.0,1.0,3.0,22.64,5.73,742.59,41.25,0.17,0.0,N
7.0,3.0,7.0,4.0,2.0,1.0,2.0,58.61,15.28,13683.04,760.17,0.05,18.52,N
10.0,0.0,12.0,30.0,2.07,0.17,0.0,68.92,17.87,22020.91,1223.38,0.18,15.38,N
3.0,0.0,8.0,2.0,2.0,1.0,0.0,58.69,8.6,4341.04,241.17,0.09,47.06,N
5.0,0.0,10.0,16.0,2.0,0.56,6.0,55.05,13.19,9577.07,532.06,0.17,22.22,N
1.0,0.0,1.0,2.0,2.0,1.0,3.0,12.26,7.33,659.44,36.64,0.25,14.29,N
2.0,0.0,5.0,8.0,2.0,0.16,1.0,49.79,27.19,36801.7,2044.54,0.35,10.42,N
3.0,0.0,5.0,12.0,2.0,0.11,2.0,54.41,25.41,35137.98,1952.11,0.17,11.11,N
4.0,0.0,4.0,2.0,2.0,1.0,0.0,44.39,4.76,1007.83,55.99,0.1,22.22,N
0.0,0.0,0.0,2.0,2.0,0.5,1.0,8.43,5.33,239.85,13.33,0.4,0.0,N
12.0,0.0,16.0,12.0,2.17,0.78,2.0,66.78,20.93,29266.83,1625.93,0.12,24.24,N
3.0,0.0,11.0,4.0,3.0,0.6,2.0,21.66,18.0,7016.86,389.83,0.15,37.93,N
1.0,0.0,0.0,2.0,2.0,1.0,2.0,9.25,7.2,479.58,26.64,0.29,0.0,N
1.0,0.0,2.0,2.0,2.0,1.0,1.0,15.29,7.22,797.67,44.31,0.15,18.18,N
11.0,0.0,13.0,18.0,2.11,0.75,2.0,52.09,23.52,28823.57,1601.31,0.14,18.31,N
1.0,0.0,4.0,4.0,2.0,0.67,3.0,11.63,17.0,3360.12,186.67,0.15,23.53,N
14.0,0.0,12.0,8.0,2.0,1.0,2.0,51.19,16.75,14362.03,797.89,0.1,23.08,N
8.0,0.0,13.0,12.0,2.33,0.7,2.0,45.15,21.11,20115.78,1117.54,0.15,23.64,N
6.0,0.0,18.0,4.0,2.0,1.0,2.0,34.08,11.19,4270.38,237.24,0.06,43.9,N
0.0,0.0,1.0,2.0,2.0,0.5,0.0,16.37,10.5,1806.0,100.33,0.17,9.09,N
3.0,0.0,3.0,2.0,2.0,1.0,0.0,47.29,17.18,13960.02,775.56,0.05,11.11,N
1.0,0.0,0.0,2.0,2.0,1.0,1.0,51.65,15.24,11992.27,666.24,0.08,0.0,N
3.0,0.0,3.0,2.0,2.0,1.0,2.0,35.54,10.17,3679.85,204.44,0.07,12.5,N
0.0,0.0,6.0,4.0,2.0,0.33,2.0,10.63,11.92,1509.98,83.89,0.15,40.0,N
6.0,0.0,7.0,6.0,2.0,1.0,2.0,76.51,5.0,1912.87,106.27,0.12,29.17,N
5.0,0.0,1.0,4.0,2.0,1.0,0.0,30.84,4.96,758.26,42.13,0.2,7.69,N
7.0,0.0,8.0,8.0,3.0,0.44,0.0,47.24,12.24,7077.77,393.21,0.2,24.24,N
5.0,0.0,2.0,28.0,2.0,1.0,0.0,116.24,14.08,23049.99,1280.56,0.36,6.06,N
7.0,0.0,14.0,6.0,2.0,0.5,0.0,44.19,10.02,4437.26,246.51,0.08,35.0,N
4.0,0.0,0.0,4.0,2.0,1.0,0.0,34.55,3.5,423.25,23.51,0.25,0.0,N
6.0,0.0,1.0,2.0,2.0,1.0,0.0,56.19,3.0,505.67,28.09,0.12,8.33,N
5.0,0.0,2.0,2.0,2.0,1.0,0.0,58.84,4.17,1021.56,56.75,0.11,16.67,N
2.0,0.0,0.0,2.0,2.0,1.0,0.0,14.62,2.5,91.35,5.08,0.4,0.0,N
17.0,0.0,25.0,36.0,2.28,0.77,0.0,95.37,34.67,114633.41,6368.52,0.15,18.25,Y
4.0,0.0,0.0,4.0,2.0,1.0,0.0,36.11,4.5,731.32,40.63,0.23,0.0,N
4.0,0.0,2.0,2.0,2.0,1.0,1.0,26.74,5.33,760.66,42.26,0.13,18.18,N
4.0,0.0,6.0,4.0,2.0,1.0,1.0,39.99,5.59,1248.86,69.38,0.11,26.09,N
2.0,0.0,0.0,2.0,2.0,1.0,2.0,21.51,3.0,193.59,10.75,0.2,0.0,N
5.0,0.0,2.0,4.0,2.0,1.0,0.0,43.23,5.5,1307.59,72.64,0.12,11.11,N
3.0,0.0,0.0,4.0,2.0,1.0,0.0,42.85,5.83,1458.23,81.01,0.14,0.0,N
1.0,0.0,0.0,2.0,2.0,1.0,0.0,8.64,4.17,150.0,8.33,0.25,0.0,N
14.0,0.0,2.0,6.0,2.0,1.0,2.0,94.27,5.25,2598.43,144.36,0.16,7.69,N
11.0,0.0,2.0,12.0,2.17,0.88,0.0,47.8,16.05,12318.72,684.37,0.19,5.56,N
5.0,0.0,0.0,2.0,2.0,1.0,0.0,31.73,7.46,1767.82,98.21,0.17,0.0,N
1.0,0.0,0.0,2.0,2.0,1.0,0.0,8.64,4.17,150.0,8.33,0.25,0.0,N
14.0,0.0,2.0,4.0,2.0,1.0,2.0,103.04,5.37,2972.97,165.17,0.13,7.69,N
3.0,0.0,0.0,2.0,2.0,1.0,0.0,27.15,4.45,538.68,29.93,0.13,0.0,N
5.0,0.0,0.0,2.0,2.0,1.0,0.0,31.73,7.46,1767.82,98.21,0.17,0.0,N
3.0,1.0,3.0,4.0,10.0,1.0,0.0,97.07,6.18,3709.37,206.08,0.44,9.76,N
3.0,1.0,6.0,4.0,11.5,1.0,0.0,104.29,6.4,4271.56,237.31,0.43,14.58,N
3.0,0.0,0.0,2.0,2.0,1.0,0.0,24.0,3.5,294.0,16.32,0.25,0.0,N
13.0,0.0,3.0,2.0,2.0,1.0,2.0,88.98,6.22,3442.96,191.28,0.09,11.54,N
3.0,0.0,5.0,6.0,2.67,0.8,1.0,18.99,10.77,2201.88,122.33,0.25,33.33,N
7.0,0.0,5.0,6.0,2.33,0.67,0.0,35.72,13.91,6910.42,383.91,0.21,13.89,N
5.0,1.0,4.0,2.0,2.0,1.0,2.0,39.07,7.06,1946.71,108.15,0.08,22.73,N
8.0,0.0,16.0,10.0,2.2,0.83,1.0,43.07,17.52,13214.36,734.13,0.11,36.36,N
3.0,0.0,4.0,6.0,2.0,0.75,1.0,28.82,6.75,1312.96,72.94,0.17,20.0,N
4.0,0.0,1.0,6.0,2.0,1.0,0.0,42.95,4.15,741.1,41.17,0.2,5.88,N
4.0,0.0,1.0,10.0,2.2,0.86,0.0,35.89,10.4,3882.17,215.68,0.23,3.85,N
6.0,0.0,8.0,6.0,2.0,0.75,0.0,48.34,11.15,6010.8,333.93,0.09,21.62,Y
4.0,0.0,0.0,2.0,2.0,1.0,1.0,24.36,10.97,2930.73,162.82,0.15,0.0,N
17.0,0.0,4.0,6.0,2.0,1.0,2.0,104.23,6.59,4519.95,251.11,0.11,11.11,Y
3.0,0.0,2.0,2.0,2.0,1.0,1.0,48.42,7.26,2552.29,141.79,0.07,9.09,Y
