@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LEVEL numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,N
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,N
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,N
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,N
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,N
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,N
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,N
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,N
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,N
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.02,0.13,1.0,0.0,2.0,8.0,0.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.02,0.11,1.0,0.0,4.0,9.0,0.0,2.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,37.96,81.0,Y
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,38.53,82.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,37.96,81.0,Y
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,37.96,81.0,Y
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,38.53,82.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,38.53,82.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,1.0,1.0,0.46,0.02,1.0,4.0,31.0,26.0,37.96,81.0,Y
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,38.53,82.0,N
18.0,18.0,0.01,8.0,1.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.45,0.02,1.0,4.0,31.0,26.0,37.96,81.0,N
8.0,11.0,0.18,10.0,3.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.2,0.05,0.0,5.0,23.0,19.0,47.37,34.0,N
8.0,11.0,0.18,10.0,3.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.2,0.05,0.0,5.0,23.0,19.0,47.37,34.0,N
8.0,9.0,0.16,8.0,3.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.19,0.05,0.0,4.0,22.0,18.0,47.22,32.0,N
8.0,11.0,0.18,10.0,3.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.2,0.05,0.0,5.0,23.0,19.0,47.37,34.0,N
8.0,9.0,0.16,8.0,3.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.19,0.05,0.0,4.0,22.0,18.0,47.22,32.0,N
8.0,11.0,0.18,10.0,3.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.2,0.05,0.0,5.0,23.0,19.0,47.37,34.0,N
8.0,11.0,0.18,10.0,3.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.2,0.05,0.0,5.0,23.0,19.0,47.37,34.0,N
8.0,11.0,0.18,10.0,3.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.2,0.05,0.0,5.0,23.0,19.0,47.37,34.0,N
8.0,11.0,0.18,10.0,3.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.2,0.05,0.0,5.0,23.0,19.0,47.37,34.0,N
8.0,11.0,0.18,10.0,3.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.2,0.05,0.0,5.0,23.0,19.0,47.37,34.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
2.0,1.0,0.14,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.18,1.0,0.0,6.0,7.0,30.0,7.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.5,1.0,0.0,3.0,4.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.29,1.0,0.0,2.0,7.0,50.0,2.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,5.0,10.0,50.0,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
2.0,3.0,0.25,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.02,0.12,0.0,1.0,5.0,7.0,12.5,8.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,Y
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,Y
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
7.0,1.0,0.05,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,0.13,0.12,1.0,0.0,10.0,10.0,44.0,19.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
3.0,5.0,0.27,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.05,0.09,0.0,2.0,11.0,8.0,45.45,11.0,N
