@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,5.0,3.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,6.13,1.0,0.0,0.0,3.0,7.0,4.0,2.0,N
4.0,7.0,3.0,4.0,2.0,12.0,4.0,6.0,3.0,17.0,18.0,0.0,21.87,0.25,3.0,6.0,15.0,16.0,30.0,22.0,N
0.0,7.0,1.0,0.0,0.0,10.0,4.0,2.0,4.0,12.0,5.0,4.0,9.0,0.25,4.0,5.0,10.0,9.0,7.0,5.0,N
2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,1.0,6.5,1.0,0.0,0.0,3.0,6.0,11.0,7.0,N
6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,18.0,1.0,27.75,1.0,0.0,0.0,3.0,9.0,27.0,19.0,N
4.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,7.0,1.0,27.0,1.0,0.0,0.0,4.0,9.0,17.0,8.0,N
2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,1.0,6.5,1.0,0.0,0.0,3.0,6.0,11.0,7.0,N
1.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,5.0,9.0,2.0,9.9,0.5,1.0,2.0,5.0,11.0,12.0,9.0,N
0.0,7.0,1.0,0.0,0.0,10.0,4.0,2.0,4.0,12.0,5.0,4.0,8.0,0.25,4.0,5.0,10.0,8.0,7.0,5.0,N
4.0,7.0,3.0,2.0,2.0,12.0,4.0,6.0,2.0,17.0,45.0,4.0,29.11,0.25,3.0,6.0,15.0,14.0,61.0,47.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,7.0,5.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,3.75,1.0,0.0,0.0,5.0,5.0,6.0,4.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
6.0,1.0,13.0,2.0,2.0,0.0,1.0,0.0,1.0,20.0,15.0,1.0,23.25,1.0,0.0,0.0,21.0,9.0,27.0,17.0,N
1.0,11.0,0.0,0.0,0.0,20.0,6.0,10.0,1.0,21.0,20.0,0.0,12.0,0.17,5.0,10.0,17.0,8.0,23.0,20.0,N
0.0,17.0,1.0,3.0,3.0,24.0,9.0,8.0,3.0,30.0,30.0,7.0,36.0,0.89,8.0,12.0,23.0,18.0,38.0,33.0,N
2.0,21.0,2.0,3.0,5.0,28.0,11.0,8.0,3.0,34.0,31.0,9.0,31.5,0.91,10.0,14.0,25.0,18.0,45.0,34.0,N
2.0,15.0,0.0,2.0,2.0,24.0,8.0,10.0,1.0,27.0,21.0,6.0,19.2,0.75,7.0,12.0,21.0,12.0,29.0,23.0,N
0.0,5.0,0.0,1.0,0.0,6.0,3.0,2.0,1.0,8.0,11.0,3.0,6.5,1.0,2.0,3.0,7.0,10.0,15.0,12.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,1.0,0.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,1.0,0.0,N
0.0,5.0,0.0,1.0,0.0,6.0,3.0,2.0,1.0,8.0,11.0,3.0,6.5,1.0,2.0,3.0,7.0,10.0,15.0,12.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,1.0,0.0,N
0.0,7.0,0.0,1.0,0.0,8.0,4.0,2.0,1.0,10.0,12.0,4.0,6.67,1.0,3.0,4.0,8.0,10.0,17.0,13.0,N
1.0,7.0,1.0,2.0,0.0,12.0,4.0,6.0,2.0,12.0,12.0,3.0,6.42,0.25,3.0,6.0,10.0,7.0,17.0,14.0,N
1.0,5.0,0.0,1.0,1.0,6.0,3.0,2.0,1.0,8.0,11.0,3.0,5.91,1.0,2.0,3.0,7.0,10.0,17.0,12.0,N
1.0,5.0,0.0,1.0,1.0,6.0,3.0,2.0,1.0,8.0,11.0,3.0,5.91,1.0,2.0,3.0,7.0,10.0,17.0,12.0,N
1.0,5.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,3.0,8.27,1.0,2.0,3.0,7.0,14.0,16.0,11.0,N
1.0,9.0,0.0,1.0,1.0,12.0,5.0,4.0,1.0,15.0,13.0,5.0,10.29,0.8,4.0,6.0,12.0,13.0,19.0,14.0,N
2.0,7.0,0.0,1.0,0.0,8.0,4.0,2.0,1.0,9.0,8.0,4.0,6.36,0.25,3.0,4.0,7.0,10.0,15.0,9.0,N
11.0,19.0,1.0,4.0,11.0,26.0,10.0,8.0,2.0,30.0,28.0,9.0,30.6,0.7,9.0,13.0,22.0,18.0,58.0,32.0,N
11.0,19.0,1.0,5.0,12.0,30.0,10.0,12.0,2.0,32.0,46.0,5.0,32.59,0.7,9.0,15.0,24.0,20.0,78.0,51.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,N
0.0,9.0,1.0,3.0,0.0,12.0,5.0,2.0,5.0,15.0,4.0,5.0,27.62,0.8,5.0,8.0,12.0,13.0,10.0,7.0,N
10.0,7.0,7.0,0.0,13.0,8.0,4.0,2.0,4.0,29.0,23.0,4.0,21.64,1.0,3.0,4.0,27.0,14.0,51.0,23.0,N
2.0,1.0,4.0,3.0,7.0,0.0,1.0,0.0,1.0,8.0,7.0,1.0,9.38,1.0,0.0,0.0,9.0,9.0,23.0,10.0,N
4.0,1.0,4.0,6.0,8.0,0.0,1.0,0.0,1.0,19.0,16.0,1.0,18.56,1.0,0.0,0.0,20.0,9.0,38.0,22.0,N
3.0,1.0,3.0,0.0,6.0,0.0,1.0,0.0,1.0,6.0,12.0,1.0,9.38,1.0,0.0,0.0,7.0,10.0,25.0,12.0,N
4.0,1.0,6.0,1.0,5.0,0.0,1.0,0.0,1.0,10.0,11.0,1.0,6.68,1.0,0.0,0.0,11.0,7.0,24.0,12.0,N
4.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,9.0,11.0,1.0,8.59,1.0,0.0,0.0,10.0,9.0,23.0,12.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,5.25,1.0,0.0,0.0,2.0,7.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,6.13,1.0,0.0,0.0,3.0,7.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,N
0.0,9.0,1.0,3.0,0.0,12.0,5.0,2.0,5.0,15.0,4.0,5.0,27.62,0.8,5.0,8.0,12.0,13.0,10.0,7.0,N
0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.5,1.0,0.0,0.0,3.0,3.0,6.0,2.0,N
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,4.38,1.0,0.0,0.0,3.0,7.0,4.0,2.0,N
0.0,5.0,0.0,0.0,0.0,8.0,3.0,4.0,1.0,12.0,8.0,3.0,6.0,0.33,2.0,4.0,11.0,6.0,10.0,8.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,5.25,1.0,0.0,0.0,2.0,7.0,4.0,2.0,N
1.0,5.0,0.0,2.0,0.0,6.0,3.0,2.0,1.0,8.0,10.0,3.0,7.0,1.0,2.0,3.0,7.0,9.0,17.0,12.0,N
1.0,3.0,3.0,2.0,0.0,4.0,2.0,2.0,2.0,8.0,12.0,2.0,8.55,0.5,1.0,2.0,8.0,9.0,18.0,14.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,6.13,1.0,0.0,0.0,3.0,7.0,4.0,2.0,N
1.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,13.0,11.0,1.0,30.0,1.0,0.0,0.0,14.0,9.0,15.0,12.0,N
1.0,9.0,1.0,4.0,0.0,16.0,5.0,6.0,3.0,15.0,14.0,4.0,21.64,1.0,5.0,8.0,12.0,17.0,21.0,18.0,N
1.0,5.0,1.0,1.0,0.0,8.0,3.0,4.0,1.0,13.0,9.0,3.0,11.57,0.33,2.0,4.0,12.0,9.0,13.0,10.0,N
1.0,5.0,1.0,1.0,0.0,8.0,3.0,4.0,1.0,13.0,11.0,3.0,18.33,0.33,2.0,4.0,12.0,11.0,15.0,12.0,N
1.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,13.0,11.0,1.0,30.0,1.0,0.0,0.0,14.0,9.0,15.0,12.0,N
1.0,5.0,1.0,1.0,0.0,8.0,3.0,4.0,1.0,13.0,9.0,3.0,10.29,0.33,2.0,4.0,12.0,9.0,13.0,10.0,N
2.0,7.0,2.0,1.0,0.0,12.0,4.0,6.0,1.0,17.0,12.0,3.0,14.78,0.25,3.0,6.0,15.0,14.0,17.0,13.0,N
1.0,5.0,1.0,1.0,0.0,8.0,3.0,4.0,1.0,13.0,9.0,3.0,11.57,0.33,2.0,4.0,12.0,9.0,13.0,10.0,N
0.0,3.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,5.0,6.0,2.0,9.75,0.5,1.0,2.0,5.0,13.0,8.0,6.0,N
1.0,9.0,1.0,4.0,0.0,12.0,5.0,4.0,3.0,15.0,14.0,4.0,19.09,1.0,4.0,6.0,12.0,15.0,21.0,18.0,N
0.0,5.0,0.0,2.0,0.0,6.0,3.0,2.0,1.0,8.0,9.0,3.0,6.75,1.0,2.0,3.0,7.0,9.0,15.0,11.0,N
0.0,3.0,3.0,2.0,0.0,4.0,2.0,2.0,2.0,8.0,11.0,2.0,8.1,0.5,1.0,2.0,8.0,9.0,16.0,13.0,N
1.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,8.0,5.0,0.0,10.83,0.5,1.0,2.0,8.0,10.0,9.0,6.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
1.0,5.0,1.0,1.0,0.0,8.0,3.0,4.0,1.0,13.0,9.0,0.0,10.0,0.33,2.0,4.0,12.0,8.0,13.0,10.0,N
3.0,3.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,6.0,7.0,2.0,8.0,0.5,1.0,2.0,6.0,8.0,14.0,8.0,N
1.0,5.0,0.0,0.0,0.0,8.0,3.0,2.0,1.0,7.0,2.0,3.0,4.5,0.33,3.0,4.0,6.0,6.0,5.0,2.0,N
0.0,3.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,7.0,9.0,2.0,3.75,0.5,1.0,2.0,7.0,6.0,11.0,9.0,N
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.5,1.0,0.0,0.0,2.0,7.0,7.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,N
0.0,9.0,1.0,3.0,0.0,12.0,5.0,2.0,5.0,15.0,4.0,5.0,27.62,0.8,5.0,8.0,12.0,13.0,10.0,7.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,1.5,1.0,0.0,0.0,2.0,1.0,6.0,5.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,6.0,5.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,1.5,1.0,0.0,0.0,2.0,1.0,6.0,5.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.5,1.0,0.0,0.0,2.0,1.0,8.0,5.0,N
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,12.8,1.0,0.0,0.0,3.0,8.0,9.0,6.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,5.25,1.0,0.0,0.0,2.0,7.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,6.13,1.0,0.0,0.0,3.0,7.0,4.0,2.0,N
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,6.0,1.0,0.0,0.0,3.0,6.0,9.0,6.0,N
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,6.0,1.0,0.0,0.0,3.0,6.0,9.0,6.0,N
1.0,3.0,2.0,1.0,0.0,4.0,2.0,2.0,1.0,8.0,14.0,2.0,14.93,0.5,1.0,2.0,8.0,11.0,18.0,15.0,N
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,6.0,1.0,0.0,0.0,3.0,6.0,9.0,6.0,N
0.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,5.0,8.0,2.0,9.63,0.5,1.0,2.0,5.0,11.0,10.0,8.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
2.0,3.0,3.0,1.0,0.0,4.0,2.0,2.0,1.0,9.0,15.0,0.0,13.75,0.5,1.0,2.0,9.0,11.0,20.0,16.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,N
0.0,9.0,1.0,3.0,0.0,12.0,5.0,2.0,5.0,15.0,4.0,5.0,27.62,0.8,5.0,8.0,12.0,13.0,10.0,7.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,N
7.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,7.0,37.0,1.0,16.8,1.0,0.0,0.0,8.0,7.0,51.0,37.0,N
31.0,31.0,5.0,2.0,27.0,50.0,16.0,20.0,9.0,87.0,152.0,6.0,50.52,0.44,15.0,25.0,73.0,18.0,214.0,154.0,Y
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,21.0,0.0,24.0,1.0,0.0,0.0,3.0,4.0,23.0,21.0,N
6.0,13.0,0.0,2.0,12.0,22.0,7.0,10.0,1.0,24.0,35.0,7.0,21.71,0.43,6.0,11.0,19.0,19.0,62.0,37.0,N
8.0,17.0,3.0,4.0,7.0,26.0,9.0,10.0,6.0,30.0,81.0,5.0,36.67,0.67,8.0,13.0,23.0,16.0,102.0,85.0,N
15.0,43.0,4.0,4.0,12.0,70.0,22.0,28.0,15.0,72.0,72.0,22.0,28.18,0.23,21.0,35.0,52.0,15.0,105.0,76.0,N
26.0,41.0,5.0,4.0,7.0,68.0,21.0,28.0,15.0,82.0,107.0,21.0,40.0,0.05,20.0,34.0,63.0,16.0,146.0,111.0,Y
3.0,5.0,1.0,0.0,1.0,8.0,3.0,4.0,2.0,10.0,15.0,3.0,7.31,0.33,2.0,4.0,9.0,9.0,21.0,15.0,Y
14.0,13.0,2.0,0.0,20.0,24.0,7.0,12.0,7.0,31.0,37.0,0.0,17.47,0.14,6.0,12.0,26.0,11.0,73.0,37.0,Y
161.0,85.0,16.0,1.0,158.0,112.0,44.0,32.0,18.0,277.0,826.0,13.0,64.72,0.66,40.0,56.0,235.0,23.0,1148.0,827.0,N
4.0,5.0,3.0,0.0,1.0,8.0,3.0,4.0,1.0,12.0,15.0,3.0,10.0,0.33,2.0,4.0,11.0,12.0,25.0,15.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,N
