@relation SelectedFeatures

@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
8.0,1.0,11.0,0.16,0.33,18.0,35.6,12.89,0.15,91.0,0.08,459.04,0.05,35.0,56.0,19.0,14.0,57.0,40.0,19.0,N
17.0,7.0,8.0,0.2,0.73,55.0,48.89,26.83,0.44,217.0,0.04,1311.63,0.14,88.0,129.0,41.0,25.0,81.0,12.7,55.0,N
14.0,2.0,39.0,0.06,0.33,47.0,59.87,15.65,0.31,150.0,0.06,937.19,0.02,82.0,68.0,55.0,21.0,121.0,45.35,47.0,N
10.0,2.0,14.0,0.18,0.33,32.0,21.82,22.85,0.17,95.0,0.04,498.55,0.1,37.0,58.0,17.0,21.0,59.0,33.33,34.0,N
2.0,4.0,2.0,0.14,1.0,21.0,34.56,8.63,0.1,62.0,0.12,298.06,0.12,23.0,39.0,16.0,12.0,26.0,8.7,21.0,N
4.0,0.0,1.0,0.14,0.5,14.0,12.74,7.86,0.03,24.0,0.13,100.08,0.1,10.0,14.0,7.0,11.0,20.0,6.67,14.0,N
6.0,6.0,6.0,0.14,1.0,21.0,40.4,11.25,0.15,86.0,0.09,454.54,0.09,36.0,50.0,24.0,15.0,34.0,22.22,21.0,N
9.0,4.0,11.0,0.11,0.67,28.0,36.57,15.24,0.19,104.0,0.07,557.19,0.06,32.0,72.0,21.0,20.0,49.0,28.21,28.0,Y
2.0,3.0,9.0,0.11,1.0,18.0,32.0,11.63,0.12,72.0,0.09,372.23,0.07,26.0,46.0,19.0,17.0,30.0,33.33,18.0,N
3.0,5.0,13.0,0.11,1.0,36.0,48.31,17.63,0.28,156.0,0.06,851.67,0.07,56.0,100.0,27.0,17.0,55.0,29.41,38.0,N
22.0,13.0,33.0,0.19,0.63,160.0,151.5,22.73,1.15,488.0,0.04,3442.98,0.14,163.0,325.0,104.0,29.0,228.0,21.95,172.0,N
10.0,12.0,62.0,0.13,0.9,149.0,171.78,29.58,1.69,702.0,0.03,5081.36,0.09,220.0,482.0,119.0,32.0,222.0,29.38,149.0,Y
42.0,24.0,339.0,0.16,0.56,411.0,293.68,43.41,4.25,1500.0,0.02,12749.77,0.13,568.0,932.0,314.0,48.0,555.0,48.3,456.0,Y
16.0,5.0,29.0,0.12,0.8,121.0,164.09,23.26,1.27,537.0,0.04,3817.28,0.09,221.0,316.0,114.0,24.0,170.0,20.92,124.0,Y
0.0,0.0,0.0,0.15,0.5,13.0,21.15,3.5,0.02,20.0,0.29,74.01,0.14,6.0,14.0,6.0,7.0,14.0,0.0,13.0,N
2.0,8.0,58.0,0.16,0.36,128.0,104.25,54.33,1.89,790.0,0.02,5664.24,0.11,326.0,464.0,108.0,36.0,233.0,41.55,161.0,N
4.0,0.0,0.0,0.25,0.2,20.0,13.75,21.0,0.1,63.0,0.05,288.85,0.2,21.0,42.0,8.0,16.0,25.0,0.0,20.0,N
0.0,3.0,20.0,0.21,0.33,27.0,38.41,13.45,0.17,92.0,0.07,516.54,0.12,39.0,53.0,29.0,20.0,49.0,44.9,29.0,N
8.0,4.0,7.0,0.19,0.7,47.0,105.02,18.86,0.66,318.0,0.05,1980.76,0.14,97.0,221.0,54.0,21.0,69.0,21.67,53.0,N
10.0,9.0,18.0,0.17,0.67,16.0,45.77,7.71,0.12,70.0,0.13,353.11,0.04,27.0,43.0,21.0,12.0,71.0,55.56,18.0,N
15.0,4.0,21.0,0.1,1.0,41.0,61.36,23.68,0.48,247.0,0.04,1453.01,0.05,117.0,130.0,42.0,17.0,78.0,33.87,41.0,N
4.0,0.0,0.0,0.12,0.5,14.0,16.29,9.29,0.05,37.0,0.11,151.24,0.09,13.0,24.0,7.0,10.0,22.0,17.65,17.0,N
4.0,0.0,0.0,0.12,0.5,14.0,16.29,9.29,0.05,37.0,0.11,151.24,0.09,13.0,24.0,7.0,10.0,22.0,17.65,17.0,N
12.0,4.0,39.0,0.11,0.33,27.0,61.85,12.04,0.25,130.0,0.08,744.63,0.04,61.0,69.0,38.0,15.0,79.0,59.09,27.0,N
3.0,2.0,6.0,0.07,1.0,21.0,22.83,23.0,0.18,105.0,0.04,525.0,0.04,46.0,59.0,16.0,16.0,55.0,36.36,27.0,N
0.0,1.0,5.0,0.19,0.67,16.0,24.32,7.64,0.06,40.0,0.13,185.75,0.14,12.0,28.0,11.0,14.0,22.0,23.81,16.0,N
10.0,3.0,20.0,0.13,0.33,55.0,52.18,33.32,0.58,292.0,0.03,1738.63,0.07,113.0,179.0,39.0,23.0,138.0,36.78,67.0,N
6.0,3.0,22.0,0.16,0.4,22.0,27.26,22.11,0.2,114.0,0.05,602.54,0.08,42.0,72.0,19.0,20.0,61.0,59.26,32.0,N
2.0,10.0,78.0,0.13,0.5,79.0,89.42,13.73,0.41,201.0,0.07,1227.81,0.07,84.0,117.0,52.0,17.0,174.0,53.8,93.0,Y
6.0,2.0,58.0,0.18,0.96,138.0,171.89,27.21,1.56,625.0,0.04,4677.38,0.12,250.0,375.0,147.0,32.0,204.0,29.95,139.0,N
0.0,9.0,23.0,0.17,1.0,23.0,34.26,11.57,0.13,75.0,0.09,396.41,0.08,27.0,48.0,21.0,18.0,48.0,51.06,24.0,N
0.0,5.0,15.0,0.2,0.46,60.0,66.12,13.9,0.31,155.0,0.07,919.26,0.16,57.0,98.0,41.0,20.0,80.0,24.05,64.0,N
1.0,4.0,0.0,0.15,0.6,32.0,27.2,13.24,0.12,72.0,0.08,360.0,0.14,30.0,42.0,17.0,15.0,35.0,3.03,33.0,N
1.0,5.0,11.0,0.11,1.0,28.0,47.22,11.69,0.18,103.0,0.09,551.83,0.07,33.0,70.0,24.0,17.0,41.0,28.21,28.0,N
1.0,5.0,12.0,0.1,0.75,41.0,56.52,13.19,0.25,129.0,0.08,745.8,0.06,50.0,79.0,36.0,19.0,68.0,22.64,41.0,Y
1.0,4.0,3.0,0.11,1.0,19.0,33.23,9.41,0.1,62.0,0.11,312.75,0.08,20.0,42.0,17.0,16.0,24.0,13.64,19.0,N
2.0,4.0,3.0,0.11,1.0,19.0,31.71,8.91,0.09,57.0,0.11,282.39,0.08,19.0,38.0,16.0,15.0,25.0,13.64,19.0,N
2.0,7.0,35.0,0.1,0.25,38.0,60.5,14.75,0.3,153.0,0.07,892.43,0.05,59.0,94.0,38.0,19.0,79.0,50.0,41.0,N
14.0,14.0,7.0,0.05,1.0,41.0,93.81,15.69,0.49,241.0,0.06,1472.15,0.03,96.0,145.0,52.0,17.0,63.0,14.58,41.0,N
5.0,9.0,6.0,0.07,1.0,30.0,58.05,14.68,0.28,151.0,0.07,852.22,0.05,57.0,94.0,33.0,17.0,42.0,16.67,30.0,N
10.0,8.0,65.0,0.1,0.4,149.0,118.83,46.92,1.86,781.0,0.02,5575.99,0.07,333.0,448.0,110.0,31.0,227.0,31.02,151.0,N
0.0,4.0,6.0,0.11,1.0,19.0,31.58,9.5,0.1,60.0,0.11,300.0,0.08,19.0,41.0,16.0,16.0,26.0,24.0,19.0,N
12.0,12.0,65.0,0.13,0.5,130.0,83.0,51.6,1.43,607.0,0.02,4282.56,0.09,258.0,349.0,95.0,38.0,231.0,40.37,153.0,Y
6.0,6.0,7.0,0.14,0.78,57.0,45.05,29.27,0.44,213.0,0.03,1318.43,0.12,75.0,138.0,41.0,32.0,77.0,18.57,63.0,Y
1.0,4.0,6.0,0.05,1.0,42.0,94.81,13.88,0.44,210.0,0.07,1316.03,0.04,91.0,119.0,59.0,18.0,50.0,12.5,42.0,N
1.0,2.0,13.0,0.1,0.5,14.0,28.66,11.47,0.11,67.0,0.09,328.76,0.06,30.0,37.0,17.0,13.0,35.0,57.58,20.0,N
1.0,5.0,12.0,0.09,1.0,22.0,36.77,11.48,0.14,81.0,0.09,421.97,0.06,27.0,54.0,20.0,17.0,36.0,35.29,22.0,N
0.0,0.0,9.0,0.11,0.33,27.0,54.96,8.31,0.15,87.0,0.12,456.57,0.08,36.0,51.0,26.0,12.0,37.0,25.0,27.0,N
1.0,0.0,4.0,0.16,0.2,31.0,14.28,19.94,0.09,67.0,0.05,284.61,0.13,29.0,38.0,8.0,11.0,38.0,13.89,32.0,N
5.0,5.0,39.0,0.07,0.8,127.0,124.12,29.01,1.2,526.0,0.03,3600.73,0.06,220.0,306.0,91.0,24.0,179.0,26.59,134.0,N
3.0,3.0,4.0,0.09,1.0,49.0,102.23,12.09,0.41,211.0,0.08,1236.03,0.08,76.0,135.0,44.0,14.0,63.0,16.95,55.0,Y
13.0,4.0,5.0,0.09,1.0,45.0,99.18,16.49,0.55,261.0,0.06,1635.63,0.06,94.0,167.0,57.0,20.0,65.0,11.76,46.0,N
67.0,10.0,41.0,0.13,1.0,92.0,46.37,57.0,0.88,466.0,0.02,2643.35,0.07,192.0,274.0,32.0,19.0,228.0,42.5,119.0,N
9.0,0.0,11.0,0.16,0.25,18.0,24.0,15.38,0.12,76.0,0.07,369.21,0.09,25.0,51.0,13.0,16.0,46.0,50.0,25.0,N
15.0,4.0,22.0,0.13,1.0,36.0,46.84,21.46,0.34,182.0,0.05,1005.29,0.07,61.0,121.0,27.0,19.0,83.0,46.27,45.0,N
6.0,1.0,0.0,0.12,1.0,22.0,24.31,14.06,0.11,69.0,0.07,341.84,0.09,30.0,39.0,16.0,15.0,33.0,15.38,26.0,N
