@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
32.0,57.0,0.0,39.0,29.0,5.0,89.0,106.0,92.23,1.23,539.0,3676.08,0.16,242.0,297.0,85.0,28.0,178.0,26.9,106.0,Y
9.0,11.0,0.0,10.0,6.0,3.0,24.0,33.0,43.84,0.5,257.0,1505.5,0.11,121.0,136.0,37.0,21.0,53.0,23.26,33.0,N
17.0,24.0,1.0,16.0,14.0,8.0,47.0,83.0,65.3,0.67,295.0,1996.61,0.12,119.0,176.0,72.0,37.0,118.0,17.0,84.0,N
225.0,236.0,2.0,40.0,136.0,123.0,581.0,600.0,246.47,8.65,2785.0,25942.69,0.16,1144.0,1641.0,538.0,99.0,868.0,6.54,602.0,Y
19.0,9.0,0.0,2.0,5.0,1.0,22.0,54.0,148.42,1.18,507.0,3543.26,0.07,241.0,266.0,106.0,21.0,76.0,3.57,54.0,N
27.0,17.0,0.0,20.0,9.0,3.0,47.0,84.0,140.08,2.17,876.0,6498.04,0.07,419.0,457.0,140.0,31.0,132.0,19.23,84.0,Y
39.0,40.0,4.0,32.0,25.0,14.0,81.0,103.0,80.95,1.43,619.0,4282.78,0.14,260.0,359.0,86.0,35.0,179.0,25.9,107.0,Y
31.0,24.0,0.0,27.0,17.0,12.0,56.0,93.0,70.21,0.89,409.0,2680.83,0.11,180.0,229.0,66.0,28.0,152.0,22.5,93.0,Y
56.0,36.0,0.0,50.0,24.0,18.0,93.0,141.0,87.72,1.52,657.0,4553.49,0.09,292.0,365.0,90.0,32.0,258.0,26.18,141.0,Y
5.0,9.0,0.0,7.0,5.0,5.0,19.0,29.0,43.84,0.27,146.0,815.4,0.12,62.0,84.0,30.0,18.0,42.0,19.44,29.0,Y
7.0,9.0,0.0,9.0,5.0,5.0,19.0,29.0,44.67,0.31,164.0,920.81,0.11,71.0,93.0,31.0,18.0,46.0,23.68,29.0,Y
4.0,3.0,0.0,7.0,2.0,1.0,6.0,13.0,33.42,0.16,98.0,485.51,0.08,46.0,52.0,19.0,12.0,25.0,35.0,13.0,N
5.0,3.0,0.0,4.0,2.0,1.0,7.0,14.0,41.58,0.22,129.0,661.68,0.08,61.0,68.0,23.0,12.0,24.0,22.22,14.0,N
10.0,12.0,0.0,18.0,7.0,3.0,25.0,40.0,60.7,0.67,330.0,2001.81,0.1,155.0,175.0,47.0,20.0,69.0,31.03,40.0,N
7.0,3.0,0.0,4.0,2.0,2.0,10.0,14.0,31.45,0.05,35.0,148.68,0.08,13.0,22.0,11.0,8.0,26.0,22.22,14.0,N
6.0,9.0,1.0,4.0,5.0,1.0,16.0,21.0,19.62,0.19,111.0,555.0,0.15,44.0,67.0,14.0,18.0,33.0,19.23,22.0,N
39.0,51.0,1.0,49.0,26.0,23.0,122.0,166.0,218.7,1.63,671.0,4888.5,0.1,304.0,367.0,136.0,20.0,263.0,23.15,167.0,Y
37.0,49.0,13.0,23.0,25.0,9.0,103.0,97.0,97.66,1.47,663.0,4404.88,0.15,302.0,361.0,77.0,23.0,171.0,27.07,110.0,Y
20.0,12.0,0.0,4.0,7.0,4.0,22.0,27.0,23.63,0.17,94.0,506.88,0.13,39.0,55.0,20.0,22.0,52.0,12.9,27.0,Y
8.0,11.0,2.0,13.0,6.0,2.0,22.0,23.0,53.64,0.34,175.0,1016.29,0.13,80.0,95.0,38.0,18.0,47.0,39.47,25.0,N
5.0,11.0,0.0,20.0,7.0,1.0,24.0,20.0,17.47,0.23,134.0,687.32,0.15,59.0,75.0,15.0,20.0,46.0,50.0,20.0,N
14.0,9.0,0.0,7.0,7.0,7.0,23.0,42.0,35.76,0.29,156.0,880.44,0.11,68.0,88.0,29.0,21.0,64.0,14.29,42.0,N
6.0,11.0,0.0,1.0,6.0,3.0,26.0,39.0,65.33,0.26,135.0,783.99,0.13,60.0,75.0,40.0,16.0,47.0,2.5,39.0,N
1.0,3.0,0.0,3.0,2.0,2.0,7.0,7.0,27.56,0.06,40.0,175.69,0.17,17.0,23.0,12.0,9.0,12.0,30.0,7.0,N
4.0,27.0,1.0,4.0,14.0,1.0,46.0,21.0,15.66,0.17,102.0,500.5,0.45,37.0,65.0,11.0,19.0,31.0,19.23,22.0,N
3.0,37.0,0.0,0.0,19.0,6.0,68.0,36.0,33.88,0.45,232.0,1341.28,0.48,95.0,137.0,30.0,25.0,40.0,0.0,36.0,N
1.0,13.0,0.0,0.0,7.0,6.0,24.0,17.0,44.6,0.19,110.0,568.69,0.37,51.0,59.0,24.0,12.0,19.0,0.0,17.0,N
4.0,21.0,0.0,1.0,11.0,3.0,39.0,29.0,26.43,0.31,161.0,917.77,0.31,75.0,86.0,27.0,25.0,35.0,3.33,29.0,N
1.0,17.0,0.0,0.0,9.0,1.0,29.0,19.0,19.04,0.17,99.0,507.8,0.43,40.0,59.0,15.0,20.0,21.0,0.0,19.0,N
4.0,15.0,1.0,1.0,8.0,2.0,32.0,20.0,15.74,0.14,83.0,411.2,0.3,33.0,50.0,12.0,19.0,27.0,9.09,21.0,N
4.0,15.0,1.0,1.0,8.0,2.0,32.0,20.0,15.74,0.14,83.0,411.2,0.3,33.0,50.0,12.0,19.0,27.0,9.09,21.0,N
1.0,7.0,0.0,0.0,4.0,1.0,16.0,10.0,8.55,0.07,48.0,200.16,0.33,18.0,30.0,5.0,13.0,12.0,0.0,10.0,N
2.0,3.0,0.0,0.0,2.0,2.0,8.0,15.0,25.27,0.1,62.0,287.92,0.11,29.0,33.0,14.0,11.0,18.0,0.0,15.0,N
1.0,3.0,1.0,0.0,2.0,1.0,6.0,11.0,19.12,0.04,31.0,114.71,0.14,14.0,17.0,7.0,6.0,14.0,8.33,12.0,N
1.0,3.0,0.0,0.0,2.0,2.0,8.0,11.0,22.15,0.05,34.0,141.78,0.15,16.0,18.0,10.0,8.0,13.0,0.0,11.0,N
1.0,3.0,0.0,0.0,2.0,2.0,7.0,10.0,38.09,0.08,54.0,247.59,0.17,26.0,28.0,16.0,8.0,12.0,0.0,10.0,N
1.0,13.0,0.0,0.0,7.0,3.0,28.0,21.0,20.0,0.11,70.0,325.07,0.3,30.0,40.0,12.0,13.0,23.0,0.0,21.0,N
7.0,5.0,3.0,0.0,3.0,1.0,11.0,17.0,27.46,0.12,88.0,366.95,0.11,42.0,46.0,11.0,7.0,28.0,15.0,20.0,N
1.0,3.0,0.0,0.0,2.0,1.0,6.0,7.0,8.22,0.02,20.0,74.01,0.22,8.0,12.0,4.0,9.0,9.0,0.0,7.0,N
2.0,3.0,0.0,0.0,2.0,2.0,7.0,8.0,11.6,0.04,29.0,116.0,0.18,12.0,17.0,6.0,10.0,11.0,0.0,8.0,N
1.0,3.0,0.0,0.0,2.0,1.0,7.0,13.0,26.51,0.06,43.0,188.87,0.13,19.0,24.0,12.0,9.0,15.0,0.0,13.0,N
9.0,5.0,0.0,0.0,3.0,3.0,10.0,17.0,32.4,0.11,63.0,315.0,0.11,25.0,38.0,18.0,14.0,27.0,0.0,17.0,N
19.0,11.0,0.0,5.0,6.0,6.0,26.0,34.0,60.39,0.34,176.0,1026.58,0.1,68.0,108.0,38.0,19.0,59.0,12.82,34.0,N
15.0,5.0,0.0,0.0,3.0,3.0,14.0,22.0,45.57,0.12,74.0,370.0,0.08,31.0,43.0,21.0,11.0,38.0,0.0,22.0,N
13.0,7.0,0.0,0.0,4.0,4.0,14.0,20.0,32.68,0.15,86.0,454.54,0.12,36.0,50.0,22.0,17.0,34.0,0.0,20.0,N
24.0,22.0,0.0,0.0,20.0,19.0,45.0,70.0,52.55,0.45,213.0,1346.57,0.21,81.0,132.0,49.0,31.0,95.0,0.0,70.0,N
3.0,3.0,0.0,1.0,2.0,2.0,7.0,9.0,22.01,0.05,38.0,158.46,0.14,18.0,20.0,10.0,8.0,14.0,10.0,9.0,N
15.0,11.0,0.0,15.0,6.0,3.0,25.0,44.0,72.17,0.39,202.0,1183.31,0.08,94.0,108.0,43.0,15.0,75.0,25.42,44.0,N
14.0,3.0,0.0,12.0,2.0,2.0,14.0,41.0,75.92,0.72,343.0,2149.51,0.03,151.0,192.0,56.0,21.0,68.0,22.64,41.0,N
25.0,27.0,0.0,9.0,14.0,10.0,57.0,77.0,83.64,1.25,555.0,3763.65,0.13,240.0,315.0,80.0,30.0,112.0,10.47,77.0,N
9.0,12.0,2.0,0.0,8.0,6.0,20.0,25.0,34.52,0.19,105.0,579.97,0.22,40.0,65.0,25.0,21.0,37.0,7.41,27.0,N
18.0,15.0,0.0,5.0,8.0,7.0,35.0,37.0,64.45,0.52,250.0,1561.98,0.13,105.0,145.0,52.0,24.0,61.0,11.9,37.0,N
13.0,17.0,0.0,5.0,9.0,6.0,33.0,33.0,48.43,0.16,96.0,484.26,0.17,40.0,56.0,22.0,11.0,52.0,13.16,33.0,N
19.0,17.0,0.0,7.0,9.0,8.0,40.0,41.0,69.56,0.61,290.0,1833.36,0.13,123.0,167.0,56.0,24.0,68.0,14.58,41.0,N
7.0,3.0,0.0,0.0,2.0,2.0,6.0,11.0,22.92,0.05,35.0,160.47,0.11,14.0,21.0,12.0,12.0,19.0,0.0,11.0,N
7.0,3.0,0.0,0.0,2.0,2.0,6.0,11.0,22.92,0.05,35.0,160.47,0.11,14.0,21.0,12.0,12.0,19.0,0.0,11.0,N
15.0,17.0,0.0,2.0,9.0,5.0,24.0,29.0,47.16,0.24,136.0,723.78,0.19,57.0,79.0,26.0,14.0,47.0,6.45,29.0,N
9.0,9.0,0.0,3.0,5.0,3.0,16.0,18.0,27.19,0.17,97.0,512.67,0.16,44.0,53.0,21.0,18.0,31.0,14.29,18.0,N
8.0,3.0,0.0,0.0,2.0,2.0,7.0,12.0,30.96,0.06,41.0,187.98,0.1,17.0,24.0,14.0,10.0,21.0,0.0,12.0,N
7.0,5.0,0.0,0.0,3.0,3.0,9.0,14.0,33.52,0.07,47.0,215.49,0.14,18.0,29.0,14.0,10.0,22.0,0.0,14.0,N
10.0,5.0,0.0,0.0,3.0,3.0,10.0,17.0,29.64,0.12,73.0,374.44,0.11,30.0,43.0,19.0,16.0,28.0,0.0,17.0,N
10.0,5.0,0.0,0.0,3.0,3.0,10.0,17.0,27.85,0.12,73.0,371.38,0.11,30.0,43.0,18.0,16.0,28.0,0.0,17.0,N
10.0,5.0,0.0,0.0,3.0,3.0,10.0,17.0,29.64,0.12,73.0,374.44,0.11,30.0,43.0,19.0,16.0,28.0,0.0,17.0,N
12.0,9.0,0.0,0.0,5.0,4.0,15.0,22.0,38.68,0.18,100.0,539.23,0.14,41.0,59.0,25.0,17.0,35.0,0.0,22.0,N
13.0,9.0,0.0,0.0,5.0,4.0,15.0,22.0,36.9,0.18,100.0,535.76,0.14,41.0,59.0,24.0,17.0,36.0,0.0,22.0,N
9.0,11.0,0.0,0.0,6.0,3.0,15.0,18.0,29.33,0.13,78.0,386.43,0.21,32.0,46.0,17.0,14.0,28.0,0.0,18.0,N
10.0,3.0,0.0,8.0,2.0,2.0,15.0,16.0,60.96,0.33,185.0,1003.86,0.06,76.0,109.0,30.0,13.0,35.0,33.33,16.0,N
10.0,7.0,0.0,3.0,4.0,3.0,17.0,20.0,37.83,0.13,78.0,393.46,0.12,32.0,46.0,20.0,13.0,34.0,13.04,20.0,N
23.0,13.0,1.0,9.0,7.0,7.0,37.0,35.0,55.33,0.29,154.0,882.1,0.1,62.0,92.0,35.0,18.0,69.0,22.22,36.0,N
26.0,21.0,0.0,0.0,11.0,11.0,57.0,61.0,87.87,0.73,359.0,2177.73,0.13,158.0,201.0,51.0,16.0,88.0,0.0,61.0,N
17.0,17.0,0.0,3.0,9.0,5.0,40.0,40.0,48.28,0.5,247.0,1508.81,0.15,110.0,137.0,44.0,25.0,61.0,6.98,40.0,N
12.0,7.0,0.0,0.0,4.0,4.0,12.0,23.0,46.5,0.18,101.0,548.05,0.11,44.0,57.0,28.0,15.0,36.0,0.0,23.0,Y
8.0,5.0,0.0,2.0,3.0,3.0,12.0,15.0,29.67,0.1,60.0,300.0,0.12,26.0,34.0,18.0,14.0,26.0,11.76,15.0,N
6.0,9.0,0.0,0.0,5.0,4.0,25.0,28.0,21.9,0.18,102.0,535.29,0.14,44.0,58.0,18.0,20.0,35.0,0.0,28.0,N
24.0,29.0,0.0,34.0,15.0,6.0,63.0,83.0,88.12,1.18,558.0,3537.64,0.12,262.0,296.0,62.0,19.0,126.0,29.06,83.0,N
31.0,37.0,2.0,37.0,19.0,7.0,79.0,101.0,106.19,1.56,716.0,4670.87,0.12,338.0,378.0,73.0,19.0,156.0,27.86,103.0,N
1.0,5.0,0.0,0.0,3.0,1.0,10.0,7.0,11.62,0.04,29.0,113.3,0.33,13.0,16.0,6.0,9.0,9.0,0.0,7.0,N
3.0,5.0,2.0,0.0,3.0,2.0,11.0,16.0,29.62,0.11,59.0,318.15,0.04,26.0,33.0,23.0,19.0,80.0,11.11,18.0,N
7.0,31.0,7.0,12.0,16.0,6.0,69.0,28.0,34.15,0.44,217.0,1306.85,0.29,95.0,122.0,36.0,29.0,55.0,40.43,35.0,N
2.0,5.0,0.0,0.0,3.0,2.0,9.0,8.0,12.1,0.06,39.0,168.56,0.27,15.0,24.0,7.0,13.0,11.0,0.0,8.0,N
1.0,19.0,17.0,0.0,10.0,1.0,40.0,31.0,31.42,0.48,246.0,1447.13,0.2,102.0,144.0,31.0,28.0,50.0,35.42,48.0,N
1.0,5.0,1.0,0.0,3.0,1.0,10.0,10.0,13.96,0.05,36.0,162.85,0.23,15.0,21.0,9.0,14.0,13.0,9.09,11.0,N
1.0,15.0,0.0,0.0,8.0,6.0,32.0,29.0,28.38,0.26,141.0,765.1,0.26,62.0,79.0,23.0,20.0,31.0,0.0,29.0,N
2.0,13.0,0.0,0.0,7.0,7.0,31.0,13.0,14.99,0.15,91.0,450.83,0.44,38.0,53.0,12.0,19.0,16.0,0.0,13.0,N
12.0,55.0,2.0,0.0,34.0,15.0,123.0,87.0,59.99,1.07,470.0,3199.46,0.33,192.0,278.0,72.0,40.0,102.0,2.25,89.0,N
4.0,37.0,0.0,6.0,20.0,7.0,74.0,50.0,25.8,0.6,307.0,1813.42,0.36,123.0,184.0,28.0,32.0,55.0,10.71,50.0,N
5.0,19.0,0.0,0.0,10.0,6.0,39.0,20.0,27.22,0.2,113.0,601.38,0.38,54.0,59.0,22.0,18.0,26.0,0.0,20.0,N
5.0,67.0,1.0,1.0,34.0,30.0,153.0,90.0,179.17,1.28,548.0,3829.8,0.35,243.0,305.0,108.0,19.0,98.0,2.17,91.0,N
9.0,59.0,0.0,1.0,34.0,22.0,137.0,88.0,69.41,1.04,466.0,3109.35,0.34,196.0,270.0,70.0,32.0,99.0,1.12,88.0,N
3.0,19.0,0.0,0.0,10.0,8.0,66.0,45.0,49.15,0.68,319.0,2049.98,0.2,148.0,171.0,55.0,31.0,49.0,0.0,45.0,N
6.0,45.0,2.0,0.0,23.0,19.0,112.0,69.0,61.49,0.79,377.0,2383.37,0.29,161.0,216.0,54.0,26.0,78.0,2.82,71.0,N
10.0,49.0,2.0,1.0,25.0,22.0,139.0,142.0,129.08,1.75,751.0,5239.94,0.16,328.0,423.0,101.0,25.0,156.0,2.07,144.0,N
5.0,33.0,6.0,6.0,17.0,7.0,69.0,57.0,88.87,0.95,429.0,2843.99,0.23,200.0,229.0,75.0,24.0,75.0,17.39,63.0,Y
3.0,5.0,0.0,0.0,3.0,1.0,10.0,10.0,9.15,0.05,35.0,148.68,0.21,15.0,20.0,6.0,13.0,14.0,0.0,10.0,N
14.0,11.0,2.0,16.0,6.0,3.0,28.0,40.0,35.84,0.46,242.0,1386.16,0.08,109.0,133.0,31.0,22.0,73.0,31.03,42.0,N
80.0,23.0,10.0,18.0,12.0,7.0,44.0,54.0,64.48,0.79,368.0,2358.66,0.07,166.0,202.0,59.0,26.0,163.0,34.15,64.0,Y
14.0,13.0,3.0,19.0,7.0,4.0,29.0,28.0,20.59,0.22,125.0,660.68,0.11,55.0,70.0,18.0,21.0,65.0,44.0,31.0,N
19.0,13.0,4.0,21.0,7.0,4.0,29.0,27.0,21.89,0.22,125.0,665.24,0.1,55.0,70.0,19.0,21.0,72.0,48.08,31.0,N
29.0,41.0,17.0,38.0,21.0,10.0,68.0,101.0,129.41,0.98,440.0,2942.06,0.11,201.0,239.0,84.0,19.0,186.0,35.26,118.0,N
19.0,13.0,5.0,19.0,7.0,4.0,29.0,26.0,23.19,0.22,125.0,669.69,0.1,55.0,70.0,20.0,21.0,70.0,48.0,31.0,N
5.0,7.0,0.0,0.0,4.0,1.0,11.0,10.0,6.98,0.05,37.0,154.29,0.25,17.0,20.0,5.0,13.0,16.0,0.0,10.0,N
23.0,11.0,1.0,7.0,8.0,5.0,24.0,45.0,41.03,0.34,176.0,1022.09,0.1,77.0,99.0,34.0,22.0,77.0,15.09,46.0,N
30.0,25.0,4.0,4.0,13.0,2.0,43.0,56.0,44.45,0.43,213.0,1287.46,0.14,95.0,118.0,41.0,25.0,95.0,12.5,60.0,N
31.0,39.0,3.0,26.0,20.0,2.0,67.0,60.0,54.85,0.79,375.0,2363.92,0.17,166.0,209.0,52.0,27.0,121.0,32.58,63.0,N
41.0,31.0,3.0,22.0,16.0,4.0,65.0,73.0,67.09,1.0,466.0,2994.64,0.11,206.0,260.0,60.0,26.0,140.0,25.51,76.0,N
122.0,41.0,3.0,35.0,21.0,2.0,76.0,73.0,69.75,0.71,331.0,2121.51,0.09,146.0,185.0,60.0,25.0,234.0,34.23,76.0,N
6.0,7.0,3.0,5.0,4.0,4.0,13.0,5.0,23.69,0.04,28.0,106.61,0.2,12.0,16.0,8.0,6.0,20.0,61.54,8.0,N
101.0,46.0,12.0,7.0,26.0,11.0,89.0,143.0,95.85,1.43,604.0,4287.21,0.1,271.0,333.0,103.0,34.0,264.0,11.73,155.0,N
48.0,5.0,2.0,26.0,3.0,2.0,14.0,51.0,113.81,0.64,296.0,1907.11,0.02,138.0,158.0,70.0,17.0,128.0,35.44,53.0,N
30.0,18.0,6.0,11.0,10.0,7.0,38.0,43.0,47.89,0.34,168.0,1022.69,0.11,69.0,99.0,42.0,26.0,91.0,28.33,49.0,N
8.0,5.0,1.0,8.0,3.0,1.0,7.0,6.0,15.72,0.06,40.0,172.88,0.13,18.0,22.0,9.0,11.0,24.0,60.0,7.0,N
9.0,3.0,1.0,7.0,2.0,1.0,5.0,5.0,16.12,0.04,29.0,120.93,0.09,12.0,17.0,8.0,10.0,23.0,61.54,6.0,N
28.0,13.0,2.0,7.0,7.0,1.0,15.0,13.0,21.22,0.12,79.0,371.33,0.11,35.0,44.0,13.0,13.0,61.0,40.91,15.0,N
8.0,14.0,9.0,4.0,9.0,9.0,24.0,25.0,49.99,0.39,200.0,1166.58,0.19,69.0,131.0,34.0,23.0,47.0,34.21,34.0,N
18.0,21.0,13.0,14.0,11.0,6.0,40.0,57.0,114.46,1.02,434.0,3047.71,0.11,194.0,240.0,102.0,28.0,103.0,32.14,70.0,Y
6.0,9.0,1.0,3.0,5.0,3.0,14.0,10.0,19.49,0.06,42.0,189.99,0.24,15.0,27.0,10.0,13.0,21.0,28.57,11.0,N
49.0,178.0,48.0,71.0,106.0,82.0,361.0,457.0,272.58,6.9,2339.0,20696.93,0.17,942.0,1397.0,397.0,64.0,626.0,20.66,505.0,Y
10.0,7.0,3.0,10.0,4.0,1.0,15.0,22.0,49.56,0.25,143.0,755.81,0.09,61.0,82.0,26.0,13.0,46.0,37.14,25.0,N
18.0,9.0,4.0,15.0,5.0,1.0,18.0,28.0,39.43,0.27,146.0,801.81,0.08,61.0,85.0,27.0,18.0,66.0,40.43,32.0,N
21.0,20.0,6.0,20.0,12.0,7.0,50.0,71.0,47.35,0.84,393.0,2532.08,0.1,175.0,218.0,54.0,33.0,119.0,26.8,77.0,N
7.0,7.0,5.0,6.0,4.0,1.0,13.0,19.0,36.57,0.2,116.0,585.15,0.11,56.0,60.0,21.0,12.0,38.0,36.67,24.0,Y
6.0,3.0,1.0,5.0,2.0,2.0,8.0,8.0,19.93,0.02,18.0,59.79,0.1,6.0,12.0,5.0,5.0,21.0,42.86,9.0,N
6.0,3.0,1.0,7.0,2.0,2.0,10.0,10.0,30.11,0.03,24.0,86.04,0.08,8.0,16.0,7.0,5.0,25.0,44.44,11.0,N
4.0,3.0,1.0,3.0,2.0,1.0,6.0,9.0,18.85,0.06,41.0,167.59,0.11,20.0,21.0,9.0,8.0,18.0,30.77,10.0,N
5.0,9.0,3.0,9.0,5.0,1.0,16.0,15.0,26.32,0.12,72.0,360.0,0.15,31.0,41.0,17.0,15.0,33.0,44.44,18.0,N
4.0,3.0,1.0,3.0,2.0,1.0,5.0,14.0,40.13,0.16,100.0,485.8,0.09,46.0,54.0,19.0,10.0,23.0,22.22,15.0,N
3.0,11.0,3.0,5.0,6.0,4.0,20.0,15.0,40.56,0.12,75.0,360.55,0.22,32.0,43.0,18.0,10.0,27.0,34.78,18.0,N
2.0,11.0,2.0,10.0,6.0,3.0,18.0,26.0,70.03,0.25,134.0,744.31,0.15,62.0,72.0,35.0,12.0,41.0,31.58,28.0,N
5.0,3.0,1.0,3.0,2.0,1.0,6.0,11.0,30.49,0.08,52.0,235.23,0.1,24.0,28.0,14.0,9.0,21.0,26.67,12.0,N
2.0,9.0,5.0,10.0,5.0,5.0,20.0,24.0,65.97,0.25,136.0,759.55,0.12,62.0,74.0,35.0,13.0,42.0,38.46,29.0,N
2.0,3.0,1.0,0.0,2.0,1.0,6.0,10.0,14.55,0.05,35.0,153.73,0.14,13.0,22.0,8.0,13.0,14.0,9.09,11.0,N
4.0,5.0,1.0,3.0,3.0,1.0,11.0,11.0,21.4,0.09,56.0,256.76,0.15,24.0,32.0,12.0,12.0,20.0,26.67,12.0,N
8.0,7.0,2.0,6.0,4.0,1.0,16.0,15.0,31.88,0.13,79.0,391.38,0.13,34.0,45.0,18.0,13.0,32.0,34.78,17.0,Y
9.0,11.0,5.0,12.0,6.0,4.0,23.0,27.0,44.03,0.27,147.0,820.99,0.11,68.0,79.0,31.0,17.0,54.0,38.64,32.0,N
2.0,3.0,1.0,0.0,2.0,1.0,6.0,10.0,14.15,0.06,36.0,165.06,0.14,14.0,22.0,9.0,15.0,14.0,9.09,11.0,N
9.0,7.0,1.0,11.0,4.0,2.0,16.0,21.0,26.56,0.19,103.0,555.41,0.09,46.0,57.0,22.0,20.0,43.0,36.36,22.0,N
2.0,3.0,1.0,1.0,2.0,1.0,7.0,12.0,26.28,0.11,75.0,324.14,0.12,37.0,38.0,12.0,8.0,17.0,14.29,13.0,N
6.0,9.0,2.0,4.0,5.0,2.0,16.0,12.0,15.86,0.11,66.0,317.29,0.2,30.0,36.0,12.0,16.0,25.0,33.33,14.0,N
7.0,9.0,3.0,12.0,5.0,3.0,17.0,27.0,51.99,0.25,136.0,755.42,0.1,62.0,74.0,32.0,15.0,50.0,35.71,30.0,N
3.0,3.0,0.0,0.0,2.0,1.0,7.0,12.0,38.44,0.16,91.0,484.3,0.13,42.0,49.0,25.0,15.0,16.0,0.0,12.0,N
1.0,9.0,0.0,0.0,5.0,3.0,23.0,21.0,24.27,0.19,111.0,582.52,0.22,48.0,63.0,19.0,19.0,23.0,0.0,21.0,N
1.0,5.0,0.0,0.0,3.0,3.0,11.0,12.0,19.82,0.11,64.0,317.07,0.21,30.0,34.0,15.0,16.0,14.0,0.0,12.0,N
1.0,3.0,0.0,0.0,2.0,2.0,7.0,8.0,14.35,0.05,33.0,149.28,0.2,16.0,17.0,10.0,13.0,10.0,0.0,8.0,N
2.0,13.0,2.0,0.0,8.0,8.0,33.0,37.0,41.04,0.26,134.0,767.54,0.19,57.0,77.0,32.0,21.0,42.0,5.13,39.0,N
5.0,15.0,0.0,3.0,8.0,8.0,42.0,39.0,39.25,0.33,175.0,977.37,0.17,83.0,92.0,30.0,18.0,48.0,7.14,39.0,N
3.0,19.0,0.0,0.0,10.0,6.0,53.0,36.0,58.73,0.29,151.0,856.54,0.25,70.0,81.0,36.0,15.0,40.0,0.0,36.0,N
1.0,19.0,0.0,0.0,13.0,9.0,51.0,43.0,50.81,0.35,176.0,1047.94,0.29,75.0,101.0,40.0,22.0,45.0,0.0,43.0,N
17.0,57.0,24.0,38.0,29.0,9.0,96.0,66.0,163.74,1.13,488.0,3387.95,0.2,201.0,287.0,102.0,21.0,146.0,48.44,90.0,Y
