@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
6.0,2.0,0.0,5.0,0.13,2.0,57.32,0.19,113.0,0.1,584.2,7.0,0.06,53.0,60.0,26.0,10.0,35.0,23.81,16.0,N
2.0,2.0,0.0,0.0,0.25,2.0,18.53,0.06,40.0,0.11,166.8,7.0,0.18,18.0,22.0,9.0,9.0,11.0,0.0,8.0,N
2.0,2.0,0.0,0.0,0.25,2.0,18.53,0.06,40.0,0.11,166.8,7.0,0.18,18.0,22.0,9.0,9.0,11.0,0.0,8.0,N
2.0,2.0,0.0,0.0,0.25,2.0,18.53,0.06,40.0,0.11,166.8,7.0,0.18,18.0,22.0,9.0,9.0,11.0,0.0,8.0,N
6.0,3.0,1.0,1.0,0.23,2.0,25.16,0.09,58.0,0.09,281.76,10.0,0.14,24.0,34.0,15.0,14.0,21.0,14.29,13.0,N
7.0,10.0,4.0,16.0,0.17,2.33,70.93,0.44,210.0,0.05,1319.93,36.0,0.13,89.0,121.0,55.0,23.0,99.0,21.98,75.0,Y
8.0,2.0,1.0,9.0,0.21,2.0,30.78,0.11,63.0,0.1,323.14,11.0,0.09,28.0,35.0,20.0,15.0,32.0,43.48,14.0,N
13.0,0.0,0.0,2.0,0.01,2.0,1535.48,5.67,1916.0,0.09,16995.62,17.0,0.01,1129.0,787.0,459.0,9.0,413.0,0.5,397.0,N
22.0,13.0,0.0,51.0,0.03,2.0,1349.98,17.97,5580.0,0.03,53912.72,99.0,0.03,2733.0,2847.0,787.0,23.0,891.0,5.88,817.0,N
0.0,1.0,0.0,0.0,0.38,2.0,9.42,0.05,41.0,0.06,160.18,9.0,0.33,17.0,24.0,5.0,10.0,9.0,0.0,8.0,N
1.0,2.0,0.0,0.0,0.4,2.0,13.67,0.03,20.0,0.18,78.14,8.0,0.29,10.0,10.0,7.0,8.0,7.0,0.0,5.0,N
13.0,8.0,1.0,13.0,0.14,2.0,50.44,0.14,85.0,0.12,428.77,21.0,0.06,34.0,51.0,22.0,11.0,48.0,41.18,21.0,Y
11.0,8.0,1.0,10.0,0.18,2.0,54.41,0.11,66.0,0.16,330.0,17.0,0.08,31.0,35.0,23.0,9.0,39.0,40.74,17.0,Y
3.0,0.0,17.0,0.0,0.47,2.0,76.91,0.41,222.0,0.06,1219.19,26.0,0.39,98.0,124.0,34.0,11.0,23.0,89.47,19.0,Y
2.0,0.0,10.0,0.0,0.25,2.0,59.38,0.24,136.0,0.08,713.72,8.0,0.2,59.0,77.0,27.0,11.0,15.0,83.33,12.0,N
2.0,0.0,14.0,0.0,0.56,2.0,85.3,0.31,168.0,0.09,938.27,26.0,0.47,74.0,94.0,37.0,11.0,19.0,87.5,16.0,Y
2.0,0.0,5.0,0.0,0.71,2.0,39.02,0.07,46.0,0.19,208.08,14.0,0.5,20.0,26.0,15.0,8.0,10.0,71.43,7.0,N
13.0,3.0,0.0,1.0,0.59,2.0,212.2,2.36,1045.0,0.03,7086.52,158.0,0.46,423.0,622.0,95.0,15.0,71.0,1.75,56.0,Y
7.0,2.0,2.0,1.0,0.58,2.0,99.64,0.82,407.0,0.04,2451.1,64.0,0.42,164.0,243.0,50.0,15.0,33.0,12.0,24.0,Y
21.0,5.0,6.0,1.0,0.61,2.0,318.29,3.9,1588.0,0.03,11711.56,223.0,0.46,645.0,943.0,149.0,17.0,97.0,9.33,74.0,Y
14.0,3.0,0.0,0.0,0.46,2.0,162.87,1.31,600.0,0.04,3941.91,87.0,0.33,239.0,361.0,79.0,16.0,54.0,0.0,39.0,Y
10.0,2.0,6.0,1.0,0.54,2.0,189.65,2.31,1031.0,0.03,6922.39,124.0,0.43,438.0,593.0,90.0,15.0,60.0,14.29,48.0,Y
4.0,0.0,1.0,4.0,0.64,2.3,15.66,0.17,102.0,0.03,500.5,34.0,0.45,37.0,65.0,11.0,19.0,31.0,19.23,22.0,N
18.0,8.0,2.0,24.0,0.1,2.0,72.48,0.5,257.0,0.05,1499.05,37.0,0.06,106.0,151.0,41.0,16.0,80.0,34.67,51.0,Y
1.0,0.0,0.0,0.0,0.22,2.0,17.71,0.08,62.0,0.07,248.0,5.0,0.18,28.0,34.0,8.0,8.0,11.0,0.0,9.0,N
11.0,3.0,1.0,2.0,0.14,2.0,49.99,0.29,160.0,0.06,862.77,18.0,0.1,77.0,83.0,29.0,13.0,42.0,10.0,28.0,N
7.0,2.0,4.0,1.0,0.29,3.0,24.63,0.14,85.0,0.06,428.77,14.0,0.21,37.0,48.0,17.0,16.0,33.0,20.0,24.0,N
9.0,3.0,2.0,8.0,0.25,2.5,31.34,0.11,66.0,0.1,323.85,13.0,0.12,31.0,35.0,18.0,12.0,34.0,41.67,16.0,N
6.0,1.0,7.0,2.0,0.13,2.0,20.45,0.1,66.0,0.07,310.23,10.0,0.09,26.0,40.0,12.0,14.0,33.0,34.62,24.0,N
3.0,0.0,0.0,0.0,0.4,2.0,9.87,0.02,15.0,0.18,55.51,5.0,0.22,5.0,10.0,4.0,9.0,9.0,0.0,5.0,N
6.0,7.0,2.0,5.0,0.09,2.0,55.64,0.15,89.0,0.12,460.12,13.0,0.06,43.0,46.0,26.0,10.0,35.0,25.0,23.0,N
5.0,1.0,1.0,3.0,0.24,2.5,34.78,0.16,90.0,0.07,488.36,11.0,0.15,39.0,51.0,25.0,18.0,26.0,20.0,17.0,N
8.0,6.0,3.0,16.0,0.28,2.23,81.83,0.8,375.0,0.03,2390.64,56.0,0.2,162.0,213.0,61.0,22.0,85.0,25.0,60.0,N
9.0,6.0,4.0,8.0,0.27,2.14,58.4,0.29,147.0,0.07,871.82,32.0,0.18,66.0,81.0,42.0,19.0,51.0,29.27,33.0,N
3.0,2.0,4.0,4.0,0.14,2.0,23.37,0.07,45.0,0.11,213.97,9.0,0.1,17.0,28.0,13.0,14.0,30.0,30.77,22.0,N
14.0,8.0,5.0,14.0,0.23,2.86,46.09,0.83,390.0,0.02,2479.45,45.0,0.15,177.0,213.0,51.0,31.0,102.0,24.36,64.0,Y
8.0,2.0,1.0,4.0,0.12,2.0,85.6,0.62,307.0,0.05,1848.87,27.0,0.09,144.0,163.0,50.0,15.0,47.0,13.16,34.0,Y
5.0,3.0,1.0,3.0,0.14,2.0,34.95,0.21,119.0,0.05,641.69,10.0,0.09,54.0,65.0,25.0,17.0,23.0,23.53,14.0,N
3.0,3.0,0.0,0.0,0.53,2.5,33.88,0.45,232.0,0.03,1341.28,51.0,0.48,95.0,137.0,30.0,25.0,40.0,0.0,36.0,N
1.0,1.0,0.0,0.0,0.41,2.2,44.6,0.19,110.0,0.08,568.69,19.0,0.37,51.0,59.0,24.0,12.0,19.0,0.0,17.0,N
4.0,2.0,0.0,1.0,0.38,2.43,26.43,0.31,161.0,0.03,917.77,30.0,0.31,75.0,86.0,27.0,25.0,35.0,3.33,29.0,N
1.0,0.0,0.0,0.0,0.47,2.6,19.04,0.17,99.0,0.04,507.8,22.0,0.43,40.0,59.0,15.0,20.0,21.0,0.0,19.0,N
4.0,1.0,1.0,1.0,0.38,2.17,15.74,0.14,83.0,0.04,411.2,26.0,0.3,33.0,50.0,12.0,19.0,27.0,9.09,21.0,N
4.0,1.0,1.0,1.0,0.38,2.17,15.74,0.14,83.0,0.04,411.2,26.0,0.3,33.0,50.0,12.0,19.0,27.0,9.09,21.0,N
26.0,4.0,3.0,13.0,0.1,2.0,98.24,0.75,350.0,0.04,2243.29,27.0,0.05,170.0,180.0,67.0,18.0,82.0,29.09,42.0,Y
32.0,1.0,6.0,10.0,0.43,2.15,63.05,0.68,348.0,0.03,2029.85,51.0,0.19,165.0,183.0,41.0,16.0,78.0,35.56,35.0,N
17.0,1.0,4.0,7.0,0.27,2.67,36.66,0.16,94.0,0.07,493.31,14.0,0.13,37.0,57.0,22.0,16.0,47.0,37.93,22.0,Y
21.0,3.0,4.0,7.0,0.23,2.0,55.22,0.36,188.0,0.05,1086.9,22.0,0.12,88.0,100.0,38.0,17.0,60.0,28.95,31.0,Y
9.0,3.0,0.0,3.0,0.1,2.0,52.01,0.25,138.0,0.07,762.25,12.0,0.06,67.0,71.0,32.0,14.0,33.0,13.04,20.0,Y
16.0,3.0,3.0,7.0,0.33,2.0,37.77,0.15,92.0,0.08,464.08,17.0,0.14,43.0,49.0,21.0,12.0,42.0,40.0,18.0,N
20.0,2.0,6.0,14.0,0.27,2.0,55.87,0.3,159.0,0.06,906.37,23.0,0.12,73.0,86.0,36.0,16.0,65.0,45.45,30.0,N
15.0,3.0,4.0,11.0,0.28,2.2,47.71,0.25,135.0,0.06,761.92,20.0,0.13,62.0,73.0,33.0,17.0,52.0,41.67,25.0,Y
16.0,1.0,0.0,9.0,0.31,2.0,24.0,0.18,108.0,0.04,540.0,14.0,0.1,51.0,57.0,17.0,15.0,39.0,40.91,13.0,N
5.0,0.0,0.0,0.0,0.5,2.0,11.42,0.03,20.0,0.15,76.15,6.0,0.2,10.0,10.0,6.0,8.0,10.0,0.0,4.0,N
5.0,0.0,0.0,0.0,0.43,2.0,7.53,0.03,21.0,0.1,75.28,8.0,0.23,10.0,11.0,4.0,8.0,13.0,0.0,7.0,N
16.0,2.0,4.0,11.0,0.29,2.2,47.71,0.25,135.0,0.06,761.92,19.0,0.13,62.0,73.0,33.0,17.0,52.0,42.86,24.0,Y
19.0,5.0,4.0,19.0,0.25,2.0,32.36,0.34,179.0,0.03,1020.38,25.0,0.1,86.0,93.0,30.0,22.0,63.0,53.49,24.0,N
18.0,1.0,4.0,11.0,0.39,2.5,33.36,0.16,90.0,0.07,475.69,18.0,0.15,41.0,49.0,23.0,16.0,48.0,51.72,18.0,Y
22.0,1.0,4.0,19.0,0.44,2.22,50.37,0.3,155.0,0.06,907.99,32.0,0.17,74.0,81.0,39.0,19.0,69.0,50.0,27.0,Y
12.0,5.0,1.0,14.0,0.2,2.0,33.92,0.11,62.0,0.11,318.02,10.0,0.05,25.0,37.0,20.0,15.0,37.0,62.5,10.0,N
6.0,3.0,0.0,8.0,0.4,2.0,28.99,0.05,36.0,0.18,160.54,7.0,0.1,16.0,20.0,13.0,9.0,20.0,61.54,5.0,N
20.0,9.0,4.0,17.0,0.32,2.25,55.47,0.15,83.0,0.12,447.56,20.0,0.11,36.0,47.0,29.0,13.0,57.0,58.33,19.0,Y
11.0,1.0,2.0,8.0,0.25,2.5,18.53,0.07,46.0,0.09,216.22,9.0,0.09,20.0,26.0,12.0,14.0,32.0,50.0,12.0,N
4.0,3.0,0.0,0.0,0.33,2.0,23.63,0.05,34.0,0.17,141.78,7.0,0.18,15.0,19.0,10.0,8.0,11.0,0.0,6.0,N
1.0,0.0,0.0,0.0,0.4,2.0,8.55,0.07,48.0,0.04,200.16,14.0,0.33,18.0,30.0,5.0,13.0,12.0,0.0,10.0,N
2.0,2.0,0.0,0.0,0.13,2.0,25.27,0.1,62.0,0.09,287.92,8.0,0.11,29.0,33.0,14.0,11.0,18.0,0.0,15.0,N
1.0,0.0,1.0,0.0,0.17,2.0,19.12,0.04,31.0,0.17,114.71,6.0,0.14,14.0,17.0,7.0,6.0,14.0,8.33,12.0,N
1.0,1.0,0.0,0.0,0.18,2.0,22.15,0.05,34.0,0.16,141.78,8.0,0.15,16.0,18.0,10.0,8.0,13.0,0.0,11.0,N
1.0,1.0,0.0,0.0,0.2,2.0,38.09,0.08,54.0,0.15,247.59,7.0,0.17,26.0,28.0,16.0,8.0,12.0,0.0,10.0,N
1.0,2.0,0.0,0.0,0.33,2.0,20.0,0.11,70.0,0.06,325.07,23.0,0.3,30.0,40.0,12.0,13.0,23.0,0.0,21.0,N
7.0,1.0,3.0,0.0,0.15,2.0,27.46,0.12,88.0,0.07,366.95,10.0,0.11,42.0,46.0,11.0,7.0,28.0,15.0,20.0,N
1.0,0.0,0.0,0.0,0.29,2.0,8.22,0.02,20.0,0.11,74.01,6.0,0.22,8.0,12.0,4.0,9.0,9.0,0.0,7.0,N
2.0,2.0,0.0,0.0,0.25,2.0,11.6,0.04,29.0,0.1,116.0,7.0,0.18,12.0,17.0,6.0,10.0,11.0,0.0,8.0,N
1.0,1.0,0.0,0.0,0.15,2.0,26.51,0.06,43.0,0.14,188.87,7.0,0.13,19.0,24.0,12.0,9.0,15.0,0.0,13.0,N
4.0,0.0,0.0,0.0,0.33,2.0,14.8,0.04,28.0,0.12,126.66,5.0,0.18,11.0,17.0,9.0,14.0,11.0,0.0,6.0,N
6.0,2.0,0.0,0.0,0.18,2.33,21.3,0.15,89.0,0.05,463.64,16.0,0.14,37.0,52.0,17.0,20.0,35.0,0.0,28.0,N
1.0,1.0,0.0,0.0,0.43,2.0,11.62,0.04,29.0,0.1,113.3,9.0,0.33,13.0,16.0,6.0,9.0,9.0,0.0,7.0,N
39.0,5.0,4.0,32.0,0.14,2.0,44.55,0.38,198.0,0.04,1128.69,19.0,0.05,88.0,110.0,33.0,19.0,114.0,48.65,42.0,Y
40.0,1.0,5.0,23.0,0.31,2.6,56.67,0.33,173.0,0.06,990.93,34.0,0.14,68.0,105.0,35.0,18.0,118.0,36.36,54.0,N
28.0,4.0,5.0,23.0,0.14,2.0,99.95,0.4,200.0,0.08,1195.46,20.0,0.06,92.0,108.0,50.0,13.0,89.0,46.67,37.0,Y
17.0,2.0,3.0,24.0,0.11,2.0,24.8,0.1,61.0,0.08,302.21,7.0,0.03,26.0,35.0,16.0,15.0,61.0,62.79,19.0,Y
29.0,4.0,4.0,13.0,0.23,2.33,39.96,0.27,143.0,0.05,811.16,24.0,0.1,58.0,85.0,30.0,21.0,89.0,32.68,39.0,N
10.0,1.0,2.0,13.0,0.1,2.0,54.15,0.26,157.0,0.07,791.97,8.0,0.04,78.0,79.0,24.0,9.0,45.0,44.12,21.0,Y
15.0,3.0,3.0,21.0,0.17,2.0,38.86,0.18,105.0,0.07,554.97,12.0,0.05,51.0,54.0,25.0,14.0,55.0,61.54,18.0,N
18.0,1.0,4.0,27.0,0.17,2.5,42.56,0.2,114.0,0.07,614.72,10.0,0.06,52.0,62.0,27.0,15.0,69.0,62.0,23.0,N
22.0,5.0,8.0,18.0,0.14,2.0,36.37,0.22,121.0,0.05,664.51,19.0,0.06,50.0,71.0,26.0,19.0,77.0,48.15,36.0,N
15.0,3.0,5.0,37.0,0.21,2.0,33.28,0.18,95.0,0.06,530.57,16.0,0.06,41.0,54.0,27.0,21.0,77.0,68.85,24.0,Y
14.0,4.0,4.0,19.0,0.18,3.0,34.91,0.15,85.0,0.08,449.26,11.0,0.06,37.0,48.0,23.0,16.0,51.0,63.89,17.0,Y
60.0,8.0,8.0,34.0,0.06,2.0,74.64,0.34,180.0,0.07,1031.03,14.0,0.02,85.0,95.0,40.0,13.0,126.0,64.62,31.0,Y
33.0,9.0,12.0,23.0,0.22,2.67,48.11,0.26,133.0,0.06,779.11,25.0,0.1,53.0,80.0,36.0,22.0,102.0,51.47,45.0,N
30.0,7.0,7.0,27.0,0.21,2.0,58.55,0.43,222.0,0.05,1283.46,40.0,0.1,98.0,124.0,38.0,17.0,111.0,42.5,53.0,Y
3.0,2.0,4.0,3.0,0.16,2.0,38.31,0.17,95.0,0.07,518.65,11.0,0.13,43.0,52.0,27.0,17.0,32.0,25.0,25.0,Y
13.0,4.0,1.0,13.0,0.27,2.0,29.18,0.08,50.0,0.13,229.25,12.0,0.1,22.0,28.0,14.0,10.0,42.0,50.0,15.0,Y
11.0,2.0,1.0,20.0,0.18,2.38,80.39,0.37,183.0,0.07,1121.66,31.0,0.12,87.0,96.0,53.0,17.0,97.0,24.71,65.0,Y
15.0,8.0,8.0,46.0,0.37,4.67,65.12,0.8,389.0,0.03,2400.1,43.0,0.18,179.0,210.0,51.0,21.0,125.0,49.54,63.0,Y
13.0,1.0,6.0,42.0,0.23,2.0,23.64,0.07,48.0,0.11,220.08,9.0,0.04,22.0,26.0,13.0,11.0,69.0,87.27,13.0,Y
4.0,4.0,0.0,0.0,0.25,3.0,27.43,0.07,47.0,0.13,215.49,10.0,0.18,22.0,25.0,14.0,10.0,17.0,0.0,12.0,N
3.0,1.0,0.0,0.0,0.33,2.0,13.83,0.05,36.0,0.09,155.59,6.0,0.2,15.0,21.0,8.0,12.0,10.0,0.0,6.0,N
3.0,1.0,2.0,0.0,0.17,2.0,26.3,0.09,52.0,0.1,274.84,8.0,0.04,22.0,30.0,20.0,19.0,80.0,11.11,18.0,N
7.0,4.0,7.0,12.0,0.46,2.15,33.74,0.4,198.0,0.03,1188.0,54.0,0.29,85.0,113.0,35.0,29.0,55.0,40.43,35.0,N
2.0,1.0,0.0,0.0,0.38,2.0,12.1,0.06,39.0,0.07,168.56,8.0,0.27,15.0,24.0,7.0,13.0,11.0,0.0,8.0,N
15.0,5.0,0.0,50.0,0.04,2.4,175.59,3.12,1309.0,0.02,9345.67,51.0,0.03,644.0,665.0,121.0,20.0,256.0,20.83,190.0,N
14.0,1.0,3.0,10.0,0.33,2.33,22.72,0.14,86.0,0.05,426.06,14.0,0.13,40.0,46.0,16.0,15.0,40.0,52.0,15.0,N
6.0,2.0,2.0,0.0,0.25,2.0,22.46,0.07,43.0,0.11,202.12,7.0,0.13,18.0,25.0,13.0,13.0,15.0,25.0,8.0,N
6.0,2.0,2.0,0.0,0.25,2.0,22.46,0.07,43.0,0.11,202.12,7.0,0.13,18.0,25.0,13.0,13.0,15.0,25.0,8.0,N
7.0,1.0,1.0,6.0,0.33,2.0,20.84,0.03,21.0,0.25,82.04,6.0,0.1,9.0,12.0,8.0,7.0,20.0,58.33,6.0,N
36.0,8.0,12.0,24.0,0.23,2.2,75.71,0.5,237.0,0.05,1494.0,39.0,0.11,109.0,128.0,58.0,21.0,117.0,45.0,56.0,Y
17.0,6.0,5.0,10.0,0.22,2.0,37.97,0.19,104.0,0.07,560.8,17.0,0.1,48.0,56.0,26.0,16.0,51.0,45.45,23.0,N
1.0,0.0,17.0,0.0,0.21,2.13,31.42,0.48,246.0,0.02,1447.13,32.0,0.2,102.0,144.0,31.0,28.0,50.0,35.42,48.0,N
1.0,0.0,1.0,0.0,0.27,2.0,13.96,0.05,36.0,0.09,162.85,9.0,0.23,15.0,21.0,9.0,14.0,13.0,9.09,11.0,N
1.0,3.0,0.0,0.0,0.28,2.0,25.81,0.26,143.0,0.03,775.96,26.0,0.26,63.0,80.0,22.0,21.0,31.0,0.0,29.0,N
2.0,3.0,0.0,0.0,0.54,2.5,14.04,0.14,84.0,0.03,412.18,24.0,0.44,34.0,50.0,11.0,19.0,16.0,0.0,13.0,N
3.0,2.0,0.0,0.0,0.08,2.0,30.78,0.18,108.0,0.06,553.96,13.0,0.07,48.0,60.0,20.0,15.0,28.0,0.0,24.0,N
3.0,6.0,0.0,0.0,0.23,2.0,38.43,0.36,181.0,0.04,1077.71,36.0,0.21,83.0,98.0,37.0,25.0,47.0,0.0,43.0,N
2.0,5.0,0.0,0.0,0.25,3.0,23.94,0.13,79.0,0.06,395.0,15.0,0.22,33.0,46.0,16.0,16.0,23.0,0.0,20.0,N
1.0,1.0,0.0,0.0,0.3,2.0,14.62,0.04,31.0,0.11,133.98,11.0,0.25,15.0,16.0,9.0,11.0,12.0,0.0,10.0,N
5.0,4.0,0.0,0.0,0.52,2.07,90.42,0.39,199.0,0.08,1175.47,62.0,0.44,94.0,105.0,47.0,13.0,39.0,0.0,33.0,N
1.0,4.0,0.0,0.0,0.33,2.0,24.0,0.04,28.0,0.21,112.0,10.0,0.27,12.0,16.0,9.0,7.0,11.0,0.0,9.0,N
4.0,6.0,0.0,0.0,0.44,2.08,88.96,0.98,450.0,0.03,2935.6,99.0,0.4,210.0,240.0,70.0,22.0,67.0,0.0,62.0,N
1.0,6.0,0.0,0.0,0.38,2.0,95.28,0.82,374.0,0.04,2445.65,90.0,0.37,176.0,198.0,72.0,21.0,57.0,0.0,55.0,N
3.0,7.0,0.0,0.0,0.33,2.0,43.84,0.33,171.0,0.04,997.42,39.0,0.29,78.0,93.0,36.0,21.0,34.0,0.0,30.0,N
12.0,12.0,2.0,0.0,0.38,2.0,69.02,1.03,448.0,0.02,3083.42,89.0,0.33,181.0,267.0,79.0,39.0,102.0,2.25,89.0,N
3.0,4.0,0.0,2.0,0.41,2.45,25.89,0.58,293.0,0.01,1730.72,54.0,0.36,117.0,176.0,28.0,32.0,55.0,3.92,49.0,N
4.0,2.0,0.0,0.0,0.52,2.0,24.3,0.22,125.0,0.04,655.99,34.0,0.42,60.0,65.0,20.0,18.0,26.0,0.0,21.0,N
5.0,16.0,1.0,1.0,0.37,2.02,179.17,1.28,548.0,0.05,3829.8,121.0,0.35,243.0,305.0,108.0,19.0,98.0,2.17,91.0,N
1.0,4.0,0.0,0.0,0.31,2.11,57.83,0.51,243.0,0.04,1531.82,43.0,0.3,108.0,135.0,53.0,26.0,47.0,0.0,45.0,N
9.0,13.0,0.0,1.0,0.39,2.05,71.79,1.01,450.0,0.02,3015.2,101.0,0.34,189.0,261.0,72.0,32.0,99.0,1.12,88.0,N
3.0,12.0,0.0,0.0,0.22,2.13,48.13,0.62,291.0,0.03,1865.13,54.0,0.2,135.0,156.0,54.0,31.0,49.0,0.0,45.0,N
6.0,11.0,2.0,0.0,0.32,2.05,63.43,0.74,350.0,0.03,2218.95,87.0,0.29,148.0,202.0,55.0,26.0,78.0,2.82,71.0,N
3.0,3.0,0.0,0.0,0.3,2.0,29.43,0.18,102.0,0.05,546.47,20.0,0.26,43.0,59.0,22.0,19.0,27.0,0.0,23.0,N
10.0,12.0,2.0,1.0,0.17,2.0,135.53,1.7,729.0,0.03,5086.44,112.0,0.16,319.0,410.0,102.0,24.0,156.0,2.07,144.0,N
3.0,0.0,1.0,3.0,0.27,2.0,28.72,0.09,56.0,0.11,269.21,14.0,0.18,25.0,31.0,16.0,12.0,22.0,22.22,15.0,N
7.0,3.0,4.0,6.0,0.13,2.0,48.79,0.31,160.0,0.05,937.28,12.0,0.08,73.0,87.0,38.0,20.0,37.0,34.48,23.0,N
5.0,2.0,6.0,6.0,0.27,2.23,95.6,0.67,313.0,0.05,2016.64,54.0,0.23,151.0,162.0,68.0,19.0,75.0,17.39,63.0,Y
3.0,0.0,0.0,0.0,0.3,2.0,9.15,0.05,35.0,0.06,148.68,9.0,0.21,15.0,20.0,6.0,13.0,14.0,0.0,10.0,N
14.0,1.0,2.0,16.0,0.14,2.0,41.91,0.39,204.0,0.04,1157.17,24.0,0.08,93.0,111.0,32.0,19.0,73.0,31.03,42.0,N
53.0,5.0,12.0,22.0,0.13,2.11,132.29,0.99,444.0,0.04,2981.13,43.0,0.07,204.0,240.0,86.0,19.0,161.0,31.78,85.0,Y
14.0,4.0,3.0,19.0,0.19,2.0,25.75,0.21,116.0,0.04,617.34,21.0,0.09,53.0,63.0,21.0,19.0,65.0,44.0,31.0,N
19.0,4.0,4.0,21.0,0.19,2.0,25.75,0.21,116.0,0.04,617.34,21.0,0.08,53.0,63.0,21.0,19.0,72.0,48.08,31.0,N
24.0,5.0,18.0,38.0,0.16,2.38,182.27,0.95,419.0,0.06,2835.87,53.0,0.1,195.0,224.0,94.0,15.0,184.0,35.22,121.0,N
19.0,4.0,5.0,19.0,0.19,2.0,27.15,0.21,116.0,0.04,621.48,21.0,0.09,53.0,63.0,22.0,19.0,70.0,48.0,31.0,N
5.0,0.0,0.0,0.0,0.4,2.5,6.98,0.05,37.0,0.05,154.29,9.0,0.25,17.0,20.0,5.0,13.0,16.0,0.0,10.0,N
23.0,5.0,1.0,7.0,0.17,2.0,42.42,0.34,176.0,0.04,1026.58,18.0,0.1,77.0,99.0,35.0,22.0,77.0,15.09,46.0,Y
