@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute CONDITION_COUNT numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUMBER_OF_LINES numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
2.0,3.0,2.0,4.0,2.0,2.0,9.0,10.0,26.13,0.07,42.0,195.04,1.0,2.0,9.0,19.0,23.0,14.0,13.0,10.0,N
5.0,5.0,6.0,8.0,4.0,3.0,14.0,24.0,51.32,0.22,121.0,656.58,2.0,4.0,13.0,53.0,68.0,29.0,35.0,24.0,N
1.0,3.0,2.0,4.0,2.0,2.0,6.0,9.0,18.23,0.02,19.0,70.31,1.0,2.0,6.0,9.0,10.0,7.0,11.0,9.0,N
2.0,3.0,1.0,4.0,2.0,2.0,7.0,11.0,17.11,0.04,30.0,131.77,1.0,2.0,7.0,14.0,16.0,10.0,14.0,11.0,N
6.0,7.0,16.0,8.0,4.0,4.0,30.0,28.0,101.03,0.2,109.0,602.07,2.0,4.0,28.0,49.0,60.0,37.0,38.0,28.0,Y
1.0,5.0,4.0,8.0,4.0,3.0,13.0,18.0,49.47,0.07,46.0,218.72,2.0,4.0,12.0,21.0,25.0,19.0,20.0,18.0,Y
5.0,10.0,6.0,8.0,4.0,7.0,23.0,32.0,36.52,0.2,106.0,595.16,2.0,4.0,18.0,40.0,66.0,27.0,38.0,32.0,N
7.0,10.0,1.0,12.0,6.0,5.0,21.0,39.0,29.3,0.25,130.0,748.14,3.0,6.0,17.0,55.0,75.0,28.0,49.0,39.0,N
6.0,11.0,5.0,12.0,6.0,7.0,36.0,47.0,48.3,0.45,235.0,1352.4,3.0,6.0,31.0,88.0,147.0,33.0,54.0,47.0,N
9.0,23.0,1.0,44.0,22.0,2.0,47.0,48.0,30.32,0.48,246.0,1441.06,11.0,22.0,37.0,117.0,129.0,32.0,71.0,48.0,N
6.0,10.0,5.0,12.0,6.0,5.0,22.0,23.0,34.0,0.15,87.0,459.83,3.0,6.0,18.0,35.0,52.0,22.0,37.0,23.0,N
14.0,3.0,7.0,4.0,2.0,1.0,30.0,34.0,96.01,0.57,276.0,1697.33,1.0,2.0,30.0,132.0,144.0,56.0,56.0,34.0,N
18.0,7.0,9.0,12.0,6.0,3.0,37.0,51.0,85.54,0.88,405.0,2629.2,3.0,6.0,35.0,190.0,215.0,68.0,83.0,51.0,N
6.0,7.0,0.0,12.0,6.0,1.0,18.0,26.0,49.31,0.38,195.0,1127.37,3.0,6.0,16.0,94.0,101.0,37.0,49.0,26.0,N
1.0,3.0,0.0,4.0,2.0,1.0,6.0,5.0,16.0,0.03,26.0,104.0,1.0,2.0,6.0,13.0,13.0,8.0,7.0,5.0,N
4.0,9.0,2.0,14.0,6.0,2.0,18.0,16.0,16.51,0.13,77.0,377.83,4.0,7.0,15.0,35.0,42.0,13.0,29.0,16.0,N
11.0,7.0,20.0,8.0,4.0,4.0,34.0,34.0,123.03,0.25,131.0,746.76,2.0,4.0,32.0,58.0,73.0,43.0,50.0,34.0,N
3.0,5.0,3.0,8.0,4.0,3.0,19.0,30.0,100.29,0.34,177.0,1008.98,2.0,4.0,18.0,75.0,102.0,41.0,39.0,30.0,Y
3.0,5.0,6.0,4.0,2.0,3.0,17.0,22.0,39.27,0.15,87.0,449.78,1.0,2.0,16.0,36.0,51.0,22.0,28.0,22.0,N
8.0,13.0,4.0,22.0,10.0,4.0,29.0,28.0,30.79,0.17,99.0,495.0,6.0,11.0,24.0,47.0,52.0,19.0,49.0,28.0,N
7.0,7.0,14.0,8.0,4.0,4.0,28.0,24.0,79.28,0.16,90.0,475.69,2.0,4.0,26.0,40.0,50.0,30.0,38.0,24.0,N
2.0,3.0,4.0,4.0,2.0,2.0,11.0,13.0,45.34,0.1,63.0,306.05,1.0,2.0,11.0,30.0,33.0,20.0,16.0,13.0,N
10.0,10.0,6.0,4.0,2.0,8.0,23.0,61.0,36.89,0.35,164.0,1045.51,1.0,2.0,17.0,74.0,90.0,47.0,93.0,61.0,Y
11.0,12.0,10.0,6.0,2.0,8.0,29.0,58.0,39.93,0.38,170.0,1129.46,2.0,3.0,22.0,72.0,98.0,56.0,85.0,58.0,N
13.0,9.0,7.0,16.0,8.0,5.0,28.0,43.0,69.49,0.32,170.0,973.75,4.0,8.0,25.0,71.0,99.0,38.0,74.0,43.0,Y
9.0,11.0,3.0,12.0,6.0,4.0,29.0,64.0,57.9,0.49,250.0,1464.5,3.0,6.0,24.0,122.0,128.0,41.0,81.0,64.0,N
3.0,5.0,6.0,8.0,4.0,3.0,18.0,23.0,64.76,0.11,70.0,340.06,2.0,4.0,17.0,33.0,37.0,22.0,28.0,23.0,N
2.0,5.0,2.0,8.0,4.0,3.0,10.0,9.0,19.56,0.03,22.0,88.0,2.0,4.0,9.0,9.0,13.0,8.0,17.0,9.0,N
5.0,19.0,2.0,36.0,18.0,6.0,42.0,32.0,45.5,0.26,144.0,790.83,9.0,18.0,34.0,63.0,81.0,29.0,38.0,32.0,N
8.0,15.0,1.0,28.0,14.0,2.0,32.0,43.0,72.3,0.14,83.0,411.2,7.0,14.0,26.0,39.0,44.0,24.0,54.0,43.0,N
5.0,5.0,4.0,8.0,4.0,3.0,12.0,16.0,23.2,0.1,57.0,289.99,2.0,4.0,11.0,25.0,32.0,17.0,26.0,16.0,N
1.0,3.0,2.0,4.0,2.0,2.0,6.0,5.0,16.73,0.02,14.0,50.19,1.0,2.0,6.0,6.0,8.0,6.0,8.0,5.0,N
2.0,3.0,2.0,4.0,2.0,2.0,7.0,9.0,19.51,0.05,35.0,156.08,1.0,2.0,7.0,16.0,19.0,11.0,16.0,9.0,N
3.0,5.0,2.0,8.0,4.0,2.0,13.0,7.0,14.4,0.06,41.0,170.97,2.0,4.0,12.0,19.0,22.0,8.0,16.0,7.0,N
5.0,7.0,5.0,12.0,6.0,4.0,17.0,30.0,57.87,0.25,138.0,757.88,3.0,6.0,15.0,58.0,80.0,31.0,36.0,30.0,N
7.0,9.0,9.0,14.0,6.0,4.0,31.0,41.0,53.95,0.36,179.0,1085.83,4.0,7.0,28.0,77.0,102.0,44.0,50.0,41.0,N
0.0,3.0,3.0,4.0,2.0,2.0,7.0,5.0,21.19,0.02,19.0,68.11,1.0,2.0,7.0,9.0,10.0,7.0,6.0,5.0,N
7.0,15.0,4.0,26.0,12.0,4.0,30.0,26.0,26.74,0.13,75.0,399.14,7.0,13.0,24.0,33.0,42.0,21.0,46.0,26.0,N
9.0,7.0,9.0,4.0,2.0,5.0,26.0,38.0,49.05,0.24,125.0,729.11,1.0,2.0,23.0,55.0,70.0,37.0,51.0,38.0,N
16.0,23.0,10.0,38.0,16.0,9.0,57.0,49.0,72.52,0.39,193.0,1174.88,11.0,19.0,47.0,90.0,103.0,50.0,74.0,49.0,N
5.0,5.0,2.0,8.0,4.0,2.0,11.0,15.0,22.75,0.08,52.0,241.48,2.0,4.0,10.0,23.0,29.0,13.0,24.0,15.0,N
9.0,5.0,3.0,8.0,4.0,3.0,19.0,19.0,26.1,0.09,61.0,279.68,2.0,4.0,18.0,30.0,31.0,14.0,44.0,19.0,N
5.0,5.0,3.0,8.0,4.0,3.0,13.0,16.0,37.53,0.07,47.0,206.44,2.0,4.0,12.0,22.0,25.0,14.0,28.0,16.0,N
1.0,3.0,1.0,4.0,2.0,2.0,5.0,9.0,18.45,0.02,20.0,69.19,1.0,2.0,5.0,9.0,11.0,6.0,11.0,9.0,N
11.0,35.0,10.0,58.0,24.0,12.0,85.0,64.0,81.86,0.54,264.0,1623.53,17.0,29.0,69.0,126.0,138.0,54.0,81.0,64.0,N
17.0,43.0,13.0,76.0,34.0,17.0,103.0,80.0,97.4,0.6,276.0,1800.5,21.0,38.0,83.0,125.0,151.0,71.0,116.0,80.0,N
13.0,21.0,5.0,30.0,14.0,9.0,66.0,69.0,57.39,0.54,258.0,1607.04,8.0,15.0,56.0,119.0,139.0,51.0,88.0,69.0,N
5.0,13.0,4.0,22.0,10.0,6.0,26.0,25.0,32.88,0.12,72.0,360.0,6.0,11.0,21.0,32.0,40.0,19.0,37.0,25.0,N
4.0,9.0,3.0,10.0,2.0,2.0,14.0,9.0,20.85,0.03,25.0,104.25,4.0,5.0,11.0,10.0,15.0,9.0,27.0,9.0,N
14.0,17.0,12.0,28.0,12.0,8.0,48.0,40.0,86.51,0.29,147.0,878.66,8.0,14.0,41.0,65.0,82.0,48.0,61.0,40.0,N
6.0,3.0,6.0,4.0,2.0,2.0,13.0,13.0,56.22,0.06,44.0,193.26,1.0,2.0,13.0,22.0,22.0,16.0,25.0,13.0,N
2.0,3.0,2.0,4.0,2.0,2.0,8.0,9.0,25.03,0.04,30.0,122.62,1.0,2.0,8.0,14.0,16.0,10.0,14.0,9.0,N
2.0,3.0,2.0,4.0,2.0,2.0,8.0,9.0,30.84,0.05,36.0,152.93,1.0,2.0,8.0,17.0,19.0,12.0,13.0,9.0,N
16.0,17.0,24.0,28.0,14.0,9.0,55.0,55.0,175.1,0.46,217.0,1375.75,7.0,14.0,48.0,100.0,117.0,70.0,83.0,55.0,Y
15.0,22.0,16.0,8.0,4.0,19.0,53.0,59.0,64.91,0.54,257.0,1633.89,2.0,4.0,36.0,92.0,165.0,53.0,76.0,59.0,N
2.0,8.0,7.0,4.0,2.0,6.0,17.0,19.0,36.77,0.13,77.0,401.13,1.0,2.0,13.0,32.0,45.0,22.0,22.0,19.0,N
21.0,22.0,18.0,8.0,4.0,19.0,54.0,64.0,68.39,0.47,222.0,1419.09,2.0,4.0,37.0,83.0,139.0,56.0,88.0,64.0,N
25.0,37.0,23.0,38.0,18.0,26.0,94.0,77.0,79.98,0.72,327.0,2158.17,10.0,19.0,70.0,133.0,194.0,69.0,118.0,77.0,Y
21.0,25.0,22.0,12.0,6.0,21.0,58.0,67.0,71.63,0.48,224.0,1439.48,3.0,6.0,39.0,79.0,145.0,57.0,91.0,67.0,N
16.0,25.0,17.0,32.0,14.0,15.0,74.0,56.0,65.75,0.41,211.0,1241.24,9.0,16.0,61.0,86.0,125.0,41.0,76.0,56.0,Y
1.0,3.0,2.0,4.0,2.0,2.0,7.0,10.0,18.91,0.03,26.0,104.0,1.0,2.0,7.0,11.0,15.0,8.0,14.0,10.0,N
7.0,7.0,4.0,4.0,2.0,5.0,17.0,29.0,34.65,0.14,77.0,409.79,1.0,2.0,14.0,32.0,45.0,23.0,43.0,29.0,N
13.0,35.0,9.0,52.0,18.0,8.0,74.0,61.0,76.37,0.59,276.0,1773.65,17.0,48.0,58.0,120.0,156.0,62.0,83.0,61.0,N
1.0,3.0,2.0,4.0,2.0,2.0,6.0,9.0,18.23,0.02,19.0,70.31,1.0,2.0,6.0,9.0,10.0,7.0,11.0,9.0,N
18.0,15.0,14.0,28.0,14.0,6.0,49.0,77.0,68.82,0.87,408.0,2608.07,7.0,14.0,43.0,160.0,248.0,57.0,109.0,77.0,N
10.0,7.0,15.0,8.0,4.0,4.0,32.0,28.0,102.19,0.23,122.0,677.66,2.0,4.0,30.0,56.0,66.0,38.0,42.0,28.0,N
1.0,5.0,4.0,8.0,4.0,3.0,11.0,12.0,30.45,0.05,32.0,140.55,2.0,4.0,10.0,15.0,17.0,13.0,14.0,12.0,N
4.0,19.0,6.0,32.0,14.0,9.0,37.0,32.0,49.95,0.21,110.0,617.62,9.0,16.0,29.0,51.0,59.0,33.0,38.0,32.0,N
3.0,8.0,5.0,8.0,4.0,5.0,17.0,20.0,31.91,0.08,51.0,242.5,2.0,4.0,14.0,19.0,32.0,15.0,24.0,20.0,N
3.0,13.0,3.0,18.0,6.0,6.0,27.0,28.0,60.63,0.25,130.0,741.06,6.0,9.0,22.0,55.0,75.0,36.0,42.0,29.0,N
14.0,35.0,12.0,60.0,26.0,11.0,85.0,71.0,57.99,0.47,232.0,1421.99,17.0,30.0,69.0,107.0,125.0,48.0,94.0,71.0,Y
4.0,3.0,10.0,4.0,2.0,2.0,17.0,16.0,67.54,0.07,49.0,218.51,1.0,2.0,17.0,22.0,27.0,17.0,24.0,16.0,N
4.0,3.0,9.0,4.0,2.0,2.0,13.0,20.0,54.05,0.18,100.0,549.19,1.0,2.0,13.0,45.0,55.0,31.0,29.0,20.0,N
0.0,3.0,3.0,4.0,2.0,2.0,7.0,6.0,25.16,0.02,17.0,62.91,1.0,2.0,7.0,8.0,9.0,8.0,8.0,6.0,N
4.0,5.0,10.0,8.0,4.0,3.0,21.0,18.0,74.01,0.1,61.0,302.21,2.0,4.0,20.0,28.0,33.0,24.0,27.0,18.0,N
9.0,11.0,12.0,18.0,8.0,5.0,35.0,36.0,65.03,0.28,140.0,830.3,5.0,9.0,31.0,61.0,79.0,43.0,59.0,36.0,N
0.0,9.0,0.0,14.0,6.0,1.0,16.0,11.0,11.6,0.08,47.0,228.33,4.0,7.0,13.0,15.0,32.0,8.0,14.0,11.0,N
1.0,3.0,1.0,4.0,2.0,1.0,7.0,10.0,14.32,0.04,26.0,110.45,1.0,2.0,7.0,9.0,17.0,7.0,13.0,10.0,N
2.0,9.0,1.0,16.0,8.0,2.0,21.0,14.0,17.84,0.09,58.0,258.64,4.0,8.0,18.0,29.0,29.0,11.0,21.0,14.0,N
5.0,7.0,13.0,8.0,4.0,4.0,26.0,25.0,73.59,0.15,84.0,437.59,2.0,4.0,24.0,37.0,47.0,28.0,38.0,25.0,N
1.0,5.0,1.0,8.0,4.0,1.0,12.0,12.0,16.29,0.08,53.0,246.12,2.0,4.0,11.0,17.0,36.0,9.0,15.0,12.0,N
14.0,15.0,15.0,4.0,2.0,13.0,40.0,53.0,58.74,0.46,224.0,1368.31,1.0,2.0,29.0,82.0,142.0,44.0,72.0,53.0,N
3.0,3.0,3.0,4.0,2.0,2.0,9.0,6.0,19.14,0.04,31.0,133.98,1.0,2.0,9.0,14.0,17.0,10.0,15.0,6.0,N
1.0,3.0,2.0,4.0,2.0,2.0,21.0,9.0,103.2,0.19,109.0,580.09,1.0,2.0,21.0,53.0,56.0,33.0,27.0,25.0,N
1.0,3.0,2.0,4.0,2.0,2.0,21.0,9.0,95.59,0.19,109.0,572.02,1.0,2.0,21.0,53.0,56.0,31.0,27.0,25.0,N
2.0,3.0,2.0,4.0,2.0,2.0,9.0,12.0,15.07,0.05,34.0,146.95,1.0,2.0,9.0,13.0,21.0,8.0,20.0,12.0,N
1.0,3.0,2.0,4.0,2.0,2.0,21.0,9.0,103.2,0.19,109.0,580.09,1.0,2.0,21.0,53.0,56.0,33.0,27.0,25.0,N
4.0,11.0,2.0,20.0,10.0,3.0,24.0,20.0,22.99,0.14,82.0,423.93,5.0,10.0,20.0,33.0,49.0,17.0,33.0,20.0,N
3.0,15.0,2.0,14.0,4.0,7.0,22.0,11.0,17.7,0.07,50.0,222.97,5.0,8.0,16.0,21.0,29.0,10.0,29.0,11.0,N
6.0,25.0,3.0,42.0,18.0,6.0,47.0,39.0,54.51,0.45,228.0,1362.82,12.0,21.0,36.0,100.0,128.0,42.0,55.0,39.0,N
7.0,7.0,17.0,8.0,4.0,4.0,31.0,28.0,97.47,0.18,101.0,551.4,2.0,4.0,29.0,44.0,57.0,35.0,41.0,28.0,N
4.0,11.0,6.0,12.0,6.0,7.0,26.0,28.0,37.56,0.14,83.0,425.73,3.0,6.0,21.0,34.0,49.0,21.0,36.0,28.0,N
2.0,7.0,0.0,12.0,6.0,1.0,16.0,11.0,12.76,0.12,85.0,373.35,3.0,6.0,14.0,36.0,49.0,8.0,14.0,11.0,N
2.0,5.0,1.0,6.0,2.0,2.0,8.0,5.0,6.37,0.02,16.0,57.36,2.0,3.0,7.0,6.0,10.0,3.0,13.0,5.0,N
3.0,3.0,2.0,4.0,2.0,1.0,7.0,7.0,13.45,0.04,28.0,121.01,1.0,2.0,7.0,12.0,16.0,8.0,14.0,7.0,N
3.0,3.0,1.0,4.0,2.0,1.0,7.0,7.0,11.47,0.02,16.0,57.36,1.0,2.0,7.0,5.0,11.0,4.0,13.0,7.0,N
3.0,7.0,3.0,12.0,6.0,3.0,16.0,15.0,18.89,0.06,41.0,185.47,3.0,6.0,14.0,18.0,23.0,11.0,20.0,15.0,N
9.0,5.0,7.0,8.0,4.0,3.0,16.0,17.0,38.07,0.12,69.0,348.06,2.0,4.0,15.0,32.0,37.0,21.0,33.0,17.0,N
3.0,5.0,4.0,8.0,4.0,3.0,11.0,12.0,42.23,0.1,61.0,293.25,2.0,4.0,10.0,25.0,36.0,18.0,20.0,12.0,N
1.0,3.0,0.0,4.0,2.0,1.0,6.0,9.0,14.17,0.02,16.0,53.15,1.0,2.0,6.0,5.0,11.0,4.0,12.0,9.0,N
1.0,3.0,0.0,4.0,2.0,1.0,6.0,9.0,14.17,0.02,16.0,53.15,1.0,2.0,6.0,5.0,11.0,4.0,12.0,9.0,N
3.0,3.0,4.0,4.0,2.0,2.0,9.0,13.0,25.81,0.06,41.0,182.84,1.0,2.0,9.0,17.0,24.0,12.0,20.0,13.0,N
1.0,3.0,0.0,4.0,2.0,1.0,6.0,9.0,14.17,0.02,16.0,53.15,1.0,2.0,6.0,5.0,11.0,4.0,12.0,9.0,N
1.0,3.0,0.0,4.0,2.0,1.0,6.0,9.0,14.17,0.02,16.0,53.15,1.0,2.0,6.0,5.0,11.0,4.0,12.0,9.0,N
3.0,7.0,3.0,12.0,6.0,4.0,15.0,13.0,21.23,0.04,28.0,116.76,3.0,6.0,13.0,11.0,17.0,9.0,21.0,13.0,N
7.0,3.0,3.0,4.0,2.0,1.0,10.0,11.0,23.74,0.07,46.0,210.91,1.0,2.0,10.0,21.0,25.0,13.0,40.0,11.0,N
6.0,7.0,3.0,12.0,6.0,2.0,15.0,16.0,33.33,0.08,52.0,244.42,3.0,6.0,13.0,20.0,32.0,15.0,27.0,16.0,N
14.0,31.0,6.0,48.0,18.0,9.0,53.0,54.0,80.38,0.3,155.0,892.01,15.0,26.0,39.0,70.0,85.0,41.0,77.0,54.0,N
9.0,17.0,4.0,32.0,14.0,5.0,42.0,37.0,58.47,0.25,131.0,743.09,9.0,16.0,35.0,61.0,70.0,36.0,52.0,37.0,N
4.0,9.0,2.0,18.0,8.0,3.0,19.0,19.0,16.09,0.1,61.0,296.34,5.0,9.0,16.0,26.0,35.0,12.0,29.0,19.0,N
10.0,7.0,8.0,12.0,6.0,4.0,30.0,33.0,83.78,0.22,125.0,674.04,3.0,6.0,28.0,59.0,66.0,33.0,58.0,33.0,N
4.0,9.0,5.0,14.0,6.0,4.0,18.0,15.0,40.48,0.1,60.0,291.48,4.0,7.0,15.0,32.0,28.0,20.0,24.0,15.0,N
15.0,31.0,10.0,50.0,20.0,10.0,70.0,59.0,71.74,0.43,206.0,1279.15,15.0,25.0,56.0,90.0,116.0,53.0,86.0,59.0,Y
20.0,31.0,11.0,46.0,16.0,8.0,75.0,66.0,74.18,0.51,250.0,1542.48,15.0,24.0,61.0,116.0,134.0,53.0,120.0,66.0,Y
3.0,7.0,2.0,8.0,2.0,2.0,13.0,12.0,24.24,0.09,59.0,283.63,3.0,4.0,11.0,27.0,32.0,15.0,22.0,12.0,N
16.0,33.0,14.0,56.0,24.0,11.0,93.0,64.0,122.45,0.58,277.0,1741.06,16.0,28.0,78.0,130.0,147.0,64.0,85.0,64.0,Y
6.0,6.0,6.0,4.0,2.0,4.0,17.0,24.0,39.16,0.12,67.0,354.12,1.0,2.0,15.0,26.0,41.0,23.0,36.0,24.0,N
23.0,31.0,9.0,52.0,20.0,8.0,67.0,66.0,72.95,0.42,201.0,1267.06,16.0,26.0,53.0,90.0,111.0,57.0,123.0,67.0,Y
22.0,22.0,12.0,30.0,12.0,7.0,59.0,57.0,55.49,0.48,226.0,1440.76,9.0,15.0,49.0,102.0,124.0,55.0,97.0,57.0,Y
10.0,5.0,7.0,12.0,6.0,3.0,19.0,26.0,63.77,0.21,114.0,626.07,3.0,6.0,18.0,54.0,60.0,33.0,44.0,26.0,N
26.0,24.0,13.0,32.0,14.0,11.0,88.0,82.0,99.15,0.7,322.0,2110.58,9.0,16.0,76.0,148.0,174.0,73.0,126.0,83.0,N
11.0,5.0,10.0,8.0,4.0,3.0,20.0,20.0,88.39,0.14,82.0,433.4,2.0,4.0,19.0,38.0,44.0,31.0,38.0,20.0,N
8.0,16.0,4.0,24.0,10.0,4.0,33.0,29.0,18.35,0.16,93.0,477.02,7.0,12.0,26.0,39.0,54.0,15.0,43.0,29.0,N
11.0,16.0,2.0,24.0,12.0,3.0,34.0,35.0,17.38,0.21,122.0,625.77,6.0,12.0,27.0,54.0,68.0,15.0,50.0,35.0,N
4.0,5.0,1.0,8.0,4.0,1.0,12.0,18.0,27.93,0.1,61.0,293.25,2.0,4.0,11.0,28.0,33.0,16.0,34.0,18.0,N
7.0,3.0,5.0,4.0,2.0,2.0,13.0,19.0,64.34,0.1,59.0,286.62,1.0,2.0,13.0,28.0,31.0,22.0,29.0,19.0,N
2.0,5.0,2.0,6.0,2.0,2.0,10.0,17.0,35.86,0.12,71.0,355.0,2.0,3.0,9.0,33.0,38.0,20.0,21.0,17.0,N
3.0,7.0,3.0,12.0,6.0,4.0,19.0,21.0,55.61,0.11,68.0,333.67,3.0,6.0,17.0,28.0,40.0,21.0,25.0,21.0,N
2.0,7.0,4.0,12.0,6.0,3.0,15.0,12.0,30.19,0.06,39.0,178.81,3.0,6.0,13.0,14.0,25.0,13.0,15.0,12.0,N
2.0,7.0,4.0,12.0,6.0,3.0,15.0,12.0,30.19,0.06,39.0,178.81,3.0,6.0,13.0,14.0,25.0,13.0,15.0,12.0,Y
17.0,15.0,7.0,28.0,14.0,7.0,37.0,52.0,45.71,0.34,176.0,1026.58,7.0,14.0,31.0,77.0,99.0,36.0,89.0,52.0,N
11.0,5.0,4.0,6.0,2.0,2.0,18.0,17.0,61.4,0.23,124.0,680.99,2.0,3.0,17.0,61.0,63.0,33.0,39.0,17.0,N
25.0,25.0,9.0,38.0,18.0,12.0,77.0,63.0,81.53,0.49,240.0,1466.05,10.0,19.0,65.0,110.0,130.0,52.0,107.0,63.0,Y
13.0,25.0,14.0,40.0,16.0,10.0,69.0,52.0,95.37,0.42,206.0,1258.36,12.0,20.0,58.0,95.0,111.0,54.0,77.0,52.0,Y
15.0,11.0,10.0,16.0,6.0,5.0,50.0,44.0,67.17,0.37,192.0,1104.94,5.0,8.0,46.0,94.0,98.0,40.0,73.0,44.0,N
0.0,7.0,2.0,12.0,6.0,2.0,14.0,10.0,37.82,0.05,35.0,151.27,3.0,6.0,12.0,12.0,23.0,12.0,11.0,10.0,N
12.0,23.0,14.0,38.0,16.0,9.0,58.0,45.0,91.36,0.39,188.0,1156.15,11.0,19.0,48.0,87.0,101.0,55.0,69.0,45.0,Y
2.0,13.0,6.0,20.0,8.0,6.0,26.0,17.0,35.25,0.1,66.0,310.23,6.0,10.0,21.0,24.0,42.0,15.0,23.0,17.0,N
2.0,13.0,6.0,20.0,8.0,6.0,27.0,18.0,35.45,0.13,82.0,389.9,6.0,10.0,22.0,32.0,50.0,16.0,24.0,18.0,N
5.0,9.0,2.0,14.0,6.0,3.0,16.0,17.0,27.02,0.08,50.0,237.74,4.0,7.0,13.0,22.0,28.0,15.0,23.0,17.0,N
