@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute Defective {Y,N}

@data
6.0,11.0,1.0,0.0,8.0,20.0,6.0,0.18,10.0,2.0,3.0,0.5,19.0,1.0,0.0,34.0,2.0,59.16,12.6,N
21.0,13.0,5.0,2.0,30.0,22.0,7.0,0.21,10.0,2.2,5.0,0.71,24.0,1.0,0.0,31.0,1.0,26.31,23.5,N
7.0,3.0,0.0,0.0,0.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,6.0,1.0,0.0,15.0,2.0,37.54,7.6,N
10.0,7.0,2.0,6.0,12.0,12.0,4.0,0.19,6.0,2.0,4.0,1.0,15.0,4.0,1.0,15.0,2.0,18.1,16.36,N
53.0,57.0,13.0,45.0,13.0,112.0,29.0,0.17,56.0,2.0,27.0,0.93,162.0,7.0,0.21,130.0,0.0,91.32,55.88,N
12.0,7.0,8.0,3.0,3.0,12.0,4.0,0.12,6.0,2.0,4.0,1.0,25.0,1.0,0.0,30.0,0.0,30.45,20.71,N
10.0,11.0,8.0,4.0,0.0,20.0,6.0,0.16,10.0,2.0,6.0,1.0,31.0,1.0,0.0,34.0,0.0,64.31,12.0,N
47.0,15.0,7.0,27.0,28.0,20.0,9.0,0.1,10.0,2.0,6.0,0.67,50.0,1.0,0.0,59.0,1.0,47.3,45.77,N
7.0,7.0,1.0,11.0,30.0,12.0,4.0,0.15,6.0,2.0,1.0,0.25,15.0,1.0,0.0,16.0,6.0,18.87,19.62,N
33.0,23.0,1.0,5.0,95.0,44.0,12.0,0.17,22.0,2.0,1.0,0.08,60.0,1.0,0.0,65.0,4.0,79.18,42.02,N
46.0,39.0,6.0,20.0,96.0,70.0,20.0,0.18,32.0,2.19,4.0,0.2,97.0,9.0,0.42,91.0,1.0,72.67,51.47,Y
5.0,5.0,3.0,0.0,3.0,8.0,3.0,0.15,4.0,2.0,3.0,1.0,15.0,1.0,0.0,20.0,0.0,38.85,12.28,N
9.0,19.0,0.0,6.0,6.0,36.0,10.0,0.16,18.0,2.0,1.0,0.1,38.0,5.0,0.44,58.0,3.0,30.99,33.52,Y
17.0,29.0,0.0,19.0,53.0,50.0,15.0,0.22,22.0,2.27,1.0,0.07,55.0,9.0,0.57,50.0,2.0,50.79,25.26,N
1.0,5.0,0.0,0.0,0.0,8.0,3.0,0.25,4.0,2.0,1.0,0.33,12.0,1.0,0.0,12.0,2.0,21.83,10.42,N
24.0,33.0,7.0,13.0,55.0,60.0,17.0,0.16,28.0,2.14,6.0,0.35,79.0,7.0,0.38,93.0,1.0,56.02,48.06,N
24.0,37.0,6.0,0.0,18.0,52.0,19.0,0.28,20.0,2.6,13.0,0.68,68.0,19.0,1.0,69.0,0.0,73.61,37.75,N
4.0,5.0,0.0,1.0,0.0,8.0,3.0,0.18,4.0,2.0,1.0,0.33,10.0,3.0,1.0,16.0,2.0,13.72,10.56,N
5.0,5.0,0.0,0.0,0.0,8.0,3.0,0.15,4.0,2.0,1.0,0.33,9.0,1.0,0.0,20.0,2.0,10.03,14.67,N
26.0,28.0,16.0,20.0,119.0,28.0,17.0,0.1,12.0,2.33,13.0,0.76,72.0,10.0,0.56,154.0,1.0,133.35,38.57,N
6.0,31.0,3.0,1.0,19.0,54.0,16.0,0.22,24.0,2.25,7.0,0.44,61.0,9.0,0.53,72.0,6.0,86.16,18.26,N
21.0,31.0,10.0,13.0,50.0,34.0,18.0,0.13,16.0,2.13,13.0,0.72,72.0,1.0,0.0,125.0,3.0,77.8,40.25,N
6.0,9.0,2.0,0.0,17.0,16.0,5.0,0.17,8.0,2.0,2.0,0.4,21.0,1.0,0.0,29.0,2.0,27.4,20.78,N
8.0,5.0,1.0,1.0,11.0,8.0,3.0,0.16,4.0,2.0,1.0,0.33,12.0,1.0,0.0,18.0,4.0,35.6,12.89,N
17.0,21.0,7.0,0.0,8.0,36.0,11.0,0.2,16.0,2.25,8.0,0.73,53.0,5.0,0.4,55.0,4.0,48.89,26.83,N
14.0,5.0,2.0,0.0,39.0,8.0,3.0,0.06,4.0,2.0,1.0,0.33,13.0,1.0,0.0,47.0,2.0,59.87,15.65,N
10.0,11.0,2.0,2.0,14.0,20.0,6.0,0.18,10.0,2.0,2.0,0.33,25.0,4.0,0.6,32.0,1.0,21.82,22.85,N
2.0,5.0,4.0,0.0,2.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,14.0,1.0,0.0,21.0,2.0,34.56,8.63,N
4.0,3.0,0.0,0.0,1.0,4.0,2.0,0.14,2.0,2.0,1.0,0.5,6.0,1.0,0.0,14.0,3.0,12.74,7.86,N
6.0,5.0,6.0,0.0,6.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,15.0,1.0,0.0,21.0,2.0,40.4,11.25,N
9.0,5.0,4.0,0.0,11.0,8.0,3.0,0.11,4.0,2.0,2.0,0.67,16.0,1.0,0.0,28.0,1.0,36.57,15.24,Y
2.0,3.0,3.0,0.0,9.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,9.0,1.0,0.0,18.0,1.0,32.0,11.63,N
3.0,6.0,5.0,2.0,13.0,4.0,4.0,0.11,2.0,2.0,4.0,1.0,30.0,1.0,0.0,36.0,0.0,48.31,17.63,N
22.0,58.0,13.0,12.0,33.0,78.0,32.0,0.19,36.0,2.17,20.0,0.63,124.0,7.0,0.19,160.0,3.0,151.5,22.73,N
10.0,37.0,12.0,0.0,62.0,64.0,20.0,0.13,32.0,2.0,18.0,0.9,95.0,1.0,0.0,149.0,0.0,171.78,29.58,Y
42.0,141.0,24.0,45.0,339.0,238.0,73.0,0.16,106.0,2.25,41.0,0.56,303.0,30.0,0.4,411.0,7.0,293.68,43.41,Y
16.0,29.0,5.0,3.0,29.0,54.0,15.0,0.12,26.0,2.08,12.0,0.8,76.0,3.0,0.14,121.0,0.0,164.09,23.26,Y
0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.15,2.0,2.0,1.0,0.5,6.0,1.0,0.0,13.0,0.0,21.15,3.5,N
2.0,49.0,8.0,33.0,58.0,90.0,25.0,0.16,42.0,2.14,9.0,0.36,117.0,12.0,0.46,128.0,0.0,104.25,54.33,N
4.0,9.0,0.0,0.0,0.0,16.0,5.0,0.25,8.0,2.0,1.0,0.2,19.0,1.0,0.0,20.0,1.0,13.75,21.0,N
0.0,11.0,3.0,2.0,20.0,14.0,6.0,0.21,4.0,3.5,2.0,0.33,18.0,1.0,0.0,27.0,0.0,38.41,13.45,N
8.0,19.0,4.0,6.0,7.0,32.0,10.0,0.19,14.0,2.29,7.0,0.7,54.0,9.0,0.89,47.0,0.0,105.02,18.86,N
10.0,5.0,9.0,2.0,18.0,8.0,3.0,0.17,4.0,2.0,2.0,0.67,18.0,1.0,0.0,16.0,1.0,45.77,7.71,N
15.0,7.0,4.0,0.0,21.0,12.0,4.0,0.1,6.0,2.0,4.0,1.0,25.0,1.0,0.0,41.0,7.0,61.36,23.68,N
4.0,3.0,0.0,3.0,0.0,4.0,2.0,0.12,2.0,2.0,1.0,0.5,6.0,1.0,0.0,14.0,2.0,16.29,9.29,N
4.0,3.0,0.0,3.0,0.0,4.0,2.0,0.12,2.0,2.0,1.0,0.5,6.0,1.0,0.0,14.0,2.0,16.29,9.29,N
12.0,5.0,4.0,0.0,39.0,8.0,3.0,0.11,4.0,2.0,1.0,0.33,18.0,1.0,0.0,27.0,1.0,61.85,12.04,N
3.0,3.0,2.0,6.0,6.0,4.0,2.0,0.07,2.0,2.0,2.0,1.0,8.0,1.0,0.0,21.0,2.0,22.83,23.0,N
0.0,5.0,1.0,0.0,5.0,6.0,3.0,0.19,2.0,3.0,2.0,0.67,7.0,3.0,1.0,16.0,4.0,24.32,7.64,N
10.0,17.0,3.0,12.0,20.0,32.0,9.0,0.13,16.0,2.0,3.0,0.33,46.0,1.0,0.0,55.0,4.0,52.18,33.32,N
6.0,9.0,3.0,10.0,22.0,16.0,5.0,0.16,8.0,2.0,2.0,0.4,24.0,1.0,0.0,22.0,7.0,27.26,22.11,N
2.0,23.0,10.0,14.0,78.0,42.0,12.0,0.13,20.0,2.1,6.0,0.5,52.0,4.0,0.27,79.0,7.0,89.42,13.73,Y
6.0,47.0,2.0,1.0,58.0,80.0,25.0,0.18,40.0,2.0,24.0,0.96,112.0,1.0,0.0,138.0,1.0,171.89,27.21,N
0.0,7.0,9.0,1.0,23.0,10.0,4.0,0.17,4.0,2.5,4.0,1.0,20.0,1.0,0.0,23.0,0.0,34.26,11.57,N
0.0,19.0,5.0,4.0,15.0,16.0,13.0,0.2,8.0,2.0,6.0,0.46,42.0,1.0,0.0,60.0,1.0,66.12,13.9,N
1.0,9.0,4.0,1.0,0.0,16.0,5.0,0.15,8.0,2.0,3.0,0.6,20.0,1.0,0.0,32.0,0.0,27.2,13.24,N
1.0,5.0,5.0,0.0,11.0,8.0,3.0,0.11,4.0,2.0,3.0,1.0,13.0,1.0,0.0,28.0,2.0,47.22,11.69,N
1.0,7.0,5.0,0.0,12.0,12.0,4.0,0.1,6.0,2.0,3.0,0.75,20.0,3.0,0.67,41.0,0.0,56.52,13.19,Y
1.0,3.0,4.0,0.0,3.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,8.0,1.0,0.0,19.0,2.0,33.23,9.41,N
2.0,3.0,4.0,0.0,3.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,8.0,1.0,0.0,19.0,2.0,31.71,8.91,N
2.0,7.0,7.0,3.0,35.0,10.0,4.0,0.1,4.0,2.5,1.0,0.25,19.0,3.0,0.67,38.0,3.0,60.5,14.75,N
14.0,3.0,14.0,0.0,7.0,4.0,2.0,0.05,2.0,2.0,2.0,1.0,19.0,1.0,0.0,41.0,1.0,93.81,15.69,N
5.0,3.0,9.0,0.0,6.0,4.0,2.0,0.07,2.0,2.0,2.0,1.0,13.0,1.0,0.0,30.0,0.0,58.05,14.68,N
10.0,29.0,8.0,2.0,65.0,56.0,15.0,0.1,28.0,2.0,6.0,0.4,74.0,11.0,0.71,149.0,6.0,118.83,46.92,N
0.0,3.0,4.0,0.0,6.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,8.0,1.0,0.0,19.0,2.0,31.58,9.5,N
12.0,37.0,12.0,23.0,65.0,60.0,20.0,0.13,28.0,2.14,10.0,0.5,104.0,9.0,0.42,130.0,1.0,83.0,51.6,Y
6.0,15.0,6.0,6.0,7.0,20.0,9.0,0.14,10.0,2.0,7.0,0.78,38.0,1.0,0.0,57.0,7.0,45.05,29.27,Y
1.0,3.0,4.0,0.0,6.0,4.0,2.0,0.05,2.0,2.0,2.0,1.0,8.0,1.0,0.0,42.0,0.0,94.81,13.88,N
1.0,3.0,2.0,6.0,13.0,4.0,2.0,0.1,2.0,2.0,1.0,0.5,7.0,1.0,0.0,14.0,1.0,28.66,11.47,N
1.0,3.0,5.0,0.0,12.0,4.0,2.0,0.09,2.0,2.0,2.0,1.0,9.0,1.0,0.0,22.0,1.0,36.77,11.48,N
0.0,5.0,0.0,0.0,9.0,8.0,3.0,0.11,4.0,2.0,1.0,0.33,11.0,1.0,0.0,27.0,2.0,54.96,8.31,N
1.0,9.0,0.0,1.0,4.0,16.0,5.0,0.16,8.0,2.0,1.0,0.2,18.0,1.0,0.0,31.0,2.0,14.28,19.94,N
5.0,19.0,5.0,7.0,39.0,34.0,10.0,0.07,16.0,2.13,8.0,0.8,61.0,8.0,0.78,127.0,18.0,124.12,29.01,N
3.0,9.0,3.0,6.0,4.0,16.0,5.0,0.09,8.0,2.0,5.0,1.0,33.0,1.0,0.0,49.0,8.0,102.23,12.09,Y
13.0,7.0,4.0,1.0,5.0,12.0,4.0,0.09,6.0,2.0,4.0,1.0,23.0,1.0,0.0,45.0,0.0,99.18,16.49,N
67.0,29.0,10.0,27.0,41.0,56.0,15.0,0.13,28.0,2.0,15.0,1.0,76.0,15.0,1.0,92.0,2.0,46.37,57.0,N
9.0,7.0,0.0,7.0,11.0,12.0,4.0,0.16,6.0,2.0,1.0,0.25,14.0,4.0,1.0,18.0,4.0,24.0,15.38,N
15.0,11.0,4.0,9.0,22.0,20.0,6.0,0.13,10.0,2.0,6.0,1.0,30.0,1.0,0.0,36.0,3.0,46.84,21.46,N
6.0,5.0,1.0,4.0,0.0,8.0,3.0,0.12,4.0,2.0,3.0,1.0,14.0,1.0,0.0,22.0,0.0,24.31,14.06,N
21.0,7.0,4.0,10.0,22.0,12.0,4.0,0.1,6.0,2.0,2.0,0.5,19.0,1.0,0.0,30.0,2.0,45.35,25.34,N
9.0,7.0,1.0,6.0,10.0,12.0,4.0,0.18,6.0,2.0,2.0,0.5,14.0,1.0,0.0,16.0,0.0,22.84,25.89,N
10.0,7.0,1.0,7.0,10.0,12.0,4.0,0.18,6.0,2.0,2.0,0.5,14.0,1.0,0.0,15.0,0.0,22.84,25.89,N
46.0,19.0,8.0,35.0,31.0,36.0,10.0,0.13,18.0,2.0,8.0,0.8,48.0,1.0,0.0,40.0,0.0,83.37,31.3,N
33.0,11.0,5.0,18.0,28.0,20.0,6.0,0.1,10.0,2.0,4.0,0.67,29.0,1.0,0.0,44.0,2.0,71.49,34.84,N
10.0,9.0,1.0,5.0,0.0,16.0,5.0,0.14,8.0,2.0,5.0,1.0,32.0,1.0,0.0,31.0,0.0,44.36,16.56,N
25.0,11.0,4.0,11.0,21.0,20.0,6.0,0.18,10.0,2.0,3.0,0.5,24.0,1.0,0.0,22.0,2.0,25.24,19.95,N
9.0,7.0,4.0,2.0,13.0,12.0,4.0,0.18,6.0,2.0,4.0,1.0,16.0,1.0,0.0,20.0,0.0,46.13,14.44,N
10.0,3.0,2.0,2.0,4.0,4.0,2.0,0.07,2.0,2.0,2.0,1.0,7.0,1.0,0.0,25.0,1.0,48.82,16.55,N
6.0,3.0,1.0,5.0,4.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,6.0,1.0,0.0,10.0,4.0,21.05,9.8,N
