@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute Defective {Y,N}

@data
1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,6.0,1.0,0.0,9.0,0.0,18.23,3.86,271.19,0.02,19.0,0.26,15.07,70.31,0.5,1.0,2.0,N
18.0,15.0,14.0,0.0,13.0,28.0,8.0,0.1,14.0,2.0,6.0,0.75,49.0,5.0,0.0,77.0,1.0,68.82,37.89,98831.96,0.87,408.0,0.03,5490.66,2608.07,0.63,7.0,14.0,N
10.0,7.0,15.0,0.0,3.0,8.0,4.0,0.14,4.0,2.0,4.0,1.0,32.0,1.0,0.0,28.0,2.0,102.19,6.63,4493.95,0.23,122.0,0.15,249.66,677.66,0.25,2.0,4.0,N
1.0,5.0,4.0,0.0,0.0,8.0,3.0,0.25,4.0,2.0,3.0,1.0,11.0,1.0,0.0,12.0,0.0,30.45,4.62,648.71,0.05,32.0,0.22,36.04,140.55,0.33,2.0,4.0,N
4.0,19.0,6.0,0.0,1.0,32.0,10.0,0.31,14.0,2.29,9.0,0.9,37.0,4.0,0.0,32.0,0.0,49.95,12.36,7636.01,0.21,110.0,0.08,424.22,617.62,0.4,9.0,16.0,N
3.0,8.0,5.0,0.0,0.0,8.0,5.0,0.25,4.0,2.0,5.0,1.0,17.0,1.0,0.0,20.0,0.0,31.91,7.6,1842.99,0.08,51.0,0.13,102.39,242.5,0.2,2.0,4.0,N
3.0,13.0,3.0,1.0,9.0,18.0,7.0,0.24,6.0,3.0,6.0,0.86,27.0,5.0,0.0,28.0,1.0,60.63,12.22,9057.37,0.25,130.0,0.08,503.19,741.06,0.71,6.0,9.0,N
14.0,35.0,12.0,0.0,8.0,60.0,18.0,0.25,26.0,2.31,11.0,0.61,85.0,10.0,0.0,71.0,4.0,57.99,24.52,34868.47,0.47,232.0,0.04,1937.14,1421.99,0.56,17.0,30.0,Y
4.0,3.0,10.0,0.0,3.0,4.0,2.0,0.13,2.0,2.0,2.0,1.0,17.0,1.0,0.0,16.0,0.0,67.54,3.24,706.95,0.07,49.0,0.31,39.28,218.51,0.5,1.0,2.0,N
4.0,3.0,9.0,0.0,4.0,4.0,2.0,0.1,2.0,2.0,2.0,1.0,13.0,1.0,0.0,20.0,3.0,54.05,10.16,5580.43,0.18,100.0,0.1,310.02,549.19,0.5,1.0,2.0,N
0.0,3.0,3.0,0.0,1.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,7.0,1.0,0.0,6.0,2.0,25.16,2.5,157.27,0.02,17.0,0.4,8.74,62.91,0.5,1.0,2.0,N
4.0,5.0,10.0,0.0,4.0,8.0,3.0,0.17,4.0,2.0,3.0,1.0,21.0,1.0,0.0,18.0,0.0,74.01,4.08,1234.01,0.1,61.0,0.24,68.56,302.21,0.33,2.0,4.0,N
9.0,11.0,12.0,0.0,13.0,18.0,6.0,0.17,8.0,2.25,5.0,0.83,35.0,5.0,0.0,36.0,3.0,65.03,12.77,10600.85,0.28,140.0,0.08,588.94,830.3,0.83,5.0,9.0,N
0.0,9.0,0.0,0.0,2.0,14.0,5.0,0.45,6.0,2.33,1.0,0.2,16.0,5.0,1.0,11.0,2.0,11.6,19.69,4495.15,0.08,47.0,0.05,249.73,228.33,1.0,4.0,7.0,N
1.0,3.0,1.0,0.0,1.0,4.0,2.0,0.2,2.0,2.0,1.0,0.5,7.0,1.0,0.0,10.0,2.0,14.32,7.71,852.01,0.04,26.0,0.13,47.33,110.45,0.5,1.0,2.0,N
2.0,9.0,1.0,0.0,4.0,16.0,5.0,0.36,8.0,2.0,2.0,0.4,21.0,1.0,0.0,14.0,0.0,17.84,14.5,3750.38,0.09,58.0,0.07,208.35,258.64,0.2,4.0,8.0,N
5.0,7.0,13.0,0.0,7.0,8.0,4.0,0.16,4.0,2.0,4.0,1.0,26.0,1.0,0.0,25.0,2.0,73.59,5.95,2602.12,0.15,84.0,0.17,144.56,437.59,0.25,2.0,4.0,N
1.0,5.0,1.0,0.0,1.0,8.0,3.0,0.25,4.0,2.0,1.0,0.33,12.0,1.0,0.0,12.0,0.0,16.29,15.11,3719.21,0.08,53.0,0.07,206.62,246.12,0.33,2.0,4.0,N
14.0,15.0,15.0,0.0,4.0,4.0,13.0,0.25,2.0,2.0,13.0,1.0,40.0,1.0,0.0,53.0,0.0,58.74,23.3,31875.39,0.46,224.0,0.04,1770.86,1368.31,0.08,1.0,2.0,N
3.0,3.0,3.0,0.0,5.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,9.0,1.0,0.0,6.0,2.0,19.14,7.0,937.86,0.04,31.0,0.14,52.1,133.98,0.5,1.0,2.0,N
1.0,3.0,2.0,16.0,0.0,4.0,2.0,0.08,2.0,2.0,2.0,1.0,21.0,1.0,0.0,9.0,0.0,103.2,5.62,3260.81,0.19,109.0,0.18,181.16,580.09,0.5,1.0,2.0,N
1.0,3.0,2.0,16.0,0.0,4.0,2.0,0.08,2.0,2.0,2.0,1.0,21.0,1.0,0.0,9.0,0.0,95.59,5.98,3422.92,0.19,109.0,0.17,190.16,572.02,0.5,1.0,2.0,N
2.0,3.0,2.0,0.0,5.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,9.0,1.0,0.0,12.0,2.0,15.07,9.75,1432.72,0.05,34.0,0.1,79.6,146.95,0.5,1.0,2.0,N
1.0,3.0,2.0,16.0,0.0,4.0,2.0,0.08,2.0,2.0,2.0,1.0,21.0,1.0,0.0,9.0,1.0,103.2,5.62,3260.81,0.19,109.0,0.18,181.16,580.09,0.5,1.0,2.0,N
4.0,11.0,2.0,0.0,8.0,20.0,6.0,0.3,10.0,2.0,3.0,0.5,24.0,1.0,0.0,20.0,1.0,22.99,18.44,7817.84,0.14,82.0,0.05,434.32,423.93,0.17,5.0,10.0,N
3.0,15.0,2.0,0.0,14.0,14.0,8.0,0.73,4.0,3.5,7.0,0.88,22.0,5.0,0.0,11.0,0.0,17.7,12.6,2809.44,0.07,50.0,0.08,156.08,222.97,0.63,5.0,8.0,N
6.0,25.0,3.0,0.0,9.0,42.0,13.0,0.33,18.0,2.33,6.0,0.46,47.0,1.0,0.0,39.0,0.0,54.51,25.0,34070.5,0.45,228.0,0.04,1892.81,1362.82,0.08,12.0,21.0,N
7.0,7.0,17.0,0.0,5.0,8.0,4.0,0.14,4.0,2.0,4.0,1.0,31.0,1.0,0.0,28.0,2.0,97.47,5.66,3119.36,0.18,101.0,0.18,173.3,551.4,0.25,2.0,4.0,N
