@relation SelectedFeatures
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,N
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,N
1.0,3.0,0.71,5.0,4.0,6.95,27.62,5307.06,0.06,47.0,294.84,192.11,12.0,0.5,17.0,30.0,4.0,10.0,42.86,7.0,N
0.0,0.0,0.17,1.0,6.0,7.92,1.0,7.92,0.0,5.0,0.44,7.92,2.0,0.14,4.0,1.0,2.0,7.0,0.0,6.0,N
0.0,0.0,0.17,1.0,6.0,3.57,4.0,57.06,0.0,9.0,3.17,14.26,2.0,0.14,4.0,5.0,1.0,7.0,0.0,6.0,N
0.0,0.0,0.17,1.0,6.0,2.5,2.0,10.0,0.0,5.0,0.56,5.0,2.0,0.14,4.0,1.0,1.0,7.0,0.0,6.0,N
3.0,0.0,0.17,1.0,6.0,8.51,3.0,76.62,0.01,11.0,4.26,25.54,5.0,0.13,4.0,7.0,2.0,8.0,0.0,6.0,N
0.0,0.0,0.17,1.0,6.0,23.22,0.5,5.8,0.0,5.0,0.32,11.61,2.0,0.1,4.0,1.0,4.0,10.0,0.0,6.0,N
0.0,0.0,0.5,1.0,2.0,13.18,5.25,363.24,0.02,20.0,20.18,69.19,2.0,0.25,6.0,14.0,4.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,1.0,0.33,1.0,2.0,13.5,2.0,54.0,0.01,9.0,3.0,27.0,2.0,0.2,4.0,5.0,4.0,5.0,33.33,3.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
1.0,0.0,0.5,1.0,2.0,11.3,6.13,423.78,0.02,20.0,23.54,69.19,3.0,0.25,7.0,13.0,4.0,4.0,0.0,2.0,N
3.0,4.0,0.18,3.0,18.0,20.39,21.87,9749.86,0.15,90.0,541.66,445.88,15.0,0.13,41.0,49.0,15.0,30.0,25.0,22.0,N
1.0,0.0,0.8,4.0,5.0,16.93,9.0,1371.32,0.05,39.0,76.18,152.37,10.0,0.57,12.0,27.0,6.0,7.0,0.0,5.0,N
1.0,1.0,0.14,1.0,6.0,19.86,6.5,838.88,0.04,36.0,46.6,129.06,3.0,0.09,13.0,23.0,6.0,11.0,14.29,7.0,N
1.0,1.0,0.05,1.0,18.0,13.94,27.75,10733.21,0.13,99.0,596.29,386.78,3.0,0.04,37.0,62.0,6.0,27.0,5.26,19.0,N
2.0,1.0,0.13,1.0,7.0,5.0,27.0,3642.78,0.04,39.0,202.38,134.92,4.0,0.06,12.0,27.0,2.0,17.0,36.36,8.0,N
1.0,1.0,0.14,1.0,6.0,19.86,6.5,838.88,0.04,36.0,46.6,129.06,3.0,0.09,13.0,23.0,6.0,11.0,14.29,7.0,N
0.0,0.0,0.22,1.0,9.0,12.93,9.9,1267.2,0.04,32.0,70.4,128.0,5.0,0.17,9.0,23.0,5.0,12.0,0.0,9.0,N
1.0,0.0,0.8,4.0,5.0,14.75,8.0,944.22,0.04,31.0,52.46,118.03,10.0,0.57,12.0,19.0,6.0,7.0,0.0,5.0,N
3.0,2.0,0.09,2.0,45.0,35.53,29.11,30097.78,0.34,205.0,1672.1,1034.09,15.0,0.07,79.0,126.0,19.0,61.0,8.16,47.0,N
0.0,0.0,0.2,1.0,5.0,26.94,2.0,107.78,0.02,17.0,5.99,53.89,2.0,0.14,8.0,9.0,6.0,7.0,0.0,5.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
3.0,0.0,0.25,1.0,4.0,16.05,3.75,225.86,0.02,19.0,12.55,60.23,5.0,0.17,6.0,13.0,4.0,6.0,0.0,4.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
13.0,2.0,0.06,1.0,15.0,17.64,23.25,9537.7,0.14,105.0,529.87,410.22,21.0,0.04,31.0,74.0,6.0,27.0,21.05,17.0,N
0.0,0.0,0.3,1.0,20.0,13.96,12.0,2010.28,0.06,44.0,111.68,167.52,17.0,0.26,18.0,26.0,6.0,23.0,0.0,20.0,N
1.0,3.0,0.27,3.0,30.0,15.55,36.0,20153.67,0.19,113.0,1119.65,559.82,23.0,0.24,52.0,61.0,13.0,38.0,16.67,33.0,N
2.0,3.0,0.32,3.0,31.0,19.87,31.5,19711.37,0.21,123.0,1095.08,625.76,25.0,0.24,56.0,67.0,16.0,45.0,20.51,34.0,N
0.0,2.0,0.35,1.0,21.0,15.56,19.2,5736.61,0.1,67.0,318.7,298.78,21.0,0.28,32.0,35.0,10.0,29.0,16.0,23.0,N
0.0,1.0,0.25,1.0,11.0,20.61,6.5,870.87,0.04,31.0,48.38,133.98,7.0,0.2,13.0,18.0,10.0,15.0,8.33,12.0,N
0.0,0.0,1.0,1.0,0.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,N
0.0,0.0,1.0,1.0,0.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,N
0.0,1.0,0.25,1.0,11.0,20.61,6.5,870.87,0.04,31.0,48.38,133.98,7.0,0.2,13.0,18.0,10.0,15.0,8.33,12.0,N
0.0,0.0,1.0,1.0,0.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,N
0.0,1.0,0.31,1.0,12.0,25.42,6.67,1129.72,0.06,38.0,62.76,169.46,8.0,0.24,16.0,22.0,12.0,17.0,7.69,13.0,N
1.0,2.0,0.29,2.0,12.0,15.57,6.42,641.1,0.03,27.0,35.62,99.91,10.0,0.24,11.0,16.0,6.0,17.0,14.29,14.0,N
0.0,1.0,0.25,1.0,11.0,23.04,5.91,804.59,0.05,31.0,44.7,136.16,7.0,0.18,13.0,18.0,11.0,17.0,15.38,12.0,N
0.0,1.0,0.25,1.0,11.0,23.04,5.91,804.59,0.05,31.0,44.7,136.16,7.0,0.18,13.0,18.0,11.0,17.0,15.38,12.0,N
1.0,1.0,0.27,2.0,10.0,18.52,8.27,1267.77,0.05,33.0,70.43,153.25,7.0,0.19,13.0,20.0,11.0,16.0,16.67,11.0,N
0.0,1.0,0.36,1.0,13.0,20.31,10.29,2150.69,0.07,45.0,119.48,208.97,12.0,0.26,19.0,26.0,12.0,19.0,13.33,14.0,N
0.0,1.0,0.44,1.0,8.0,22.78,6.36,922.39,0.05,33.0,51.24,144.95,7.0,0.27,14.0,19.0,11.0,15.0,11.11,9.0,N
1.0,4.0,0.31,2.0,28.0,31.21,30.6,29223.69,0.32,176.0,1623.54,955.02,22.0,0.17,85.0,91.0,25.0,58.0,34.88,32.0,N
1.0,5.0,0.2,2.0,46.0,32.89,32.59,34940.42,0.36,193.0,1941.13,1072.04,24.0,0.13,88.0,105.0,27.0,78.0,26.98,51.0,N
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,N
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,N
1.0,3.0,0.71,5.0,4.0,6.95,27.62,5307.06,0.06,47.0,294.84,192.11,12.0,0.5,17.0,30.0,4.0,10.0,42.86,7.0,N
7.0,0.0,0.17,4.0,23.0,41.58,21.64,19463.36,0.3,174.0,1081.3,899.57,27.0,0.08,68.0,106.0,22.0,51.0,36.11,23.0,N
4.0,3.0,0.1,1.0,7.0,27.17,9.38,2388.32,0.08,58.0,132.68,254.75,9.0,0.04,25.0,33.0,12.0,23.0,58.82,10.0,N
4.0,6.0,0.05,1.0,16.0,38.03,18.56,13102.64,0.24,152.0,727.92,705.87,20.0,0.03,66.0,86.0,16.0,38.0,46.67,22.0,N
3.0,0.0,0.08,1.0,12.0,31.09,9.38,2732.13,0.1,62.0,151.79,291.43,7.0,0.04,30.0,32.0,16.0,25.0,33.33,12.0,N
6.0,1.0,0.08,1.0,11.0,31.2,6.68,1393.13,0.07,50.0,77.4,208.5,11.0,0.04,21.0,29.0,11.0,24.0,35.29,12.0,N
4.0,1.0,0.08,1.0,11.0,26.16,8.59,1930.72,0.07,52.0,107.26,224.74,10.0,0.04,21.0,31.0,11.0,23.0,31.25,12.0,N
0.0,0.0,0.5,1.0,2.0,13.18,5.25,363.24,0.02,20.0,20.18,69.19,2.0,0.25,6.0,14.0,4.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
1.0,0.0,0.5,1.0,2.0,11.3,6.13,423.78,0.02,20.0,23.54,69.19,3.0,0.25,7.0,13.0,4.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,N
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,N
1.0,3.0,0.71,5.0,4.0,6.95,27.62,5307.06,0.06,47.0,294.84,192.11,12.0,0.5,17.0,30.0,4.0,10.0,42.86,7.0,N
1.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,3.0,0.17,1.0,3.0,1.0,6.0,50.0,2.0,N
1.0,0.0,0.5,1.0,2.0,11.07,4.38,211.89,0.02,14.0,11.77,48.43,3.0,0.25,5.0,9.0,4.0,4.0,0.0,2.0,N
0.0,0.0,0.38,1.0,8.0,13.74,6.0,494.72,0.03,23.0,27.48,82.45,11.0,0.3,12.0,11.0,6.0,10.0,0.0,8.0,N
0.0,0.0,0.5,1.0,2.0,13.18,5.25,363.24,0.02,20.0,20.18,69.19,2.0,0.25,6.0,14.0,4.0,4.0,0.0,2.0,N
0.0,2.0,0.25,1.0,10.0,19.66,7.0,963.25,0.05,33.0,53.51,137.61,7.0,0.18,14.0,19.0,9.0,17.0,16.67,12.0,N
3.0,2.0,0.14,2.0,12.0,22.36,8.55,1634.39,0.06,45.0,90.8,191.16,8.0,0.11,19.0,26.0,10.0,18.0,14.29,14.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
1.0,0.0,0.5,1.0,2.0,11.3,6.13,423.78,0.02,20.0,23.54,69.19,3.0,0.25,7.0,13.0,4.0,4.0,0.0,2.0,N
6.0,1.0,0.08,1.0,11.0,14.59,30.0,13127.15,0.15,112.0,729.29,437.57,14.0,0.07,40.0,72.0,6.0,15.0,8.33,12.0,N
1.0,4.0,0.28,3.0,14.0,14.66,21.64,6864.9,0.11,66.0,381.38,317.29,12.0,0.24,28.0,38.0,11.0,21.0,22.22,18.0,N
1.0,1.0,0.3,1.0,9.0,13.14,11.57,1758.86,0.05,38.0,97.71,152.0,12.0,0.23,18.0,20.0,7.0,13.0,10.0,10.0,N
1.0,1.0,0.25,1.0,11.0,15.79,18.33,5308.77,0.1,67.0,294.93,289.57,12.0,0.2,30.0,37.0,9.0,15.0,8.33,12.0,N
6.0,1.0,0.08,1.0,11.0,14.59,30.0,13127.15,0.15,112.0,729.29,437.57,14.0,0.07,40.0,72.0,6.0,15.0,8.33,12.0,N
1.0,1.0,0.3,1.0,9.0,12.83,10.29,1357.71,0.04,33.0,75.43,132.0,12.0,0.23,16.0,17.0,7.0,13.0,10.0,10.0,N
2.0,1.0,0.31,1.0,12.0,12.86,14.78,2807.62,0.06,42.0,155.98,189.99,15.0,0.24,19.0,23.0,9.0,17.0,7.69,13.0,N
1.0,1.0,0.3,1.0,9.0,13.14,11.57,1758.86,0.05,38.0,97.71,152.0,12.0,0.23,18.0,20.0,7.0,13.0,10.0,10.0,N
1.0,0.0,0.33,2.0,6.0,10.48,9.75,996.32,0.03,25.0,55.35,102.19,5.0,0.25,6.0,19.0,4.0,8.0,0.0,6.0,N
1.0,4.0,0.28,3.0,14.0,15.76,19.09,5743.08,0.1,64.0,319.06,300.83,12.0,0.24,28.0,36.0,11.0,21.0,22.22,18.0,N
0.0,2.0,0.27,1.0,9.0,17.56,6.75,800.12,0.04,29.0,44.45,118.54,7.0,0.2,12.0,17.0,8.0,15.0,18.18,11.0,N
3.0,2.0,0.15,2.0,11.0,23.6,8.1,1548.37,0.06,45.0,86.02,191.16,8.0,0.13,18.0,27.0,10.0,16.0,15.38,13.0,N
1.0,1.0,0.33,1.0,5.0,10.34,10.83,1213.33,0.04,28.0,67.41,112.0,8.0,0.22,13.0,15.0,6.0,9.0,16.67,6.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
1.0,1.0,0.3,1.0,9.0,11.8,10.0,1180.28,0.04,31.0,65.57,118.03,12.0,0.23,15.0,16.0,6.0,13.0,10.0,10.0,N
0.0,1.0,0.25,1.0,7.0,8.51,8.0,544.91,0.02,19.0,30.27,68.11,6.0,0.14,8.0,11.0,4.0,14.0,12.5,8.0,N
0.0,0.0,1.5,1.0,2.0,13.29,4.5,269.08,0.02,18.0,14.95,59.79,6.0,0.6,6.0,12.0,4.0,5.0,0.0,2.0,N
1.0,0.0,0.22,1.0,9.0,13.29,3.75,186.86,0.02,15.0,10.38,49.83,7.0,0.18,5.0,10.0,4.0,11.0,0.0,9.0,N
0.0,0.0,0.5,1.0,2.0,16.92,3.5,207.22,0.02,16.0,11.51,59.21,2.0,0.14,6.0,10.0,6.0,7.0,33.33,2.0,N
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,N
1.0,3.0,0.71,5.0,4.0,6.95,27.62,5307.06,0.06,47.0,294.84,192.11,12.0,0.5,17.0,30.0,4.0,10.0,42.86,7.0,N
0.0,0.0,0.2,1.0,5.0,2.67,1.5,6.0,0.0,4.0,0.33,4.0,2.0,0.17,3.0,1.0,1.0,6.0,0.0,5.0,N
0.0,0.0,0.2,1.0,5.0,3.7,3.0,33.28,0.0,7.0,1.85,11.09,2.0,0.17,3.0,4.0,1.0,6.0,0.0,5.0,N
0.0,0.0,0.2,1.0,5.0,2.67,1.5,6.0,0.0,4.0,0.33,4.0,2.0,0.17,3.0,1.0,1.0,6.0,0.0,5.0,N
0.0,0.0,0.2,1.0,5.0,16.0,0.5,4.0,0.0,4.0,0.22,8.0,2.0,0.13,3.0,1.0,3.0,8.0,0.0,5.0,N
1.0,1.0,0.17,1.0,5.0,14.17,12.8,2320.92,0.06,49.0,128.94,181.32,3.0,0.11,16.0,33.0,5.0,9.0,16.67,6.0,N
0.0,0.0,0.5,1.0,2.0,13.18,5.25,363.24,0.02,20.0,20.18,69.19,2.0,0.25,6.0,14.0,4.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
1.0,0.0,0.5,1.0,2.0,11.3,6.13,423.78,0.02,20.0,23.54,69.19,3.0,0.25,7.0,13.0,4.0,4.0,0.0,2.0,N
1.0,1.0,0.17,1.0,5.0,16.14,6.0,581.18,0.03,28.0,32.29,96.86,3.0,0.11,10.0,18.0,5.0,9.0,16.67,6.0,N
1.0,1.0,0.17,1.0,5.0,14.41,6.0,518.9,0.03,25.0,28.83,86.49,3.0,0.11,10.0,15.0,5.0,9.0,16.67,6.0,N
2.0,1.0,0.13,1.0,14.0,13.97,14.93,3112.55,0.07,50.0,172.92,208.5,8.0,0.11,19.0,31.0,7.0,18.0,6.67,15.0,N
1.0,1.0,0.17,1.0,5.0,16.14,6.0,581.18,0.03,28.0,32.29,96.86,3.0,0.11,10.0,18.0,5.0,9.0,16.67,6.0,N
0.0,0.0,0.25,1.0,8.0,10.96,9.63,1015.3,0.04,27.0,56.41,105.49,5.0,0.2,7.0,20.0,4.0,10.0,0.0,8.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
3.0,1.0,0.13,1.0,15.0,16.05,13.75,3037.27,0.07,52.0,168.74,220.89,9.0,0.1,20.0,32.0,8.0,20.0,6.25,16.0,N
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.33,0.0,1.0,0.0,3.0,0.0,1.0,N
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.33,0.0,1.0,0.0,3.0,0.0,1.0,N
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.33,0.0,1.0,0.0,3.0,0.0,1.0,N
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.33,0.0,1.0,0.0,3.0,0.0,1.0,N
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.33,0.0,1.0,0.0,3.0,0.0,1.0,N
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.33,0.0,1.0,0.0,3.0,0.0,1.0,N
1.0,3.0,0.71,5.0,4.0,6.95,27.62,5307.06,0.06,47.0,294.84,192.11,12.0,0.5,17.0,30.0,4.0,10.0,42.86,7.0,N
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.0,1.0,0.0,2.0,0.0,0.0,N
2.0,0.0,0.03,1.0,37.0,29.44,16.8,8308.99,0.16,121.0,461.61,494.58,8.0,0.02,48.0,73.0,10.0,51.0,11.9,37.0,N
5.0,2.0,0.1,9.0,152.0,63.24,50.52,161387.41,1.06,569.0,8965.97,3194.77,73.0,0.07,174.0,395.0,31.0,214.0,16.02,154.0,Y
1.0,0.0,0.05,1.0,21.0,4.63,24.0,2667.68,0.04,43.0,148.2,111.15,3.0,0.04,24.0,19.0,2.0,23.0,4.55,21.0,N
0.0,2.0,0.19,1.0,35.0,29.66,21.71,13982.99,0.21,121.0,776.83,643.95,19.0,0.11,48.0,73.0,21.0,62.0,28.57,37.0,N
3.0,4.0,0.11,6.0,81.0,41.08,36.67,55223.87,0.5,283.0,3067.99,1506.11,23.0,0.09,110.0,173.0,24.0,102.0,11.96,85.0,N
4.0,4.0,0.29,15.0,72.0,72.43,28.18,57499.72,0.68,358.0,3194.43,2040.76,52.0,0.21,139.0,219.0,37.0,105.0,18.18,76.0,N
5.0,4.0,0.19,15.0,107.0,81.48,40.0,130367.47,1.09,569.0,7242.64,3259.19,63.0,0.14,185.0,384.0,37.0,146.0,9.32,111.0,Y
1.0,0.0,0.2,2.0,15.0,17.89,7.31,956.47,0.04,32.0,53.14,130.8,9.0,0.14,13.0,19.0,8.0,21.0,6.25,15.0,Y
2.0,0.0,0.19,7.0,37.0,41.28,17.47,12598.1,0.24,150.0,699.89,721.1,26.0,0.1,54.0,96.0,17.0,73.0,35.09,37.0,Y
16.0,1.0,0.05,18.0,826.0,319.49,64.72,1338364.88,6.89,2740.0,74353.6,20678.49,235.0,0.04,923.0,1817.0,164.0,1148.0,16.14,827.0,N
3.0,0.0,0.2,1.0,15.0,22.01,10.0,2200.78,0.07,48.0,122.27,220.08,11.0,0.12,20.0,28.0,12.0,25.0,6.25,15.0,N
