@relation SelectedFeatures
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
3.0,0.0,2.0,1.0,11.02,10.21,1150.01,0.04,27.0,63.89,112.59,11.0,0.43,13.0,14.0,7.0,11.0,7.0,75.0,4.0,N
7.0,0.0,2.0,2.0,12.02,9.75,1142.77,0.04,30.0,63.49,117.21,6.0,0.17,13.0,17.0,6.0,9.0,12.0,77.78,9.0,N
7.0,0.0,2.0,2.0,15.5,8.57,1138.58,0.04,34.0,63.25,132.83,7.0,0.17,15.0,19.0,7.0,8.0,12.0,77.78,9.0,N
18.0,1.0,2.0,3.0,22.46,14.39,4653.68,0.11,68.0,258.54,323.33,13.0,0.12,31.0,37.0,14.0,13.0,26.0,86.36,21.0,N
18.0,1.0,2.0,3.0,19.43,16.14,5069.44,0.1,66.0,281.64,313.82,12.0,0.12,30.0,36.0,13.0,14.0,26.0,86.36,21.0,N
14.0,1.0,2.0,3.0,15.13,14.95,3381.36,0.08,50.0,187.85,226.18,10.0,0.13,23.0,27.0,10.0,13.0,23.0,83.33,17.0,N
14.0,1.0,2.0,3.0,14.37,14.67,3092.19,0.07,48.0,171.79,210.83,9.0,0.14,22.0,26.0,9.0,12.0,22.0,83.33,17.0,N
8.0,0.0,2.0,2.0,15.41,11.9,2182.44,0.06,40.0,121.25,183.4,9.0,0.23,17.0,23.0,10.0,14.0,13.0,80.0,10.0,N
7.0,0.0,2.0,2.0,13.81,12.44,2139.14,0.06,38.0,118.84,171.9,9.0,0.25,16.0,22.0,9.0,14.0,12.0,77.78,9.0,N
13.0,0.0,2.0,1.0,8.78,13.33,1560.0,0.04,39.0,86.67,117.0,16.0,0.38,16.0,23.0,3.0,5.0,16.0,92.86,14.0,N
13.0,0.0,2.0,1.0,10.33,15.75,2563.7,0.05,49.0,142.43,162.77,21.0,0.38,21.0,28.0,4.0,6.0,16.0,92.86,14.0,N
35.0,0.0,2.33,6.0,43.37,24.25,25506.03,0.35,199.0,1417.0,1051.8,27.0,0.11,97.0,102.0,26.0,13.0,46.0,85.37,41.0,N
35.0,0.0,2.33,6.0,45.29,24.8,27844.43,0.37,211.0,1546.91,1122.93,27.0,0.11,103.0,108.0,27.0,13.0,46.0,85.37,41.0,N
16.0,0.0,2.0,4.0,11.55,35.0,14143.26,0.13,92.0,785.74,404.09,20.0,0.27,35.0,57.0,7.0,14.0,26.0,80.0,20.0,N
16.0,0.0,2.0,4.0,14.12,29.25,12076.68,0.14,94.0,670.93,412.88,21.0,0.26,36.0,58.0,8.0,13.0,27.0,80.0,20.0,N
8.0,2.0,2.0,2.0,14.37,18.94,5158.22,0.09,63.0,286.57,272.28,8.0,0.13,31.0,32.0,9.0,11.0,16.0,83.33,10.0,N
8.0,2.0,2.0,2.0,16.21,18.15,5341.28,0.1,67.0,296.74,294.29,8.0,0.12,33.0,34.0,10.0,11.0,17.0,83.33,10.0,N
10.0,2.0,2.0,2.0,18.5,11.25,2341.67,0.07,49.0,130.09,208.15,8.0,0.11,25.0,24.0,10.0,9.0,18.0,85.71,12.0,N
10.0,2.0,2.0,2.0,20.75,11.45,2722.81,0.08,55.0,151.27,237.71,8.0,0.11,28.0,27.0,11.0,9.0,18.0,85.71,12.0,N
29.0,0.0,2.25,4.0,28.97,28.95,24283.0,0.28,161.0,1349.06,838.72,27.0,0.16,76.0,85.0,21.0,16.0,38.0,87.88,33.0,N
29.0,0.0,2.25,4.0,32.25,27.61,24598.68,0.3,171.0,1366.59,890.82,28.0,0.16,81.0,90.0,22.0,15.0,38.0,87.88,33.0,N
10.0,0.0,2.0,2.0,16.72,15.27,3900.84,0.09,55.0,216.71,255.41,11.0,0.2,24.0,31.0,11.0,14.0,15.0,83.33,12.0,N
10.0,0.0,2.0,2.0,18.2,15.75,4515.95,0.1,61.0,250.89,286.73,11.0,0.2,27.0,34.0,12.0,14.0,15.0,83.33,12.0,N
5.0,0.0,2.0,1.0,19.31,8.89,1525.99,0.06,42.0,84.78,171.67,12.0,0.33,20.0,22.0,9.0,8.0,9.0,83.33,6.0,N
5.0,0.0,2.0,1.0,21.72,9.6,2001.56,0.07,50.0,111.2,208.5,13.0,0.33,24.0,26.0,10.0,8.0,9.0,83.33,6.0,N
14.0,0.0,2.25,2.0,18.65,20.42,7773.35,0.13,81.0,431.85,380.74,18.0,0.27,35.0,46.0,12.0,14.0,22.0,87.5,16.0,N
14.0,0.0,2.25,2.0,16.23,21.14,7252.56,0.11,73.0,402.92,343.13,17.0,0.27,31.0,42.0,11.0,15.0,22.0,87.5,16.0,N
7.0,0.0,3.0,2.0,12.51,18.0,4052.52,0.08,53.0,225.14,225.14,7.0,0.25,21.0,32.0,7.0,12.0,12.0,77.78,9.0,N
7.0,0.0,3.0,2.0,13.51,17.87,4318.2,0.08,55.0,239.9,241.58,8.0,0.25,22.0,33.0,8.0,13.0,12.0,77.78,9.0,N
13.0,0.0,2.0,4.0,15.13,20.3,6236.01,0.1,67.0,346.44,307.19,10.0,0.15,29.0,38.0,10.0,14.0,20.0,76.47,17.0,N
13.0,0.0,2.0,4.0,16.59,21.0,7314.07,0.12,75.0,406.34,348.29,10.0,0.15,33.0,42.0,11.0,14.0,20.0,76.47,17.0,N
3.0,0.0,2.0,1.0,10.57,12.86,1747.72,0.05,32.0,97.1,135.93,11.0,0.43,15.0,17.0,7.0,12.0,7.0,75.0,4.0,N
5.0,0.0,2.5,1.0,7.46,11.0,902.49,0.03,21.0,50.14,82.04,9.0,0.44,8.0,13.0,4.0,11.0,9.0,83.33,6.0,N
1.0,0.0,2.0,1.0,6.75,6.67,299.82,0.01,13.0,16.66,44.97,6.0,0.4,5.0,8.0,3.0,8.0,5.0,50.0,2.0,N
9.0,0.0,2.0,3.0,9.49,14.0,1859.68,0.04,34.0,103.32,132.83,15.0,0.27,14.0,20.0,5.0,10.0,15.0,75.0,12.0,N
4.0,0.0,2.0,1.0,14.13,8.57,1038.11,0.04,31.0,57.67,121.11,8.0,0.22,15.0,16.0,7.0,8.0,9.0,80.0,5.0,N
16.0,0.0,2.5,4.0,23.28,16.67,6466.18,0.13,87.0,359.23,387.97,14.0,0.15,40.0,47.0,12.0,10.0,27.0,80.0,20.0,N
12.0,0.0,2.0,2.0,11.04,18.86,3925.09,0.07,49.0,218.06,208.15,9.0,0.18,22.0,27.0,7.0,12.0,17.0,85.71,14.0,N
19.0,3.0,2.0,3.0,17.87,23.79,10108.93,0.14,85.0,561.61,425.0,21.0,0.21,37.0,48.0,14.0,18.0,29.0,88.0,22.0,N
19.0,3.0,2.0,3.0,17.09,23.54,9471.05,0.13,82.0,526.17,402.37,20.0,0.21,36.0,46.0,13.0,17.0,29.0,88.0,22.0,N
20.0,4.0,2.2,3.0,15.01,26.31,10391.54,0.13,79.0,577.31,395.0,18.0,0.23,36.0,43.0,13.0,19.0,30.0,88.89,23.0,N
20.0,4.0,2.2,3.0,15.78,26.43,11025.26,0.14,82.0,612.51,417.17,19.0,0.23,37.0,45.0,14.0,20.0,31.0,88.89,23.0,N
10.0,0.0,2.0,1.0,29.37,8.65,2199.7,0.08,57.0,122.21,254.19,9.0,0.13,25.0,32.0,13.0,9.0,16.0,90.91,11.0,N
38.0,0.0,2.17,7.0,28.74,34.11,33446.1,0.33,183.0,1858.12,980.43,31.0,0.15,79.0,104.0,22.0,19.0,52.0,84.44,45.0,N
6.0,1.0,2.0,1.0,26.87,6.36,1087.97,0.06,41.0,60.44,170.97,10.0,0.15,20.0,21.0,11.0,7.0,13.0,87.5,7.0,N
9.0,0.0,2.0,2.0,25.37,11.25,3210.79,0.1,64.0,178.38,285.4,10.0,0.13,27.0,37.0,12.0,10.0,15.0,81.82,11.0,N
9.0,0.0,2.0,2.0,27.58,11.15,3430.95,0.1,68.0,190.61,307.6,10.0,0.13,29.0,39.0,13.0,10.0,15.0,81.82,11.0,N
12.0,0.0,2.0,3.0,23.84,19.04,8641.77,0.15,99.0,480.1,453.91,9.0,0.11,45.0,54.0,13.0,11.0,19.0,80.0,15.0,N
14.0,0.0,2.0,3.0,25.77,19.64,9942.83,0.17,109.0,552.38,506.18,9.0,0.1,50.0,59.0,14.0,11.0,21.0,82.35,17.0,N
2.0,0.0,2.0,1.0,10.24,5.6,321.21,0.02,16.0,17.85,57.36,8.0,0.33,8.0,8.0,5.0,7.0,6.0,66.67,3.0,N
2.0,0.0,2.0,1.0,12.69,5.25,349.69,0.02,18.0,19.43,66.61,8.0,0.29,9.0,9.0,6.0,7.0,7.0,66.67,3.0,N
7.0,0.0,2.0,2.0,7.69,11.67,1046.41,0.03,27.0,58.13,89.69,6.0,0.18,10.0,17.0,3.0,7.0,11.0,77.78,9.0,N
7.0,0.0,2.0,2.0,9.45,11.0,1143.6,0.03,29.0,63.53,103.96,7.0,0.18,11.0,18.0,4.0,8.0,11.0,77.78,9.0,N
8.0,0.0,2.0,2.0,8.77,19.5,3333.86,0.06,41.0,185.21,170.97,15.0,0.36,15.0,26.0,5.0,13.0,14.0,80.0,10.0,N
8.0,0.0,2.0,2.0,10.38,18.42,3520.47,0.06,45.0,195.58,191.16,17.0,0.36,17.0,28.0,6.0,13.0,14.0,80.0,10.0,N
4.0,0.0,2.0,1.0,7.7,13.5,1403.51,0.03,29.0,77.97,103.96,7.0,0.38,9.0,20.0,3.0,9.0,8.0,80.0,5.0,N
4.0,0.0,2.0,1.0,8.53,15.0,1920.0,0.04,32.0,106.67,128.0,8.0,0.3,10.0,22.0,4.0,12.0,10.0,80.0,5.0,N
9.0,0.0,2.0,3.0,9.96,15.6,2423.05,0.05,38.0,134.61,155.32,8.0,0.19,13.0,25.0,5.0,12.0,16.0,75.0,12.0,N
9.0,0.0,2.0,3.0,9.59,13.5,1748.46,0.04,35.0,97.14,129.52,7.0,0.2,12.0,23.0,4.0,9.0,15.0,75.0,12.0,N
17.0,1.0,2.0,3.0,22.46,14.39,4653.68,0.11,68.0,258.54,323.33,13.0,0.12,31.0,37.0,14.0,13.0,25.0,85.71,20.0,N
18.0,1.0,2.0,3.0,19.43,16.14,5069.44,0.1,66.0,281.64,313.82,12.0,0.12,30.0,36.0,13.0,14.0,26.0,86.36,21.0,N
13.0,1.0,2.0,3.0,15.13,14.95,3381.36,0.08,50.0,187.85,226.18,10.0,0.14,23.0,27.0,10.0,13.0,22.0,82.35,16.0,N
14.0,1.0,2.0,3.0,14.37,14.67,3092.19,0.07,48.0,171.79,210.83,9.0,0.14,22.0,26.0,9.0,12.0,22.0,83.33,17.0,N
1.0,0.0,2.0,1.0,5.0,6.0,180.0,0.01,10.0,10.0,30.0,6.0,0.5,4.0,6.0,2.0,6.0,4.0,50.0,2.0,N
3.0,0.0,2.0,1.0,14.36,8.36,1002.86,0.04,30.0,55.71,120.0,12.0,0.5,13.0,17.0,7.0,9.0,6.0,75.0,4.0,N
7.0,0.0,2.0,2.0,5.74,20.0,2294.27,0.04,31.0,127.46,114.71,11.0,0.36,12.0,19.0,3.0,10.0,11.0,77.78,9.0,N
7.0,0.0,2.0,2.0,6.77,19.5,2574.0,0.04,33.0,143.0,132.0,12.0,0.33,13.0,20.0,4.0,12.0,12.0,77.78,9.0,N
6.0,4.0,2.0,2.0,19.8,6.11,739.53,0.04,28.0,41.08,121.01,7.0,0.14,10.0,18.0,9.0,11.0,14.0,83.33,8.0,N
6.0,4.0,2.0,2.0,19.8,6.11,739.53,0.04,28.0,41.08,121.01,7.0,0.14,10.0,18.0,9.0,11.0,14.0,83.33,8.0,N
5.0,6.0,2.0,1.0,24.08,11.85,3379.63,0.1,60.0,187.76,285.29,16.0,0.18,22.0,38.0,13.0,14.0,17.0,91.67,6.0,N
2.0,0.0,2.0,1.0,16.73,4.5,338.78,0.03,21.0,18.82,75.28,9.0,0.4,9.0,12.0,6.0,6.0,5.0,66.67,3.0,N
3.0,0.0,2.0,1.0,19.7,8.25,1340.75,0.05,37.0,74.49,162.52,10.0,0.22,15.0,22.0,10.0,11.0,9.0,75.0,4.0,N
2.0,0.0,2.0,1.0,13.4,5.25,369.2,0.02,18.0,20.51,70.32,6.0,0.4,7.0,11.0,6.0,9.0,5.0,66.67,3.0,N
2.0,0.0,2.0,1.0,13.4,5.25,369.2,0.02,18.0,20.51,70.32,6.0,0.4,7.0,11.0,6.0,9.0,5.0,66.67,3.0,N
2.0,0.0,2.0,1.0,10.15,9.0,822.39,0.03,24.0,45.69,91.38,8.0,0.4,10.0,14.0,5.0,9.0,5.0,66.67,3.0,N
6.0,2.0,2.0,1.0,23.88,12.66,3824.79,0.1,61.0,212.49,302.21,15.0,0.2,27.0,34.0,16.0,15.0,15.0,88.89,7.0,N
5.0,2.0,2.0,1.0,20.94,8.18,1401.55,0.06,39.0,77.86,171.3,9.0,0.17,18.0,21.0,11.0,10.0,12.0,87.5,6.0,N
4.0,0.0,2.0,1.0,19.35,6.25,755.8,0.04,29.0,41.99,120.93,10.0,0.22,10.0,19.0,8.0,10.0,9.0,80.0,5.0,N
4.0,2.0,2.0,1.0,19.45,8.0,1244.72,0.05,36.0,69.15,155.59,8.0,0.17,16.0,20.0,10.0,10.0,12.0,85.71,5.0,N
4.0,2.0,2.0,1.0,17.8,10.05,1796.26,0.06,39.0,99.79,178.81,11.0,0.25,17.0,22.0,11.0,13.0,12.0,85.71,5.0,N
3.0,2.0,2.0,1.0,11.09,4.0,177.52,0.01,14.0,9.86,44.38,11.0,0.25,4.0,10.0,3.0,6.0,8.0,83.33,4.0,N
3.0,2.0,3.0,1.0,13.22,5.6,414.45,0.02,20.0,23.02,74.01,13.0,0.38,7.0,13.0,5.0,8.0,8.0,83.33,4.0,N
1.0,0.0,2.0,1.0,9.51,3.0,85.59,0.01,9.0,4.75,28.53,3.0,0.2,3.0,6.0,3.0,6.0,5.0,50.0,2.0,N
2.0,0.0,3.0,1.0,9.09,8.8,704.0,0.03,20.0,39.11,80.0,6.0,0.33,8.0,12.0,5.0,11.0,6.0,66.67,3.0,N
2.0,0.0,3.0,1.0,11.98,7.5,673.94,0.03,23.0,37.44,89.86,6.0,0.33,10.0,13.0,6.0,9.0,6.0,66.67,3.0,N
6.0,0.0,3.0,2.0,16.52,11.25,2090.73,0.06,43.0,116.15,185.84,13.0,0.3,15.0,28.0,8.0,12.0,10.0,75.0,8.0,N
8.0,4.0,2.0,1.0,19.61,15.3,4590.0,0.1,60.0,255.0,300.0,17.0,0.22,27.0,33.0,15.0,17.0,18.0,92.31,9.0,N
34.0,0.0,2.0,6.0,24.75,23.0,13091.58,0.19,116.0,727.31,569.2,29.0,0.2,46.0,70.0,15.0,15.0,44.0,85.0,40.0,N
4.0,0.0,2.0,1.0,20.22,7.5,1137.16,0.05,34.0,63.18,151.62,9.0,0.22,15.0,19.0,11.0,11.0,9.0,80.0,5.0,N
2.0,0.0,2.0,1.0,8.3,6.67,369.01,0.02,16.0,20.5,55.35,5.0,0.33,5.0,11.0,3.0,8.0,6.0,66.67,3.0,N
2.0,0.0,2.0,1.0,8.3,6.67,369.01,0.02,16.0,20.5,55.35,5.0,0.29,5.0,11.0,3.0,8.0,7.0,66.67,3.0,N
2.0,0.0,2.0,1.0,10.04,5.0,250.95,0.02,14.0,13.94,50.19,7.0,0.6,5.0,9.0,4.0,8.0,5.0,66.67,3.0,N
2.0,0.0,2.0,1.0,10.04,5.0,250.95,0.02,14.0,13.94,50.19,8.0,0.5,5.0,9.0,4.0,8.0,6.0,66.67,3.0,N
1.0,0.0,2.0,1.0,7.83,4.67,170.53,0.01,11.0,9.47,36.54,7.0,0.5,4.0,7.0,3.0,7.0,4.0,50.0,2.0,N
4.0,0.0,2.0,2.0,8.24,5.0,206.05,0.01,13.0,11.45,41.21,6.0,0.25,5.0,8.0,3.0,6.0,8.0,66.67,6.0,N
3.0,0.0,2.0,1.0,7.19,9.0,582.53,0.02,17.0,32.36,64.73,5.0,0.33,3.0,14.0,2.0,12.0,6.0,75.0,4.0,N
1.0,0.0,2.0,1.0,9.25,4.67,201.53,0.01,13.0,11.2,43.19,7.0,0.5,4.0,9.0,3.0,7.0,4.0,50.0,2.0,N
4.0,0.0,2.0,1.0,17.95,7.94,1133.07,0.05,33.0,62.95,142.62,11.0,0.57,13.0,20.0,9.0,11.0,7.0,80.0,5.0,N
1.0,0.0,2.0,1.0,7.83,4.67,170.53,0.01,11.0,9.47,36.54,5.0,0.5,4.0,7.0,3.0,7.0,4.0,50.0,2.0,N
2.0,0.0,2.0,1.0,9.87,5.63,312.22,0.02,15.0,17.35,55.51,5.0,0.4,5.0,10.0,4.0,9.0,5.0,66.67,3.0,N
12.0,4.0,2.0,4.0,18.2,14.0,3567.06,0.08,53.0,198.17,254.79,21.0,0.21,21.0,32.0,12.0,16.0,24.0,80.0,16.0,N
28.0,1.0,3.0,5.0,16.67,30.46,15468.34,0.17,99.0,859.35,507.8,32.0,0.19,36.0,63.0,13.0,22.0,37.0,85.29,33.0,N
3.0,0.0,3.0,1.0,6.92,8.0,442.81,0.02,16.0,24.6,55.35,6.0,0.5,6.0,10.0,3.0,8.0,6.0,75.0,4.0,N
7.0,0.0,2.0,2.0,13.18,10.93,1573.71,0.05,36.0,87.43,144.0,8.0,0.14,17.0,19.0,7.0,9.0,14.0,77.78,9.0,N
7.0,0.0,2.0,2.0,15.3,10.69,1747.39,0.05,40.0,97.08,163.5,8.0,0.13,19.0,21.0,8.0,9.0,15.0,77.78,9.0,N
12.0,1.0,2.0,4.0,20.76,10.29,2198.48,0.07,46.0,122.14,213.62,20.0,0.24,19.0,27.0,12.0,13.0,21.0,76.47,16.0,N
6.0,1.0,2.0,2.0,17.33,8.33,1203.58,0.05,34.0,66.87,144.43,16.0,0.31,15.0,19.0,9.0,10.0,13.0,77.78,8.0,N
7.0,0.0,2.0,2.0,11.78,9.17,990.0,0.04,27.0,55.0,108.0,9.0,0.25,11.0,16.0,6.0,10.0,12.0,77.78,9.0,N
7.0,0.0,2.0,2.0,15.91,8.13,1050.3,0.04,31.0,58.35,129.27,10.0,0.23,13.0,18.0,8.0,10.0,13.0,77.78,9.0,N
2.0,0.0,3.0,1.0,6.29,10.0,629.07,0.02,17.0,34.95,62.91,7.0,0.6,6.0,11.0,3.0,10.0,5.0,66.67,3.0,N
13.0,2.0,2.0,4.0,20.12,14.17,4037.5,0.1,57.0,224.31,285.0,25.0,0.26,25.0,32.0,15.0,17.0,23.0,78.95,17.0,N
7.0,2.0,2.0,2.0,17.27,12.25,2591.12,0.07,45.0,143.95,211.52,21.0,0.33,21.0,24.0,12.0,14.0,15.0,81.82,9.0,N
9.0,0.0,2.0,2.0,14.35,14.7,3100.35,0.07,46.0,172.24,210.91,20.0,0.29,21.0,25.0,10.0,14.0,14.0,81.82,11.0,N
12.0,0.0,2.0,3.0,14.77,23.25,7985.96,0.11,70.0,443.66,343.48,25.0,0.22,31.0,39.0,12.0,18.0,18.0,80.0,15.0,N
9.0,0.0,2.0,2.0,12.52,18.4,4237.92,0.08,49.0,235.44,230.32,20.0,0.29,23.0,26.0,10.0,16.0,14.0,81.82,11.0,N
3.0,0.0,2.0,1.0,12.14,5.33,345.2,0.02,17.0,19.18,64.73,8.0,0.33,8.0,9.0,6.0,8.0,6.0,75.0,4.0,N
2.0,0.0,2.0,1.0,7.26,6.67,322.88,0.02,14.0,17.94,48.43,6.0,0.4,5.0,9.0,3.0,8.0,5.0,66.67,3.0,N
1.0,0.0,2.0,1.0,7.78,5.33,221.4,0.01,12.0,12.3,41.51,6.0,0.5,4.0,8.0,3.0,8.0,4.0,50.0,2.0,N
2.0,0.0,2.0,1.0,9.75,6.25,380.74,0.02,16.0,21.15,60.92,6.0,0.4,5.0,11.0,4.0,10.0,5.0,66.67,3.0,N
4.0,0.0,2.0,1.0,11.76,10.83,1380.58,0.04,30.0,76.7,127.44,6.0,0.29,10.0,20.0,6.0,13.0,7.0,80.0,5.0,N
18.0,2.0,2.0,3.0,18.05,15.33,4242.98,0.09,63.0,235.72,276.72,19.0,0.2,23.0,40.0,9.0,12.0,25.0,86.96,21.0,N
15.0,8.0,2.0,2.0,14.33,25.0,8955.08,0.12,73.0,497.5,358.2,18.0,0.1,25.0,48.0,10.0,20.0,29.0,92.0,17.0,N
9.0,0.0,2.33,2.0,9.49,16.8,2678.11,0.05,39.0,148.78,159.41,12.0,0.36,14.0,25.0,5.0,12.0,14.0,81.82,11.0,N
9.0,0.0,2.33,2.0,11.21,16.0,2868.91,0.06,43.0,159.38,179.31,14.0,0.36,16.0,27.0,6.0,12.0,14.0,81.82,11.0,N
3.0,0.0,3.0,1.0,11.72,9.0,949.37,0.04,27.0,52.74,105.49,8.0,0.38,12.0,15.0,6.0,9.0,8.0,75.0,4.0,N
3.0,0.0,3.0,1.0,13.88,8.36,969.43,0.04,29.0,53.86,116.0,8.0,0.38,13.0,16.0,7.0,9.0,8.0,75.0,4.0,N
4.0,2.0,2.5,1.0,24.49,10.68,2792.65,0.09,55.0,155.15,261.51,15.0,0.31,23.0,32.0,14.0,13.0,13.0,85.71,5.0,N
17.0,0.0,2.0,2.0,24.17,10.23,2529.6,0.08,52.0,140.53,247.25,12.0,0.27,19.0,33.0,13.0,14.0,22.0,89.47,19.0,N
1.0,0.0,3.0,1.0,9.0,3.33,100.0,0.01,10.0,5.56,30.0,6.0,0.5,4.0,6.0,3.0,5.0,4.0,50.0,2.0,N
1.0,0.0,3.0,1.0,9.0,3.33,100.0,0.01,10.0,5.56,30.0,5.0,0.5,4.0,6.0,3.0,5.0,4.0,50.0,2.0,N
1.0,0.0,2.0,1.0,11.24,4.0,179.89,0.01,13.0,9.99,44.97,3.0,0.25,3.0,10.0,3.0,8.0,4.0,50.0,2.0,N
4.0,0.0,2.0,1.0,16.48,8.25,1121.45,0.05,32.0,62.3,135.93,12.0,0.57,12.0,20.0,8.0,11.0,7.0,80.0,5.0,N
4.0,0.0,2.0,1.0,17.74,8.67,1332.34,0.05,35.0,74.02,153.73,12.0,0.57,13.0,22.0,9.0,12.0,7.0,80.0,5.0,N
1.0,0.0,3.0,1.0,7.92,4.0,126.8,0.01,10.0,7.04,31.7,5.0,0.5,4.0,6.0,3.0,6.0,4.0,50.0,2.0,N
3.0,0.0,2.0,1.0,15.9,6.43,656.91,0.03,25.0,36.5,102.19,9.0,0.5,9.0,16.0,7.0,10.0,6.0,75.0,4.0,N
