@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
23.0,20.0,0.19,0.4,23.0,24.0,0.0,43.1,15.2,9958.0,120.0,553.22,20.0,0.07,40.0,25.0,19.0,71.0,48.94,27.0,N
8.0,5.0,0.11,0.5,7.0,13.0,1.0,29.61,9.15,2480.95,57.0,137.83,7.0,0.06,17.0,13.0,14.0,33.0,45.83,19.0,N
19.0,0.0,0.06,1.0,23.0,33.0,0.0,64.01,11.65,8684.99,135.0,482.5,23.0,0.04,66.0,34.0,12.0,55.0,5.71,35.0,N
6.0,0.0,0.15,0.25,13.0,21.0,1.0,21.34,24.44,12748.97,98.0,708.28,11.0,0.12,40.0,18.0,22.0,34.0,22.22,27.0,N
134.0,31.0,0.17,0.56,118.0,177.0,5.0,101.81,54.82,305928.62,767.0,16996.03,79.0,0.1,268.0,110.0,45.0,406.0,34.69,240.0,N
9.0,5.0,0.28,0.6,14.0,14.0,0.0,12.36,15.0,2781.99,41.0,154.56,11.0,0.15,16.0,8.0,15.0,33.0,39.13,18.0,N
164.0,191.0,0.18,0.66,241.0,361.0,1.0,157.03,97.73,1499684.32,1844.0,83315.8,173.0,0.09,711.0,251.0,69.0,764.0,38.71,398.0,N
27.0,48.0,0.16,0.77,53.0,76.0,1.0,60.5,32.21,62767.66,298.0,3487.09,42.0,0.08,102.0,57.0,36.0,155.0,40.16,79.0,N
5.0,0.0,0.15,1.0,10.0,20.0,1.0,34.17,10.29,3620.93,71.0,201.16,9.0,0.12,25.0,17.0,14.0,26.0,0.0,20.0,N
7.0,5.0,0.16,0.6,20.0,27.0,0.0,24.71,21.86,11802.86,108.0,655.71,17.0,0.11,34.0,14.0,18.0,44.0,25.0,31.0,N
16.0,24.0,0.18,1.0,15.0,15.0,1.0,36.19,7.18,1867.89,52.0,103.77,14.0,0.05,21.0,19.0,13.0,58.0,63.41,17.0,N
15.0,8.0,0.25,1.0,15.0,13.0,0.0,26.75,11.03,3253.68,59.0,180.76,13.0,0.1,25.0,17.0,15.0,40.0,45.83,16.0,N
19.0,16.0,0.11,1.0,14.0,25.0,1.0,48.49,14.11,9649.29,120.0,536.07,13.0,0.04,49.0,33.0,19.0,70.0,41.86,27.0,N
19.0,10.0,0.15,1.0,15.0,22.0,1.0,28.43,13.42,5120.93,75.0,284.5,13.0,0.07,34.0,19.0,15.0,57.0,40.54,27.0,N
15.0,19.0,0.18,0.67,23.0,28.0,2.0,30.61,23.1,16332.07,128.0,907.34,19.0,0.08,55.0,25.0,21.0,75.0,46.15,33.0,N
13.0,18.0,0.1,1.0,6.0,18.0,2.0,25.62,24.42,15282.02,122.0,849.0,6.0,0.04,58.0,19.0,16.0,53.0,53.85,21.0,N
14.0,20.0,0.19,0.6,21.0,24.0,1.0,27.08,39.72,42716.37,197.0,2373.13,18.0,0.07,87.0,23.0,21.0,68.0,47.83,26.0,N
12.0,12.0,0.13,1.0,22.0,38.0,1.0,54.44,19.25,20172.82,176.0,1120.71,19.0,0.07,70.0,40.0,22.0,73.0,26.92,40.0,N
23.0,9.0,0.12,1.0,21.0,31.0,1.0,54.55,14.84,12009.6,140.0,667.2,18.0,0.07,61.0,37.0,18.0,74.0,38.0,41.0,N
155.0,170.0,0.18,0.7,148.0,196.0,1.0,127.7,71.54,653537.1,1177.0,36307.62,113.0,0.07,454.0,165.0,52.0,536.0,48.42,210.0,Y
42.0,44.0,0.16,1.0,30.0,32.0,0.0,53.31,12.89,8852.8,123.0,491.82,26.0,0.05,47.0,31.0,17.0,124.0,60.49,37.0,N
30.0,45.0,0.13,0.9,48.0,71.0,1.0,46.15,27.11,33930.43,211.0,1885.02,40.0,0.07,73.0,35.0,26.0,153.0,41.8,77.0,Y
9.0,7.0,0.13,1.0,6.0,15.0,0.0,27.05,14.25,5493.37,74.0,305.19,6.0,0.06,27.0,18.0,19.0,32.0,31.82,15.0,Y
26.0,32.0,0.13,0.67,39.0,62.0,2.0,97.49,20.91,42621.97,314.0,2367.89,32.0,0.07,115.0,66.0,24.0,126.0,37.37,67.0,N
40.0,47.0,0.14,0.83,40.0,41.0,0.0,61.64,16.96,17733.62,177.0,985.2,36.0,0.05,63.0,39.0,21.0,132.0,54.95,44.0,N
7.0,8.0,0.16,0.25,16.0,25.0,0.0,31.67,15.0,7125.0,95.0,395.83,14.0,0.1,30.0,16.0,16.0,41.0,24.24,25.0,N
93.0,57.0,0.08,0.92,69.0,143.0,1.0,175.18,28.52,142535.33,695.0,7918.63,58.0,0.04,290.0,122.0,24.0,305.0,32.22,154.0,Y
9.0,2.0,0.16,1.0,11.0,17.0,0.0,36.74,14.57,7799.92,102.0,433.33,10.0,0.1,36.0,21.0,17.0,31.0,19.05,19.0,N
12.0,2.0,0.2,1.0,14.0,18.0,1.0,54.3,7.89,3382.91,80.0,187.94,12.0,0.11,34.0,28.0,13.0,35.0,18.18,20.0,N
31.0,30.0,0.15,0.83,26.0,33.0,0.0,53.63,18.46,18269.63,172.0,1014.98,22.0,0.06,68.0,35.0,19.0,102.0,52.86,40.0,Y
62.0,46.0,0.04,1.0,15.0,92.0,0.0,234.02,26.64,166113.93,822.0,9228.55,13.0,0.02,373.0,168.0,24.0,215.0,36.55,99.0,Y
36.0,14.0,0.14,1.0,30.0,44.0,0.0,78.96,22.12,38620.28,269.0,2145.57,25.0,0.07,115.0,65.0,25.0,101.0,31.25,50.0,Y
39.0,28.0,0.13,1.0,33.0,48.0,1.0,124.44,13.9,24028.83,262.0,1334.93,28.0,0.06,107.0,77.0,20.0,120.0,40.0,52.0,N
77.0,31.0,0.08,1.0,69.0,127.0,1.0,208.02,26.3,143936.36,753.0,7996.46,61.0,0.04,259.0,128.0,26.0,240.0,21.6,131.0,N
55.0,23.0,0.19,1.0,19.0,21.0,0.0,51.3,7.64,2991.43,77.0,166.19,17.0,0.04,28.0,22.0,12.0,100.0,52.27,21.0,N
17.0,34.0,0.18,0.67,46.0,65.0,0.0,108.84,15.19,25107.55,263.0,1394.86,36.0,0.1,109.0,61.0,17.0,117.0,34.34,65.0,N
12.0,8.0,0.06,1.0,6.0,32.0,0.0,68.36,18.78,24116.87,214.0,1339.83,6.0,0.04,96.0,46.0,18.0,54.0,21.95,33.0,N
13.0,20.0,0.21,1.0,20.0,23.0,0.0,30.19,7.85,1858.26,51.0,103.24,17.0,0.09,17.0,13.0,12.0,58.0,47.73,24.0,N
3.0,6.0,0.22,0.5,5.0,8.0,1.0,10.63,3.75,149.49,12.0,8.3,5.0,0.11,5.0,4.0,6.0,19.0,46.67,9.0,N
22.0,1.0,0.17,0.82,55.0,63.0,2.0,40.21,43.24,75169.98,292.0,4176.1,46.0,0.13,105.0,34.0,28.0,88.0,3.08,64.0,N
12.0,0.0,0.17,1.0,19.0,22.0,2.0,30.25,10.71,3467.15,66.0,192.62,17.0,0.11,28.0,17.0,13.0,36.0,4.35,23.0,N
15.0,1.0,0.19,0.86,39.0,36.0,2.0,34.37,26.52,24176.72,168.0,1343.15,34.0,0.13,67.0,24.0,19.0,54.0,5.26,37.0,N
5.0,2.0,0.08,1.0,21.0,23.0,2.0,56.67,6.13,2126.03,73.0,118.11,21.0,0.06,35.0,20.0,7.0,32.0,11.54,24.0,N
12.0,1.0,0.24,0.8,19.0,20.0,2.0,23.83,11.5,3151.22,57.0,175.07,16.0,0.14,23.0,14.0,14.0,35.0,9.09,21.0,N
9.0,0.0,0.19,1.0,17.0,17.0,2.0,26.81,10.4,2899.8,58.0,161.1,15.0,0.13,24.0,15.0,13.0,31.0,19.05,21.0,N
27.0,1.0,0.2,0.8,66.0,73.0,2.0,36.37,50.39,92350.98,299.0,5130.61,53.0,0.14,113.0,37.0,33.0,105.0,5.19,76.0,N
7.0,1.0,0.2,1.0,6.0,6.0,2.0,16.39,3.5,200.76,16.0,11.15,6.0,0.11,5.0,5.0,7.0,19.0,45.45,10.0,N
10.0,1.0,0.18,0.75,21.0,17.0,2.0,31.11,12.06,4520.83,75.0,251.16,19.0,0.12,31.0,18.0,14.0,34.0,26.09,22.0,N
22.0,1.0,0.19,0.69,59.0,64.0,2.0,39.47,43.33,74124.42,283.0,4118.02,48.0,0.14,104.0,36.0,30.0,91.0,5.88,67.0,N
3.0,0.0,0.2,0.5,12.0,20.0,1.0,13.47,16.0,3447.89,47.0,191.55,10.0,0.17,16.0,8.0,16.0,24.0,0.0,20.0,N
3.0,0.0,0.25,0.33,18.0,24.0,1.0,19.97,17.33,5999.58,72.0,333.31,14.0,0.21,26.0,12.0,16.0,28.0,0.0,24.0,N
3.0,0.0,0.25,0.33,18.0,24.0,1.0,19.97,17.33,5999.58,72.0,333.31,14.0,0.21,26.0,12.0,16.0,28.0,0.0,24.0,N
0.0,0.0,0.33,0.33,8.0,9.0,1.0,14.65,4.8,337.48,19.0,18.75,7.0,0.3,6.0,5.0,8.0,10.0,0.0,9.0,N
0.0,0.0,0.56,0.2,12.0,9.0,1.0,19.29,6.43,797.14,31.0,44.29,9.0,0.5,10.0,7.0,9.0,10.0,0.0,9.0,N
0.0,0.0,0.33,0.33,8.0,9.0,1.0,9.14,10.0,913.77,24.0,50.76,7.0,0.3,8.0,4.0,10.0,10.0,0.0,9.0,N
0.0,0.0,0.14,0.5,6.0,14.0,2.0,36.78,7.07,1838.97,56.0,102.16,6.0,0.13,18.0,14.0,11.0,15.0,0.0,14.0,N
39.0,14.0,0.07,1.0,24.0,60.0,8.0,97.85,22.12,47876.6,331.0,2659.81,21.0,0.03,114.0,67.0,26.0,146.0,27.71,69.0,N
9.0,6.0,0.12,1.0,10.0,16.0,0.0,39.8,9.0,3223.83,73.0,179.1,9.0,0.07,27.0,18.0,12.0,42.0,50.0,26.0,N
4.0,4.0,0.17,1.0,6.0,12.0,1.0,23.34,6.11,871.59,33.0,48.42,6.0,0.1,10.0,9.0,11.0,21.0,25.0,12.0,N
3.0,0.0,0.15,0.5,6.0,13.0,2.0,18.1,9.63,1676.34,41.0,93.13,6.0,0.12,14.0,8.0,11.0,17.0,0.0,13.0,N
55.0,91.0,0.22,0.87,70.0,133.0,3.0,54.04,77.46,324260.81,605.0,18014.49,42.0,0.11,220.0,71.0,50.0,283.0,41.41,136.0,Y
5.0,13.0,0.13,1.0,7.0,16.0,3.0,21.16,9.1,1752.37,42.0,97.35,7.0,0.06,13.0,10.0,14.0,35.0,44.83,16.0,N
22.0,5.0,0.13,0.75,12.0,27.0,3.0,28.78,18.12,9456.28,95.0,525.35,10.0,0.07,29.0,20.0,25.0,58.0,22.86,30.0,N
19.0,15.0,0.15,0.8,16.0,31.0,3.0,35.02,17.25,10420.79,110.0,578.93,13.0,0.07,33.0,22.0,23.0,69.0,36.73,34.0,N
12.0,28.0,0.13,0.6,19.0,37.0,2.0,30.93,16.0,7919.03,93.0,439.95,16.0,0.06,32.0,20.0,20.0,80.0,44.78,39.0,N
5.0,6.0,0.15,0.5,13.0,26.0,2.0,38.77,13.2,6756.06,99.0,375.34,11.0,0.11,33.0,20.0,16.0,38.0,18.75,26.0,N
6.0,8.0,0.18,0.5,19.0,34.0,2.0,59.16,12.6,9398.15,135.0,522.12,15.0,0.12,43.0,29.0,17.0,49.0,19.05,34.0,N
21.0,30.0,0.21,0.71,24.0,31.0,1.0,26.31,23.5,14529.3,126.0,807.18,19.0,0.08,47.0,15.0,15.0,85.0,50.79,33.0,N
7.0,0.0,0.13,0.5,6.0,15.0,2.0,37.54,7.6,2168.23,60.0,120.46,6.0,0.09,19.0,15.0,12.0,23.0,0.0,15.0,N
10.0,12.0,0.19,1.0,15.0,15.0,2.0,18.1,16.36,4845.73,63.0,269.21,13.0,0.09,24.0,11.0,15.0,44.0,54.55,21.0,N
53.0,13.0,0.17,0.93,162.0,130.0,0.0,91.32,55.88,285170.84,729.0,15842.82,135.0,0.11,309.0,94.0,34.0,259.0,30.85,175.0,N
12.0,3.0,0.12,1.0,25.0,30.0,0.0,30.45,20.71,13065.14,122.0,725.84,23.0,0.08,58.0,21.0,15.0,49.0,16.67,33.0,N
10.0,0.0,0.16,1.0,31.0,34.0,0.0,64.31,12.0,9260.02,146.0,514.45,27.0,0.12,54.0,27.0,12.0,49.0,10.53,38.0,N
47.0,28.0,0.1,0.67,50.0,59.0,1.0,47.3,45.77,99082.56,336.0,5504.59,43.0,0.06,136.0,52.0,35.0,162.0,48.25,86.0,N
7.0,30.0,0.15,0.25,15.0,16.0,6.0,18.87,19.62,7260.95,77.0,403.39,13.0,0.06,34.0,13.0,15.0,65.0,71.93,27.0,N
33.0,95.0,0.17,0.08,60.0,65.0,4.0,79.18,42.02,139798.54,541.0,7766.59,50.0,0.06,230.0,52.0,19.0,199.0,60.61,70.0,N
46.0,96.0,0.18,0.2,97.0,91.0,1.0,72.67,51.47,192513.32,568.0,10695.18,79.0,0.08,250.0,68.0,28.0,254.0,56.04,111.0,Y
5.0,3.0,0.15,1.0,15.0,20.0,0.0,38.85,12.28,5856.79,93.0,325.38,14.0,0.1,26.0,18.0,17.0,29.0,13.04,20.0,N
9.0,6.0,0.16,0.1,38.0,58.0,3.0,30.99,33.52,34816.7,187.0,1934.26,30.0,0.13,83.0,26.0,21.0,80.0,17.14,64.0,Y
17.0,53.0,0.22,0.07,55.0,50.0,2.0,50.79,25.26,32401.84,219.0,1800.1,42.0,0.11,89.0,37.0,21.0,140.0,59.02,69.0,N
1.0,0.0,0.25,0.33,12.0,12.0,2.0,21.83,10.42,2369.07,51.0,131.62,11.0,0.21,25.0,12.0,10.0,14.0,0.0,12.0,N
24.0,55.0,0.16,0.35,79.0,93.0,1.0,56.02,48.06,129374.54,407.0,7187.47,64.0,0.09,173.0,63.0,35.0,186.0,42.24,106.0,N
24.0,18.0,0.28,0.68,68.0,69.0,0.0,73.61,37.75,104901.75,422.0,5827.87,51.0,0.17,151.0,64.0,32.0,112.0,20.69,69.0,N
4.0,0.0,0.18,0.33,10.0,16.0,2.0,13.72,10.56,1531.0,33.0,85.06,9.0,0.14,13.0,8.0,13.0,22.0,5.88,17.0,N
5.0,0.0,0.15,0.33,9.0,20.0,2.0,10.03,14.67,2158.18,36.0,119.9,8.0,0.12,16.0,6.0,11.0,26.0,0.0,20.0,N
26.0,119.0,0.1,0.76,72.0,154.0,1.0,133.35,38.57,198396.43,695.0,11022.02,57.0,0.05,285.0,133.0,36.0,320.0,47.44,174.0,N
6.0,19.0,0.22,0.44,61.0,72.0,6.0,86.16,18.26,28729.02,255.0,1596.06,47.0,0.16,83.0,50.0,22.0,99.0,21.74,73.0,N
21.0,50.0,0.13,0.72,72.0,125.0,3.0,77.8,40.25,126046.47,438.0,7002.58,56.0,0.07,168.0,96.0,46.0,254.0,33.51,138.0,N
6.0,17.0,0.17,0.4,21.0,29.0,2.0,27.4,20.78,11829.84,111.0,657.21,18.0,0.09,44.0,18.0,17.0,53.0,36.96,29.0,N
8.0,11.0,0.16,0.33,12.0,18.0,4.0,35.6,12.89,5919.2,91.0,328.84,11.0,0.05,35.0,19.0,14.0,57.0,40.0,19.0,N
17.0,8.0,0.2,0.73,53.0,55.0,4.0,48.89,26.83,35190.17,217.0,1955.01,44.0,0.14,88.0,41.0,25.0,81.0,12.7,55.0,N
14.0,39.0,0.06,0.33,13.0,47.0,2.0,59.87,15.65,14671.27,150.0,815.07,12.0,0.02,82.0,55.0,21.0,121.0,45.35,47.0,N
10.0,14.0,0.18,0.33,25.0,32.0,1.0,21.82,22.85,11393.4,95.0,632.97,21.0,0.1,37.0,17.0,21.0,59.0,33.33,34.0,N
2.0,2.0,0.14,1.0,14.0,21.0,2.0,34.56,8.63,2570.73,62.0,142.82,13.0,0.12,23.0,16.0,12.0,26.0,8.7,21.0,N
4.0,1.0,0.14,0.5,6.0,14.0,3.0,12.74,7.86,786.33,24.0,43.68,6.0,0.1,10.0,7.0,11.0,20.0,6.67,14.0,N
6.0,6.0,0.14,1.0,15.0,21.0,2.0,40.4,11.25,5113.63,86.0,284.09,14.0,0.09,36.0,24.0,15.0,34.0,22.22,21.0,N
9.0,11.0,0.11,0.67,16.0,28.0,1.0,36.57,15.24,8490.44,104.0,471.69,15.0,0.06,32.0,21.0,20.0,49.0,28.21,28.0,Y
2.0,9.0,0.11,1.0,9.0,18.0,1.0,32.0,11.63,4329.68,72.0,240.54,9.0,0.07,26.0,19.0,17.0,30.0,33.33,18.0,N
3.0,13.0,0.11,1.0,30.0,36.0,0.0,48.31,17.63,15014.65,156.0,834.15,28.0,0.07,56.0,27.0,17.0,55.0,29.41,38.0,N
22.0,33.0,0.19,0.63,124.0,160.0,3.0,151.5,22.73,78244.98,488.0,4346.94,94.0,0.14,163.0,104.0,29.0,228.0,21.95,172.0,N
10.0,62.0,0.13,0.9,95.0,149.0,0.0,171.78,29.58,150305.78,702.0,8350.32,77.0,0.09,220.0,119.0,32.0,222.0,29.38,149.0,Y
42.0,339.0,0.16,0.56,303.0,411.0,7.0,293.68,43.41,553518.63,1500.0,30751.03,232.0,0.13,568.0,314.0,48.0,555.0,48.3,456.0,Y
16.0,29.0,0.12,0.8,76.0,121.0,0.0,164.09,23.26,88801.93,537.0,4933.44,63.0,0.09,221.0,114.0,24.0,170.0,20.92,124.0,Y
0.0,0.0,0.15,0.5,6.0,13.0,0.0,21.15,3.5,259.02,20.0,14.39,6.0,0.14,6.0,6.0,7.0,14.0,0.0,13.0,N
2.0,58.0,0.16,0.36,117.0,128.0,0.0,104.25,54.33,307757.08,790.0,17097.62,94.0,0.11,326.0,108.0,36.0,233.0,41.55,161.0,N
4.0,0.0,0.25,0.2,19.0,20.0,1.0,13.75,21.0,6065.91,63.0,336.99,16.0,0.2,21.0,8.0,16.0,25.0,0.0,20.0,N
0.0,20.0,0.21,0.33,18.0,27.0,0.0,38.41,13.45,6946.75,92.0,385.93,14.0,0.12,39.0,29.0,20.0,49.0,44.9,29.0,N
8.0,7.0,0.19,0.7,54.0,47.0,0.0,105.02,18.86,37359.42,318.0,2075.52,46.0,0.14,97.0,54.0,21.0,69.0,21.67,53.0,N
10.0,18.0,0.17,0.67,18.0,16.0,1.0,45.77,7.71,2723.97,70.0,151.33,17.0,0.04,27.0,21.0,12.0,71.0,55.56,18.0,N
15.0,21.0,0.1,1.0,25.0,41.0,7.0,61.36,23.68,34405.27,247.0,1911.4,23.0,0.05,117.0,42.0,17.0,78.0,33.87,41.0,N
4.0,0.0,0.12,0.5,6.0,14.0,2.0,16.29,9.29,1404.34,37.0,78.02,6.0,0.09,13.0,7.0,10.0,22.0,17.65,17.0,N
4.0,0.0,0.12,0.5,6.0,14.0,2.0,16.29,9.29,1404.34,37.0,78.02,6.0,0.09,13.0,7.0,10.0,22.0,17.65,17.0,N
12.0,39.0,0.11,0.33,18.0,27.0,1.0,61.85,12.04,8964.95,130.0,498.05,17.0,0.04,61.0,38.0,15.0,79.0,59.09,27.0,N
3.0,6.0,0.07,1.0,8.0,21.0,2.0,22.83,23.0,12075.0,105.0,670.83,8.0,0.04,46.0,16.0,16.0,55.0,36.36,27.0,N
0.0,5.0,0.19,0.67,7.0,16.0,4.0,24.32,7.64,1418.49,40.0,78.8,6.0,0.14,12.0,11.0,14.0,22.0,23.81,16.0,N
10.0,20.0,0.13,0.33,46.0,55.0,4.0,52.18,33.32,57931.89,292.0,3218.44,39.0,0.07,113.0,39.0,23.0,138.0,36.78,67.0,N
6.0,22.0,0.16,0.4,24.0,22.0,7.0,27.26,22.11,13319.21,114.0,739.96,21.0,0.08,42.0,19.0,20.0,61.0,59.26,32.0,N
2.0,78.0,0.13,0.5,52.0,79.0,7.0,89.42,13.73,16858.82,201.0,936.6,42.0,0.07,84.0,52.0,17.0,174.0,53.8,93.0,Y
6.0,58.0,0.18,0.96,112.0,138.0,1.0,171.89,27.21,127275.78,625.0,7070.88,89.0,0.12,250.0,147.0,32.0,204.0,29.95,139.0,N
0.0,23.0,0.17,1.0,20.0,23.0,0.0,34.26,11.57,4586.97,75.0,254.83,18.0,0.08,27.0,21.0,18.0,48.0,51.06,24.0,N
0.0,15.0,0.2,0.46,42.0,60.0,1.0,66.12,13.9,12780.02,155.0,710.0,31.0,0.16,57.0,41.0,20.0,80.0,24.05,64.0,N
1.0,0.0,0.15,0.6,20.0,32.0,0.0,27.2,13.24,4764.71,72.0,264.71,17.0,0.14,30.0,17.0,15.0,35.0,3.03,33.0,N
1.0,11.0,0.11,1.0,13.0,28.0,2.0,47.22,11.69,6449.49,103.0,358.3,12.0,0.07,33.0,24.0,17.0,41.0,28.21,28.0,N
1.0,12.0,0.1,0.75,20.0,41.0,0.0,56.52,13.19,9840.36,129.0,546.69,18.0,0.06,50.0,36.0,19.0,68.0,22.64,41.0,Y
1.0,3.0,0.11,1.0,8.0,19.0,2.0,33.23,9.41,2943.55,62.0,163.53,8.0,0.08,20.0,17.0,16.0,24.0,13.64,19.0,N
2.0,3.0,0.11,1.0,8.0,19.0,2.0,31.71,8.91,2515.03,57.0,139.72,8.0,0.08,19.0,16.0,15.0,25.0,13.64,19.0,N
2.0,35.0,0.1,0.25,19.0,38.0,3.0,60.5,14.75,13163.37,153.0,731.3,17.0,0.05,59.0,38.0,19.0,79.0,50.0,41.0,N
14.0,7.0,0.05,1.0,19.0,41.0,1.0,93.81,15.69,23101.5,241.0,1283.42,19.0,0.03,96.0,52.0,17.0,63.0,14.58,41.0,N
5.0,6.0,0.07,1.0,13.0,30.0,0.0,58.05,14.68,12512.17,151.0,695.12,13.0,0.05,57.0,33.0,17.0,42.0,16.67,30.0,N
10.0,65.0,0.1,0.4,74.0,149.0,6.0,118.83,46.92,261640.64,781.0,14535.59,61.0,0.07,333.0,110.0,31.0,227.0,31.02,151.0,N
0.0,6.0,0.11,1.0,8.0,19.0,2.0,31.58,9.5,2850.0,60.0,158.33,8.0,0.08,19.0,16.0,16.0,26.0,24.0,19.0,N
12.0,65.0,0.13,0.5,104.0,130.0,1.0,83.0,51.6,220979.91,607.0,12276.66,86.0,0.09,258.0,95.0,38.0,231.0,40.37,153.0,Y
6.0,7.0,0.14,0.78,38.0,57.0,7.0,45.05,29.27,38588.27,213.0,2143.79,31.0,0.12,75.0,41.0,32.0,77.0,18.57,63.0,Y
1.0,6.0,0.05,1.0,8.0,42.0,0.0,94.81,13.88,18268.21,210.0,1014.9,8.0,0.04,91.0,59.0,18.0,50.0,12.5,42.0,N
1.0,13.0,0.1,0.5,7.0,14.0,1.0,28.66,11.47,3771.09,67.0,209.5,7.0,0.06,30.0,17.0,13.0,35.0,57.58,20.0,N
1.0,12.0,0.09,1.0,9.0,22.0,1.0,36.77,11.48,4842.06,81.0,269.0,9.0,0.06,27.0,20.0,17.0,36.0,35.29,22.0,N
0.0,9.0,0.11,0.33,11.0,27.0,2.0,54.96,8.31,3793.04,87.0,210.72,10.0,0.08,36.0,26.0,12.0,37.0,25.0,27.0,N
1.0,4.0,0.16,0.2,18.0,31.0,2.0,14.28,19.94,5674.43,67.0,315.25,15.0,0.13,29.0,8.0,11.0,38.0,13.89,32.0,N
5.0,39.0,0.07,0.8,61.0,127.0,18.0,124.12,29.01,104460.67,526.0,5803.37,53.0,0.06,220.0,91.0,24.0,179.0,26.59,134.0,N
3.0,4.0,0.09,1.0,33.0,49.0,8.0,102.23,12.09,14944.77,211.0,830.27,30.0,0.08,76.0,44.0,14.0,63.0,16.95,55.0,Y
13.0,5.0,0.09,1.0,23.0,45.0,0.0,99.18,16.49,26973.57,261.0,1498.53,21.0,0.06,94.0,57.0,20.0,65.0,11.76,46.0,N
67.0,41.0,0.13,1.0,76.0,92.0,2.0,46.37,57.0,150670.96,466.0,8370.61,63.0,0.07,192.0,32.0,19.0,228.0,42.5,119.0,N
9.0,11.0,0.16,0.25,14.0,18.0,4.0,24.0,15.38,5680.1,76.0,315.56,12.0,0.09,25.0,13.0,16.0,46.0,50.0,25.0,N
15.0,22.0,0.13,1.0,30.0,36.0,3.0,46.84,21.46,21576.47,182.0,1198.69,26.0,0.07,61.0,27.0,19.0,83.0,46.27,45.0,N
