@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
5.0,0.0,2.0,4.0,0.13,6.0,16.0,24.76,11.0,2995.56,62.0,166.42,272.32,2.0,0.08,20.0,42.0,25.0,11.11,16.0,N
4.0,8.0,0.0,4.0,0.09,15.0,37.0,35.88,23.06,19076.12,164.0,1059.78,827.28,2.0,0.08,49.0,115.0,51.0,17.78,45.0,Y
2.0,0.0,0.0,0.0,0.14,2.0,7.0,17.94,6.75,817.52,31.0,45.42,121.11,0.0,0.09,9.0,22.0,11.0,0.0,7.0,N
5.0,0.0,0.0,0.0,0.09,2.0,11.0,21.27,10.0,2126.66,51.0,118.15,212.67,0.0,0.06,16.0,35.0,18.0,0.0,11.0,N
13.0,1.0,6.0,0.0,0.13,7.0,7.0,29.83,3.89,451.11,29.0,25.06,116.0,0.0,0.03,10.0,19.0,29.0,50.0,8.0,Y
11.0,1.0,11.0,12.0,0.13,20.0,31.0,51.31,17.5,15713.29,178.0,872.96,897.9,6.0,0.07,70.0,108.0,56.0,27.91,32.0,Y
7.0,3.0,3.0,8.0,0.27,10.0,8.0,8.09,21.0,3568.26,40.0,198.24,169.92,4.0,0.13,15.0,25.0,23.0,42.86,11.0,Y
25.0,13.0,9.0,16.0,0.17,33.0,53.0,34.84,35.0,42678.84,197.0,2371.05,1219.4,8.0,0.11,76.0,121.0,102.0,29.33,66.0,Y
4.0,14.0,3.0,16.0,0.15,19.0,20.0,15.65,31.06,15095.42,109.0,838.63,486.08,8.0,0.12,43.0,66.0,43.0,45.95,34.0,Y
4.0,1.0,0.0,0.0,0.17,2.0,5.0,16.3,4.08,271.98,18.0,15.11,66.61,0.0,0.08,7.0,11.0,12.0,16.67,6.0,Y
14.0,2.0,4.0,4.0,0.13,15.0,29.0,29.51,15.0,6639.14,87.0,368.84,442.61,2.0,0.08,30.0,57.0,51.0,17.14,31.0,Y
1.0,0.0,0.0,0.0,0.5,1.0,2.0,0.0,0.0,0.0,3.0,0.0,4.75,0.0,0.2,0.0,3.0,5.0,0.0,2.0,N
19.0,6.0,11.0,22.0,0.12,31.0,60.0,41.36,32.0,42352.03,256.0,2352.89,1323.5,11.0,0.08,80.0,176.0,98.0,22.08,66.0,Y
5.0,0.0,3.0,0.0,0.06,3.0,18.0,28.84,13.33,5127.24,101.0,284.85,384.54,0.0,0.04,20.0,81.0,28.0,14.29,18.0,N
5.0,0.0,3.0,0.0,0.1,3.0,10.0,19.66,9.6,1811.74,51.0,100.65,188.72,0.0,0.05,12.0,39.0,20.0,23.08,10.0,N
4.0,1.0,1.0,0.0,0.17,2.0,5.0,13.88,5.6,435.17,21.0,24.18,77.71,0.0,0.08,7.0,14.0,13.0,28.57,6.0,Y
1.0,0.0,0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,4.0,0.67,8.0,0.0,0.2,1.0,3.0,5.0,0.0,2.0,N
20.0,11.0,8.0,4.0,0.13,21.0,29.0,43.45,17.02,12581.62,131.0,698.98,739.35,2.0,0.07,47.0,84.0,70.0,39.58,40.0,Y
8.0,2.0,6.0,8.0,0.14,13.0,20.0,30.43,15.17,6999.51,96.0,388.86,461.51,4.0,0.08,35.0,61.0,38.0,28.57,22.0,Y
6.0,2.0,4.0,4.0,0.11,8.0,16.0,26.74,12.83,4403.53,73.0,244.64,343.13,2.0,0.07,22.0,51.0,30.0,27.27,18.0,Y
20.0,24.0,10.0,10.0,0.13,24.0,31.0,66.27,30.44,61416.25,335.0,3412.01,2017.49,5.0,0.08,119.0,216.0,87.0,52.31,55.0,Y
10.0,2.0,4.0,8.0,0.09,13.0,31.0,32.42,21.5,14986.93,145.0,832.61,697.07,4.0,0.06,43.0,102.0,49.0,16.21,33.0,N
4.0,0.0,0.0,4.0,0.2,7.0,10.0,14.63,9.75,1390.58,33.0,77.25,142.62,2.0,0.13,13.0,20.0,16.0,0.0,10.0,N
9.0,15.0,3.0,28.0,0.14,33.0,41.0,28.48,37.78,40642.28,205.0,2257.9,1075.83,14.0,0.11,68.0,137.0,70.0,30.51,56.0,Y
5.0,0.0,0.0,0.0,0.08,2.0,12.0,23.98,8.0,1534.53,46.0,85.25,191.82,0.0,0.05,16.0,30.0,19.0,0.0,12.0,N
10.0,23.0,5.0,28.0,0.16,36.0,27.0,34.3,29.36,29575.64,188.0,1643.09,1007.22,14.0,0.12,68.0,120.0,67.0,50.91,50.0,Y
9.0,5.0,3.0,20.0,0.15,25.0,35.0,28.15,27.0,20519.43,147.0,1139.97,759.98,10.0,0.11,54.0,93.0,54.0,18.6,40.0,Y
19.0,14.0,10.0,28.0,0.19,36.0,33.0,53.47,15.83,13404.4,157.0,744.69,846.59,14.0,0.12,57.0,100.0,78.0,42.11,47.0,Y
4.0,2.0,1.0,4.0,0.2,7.0,8.0,13.65,11.0,1651.29,36.0,91.74,150.12,2.0,0.12,14.0,22.0,17.0,27.27,10.0,N
5.0,6.0,2.0,12.0,0.17,13.0,17.0,18.32,13.44,3312.04,57.0,184.0,246.35,6.0,0.13,22.0,35.0,32.0,32.0,23.0,Y
4.0,3.0,2.0,12.0,0.15,15.0,23.0,12.12,25.67,7986.92,72.0,443.72,311.18,6.0,0.12,22.0,50.0,34.0,17.86,26.0,Y
2.0,0.0,0.0,10.0,0.8,9.0,5.0,17.92,6.4,734.17,31.0,40.79,114.71,5.0,0.4,8.0,23.0,10.0,0.0,5.0,N
3.0,1.0,0.0,8.0,0.25,9.0,11.0,14.12,11.0,1708.56,38.0,94.92,155.32,4.0,0.14,12.0,26.0,22.0,8.33,12.0,Y
6.0,1.0,2.0,8.0,0.2,11.0,14.0,12.24,14.57,2599.73,42.0,144.43,178.41,4.0,0.12,17.0,25.0,25.0,17.65,15.0,Y
23.0,8.0,19.0,42.0,0.21,67.0,50.0,117.86,30.67,110843.58,533.0,6157.98,3614.46,21.0,0.11,232.0,301.0,105.0,35.06,58.0,Y
17.0,8.0,11.0,32.0,0.16,48.0,47.0,86.67,27.58,65929.86,376.0,3662.77,2390.44,16.0,0.11,171.0,205.0,85.0,28.79,55.0,N
17.0,6.0,11.0,16.0,0.18,22.0,22.0,41.03,12.75,6670.63,102.0,370.59,523.19,8.0,0.09,34.0,68.0,58.0,43.59,28.0,Y
4.0,0.0,3.0,12.0,0.18,16.0,22.0,18.61,23.33,10132.78,96.0,562.93,434.26,6.0,0.13,30.0,66.0,31.0,12.0,22.0,N
9.0,6.0,10.0,20.0,0.15,22.0,33.0,28.62,39.24,44060.1,211.0,2447.78,1122.93,10.0,0.1,71.0,140.0,60.0,32.65,39.0,N
14.0,62.0,13.0,0.0,0.01,1.0,133.0,257.7,73.75,1401719.45,2867.0,77873.3,19006.37,0.0,0.0,1180.0,1687.0,224.0,36.06,195.0,Y
3.0,2.0,5.0,8.0,0.38,10.0,6.0,11.15,13.0,1884.3,33.0,104.68,144.95,4.0,0.15,13.0,20.0,20.0,53.85,8.0,Y
6.0,2.0,6.0,16.0,0.19,21.0,25.0,28.01,16.89,7990.71,93.0,443.93,473.13,8.0,0.12,38.0,55.0,41.0,24.24,27.0,Y
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,N
6.0,1.0,1.0,4.0,0.17,6.0,11.0,22.46,10.39,2424.6,54.0,134.7,233.38,2.0,0.1,17.0,37.0,21.0,15.38,12.0,Y
2.0,0.0,0.0,0.0,0.17,3.0,6.0,15.42,4.8,355.24,20.0,19.74,74.01,0.0,0.1,6.0,14.0,10.0,0.0,6.0,N
3.0,17.0,1.0,8.0,0.21,11.0,2.0,21.96,14.0,4304.47,70.0,239.14,307.46,4.0,0.16,21.0,49.0,25.0,90.0,19.0,Y
11.0,27.0,11.0,50.0,0.19,61.0,51.0,32.25,50.79,83227.41,295.0,4623.75,1638.6,25.0,0.15,106.0,189.0,102.0,42.7,78.0,Y
12.0,15.0,13.0,16.0,0.11,26.0,30.0,34.26,27.0,24973.53,175.0,1387.42,924.95,8.0,0.07,63.0,112.0,72.0,48.28,45.0,Y
5.0,0.0,0.0,0.0,0.1,2.0,10.0,21.06,8.36,1470.86,44.0,81.71,176.0,0.0,0.06,13.0,31.0,17.0,0.0,10.0,N
5.0,0.0,0.0,0.0,0.09,2.0,11.0,23.74,8.44,1689.91,49.0,93.88,200.29,0.0,0.06,15.0,34.0,18.0,0.0,11.0,N
2.0,1.0,0.0,4.0,0.17,8.0,11.0,27.68,8.25,1884.3,52.0,104.68,228.4,2.0,0.13,15.0,37.0,16.0,8.33,12.0,Y
1.0,1.0,2.0,0.0,0.33,1.0,2.0,9.0,3.0,81.0,9.0,4.5,27.0,0.0,0.13,2.0,7.0,8.0,60.0,3.0,Y
8.0,1.0,7.0,4.0,0.13,7.0,15.0,20.68,12.5,3231.69,62.0,179.54,258.54,2.0,0.06,25.0,37.0,33.0,34.78,16.0,Y
4.0,9.0,0.0,18.0,0.26,25.0,18.0,18.44,22.5,9335.36,96.0,518.63,414.91,9.0,0.21,30.0,66.0,33.0,33.33,27.0,Y
12.0,8.0,10.0,24.0,0.19,31.0,28.0,60.82,9.92,5988.69,115.0,332.71,603.51,12.0,0.12,43.0,72.0,60.0,39.13,36.0,Y
3.0,0.0,0.0,0.0,0.14,2.0,7.0,22.72,7.56,1297.09,42.0,72.06,171.67,0.0,0.06,17.0,25.0,16.0,0.0,7.0,N
14.0,55.0,0.0,0.0,0.0,196.0,155.0,2246.32,11.67,306039.54,2833.0,17002.2,26219.5,0.0,0.0,1403.0,1430.0,226.0,26.19,210.0,Y
16.0,18.0,7.0,22.0,0.25,45.0,42.0,31.75,72.5,166891.74,400.0,9271.76,2301.96,11.0,0.18,125.0,275.0,85.0,37.31,60.0,N
4.0,0.0,0.0,0.0,0.13,1.0,8.0,18.58,11.0,2247.77,57.0,124.88,204.34,0.0,0.07,22.0,35.0,14.0,0.0,8.0,N
4.0,0.0,0.0,0.0,0.13,1.0,8.0,18.58,11.0,2247.77,57.0,124.88,204.34,0.0,0.07,22.0,35.0,14.0,0.0,8.0,N
4.0,1.0,1.0,0.0,0.17,3.0,5.0,14.51,4.2,255.97,17.0,14.22,60.94,0.0,0.08,6.0,11.0,13.0,28.57,6.0,N
4.0,0.0,1.0,0.0,0.14,2.0,7.0,18.28,7.5,1027.99,36.0,57.11,137.06,0.0,0.07,15.0,21.0,14.0,12.5,7.0,N
12.0,4.0,6.0,10.0,0.12,17.0,29.0,52.95,17.71,16602.83,175.0,922.38,937.57,5.0,0.08,50.0,125.0,53.0,25.64,33.0,N
3.0,0.0,4.0,0.0,0.25,2.0,4.0,14.99,3.0,134.92,13.0,7.5,44.97,0.0,0.08,5.0,8.0,13.0,50.0,4.0,N
2.0,0.0,0.0,0.0,0.2,2.0,5.0,17.22,4.08,287.09,19.0,15.95,70.31,0.0,0.11,7.0,12.0,9.0,0.0,5.0,N
3.0,1.0,2.0,0.0,0.25,2.0,3.0,15.36,3.5,188.21,15.0,10.46,53.77,0.0,0.09,5.0,10.0,11.0,50.0,4.0,Y
2.0,0.0,1.0,0.0,0.33,2.0,3.0,10.8,2.5,67.5,9.0,3.75,27.0,0.0,0.13,3.0,6.0,8.0,25.0,3.0,N
2.0,0.0,0.0,0.0,0.33,1.0,3.0,8.98,2.5,56.15,8.0,3.12,22.46,0.0,0.14,2.0,6.0,7.0,0.0,3.0,N
2.0,0.0,1.0,0.0,0.33,2.0,3.0,10.8,2.5,67.5,9.0,3.75,27.0,0.0,0.13,3.0,6.0,8.0,25.0,3.0,N
1.0,0.0,0.0,0.0,0.5,1.0,2.0,0.0,0.0,0.0,3.0,0.0,4.75,0.0,0.2,0.0,3.0,5.0,0.0,2.0,N
1.0,0.0,0.0,0.0,0.33,1.0,3.0,9.05,2.0,36.19,7.0,2.0,18.09,0.0,0.17,2.0,5.0,6.0,0.0,3.0,N
2.0,0.0,0.0,0.0,0.33,1.0,3.0,8.98,2.5,56.15,8.0,3.12,22.46,0.0,0.14,2.0,6.0,7.0,0.0,3.0,N
2.0,0.0,0.0,0.0,0.33,1.0,3.0,8.98,2.5,56.15,8.0,3.12,22.46,0.0,0.14,2.0,6.0,7.0,0.0,3.0,N
6.0,0.0,2.0,8.0,0.11,12.0,28.0,28.96,13.46,5249.74,82.0,291.65,389.9,4.0,0.08,29.0,53.0,38.0,6.67,28.0,N
5.0,2.0,2.0,8.0,0.1,11.0,27.0,31.25,16.0,7999.44,104.0,444.41,499.96,4.0,0.08,32.0,72.0,38.0,12.9,29.0,Y
5.0,0.0,0.0,0.0,0.1,2.0,10.0,19.62,8.36,1370.57,41.0,76.14,164.0,0.0,0.06,13.0,28.0,17.0,0.0,10.0,N
5.0,0.0,0.0,0.0,0.1,2.0,10.0,22.5,8.36,1571.14,47.0,87.29,188.0,0.0,0.06,13.0,34.0,17.0,0.0,10.0,N
13.0,0.0,6.0,4.0,0.07,7.0,27.0,32.9,19.0,11878.01,133.0,659.89,625.16,2.0,0.04,38.0,95.0,48.0,18.18,27.0,N
10.0,0.0,5.0,4.0,0.08,7.0,26.0,33.15,19.0,11967.32,134.0,664.85,629.86,2.0,0.05,38.0,96.0,43.0,16.12,26.0,N
13.0,14.0,10.0,26.0,0.35,33.0,12.0,27.0,19.97,10770.44,100.0,598.36,539.23,13.0,0.18,33.0,67.0,51.0,66.67,26.0,Y
8.0,4.0,8.0,20.0,0.36,22.0,18.0,26.2,18.41,8874.62,94.0,493.03,482.15,10.0,0.2,31.0,63.0,40.0,40.0,22.0,Y
31.0,19.0,29.0,38.0,0.22,45.0,39.0,36.37,41.48,62590.96,266.0,3477.28,1508.87,19.0,0.11,101.0,165.0,120.0,55.17,58.0,Y
18.0,4.0,17.0,8.0,0.08,12.0,32.0,30.51,27.07,22353.19,170.0,1241.84,825.86,4.0,0.04,58.0,112.0,75.0,39.62,36.0,N
36.0,18.0,43.0,38.0,0.16,42.0,51.0,15.89,87.82,122506.36,279.0,6805.91,1395.0,19.0,0.07,92.0,187.0,150.0,54.46,69.0,Y
9.0,5.0,6.0,30.0,0.15,36.0,54.0,36.36,38.32,53395.15,241.0,2966.4,1393.31,15.0,0.12,99.0,142.0,76.0,16.92,59.0,Y
3.0,0.0,1.0,4.0,0.25,6.0,8.0,20.38,7.22,1062.83,33.0,59.05,147.16,2.0,0.14,10.0,23.0,14.0,11.11,8.0,N
3.0,3.0,0.0,8.0,0.4,9.0,7.0,18.39,9.17,1545.09,39.0,85.84,168.56,4.0,0.27,15.0,24.0,15.0,30.0,10.0,Y
7.0,17.0,7.0,18.0,0.26,19.0,6.0,25.52,13.0,4312.2,69.0,239.57,331.71,9.0,0.15,26.0,43.0,39.0,80.0,23.0,Y
4.0,2.0,0.0,4.0,0.15,6.0,11.0,28.24,7.14,1440.99,44.0,80.05,201.74,2.0,0.11,20.0,24.0,19.0,15.38,13.0,N
2.0,1.0,0.0,4.0,0.33,5.0,5.0,16.5,4.5,334.04,19.0,18.56,74.23,2.0,0.2,6.0,13.0,10.0,16.67,6.0,Y
3.0,1.0,0.0,4.0,0.25,5.0,7.0,17.09,4.57,357.2,20.0,19.84,78.14,2.0,0.15,8.0,12.0,13.0,12.5,8.0,Y
3.0,1.0,0.0,4.0,0.25,5.0,7.0,17.84,6.19,682.86,27.0,37.94,110.36,2.0,0.15,11.0,16.0,13.0,12.5,8.0,Y
3.0,0.0,0.0,6.0,0.33,9.0,9.0,16.47,9.33,1434.82,35.0,79.71,153.73,3.0,0.21,14.0,21.0,14.0,0.0,9.0,N
3.0,2.0,1.0,6.0,0.33,8.0,7.0,22.4,7.33,1204.38,38.0,66.91,164.23,3.0,0.2,12.0,26.0,15.0,30.0,9.0,Y
4.0,0.0,2.0,12.0,0.27,15.0,15.0,21.94,10.5,2418.38,49.0,134.35,230.32,6.0,0.17,21.0,28.0,23.0,11.76,15.0,N
4.0,0.0,0.0,4.0,0.25,6.0,8.0,16.23,4.57,339.34,19.0,18.85,74.23,2.0,0.14,8.0,11.0,14.0,0.0,8.0,N
