@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
2.0,0.0,0.25,2.0,1.0,8.0,18.53,9.0,1501.17,40.0,83.4,166.8,0.5,0.18,18.0,22.0,9.0,9.0,11.0,0.0,N
2.0,0.0,0.25,2.0,1.0,8.0,18.53,9.0,1501.17,40.0,83.4,166.8,0.5,0.18,18.0,22.0,9.0,9.0,11.0,0.0,N
2.0,0.0,0.25,2.0,1.0,8.0,18.53,9.0,1501.17,40.0,83.4,166.8,0.5,0.18,18.0,22.0,9.0,9.0,11.0,0.0,N
6.0,1.0,0.23,2.0,0.67,12.0,25.16,11.2,3155.74,58.0,175.32,281.76,0.33,0.14,24.0,34.0,15.0,14.0,21.0,14.29,N
7.0,16.0,0.17,2.33,0.77,71.0,70.93,18.61,24562.78,210.0,1364.6,1319.93,0.38,0.13,89.0,121.0,55.0,23.0,99.0,21.98,Y
8.0,9.0,0.21,2.0,0.67,13.0,30.78,10.5,3393.02,63.0,188.5,323.14,0.33,0.09,28.0,35.0,20.0,15.0,32.0,43.48,N
13.0,2.0,0.01,2.0,0.25,397.0,1535.48,11.07,188118.17,1916.0,10451.01,16995.62,0.25,0.01,1129.0,787.0,459.0,9.0,413.0,0.5,N
22.0,51.0,0.03,2.0,0.96,817.0,1349.98,39.94,2153049.88,5580.0,119613.86,53912.72,0.96,0.03,2733.0,2847.0,787.0,23.0,891.0,5.88,N
0.0,0.0,0.38,2.0,1.0,8.0,9.42,17.0,2723.1,41.0,151.28,160.18,0.33,0.33,17.0,24.0,5.0,10.0,9.0,0.0,N
1.0,0.0,0.4,2.0,1.0,5.0,13.67,5.71,446.5,20.0,24.81,78.14,0.5,0.29,10.0,10.0,7.0,8.0,7.0,0.0,N
13.0,13.0,0.14,2.0,0.67,20.0,50.44,8.5,3644.57,85.0,202.48,428.77,0.33,0.06,34.0,51.0,22.0,11.0,48.0,41.18,Y
11.0,10.0,0.18,2.0,1.0,16.0,54.41,6.07,2001.52,66.0,111.2,330.0,0.33,0.08,31.0,35.0,23.0,9.0,39.0,40.74,Y
3.0,0.0,0.47,2.0,0.11,2.0,76.91,15.85,19327.77,222.0,1073.76,1219.19,0.11,0.39,98.0,124.0,34.0,11.0,23.0,89.47,Y
2.0,0.0,0.25,2.0,0.33,2.0,59.38,12.02,8577.83,136.0,476.55,713.72,0.33,0.2,59.0,77.0,27.0,11.0,15.0,83.33,N
2.0,0.0,0.56,2.0,0.11,2.0,85.3,11.0,10321.01,168.0,573.39,938.27,0.11,0.47,74.0,94.0,37.0,11.0,19.0,87.5,Y
2.0,0.0,0.71,2.0,0.2,2.0,39.02,5.33,1109.78,46.0,61.65,208.08,0.2,0.5,20.0,26.0,15.0,8.0,10.0,71.43,N
13.0,1.0,0.59,2.0,0.12,56.0,212.2,33.39,236652.5,1045.0,13147.36,7086.52,0.03,0.46,423.0,622.0,95.0,15.0,71.0,1.75,Y
7.0,1.0,0.58,2.0,0.21,22.0,99.64,24.6,60297.15,407.0,3349.84,2451.1,0.07,0.42,164.0,243.0,50.0,15.0,33.0,12.0,Y
21.0,1.0,0.61,2.0,0.07,68.0,318.29,36.8,430930.48,1588.0,23940.58,11711.56,0.02,0.46,645.0,943.0,149.0,17.0,97.0,9.33,Y
14.0,0.0,0.46,2.0,0.06,39.0,162.87,24.2,95404.28,600.0,5300.24,3941.91,0.06,0.33,239.0,361.0,79.0,16.0,54.0,0.0,Y
10.0,1.0,0.54,2.0,0.12,42.0,189.65,36.5,252667.13,1031.0,14037.06,6922.39,0.04,0.43,438.0,593.0,90.0,15.0,60.0,14.29,Y
4.0,4.0,0.64,2.3,0.07,21.0,15.66,31.95,15993.34,102.0,888.52,500.5,0.64,0.45,37.0,65.0,11.0,19.0,31.0,19.23,N
18.0,24.0,0.1,2.0,1.0,49.0,72.48,20.68,31004.8,257.0,1722.49,1499.05,0.2,0.06,106.0,151.0,41.0,16.0,80.0,34.67,Y
1.0,0.0,0.22,2.0,0.5,9.0,17.71,14.0,3472.0,62.0,192.89,248.0,0.5,0.18,28.0,34.0,8.0,8.0,11.0,0.0,N
11.0,2.0,0.14,2.0,0.5,27.0,49.99,17.26,14890.23,160.0,827.24,862.77,0.25,0.1,77.0,83.0,29.0,13.0,42.0,10.0,N
7.0,1.0,0.29,3.0,0.57,20.0,24.63,17.41,7465.7,85.0,414.76,428.77,0.71,0.21,37.0,48.0,17.0,16.0,33.0,20.0,N
9.0,8.0,0.25,2.5,0.5,14.0,31.34,10.33,3346.5,66.0,185.92,323.85,0.25,0.12,31.0,35.0,18.0,12.0,34.0,41.67,N
6.0,2.0,0.13,2.0,0.33,17.0,20.45,15.17,4705.14,66.0,261.39,310.23,0.33,0.09,26.0,40.0,12.0,14.0,33.0,34.62,N
3.0,0.0,0.4,2.0,0.5,5.0,9.87,5.63,312.22,15.0,17.35,55.51,0.5,0.22,5.0,10.0,4.0,9.0,9.0,0.0,N
6.0,5.0,0.09,2.0,1.0,21.0,55.64,8.27,3804.87,89.0,211.38,460.12,0.5,0.06,43.0,46.0,26.0,10.0,35.0,25.0,N
5.0,3.0,0.24,2.5,0.25,16.0,34.78,14.04,6856.63,90.0,380.92,488.36,0.25,0.15,39.0,51.0,25.0,18.0,26.0,20.0,N
8.0,16.0,0.28,2.23,0.24,57.0,81.83,29.21,69838.03,375.0,3879.89,2390.64,0.47,0.2,162.0,213.0,61.0,22.0,85.0,25.0,N
9.0,8.0,0.27,2.14,0.44,29.0,58.4,14.93,13015.0,147.0,723.06,871.82,0.78,0.18,66.0,81.0,42.0,19.0,51.0,29.27,N
3.0,4.0,0.14,2.0,1.0,18.0,23.37,9.15,1958.65,45.0,108.81,213.97,0.33,0.1,17.0,28.0,13.0,14.0,30.0,30.77,N
14.0,14.0,0.23,2.86,0.4,59.0,46.09,53.79,133379.57,390.0,7409.98,2479.45,0.67,0.15,177.0,213.0,51.0,31.0,102.0,24.36,Y
8.0,4.0,0.12,2.0,0.75,33.0,85.6,21.6,39935.53,307.0,2218.64,1848.87,0.25,0.09,144.0,163.0,50.0,15.0,47.0,13.16,Y
5.0,3.0,0.14,2.0,0.5,13.0,34.95,18.36,11781.35,119.0,654.52,641.69,0.5,0.09,54.0,65.0,25.0,17.0,23.0,23.53,N
3.0,0.0,0.53,2.5,0.32,36.0,33.88,39.58,53092.15,232.0,2949.56,1341.28,0.58,0.48,95.0,137.0,30.0,25.0,40.0,0.0,N
1.0,0.0,0.41,2.2,0.86,17.0,44.6,12.75,7250.82,110.0,402.82,568.69,0.86,0.37,51.0,59.0,24.0,12.0,19.0,0.0,N
4.0,1.0,0.38,2.43,0.27,29.0,26.43,34.72,31867.04,161.0,1770.39,917.77,0.45,0.31,75.0,86.0,27.0,25.0,35.0,3.33,N
1.0,0.0,0.47,2.6,0.11,19.0,19.04,26.67,13541.31,99.0,752.29,507.8,1.0,0.43,40.0,59.0,15.0,20.0,21.0,0.0,N
4.0,1.0,0.38,2.17,0.25,20.0,15.74,26.13,10742.56,83.0,596.81,411.2,0.5,0.3,33.0,50.0,12.0,19.0,27.0,9.09,N
4.0,1.0,0.38,2.17,0.25,20.0,15.74,26.13,10742.56,83.0,596.81,411.2,0.5,0.3,33.0,50.0,12.0,19.0,27.0,9.09,N
26.0,13.0,0.1,2.0,0.25,39.0,98.24,22.84,51227.3,350.0,2845.96,2243.29,0.25,0.05,170.0,180.0,67.0,18.0,82.0,29.09,Y
32.0,10.0,0.43,2.15,0.27,29.0,63.05,32.2,65351.13,348.0,3630.62,2029.85,0.07,0.19,165.0,183.0,41.0,16.0,78.0,35.56,N
17.0,7.0,0.27,2.67,0.5,18.0,36.66,13.45,6637.2,94.0,368.73,493.31,1.0,0.13,37.0,57.0,22.0,16.0,47.0,37.93,Y
21.0,7.0,0.23,2.0,0.57,27.0,55.22,19.68,21394.68,188.0,1188.59,1086.9,0.14,0.12,88.0,100.0,38.0,17.0,60.0,28.95,Y
9.0,3.0,0.1,2.0,1.0,20.0,52.01,14.66,11171.75,138.0,620.65,762.25,0.5,0.06,67.0,71.0,32.0,14.0,33.0,13.04,Y
16.0,7.0,0.33,2.0,0.5,15.0,37.77,12.29,5701.61,92.0,316.76,464.08,0.17,0.14,43.0,49.0,21.0,12.0,42.0,40.0,N
20.0,14.0,0.27,2.0,0.75,24.0,55.87,16.21,14703.33,159.0,816.85,906.37,0.13,0.12,73.0,86.0,36.0,16.0,65.0,45.45,N
15.0,11.0,0.28,2.2,0.57,21.0,47.71,15.97,12167.64,135.0,675.98,761.92,0.57,0.13,62.0,73.0,33.0,17.0,52.0,41.67,Y
16.0,9.0,0.31,2.0,0.25,13.0,24.0,22.5,12150.0,108.0,675.0,540.0,0.25,0.1,51.0,57.0,17.0,15.0,39.0,40.91,N
5.0,0.0,0.5,2.0,0.5,4.0,11.42,6.67,507.65,20.0,28.2,76.15,0.5,0.2,10.0,10.0,6.0,8.0,10.0,0.0,N
5.0,0.0,0.43,2.0,0.33,7.0,7.53,10.0,752.84,21.0,41.82,75.28,0.33,0.23,10.0,11.0,4.0,8.0,13.0,0.0,N
16.0,11.0,0.29,2.2,0.57,20.0,47.71,15.97,12167.64,135.0,675.98,761.92,0.57,0.13,62.0,73.0,33.0,17.0,52.0,42.86,Y
19.0,19.0,0.25,2.0,0.5,20.0,32.36,31.53,32175.94,179.0,1787.55,1020.38,0.17,0.1,86.0,93.0,30.0,22.0,63.0,53.49,N
18.0,11.0,0.39,2.5,0.29,14.0,33.36,14.26,6783.7,90.0,376.87,475.69,0.57,0.15,41.0,49.0,23.0,16.0,48.0,51.72,Y
22.0,19.0,0.44,2.22,0.5,23.0,50.37,18.03,16367.05,155.0,909.28,907.99,0.33,0.17,74.0,81.0,39.0,19.0,69.0,50.0,Y
12.0,14.0,0.2,2.0,1.0,9.0,33.92,9.38,2981.4,62.0,165.63,318.02,0.5,0.05,25.0,37.0,20.0,15.0,37.0,62.5,N
6.0,8.0,0.4,2.0,1.0,5.0,28.99,5.54,889.14,36.0,49.4,160.54,0.5,0.1,16.0,20.0,13.0,9.0,20.0,61.54,N
20.0,17.0,0.32,2.25,0.83,15.0,55.47,8.07,3611.37,83.0,200.63,447.56,0.17,0.11,36.0,47.0,29.0,13.0,57.0,58.33,Y
11.0,8.0,0.25,2.5,0.67,10.0,18.53,11.67,2522.57,46.0,140.14,216.22,0.33,0.09,20.0,26.0,12.0,14.0,32.0,50.0,N
4.0,0.0,0.33,2.0,1.0,6.0,23.63,6.0,850.66,34.0,47.26,141.78,0.5,0.18,15.0,19.0,10.0,8.0,11.0,0.0,N
1.0,0.0,0.4,2.0,0.25,10.0,8.55,23.4,4683.66,48.0,260.2,200.16,0.25,0.33,18.0,30.0,5.0,13.0,12.0,0.0,N
2.0,0.0,0.13,2.0,1.0,15.0,25.27,11.39,3280.22,62.0,182.23,287.92,0.5,0.11,29.0,33.0,14.0,11.0,18.0,0.0,N
1.0,0.0,0.17,2.0,0.5,11.0,19.12,6.0,688.28,31.0,38.24,114.71,0.5,0.14,14.0,17.0,7.0,6.0,14.0,8.33,N
1.0,0.0,0.18,2.0,1.0,11.0,22.15,6.4,907.38,34.0,50.41,141.78,0.5,0.15,16.0,18.0,10.0,8.0,13.0,0.0,N
1.0,0.0,0.2,2.0,1.0,10.0,38.09,6.5,1609.32,54.0,89.41,247.59,0.5,0.17,26.0,28.0,16.0,8.0,12.0,0.0,N
1.0,0.0,0.33,2.0,0.43,21.0,20.0,16.25,5282.39,70.0,293.47,325.07,0.86,0.3,30.0,40.0,12.0,13.0,23.0,0.0,N
7.0,0.0,0.15,2.0,0.33,17.0,27.46,13.36,4903.83,88.0,272.44,366.95,0.33,0.11,42.0,46.0,11.0,7.0,28.0,15.0,N
1.0,0.0,0.29,2.0,0.5,7.0,8.22,9.0,666.08,20.0,37.0,74.01,0.5,0.22,8.0,12.0,4.0,9.0,9.0,0.0,N
2.0,0.0,0.25,2.0,1.0,8.0,11.6,10.0,1160.0,29.0,64.44,116.0,0.5,0.18,12.0,17.0,6.0,10.0,11.0,0.0,N
1.0,0.0,0.15,2.0,0.5,13.0,26.51,7.13,1345.7,43.0,74.76,188.87,0.5,0.13,19.0,24.0,12.0,9.0,15.0,0.0,N
4.0,0.0,0.33,2.0,0.5,6.0,14.8,8.56,1083.64,28.0,60.2,126.66,0.5,0.18,11.0,17.0,9.0,14.0,11.0,0.0,N
6.0,0.0,0.18,2.33,0.8,28.0,21.3,21.76,10091.02,89.0,560.61,463.64,0.6,0.14,37.0,52.0,17.0,20.0,35.0,0.0,N
1.0,0.0,0.43,2.0,0.33,7.0,11.62,9.75,1104.67,29.0,61.37,113.3,0.33,0.33,13.0,16.0,6.0,9.0,9.0,0.0,N
39.0,32.0,0.14,2.0,1.0,38.0,44.55,25.33,28593.41,198.0,1588.52,1128.69,0.17,0.05,88.0,110.0,33.0,19.0,114.0,48.65,Y
40.0,23.0,0.31,2.6,0.65,49.0,56.67,17.49,17327.12,173.0,962.62,990.93,1.0,0.14,68.0,105.0,35.0,18.0,118.0,36.36,N
28.0,23.0,0.14,2.0,1.0,32.0,99.95,11.96,14297.65,200.0,794.31,1195.46,0.2,0.06,92.0,108.0,50.0,13.0,89.0,46.67,Y
17.0,24.0,0.11,2.0,1.0,16.0,24.8,12.19,3683.14,61.0,204.62,302.21,0.5,0.03,26.0,35.0,16.0,15.0,61.0,62.79,Y
29.0,13.0,0.23,2.33,0.67,35.0,39.96,20.3,16466.48,143.0,914.8,811.16,0.56,0.1,58.0,85.0,30.0,21.0,89.0,32.68,N
10.0,13.0,0.1,2.0,0.5,19.0,54.15,14.62,11582.56,157.0,643.48,791.97,0.5,0.04,78.0,79.0,24.0,9.0,45.0,44.12,Y
15.0,21.0,0.17,2.0,0.67,15.0,38.86,14.28,7924.93,105.0,440.27,554.97,0.33,0.05,51.0,54.0,25.0,14.0,55.0,61.54,N
18.0,27.0,0.17,2.5,0.5,19.0,42.56,14.44,8879.35,114.0,493.3,614.72,0.75,0.06,52.0,62.0,27.0,15.0,69.0,62.0,N
22.0,18.0,0.14,2.0,1.0,28.0,36.37,18.27,12140.16,121.0,674.45,664.51,0.2,0.06,50.0,71.0,26.0,19.0,77.0,48.15,N
15.0,37.0,0.21,2.0,0.8,19.0,33.28,15.94,8459.67,95.0,469.98,530.57,0.8,0.06,41.0,54.0,27.0,21.0,77.0,68.85,Y
14.0,19.0,0.18,3.0,0.67,13.0,34.91,12.87,5781.77,85.0,321.21,449.26,1.0,0.06,37.0,48.0,23.0,16.0,51.0,63.89,Y
60.0,34.0,0.06,2.0,1.0,23.0,74.64,13.81,14241.04,180.0,791.17,1031.03,0.5,0.02,85.0,95.0,40.0,13.0,126.0,64.62,Y
33.0,23.0,0.22,2.67,0.8,33.0,48.11,16.19,12617.28,133.0,700.96,779.11,0.5,0.1,53.0,80.0,36.0,22.0,102.0,51.47,N
30.0,27.0,0.21,2.0,0.45,46.0,58.55,21.92,28134.83,222.0,1563.05,1283.46,0.64,0.1,98.0,124.0,38.0,17.0,111.0,42.5,Y
3.0,3.0,0.16,2.0,0.75,21.0,38.31,13.54,7020.93,95.0,390.05,518.65,0.25,0.13,43.0,52.0,27.0,17.0,32.0,25.0,Y
13.0,13.0,0.27,2.0,1.0,14.0,29.18,7.86,1801.24,50.0,100.07,229.25,0.25,0.1,22.0,28.0,14.0,10.0,42.0,50.0,Y
11.0,20.0,0.18,2.38,0.25,64.0,80.39,13.95,15650.31,183.0,869.46,1121.66,0.92,0.12,87.0,96.0,53.0,17.0,97.0,24.71,Y
15.0,46.0,0.37,4.67,0.3,55.0,65.12,36.85,88450.77,389.0,4913.93,2400.1,0.83,0.18,179.0,210.0,51.0,21.0,125.0,49.54,Y
13.0,42.0,0.23,2.0,0.67,7.0,23.64,9.31,2048.42,48.0,113.8,220.08,0.33,0.04,22.0,26.0,13.0,11.0,69.0,87.27,Y
4.0,0.0,0.25,3.0,0.67,12.0,27.43,7.86,1693.16,47.0,94.06,215.49,1.0,0.18,22.0,25.0,14.0,10.0,17.0,0.0,N
3.0,0.0,0.33,2.0,0.5,6.0,13.83,11.25,1750.38,36.0,97.24,155.59,0.5,0.2,15.0,21.0,8.0,12.0,10.0,0.0,N
3.0,0.0,0.17,2.0,0.67,16.0,26.3,10.45,2872.09,52.0,159.56,274.84,1.0,0.04,22.0,30.0,20.0,19.0,80.0,11.11,N
7.0,12.0,0.46,2.15,0.38,28.0,33.74,35.21,41834.57,198.0,2324.14,1188.0,0.69,0.29,85.0,113.0,35.0,29.0,55.0,40.43,N
2.0,0.0,0.38,2.0,0.67,8.0,12.1,13.93,2347.73,39.0,130.43,168.56,0.33,0.27,15.0,24.0,7.0,13.0,11.0,0.0,N
15.0,50.0,0.04,2.4,0.13,190.0,175.59,53.22,497406.05,1309.0,27633.67,9345.67,0.13,0.03,644.0,665.0,121.0,20.0,256.0,20.83,N
14.0,10.0,0.33,2.33,0.4,12.0,22.72,18.75,7988.64,86.0,443.81,426.06,0.6,0.13,40.0,46.0,16.0,15.0,40.0,52.0,N
6.0,0.0,0.25,2.0,1.0,6.0,22.46,9.0,1819.07,43.0,101.06,202.12,0.5,0.13,18.0,25.0,13.0,13.0,15.0,25.0,N
6.0,0.0,0.25,2.0,1.0,6.0,22.46,9.0,1819.07,43.0,101.06,202.12,0.5,0.13,18.0,25.0,13.0,13.0,15.0,25.0,N
7.0,6.0,0.33,2.0,1.0,5.0,20.84,3.94,323.05,21.0,17.95,82.04,0.5,0.1,9.0,12.0,8.0,7.0,20.0,58.33,N
36.0,24.0,0.23,2.2,0.62,44.0,75.71,19.73,29480.66,237.0,1637.81,1494.0,0.46,0.11,109.0,128.0,58.0,21.0,117.0,45.0,Y
17.0,10.0,0.22,2.0,0.8,18.0,37.97,14.77,8282.6,104.0,460.14,560.8,0.2,0.1,48.0,56.0,26.0,16.0,51.0,45.45,N
1.0,0.0,0.21,2.13,0.1,31.0,31.42,46.06,66661.35,246.0,3703.41,1447.13,0.8,0.2,102.0,144.0,31.0,28.0,50.0,35.42,N
1.0,0.0,0.27,2.0,0.33,10.0,13.96,11.67,1899.9,36.0,105.55,162.85,0.33,0.23,15.0,21.0,9.0,14.0,13.0,9.09,N
1.0,0.0,0.28,2.0,0.75,29.0,25.81,30.07,23331.58,143.0,1296.2,775.96,0.75,0.26,63.0,80.0,22.0,21.0,31.0,0.0,N
2.0,0.0,0.54,2.5,1.0,13.0,14.04,29.36,12103.07,84.0,672.39,412.18,0.57,0.44,34.0,50.0,11.0,19.0,16.0,0.0,N
3.0,0.0,0.08,2.0,1.0,24.0,30.78,18.0,9971.33,108.0,553.96,553.96,0.5,0.07,48.0,60.0,20.0,15.0,28.0,0.0,N
3.0,0.0,0.23,2.0,1.0,43.0,38.43,28.04,30219.56,181.0,1678.86,1077.71,0.1,0.21,83.0,98.0,37.0,25.0,47.0,0.0,N
2.0,0.0,0.25,3.0,1.0,20.0,23.94,16.5,6517.5,79.0,362.08,395.0,0.8,0.22,33.0,46.0,16.0,16.0,23.0,0.0,N
1.0,0.0,0.3,2.0,1.0,10.0,14.62,9.17,1228.15,31.0,68.23,133.98,0.33,0.25,15.0,16.0,9.0,11.0,12.0,0.0,N
5.0,0.0,0.52,2.07,0.59,33.0,90.42,13.0,15281.13,199.0,848.95,1175.47,0.59,0.44,94.0,105.0,47.0,13.0,39.0,0.0,N
1.0,0.0,0.33,2.0,1.0,9.0,24.0,4.67,522.66,28.0,29.04,112.0,0.33,0.27,12.0,16.0,9.0,7.0,11.0,0.0,N
4.0,0.0,0.44,2.08,0.85,62.0,88.96,33.0,96874.9,450.0,5381.94,2935.6,0.7,0.4,210.0,240.0,70.0,22.0,67.0,0.0,N
1.0,0.0,0.38,2.0,0.95,55.0,95.28,25.67,62771.57,374.0,3487.31,2445.65,0.05,0.37,176.0,198.0,72.0,21.0,57.0,0.0,N
3.0,0.0,0.33,2.0,1.0,30.0,43.84,22.75,22691.4,171.0,1260.63,997.42,0.5,0.29,78.0,93.0,36.0,21.0,34.0,0.0,N
12.0,0.0,0.38,2.0,0.44,87.0,69.02,44.68,137758.8,448.0,7653.27,3083.42,0.5,0.33,181.0,267.0,79.0,39.0,102.0,2.25,N
3.0,2.0,0.41,2.45,0.35,49.0,25.89,66.86,115710.92,293.0,6428.38,1730.72,0.6,0.36,117.0,176.0,28.0,32.0,55.0,3.92,N
4.0,0.0,0.52,2.0,0.55,21.0,24.3,27.0,17711.76,125.0,983.99,655.99,0.09,0.42,60.0,65.0,20.0,18.0,26.0,0.0,N
5.0,1.0,0.37,2.02,0.88,90.0,179.17,21.38,81861.96,548.0,4547.89,3829.8,0.5,0.35,243.0,305.0,108.0,19.0,98.0,2.17,N
1.0,0.0,0.31,2.11,0.57,45.0,57.83,26.49,40578.75,243.0,2254.37,1531.82,0.43,0.3,108.0,135.0,53.0,26.0,47.0,0.0,N
9.0,1.0,0.39,2.05,0.65,88.0,71.79,42.0,126638.31,450.0,7035.46,3015.2,0.44,0.34,189.0,261.0,72.0,32.0,99.0,1.12,N
3.0,0.0,0.22,2.13,0.8,45.0,48.13,38.75,72273.89,291.0,4015.22,1865.13,0.3,0.2,135.0,156.0,54.0,31.0,49.0,0.0,N
6.0,0.0,0.32,2.05,0.83,69.0,63.43,34.98,77622.82,350.0,4312.38,2218.95,0.83,0.29,148.0,202.0,55.0,26.0,78.0,2.82,N
3.0,0.0,0.3,2.0,0.57,23.0,29.43,18.57,10146.96,102.0,563.72,546.47,0.57,0.26,43.0,59.0,22.0,19.0,27.0,0.0,N
10.0,1.0,0.17,2.0,0.88,142.0,135.53,37.53,190890.99,729.0,10605.06,5086.44,0.76,0.16,319.0,410.0,102.0,24.0,156.0,2.07,N
3.0,3.0,0.27,2.0,0.25,14.0,28.72,9.38,2523.86,56.0,140.21,269.21,0.25,0.18,25.0,31.0,16.0,12.0,22.0,22.22,N
7.0,6.0,0.13,2.0,0.67,19.0,48.79,19.21,18005.58,160.0,1000.31,937.28,0.33,0.08,73.0,87.0,38.0,20.0,37.0,34.48,N
5.0,6.0,0.27,2.23,0.41,57.0,95.6,21.1,42542.23,313.0,2363.46,2016.64,0.53,0.23,151.0,162.0,68.0,19.0,75.0,17.39,Y
3.0,0.0,0.3,2.0,0.33,10.0,9.15,16.25,2416.01,35.0,134.22,148.68,0.33,0.21,15.0,20.0,6.0,13.0,14.0,0.0,N
14.0,16.0,0.14,2.0,0.5,40.0,41.91,27.61,31948.87,204.0,1774.94,1157.17,0.17,0.08,93.0,111.0,32.0,19.0,73.0,31.03,N
53.0,22.0,0.13,2.11,0.73,73.0,132.29,22.53,67179.31,444.0,3732.18,2981.13,0.36,0.07,204.0,240.0,86.0,19.0,161.0,31.78,Y
14.0,19.0,0.19,2.0,0.67,28.0,25.75,23.98,14801.55,116.0,822.31,617.34,0.83,0.09,53.0,63.0,21.0,19.0,65.0,44.0,N
19.0,21.0,0.19,2.0,0.67,27.0,25.75,23.98,14801.55,116.0,822.31,617.34,0.83,0.08,53.0,63.0,21.0,19.0,72.0,48.08,N
24.0,38.0,0.16,2.38,0.53,103.0,182.27,15.56,44121.9,419.0,2451.22,2835.87,0.47,0.1,195.0,224.0,94.0,15.0,184.0,35.22,N
19.0,19.0,0.19,2.0,0.67,26.0,27.15,22.89,14223.33,116.0,790.18,621.48,0.83,0.09,53.0,63.0,22.0,19.0,70.0,48.0,N
